source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Linda M Wooten for U.S. Senate,,2020-03-06 18:06:00,"Collecting Signatures for my petition to get on the ballot tomorrow, Saturday March 7. 9:30-10:30AM. Outside the Sanford Post Office, 30 School Street 11:30-12:15PM. Outside the Kittery Trading Post 5:00-9:00PM. Inside the Ramada Hotel and Conference Center, Lewiston. Benefit Dinner for Bikers Against Child Abuse.",3,3,0,0,0,0,0,1,135098471367917,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=135098471367917&id=100592344818530
"Linda M Wooten for U.S. Senate,Ryan Fournier",Ryan Fournier,2019-09-08 16:31:11,"MUST WATCH: Kitty Werthmann is an Austrian World War II survivor who lived under Hitler’s regime in Austria. Here she gives her account of Hitler’s takeover of Austria, and why it’s important for Americans to open their eyes and see what’s happening RIGHT NOW in the United States. It’s time to wake up, America. WAKE UP!",3,2,0,1,0,0,0,0,134781618066269,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=134781618066269&id=100592344818530
Linda M Wooten for U.S. Senate,,2020-03-05 18:57:24,"will be at the Bangor Gun Show , March 14 and 15 if you want to come to my table to sign my petition! Also will meet at Dysarts, 6:30PM Bangor/Broadway Saturday the 14th! Bangor Elks Club  108 Odin Road Please spread the word!  www.WootenForMe.com",5,5,0,0,0,0,0,0,134768464734251,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=134768464734251&id=100592344818530
Linda M Wooten for U.S. Senate,,2020-03-03 09:53:52,"I urge all Republicans who will be attending the Maine Republican Convention to vote for @Amy Colter to be the Republican nominee for U.S. Senate, rather than Susan Collins. I will still be on the ballot as an Independent in November but, since Amy and I share the same stance on the issues, I think if either of us gets elected, we'll be in fine shape to help this country move forward!",14,14,0,0,0,0,0,1,133953941482370,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=133953941482370&id=100592344818530
Linda M Wooten for U.S. Senate,,2020-03-02 21:35:58,"I'll see some of you at the polling location tomorrow. I'll be there around 5:30PM after I get out of work!  I need to get your signature to help me get on the ballot!  I'll be there until the doors close at 8PM! Best Wishes for Yes on 1!  Ward 2 – Auburn Middle School, 38 Falcon Drive",9,6,1,2,0,0,0,1,133771154833982,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=133771154833982&id=100592344818530
Linda M Wooten for U.S. Senate,,2020-03-01 10:53:02,"For anyone who would like me to visit their town for a Meet & Greet, I ask that you set it up by first checking with your town and getting approval to meet at a particular place. It can be your own home, the townhall, a restaurant or coffee shop, etc. Get some dates and times that the venue will allow you to meet. Email me with the times and dates available so that I can make sure I'm not already booked!  LMWooten@outlook.com After we coordinate a date and time, you will need to schedule it with the venue. Invite people to attend! The day before the meeting, follow-up with those you've invited to make sure they will attend! I am available most weekends or during the week in the evening if it's close to Androscoggin County or Cumberland County.  I look forward to meeting as many of you as possible! Thank you for your interest and support! WWW.WootenForMe.com",1,1,0,0,0,0,0,0,133260271551737,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=133260271551737&id=100592344818530
Linda M Wooten for U.S. Senate,,2020-03-01 09:09:50,"OK, folks, we need your help collecting signatures to put Linda's name on the November ballot.  Have you signed the petition yet? If not, we need you to do so as soon as possible.  Various people have them all over the state, but you do have to be registered to vote in Maine.  If you need help finding someone with a petition in your area, please just send us a note so we know what area you live in. Thank you for supporting Linda's campaign to become the next U.S. Senator for Maine.",9,7,1,1,0,0,0,4,133231444887953,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=133231444887953&id=100592344818530
Linda M Wooten for U.S. Senate,,2020-03-01 08:50:17,,15,14,0,0,0,0,1,0,133227404888357,Linda-M-Wooten-for-US-Senate-100592344818530,/100592344818530/photos/a.113243296886768/133227404888357
Linda M Wooten for U.S. Senate,,2020-02-29 12:59:17,"I support ""Yes"" on 1.  ""Linda Wooten of Auburn, an independent candidate for the U.S. Senate, said she supports repeal of the law in order to preserve parental choice “to take care of their children the best way they feel fit.” She said that many parents who pushed for the referendum have allowed their children to receive immunizations. “That is not the issue,” Wooten said. “The issue with the mandate is that it takes away the parent’s right to take care of their children in the way that is best” for their own children. “Parents feel this is a dangerous precedent that will grow into more mandates if not stopped,” Wooten said.   Follow me: www.wootenforme.com  #wootenmaine  or https://www.facebook.com/Linda-M-Wooten-for-US-Senate-100592344818530/ https://www.sunjournal.com/2020/02/28/republicans-democrats-split-on-whether-to-back-question-1/?utm_source=Headlines&utm_medium=email&utm_campaign=Daily",26,23,0,3,0,0,0,3,132929071584857,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=132929071584857&id=100592344818530
Linda M Wooten for U.S. Senate,,2020-02-29 06:17:19,"COME MEET LINDA M WOOTEN AND SIGN THE PETITION TO GET HER ON THE NOVEMBER BALLOT TO REPLACE U.S. SENATOR SUSAN COLLINS: March 14-15, 2020:  Meet & Greet in Bangor with Linda M Wooten for U.S. Senate @ Bangor Elks Gun Show.  FMI:  https://gunshowtrader.com/gun-shows/bangor-me-gun-show/ March 28-29, 2020:  Meet & Greet in Lewiston with Linda M Wooten for U.S. Senate @ 44th Annual Twin Cities Gun Show.  FMI:  https://jtreidsgunshop.com/gun-show.php",6,5,1,0,0,0,0,2,132802878264143,Linda-M-Wooten-for-US-Senate-100592344818530,/story.php?story_fbid=132802878264143&id=100592344818530
