source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Lindsey Graham,,2020-04-30 17:53:40,"America shouldn't ever have to rely on Communist China -- or anyone else -- for our basic healthcare needs. This pandemic has been a wake-up call, and in the future, I want America's healthcare workers wearing surgical masks made in the United States.",3300,2900,72,279,11,4,12,0,2682110418582949,LindseyGrahamSC,/story.php?story_fbid=2682110418582949&id=165987503528599
Lindsey Graham,,2020-04-30 08:38:02,"""My dad owned a bar, a liquor store and a pool room. I have walked in your shoes,” Graham said.  “If you pay people $23 an hour not to work, they will take you up on it. It doesn’t mean they’re lazy. It means if you offer them $23 an hour not to work, they’ll probably take that over $17 to go to work.”  The goal was to help people suddenly jobless through no fault of their own in an unprecedented crisis, not provide a raise to stay home, Graham said.",4200,3500,41,334,22,21,229,0,2681167522010572,LindseyGrahamSC,/story.php?story_fbid=2681167522010572&id=165987503528599
Lindsey Graham,,2020-04-29 21:50:21,It’s pretty apparent to me that General Flynn was a victim of an out of control Department of Justice.   He basically got railroaded.   It’s pretty widely known the Obama Administration did not have much use for General Flynn.,2900,1600,120,16,191,123,873,0,2680254525435205,LindseyGrahamSC,/story.php?story_fbid=2680254525435205&id=165987503528599
,,2020-04-29 18:30:05,Welcome Senator Lindsey Graham's virtual town hall meeting.  Please leave your questions or comments in the replies.,1000,678,37,259,3,4,67,0,234787747730704,LindseyGrahamSC,/story.php?story_fbid=234787747730704&id=165987503528599
Lindsey Graham,,2020-04-29 15:02:00,"📢 REMINDER 📢 Team Graham Virtual Town Hall streaming across Facebook, Twitter, and YouTube TODAY!",472,338,74,37,0,3,20,0,2679512455509412,LindseyGrahamSC,/story.php?story_fbid=2679512455509412&id=165987503528599
Lindsey Graham,,2020-04-29 09:19:15,"Join me tonight for a Virtual Town Hall! I'll be LIVE across Facebook, Twitter, and YouTube. Click SHARE to help spread the word. Follow along via the links below, and be sure to come with questions ready!",718,558,75,69,1,1,13,0,2678892662238058,LindseyGrahamSC,/story.php?story_fbid=2678892662238058&id=165987503528599
Lindsey Graham,,2020-04-28 10:26:14,"📌 ICYMI 📌 ➡️ 26 million Americans are out of work because of this virus.  ➡️ Almost 56,000 Americans are dead because of this virus.  A combination of gross negligence plus willful deception by the Chinese government led to this. youtu.be/VreJQCDQpb8",1300,1000,139,48,6,11,73,0,2676872215773436,LindseyGrahamSC,/story.php?story_fbid=2676872215773436&id=165987503528599
Lindsey Graham,,2020-04-27 10:39:53,"I just hope, if this guy passes and the next person or group takes over, they will meet President Trump in the middle to give North Koreans a better life. Kim Jong Un is one of the most ruthless people on the planet and if he’s dead, I’m not going to shed a tear.",1500,1300,97,83,13,4,10,0,2674783892648935,LindseyGrahamSC,/story.php?story_fbid=2674783892648935&id=165987503528599
Lindsey Graham,,2020-04-26 19:46:58,"“We want the masks made in the United States,” U.S. Sen. Lindsey Graham said, during an availability on the tarmac of the Greenville-Spartanburg Airport, after watching the unloading of the masks from a Boeing aircraft.  “We don’t want to ever have to rely on China or anyone else for our basic health care needs.""",4500,3800,129,545,11,6,18,0,2673539746106683,LindseyGrahamSC,/story.php?story_fbid=2673539746106683&id=165987503528599
Lindsey Graham,,2020-04-26 14:23:12,I appreciate all those who were able to secure over 1 million masks for Prisma Health in South Carolina.   Also thank you to Boeing for providing the DreamLifter to deliver these medical supplies from China.   However today was yet another reminder – I dare say ‘Wake Up Call’ - about how dependent we have become on China for our medical supply chain.   If the disease returns in the fall hopefully we will not have to rely on China for medical equipment as it will be made in the USA.,3200,2800,57,299,9,5,23,0,2673062992821025,LindseyGrahamSC,/story.php?story_fbid=2673062992821025&id=165987503528599
Lindsey Graham,,2020-04-24 14:58:38,"The bottom line is, without Joe Biden, there would be no ISIS. Without Donald Trump, the caliphate would still exist. Donald Trump is the one that killed Soleimani -- the biggest terrorist of all in Iran -- and Joe Biden opposed that. So, I can't wait to compare and contrast the judgment of President Trump against that of Vice President Biden on foreign policy.  This will be a  knockout. This will be over in round one on the debate stage. https://www.foxnews.com/media/lindsey-graham-joe-biden-has-been-wrong-across-the-board-on-foreign-policy-matters",6100,4900,414,718,16,6,46,0,2668691163258208,LindseyGrahamSC,/story.php?story_fbid=2668691163258208&id=165987503528599
Lindsey Graham,,2020-04-22 19:39:15,"I agree with President Trump’s concern about Georgia going ‘too far too fast’ with business re-openings.   I have great respect for Governor Kemp and believe that future re-openings can occur rather quickly but we must get Phase I right.  I totally understand Governor Kemp’s desire to allow businesses to reopen as small business owners are under great stress.   President Trump and his team have given us a sound roadmap on how to safely reopen the economy.  I strongly suggest, as a nation, we follow it.  The best path forward is to follow the guidelines set by President Trump and his team. Barber shops, hair salons, tattoo parlors, and other close quarter business activity will come after a successful Phase I. I am confident that in the coming weeks – if we follow the guidelines – more and more businesses will be safely reopened.  Our goal is to achieve a bump in the economy without creating a spike in the virus.   We are fifty individual states but when it comes to the virus we are all in this fight together.  Because of the sacrifices we have made as a nation there is light at the end of the tunnel.  Better days are ahead. https://www.foxnews.com/politics/trump-disagrees-strongly-with-georgia-governors-plan-to-reopen-some-businesses",776,618,66,38,18,7,29,0,2664601153667209,LindseyGrahamSC,/story.php?story_fbid=2664601153667209&id=165987503528599
Lindsey Graham,,2020-04-22 12:14:14,"Need a reason to participate in the next #TeamGraham Facebook Live or Tele-Town Hall? Aside from good conversation, you just never know what sort of questions are going to turn up...",842,652,123,44,3,3,17,0,2663902500403741,LindseyGrahamSC,/story.php?story_fbid=2663902500403741&id=165987503528599
"Lindsey Graham,Fox Carolina News",,2020-04-21 13:23:19,"I support what South Carolina Governor McMaster announced yesterday --  a small reopening of our state's economy with a focus on social distancing.   I worry that our friends and neighbors in Georgia are going too fast too soon. We respect Georgia's right to determine its own fate, but we are all in this together.  What happens in Georgia will impact us in South Carolina.Do you agree with Sen. Graham? Watch his full interview here: https://www.foxcarolina.com/full-interview-lindsey-graham-on-reopening-sc-coronavirus/video_7c97e340-7f02-5c59-b4cb-c0911e4c9928.html",1100,932,50,31,27,19,71,0,2662213790572612,LindseyGrahamSC,/story.php?story_fbid=2662213790572612&id=165987503528599
Lindsey Graham,,2020-04-19 08:05:50,"House Speaker Nancy Pelosi's criticism of President Trump over his halting of funding to the World Health Organization goes beyond just a personal attack, U.S. Sen. Lindsey Graham, R-S.C., said Saturday night. “So her issue is she hates Trump to the point of hurting our own nation,"" Graham said on Fox News' ""Justice with Judge Jeanine."" “She is condemning President Trump for cutting funds off of the WHO because they've been in China's pocket, as she at one time mentioned, the fact the virus came out of China, that the Chinese Communist Party lied to the American people and the world at large.""",5900,4700,116,120,66,336,557,0,2657054167755241,LindseyGrahamSC,/story.php?story_fbid=2657054167755241&id=165987503528599
Lindsey Graham,,2020-04-17 09:36:00,"To those who want to second-guess the government’s reaction, I don’t buy it. The actions President Trump took probably prevented well over a million American deaths from the virus.",6800,5600,334,732,17,6,68,0,2651584894968835,LindseyGrahamSC,/story.php?story_fbid=2651584894968835&id=165987503528599
Lindsey Graham,,2020-04-17 07:05:12,If it were not for the irresponsible behavior of the Chinese communist party there would be no COVID19 Pandemic.   Thousands of Americans would still be alive and 22 million Americans would still be working at their jobs. China is responsible. It is time to hold them to account.,6200,5300,127,558,18,15,100,0,2651855898275068,LindseyGrahamSC,/story.php?story_fbid=2651855898275068&id=165987503528599
,,2020-04-16 19:00:55,Live Facebook Town Hall with Senator Lindsey Graham.  Please be sure to leave your questions in the comment section!,1000,638,48,253,3,1,71,0,2600098300266110,LindseyGrahamSC,/story.php?story_fbid=2600098300266110&id=165987503528599
,,2020-04-16 13:51:14,Do you have questions about the government’s response to #COVID19? I’ll be hosting a live Facebook Town Hall tonight and would love for you to join me.,2600,2100,168,279,2,3,22,0,2651008671693124,LindseyGrahamSC,/story.php?story_fbid=2651008671693124&id=165987503528599
Lindsey Graham,,2020-04-15 18:47:00,"Join me here Thursday, April 16, for a Facebook Live Town Hall!",3400,2700,217,485,3,2,36,0,2649245888536069,LindseyGrahamSC,/story.php?story_fbid=2649245888536069&id=165987503528599
