source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Dave Lindstrom,,2020-03-04 23:25:30,"The Schumer-Bollier Dems are out of control.  Inciting violence against those who even discuss opposing viewpoints is the hallmark of socialist dictatorships found in 3rd world countries...which is exactly their plan for America.  Defeat socialism, defeat Schumer's protege Bollier by joining the fight at www.LindstromforSenate.com",79,62,0,1,2,2,12,11,737022396833244,LindstromforKS,/story.php?story_fbid=737022396833244&id=542530592949093
Dave Lindstrom,,2020-03-04 14:44:43,"In my travels throughout the state, security of our agriculture industry and food supply is a growing topic of conversation, and even the usually anti-America NPR published this story last year summarizing the threat.  Roger Marshall has ignored this critical threat and other ag issues as illustrated by his attempted abandonment of our KS seat on the Ag committee (https://www.gctelegram.com/news/20180702/kansas-farm-bureau-withholds-marshall-endorsement).  I will make Ag security a top priority and work with other Ag state senators to pass the Food Security is National Security Act which the shortsighted politicians killed with little consideration. Putting America First means putting Ag Security First!  Learn more at https://lindstromforsenate.com/national-security/",56,29,0,1,1,8,17,3,736778153524335,LindstromforKS,/story.php?story_fbid=736778153524335&id=542530592949093
Dave Lindstrom,,2020-03-03 15:26:09,"Leftist Kansas Supreme Court overturned again.  Kansas justices, as they routinely do, ignored the law to enact their radical left agenda - this time endangering Kansans to give illegal aliens free reign to wreak havoc on our citizens.  The US Supreme Court stood in the gap to right this obvious wrong.  As a US Senator, I will confirm only those judges who respect the Rule of Law and who will uphold the constitution as it was intended by our founders.",68,54,0,4,0,2,8,7,736100213592129,LindstromforKS,/story.php?story_fbid=736100213592129&id=542530592949093
Dave Lindstrom,,2020-02-29 17:00:34,"Illegal immigration and its consequences are not confined to far off areas along the southern border.  The dangers are very real right here in Kansas. Our ICE officers, Border Patrol and local law enforcement deserve our greatest respect and support for their efforts to keep America safe for its citizens. I support President Trump's effort to build the wall, end catch & release, and to enforce the laws as written already on the books.  The open borders approach is a worldwide cattle call inviting all elements into our country inevitably with devastating consequences to our citizens.  Immigration should be subject to a rigid legal regime by which we regulate entry into our country based upon well examined and articulated skill needs to contribute productively to our nation, without financial burden or harm to our citizens.  Learn more at https://lindstromforsenate.com/national-security/",72,46,0,2,0,0,24,7,733948247140659,LindstromforKS,/story.php?story_fbid=733948247140659&id=542530592949093
Dave Lindstrom,,2020-02-29 12:30:25,"Just looking back this morning on our travels the past few weeks.   Kansas is a big state and every stop holds great stories, amazing families, and serious concerns for our state and our country.  It may all unfold along the ""campaign trail"", but I like to think of it as a listening tour.  Representing Kansans means listening and getting the job done for Kansans.  When elected to the Senate, I will not forget for one minute who my bosses are - my fellow Kansans.  Let's get the job done!  www.LindstromforSenate.com",19,19,0,0,0,0,0,0,733937290475088,LindstromforKS,/story.php?story_fbid=733937290475088&id=542530592949093
Dave Lindstrom,,2020-02-29 11:38:36,"We ran into this fella named Willie last night!  My wife Mary and I had a ""fan""-tastic evening at the KSU Alumni Wabash Cannonball gala.",70,70,0,0,0,0,0,1,733939863808164,LindstromforKS,/story.php?story_fbid=733939863808164&id=542530592949093
Dave Lindstrom,,2020-02-28 14:32:59,"Israeli medical research has long been a critical leader in tackling difficult health issues.  Democrat Barbara Bollier as a state senator in 2017 voted to oppose preventing Kansas tax dollars from enriching entities boycotting the Jewish nation.  These ""Bollier boycotts,"" if successful, may delay or leave undiscovered medical advancements like this coronavirus vaccine. One more reason we must #SacktheLeft.  Join the fight at www.LindstromforSenate.com",86,74,0,10,0,2,0,1,733317093870441,LindstromforKS,/story.php?story_fbid=733317093870441&id=542530592949093
Dave Lindstrom,,2020-02-26 14:58:09,Keeping our nation and our people safe must be priority #1.  Harboring and assisting criminals defies commonsense.  Thank you to the Trump administration and 2nd Circuit for making this clear!,107,87,0,20,0,0,0,3,731882764013874,LindstromforKS,/story.php?story_fbid=731882764013874&id=542530592949093
Dave Lindstrom,,2020-02-26 12:50:12,"The Schumer-Bollier Democrats predictably ""not letting a crisis go to waste"" are pushing for a new $8.5 billion slush fund with no detailed purpose other than to bloat government and offshore American tax dollars through their favored ""contractors"". As the Trump administration has already stated, funding will be requested as needed to achieve stated goals - currently $2.5 billion to develop a vaccine and work toward containment. Nobody is calling for short-changing the effort, but prudently the administration isn't just borrowing and throwing money at the wall as a ""show"" solution. It may be that over time that much more funding is needed, but by appropriating as the need arises those dollars are far more likely to impact the intended need, rather than flushed down a Democrat rat hole.  Fact is, Dems have opposed President Trump's efforts to close our borders, not only to illegal entry, but to flights and other entry from highly infected nations. The Dem strategy has from the beginning been to cheer the importation of this virus to America's shores as yet another opportunity to politicize tragedy and to manufacture criticism of the president, all the while putting the lives of Americans and their families at risk. These are dangerous people with a dangerous agenda.  Another clear example of why we must #SacktheLeft.",63,31,2,0,0,1,29,11,731821290686688,LindstromforKS,/story.php?story_fbid=731821290686688&id=542530592949093
Dave Lindstrom,,2020-02-21 10:41:10,"Susan Wagle's swamp politics strikes again.  Just a couple of months ago, questions arose whether she leveraged her power over the state legislative agenda to solicit lobbyist dollars for her US Senate campaign.  Now, an abrupt flip-flop vote on gaming, raises more questions about her ambitions.    The Swamp is deep enough already in Washington.  We can do better.  I've proposed a comprehensive ethics reform package to restore integrity to Washington that puts an end to the antics of career politicians like Wagle.  See my plan at https://lindstromforsenate.com/term-limits-ethics-reforms/",63,36,0,1,4,0,22,7,728113054390845,LindstromforKS,/story.php?story_fbid=728113054390845&id=542530592949093
Dave Lindstrom,,2020-02-18 21:55:52,A Kansan had Mr. Bloomberg's number a long time ago.  Even Eisenhower had to deal with the narrow minded coastal elites!,174,156,2,15,1,0,0,0,726210681247749,LindstromforKS,/story.php?story_fbid=726210681247749&id=542530592949093
Dave Lindstrom,,2020-02-17 17:30:24,"Bloomberg's take on ag may raise New York pansies, but to feed the world, it takes brilliant Kansas farmers and ranchers, complex technologies, soil mapping, chemistry, biology, resilency, a strong faith and a love of the land.  The Bloomberg-Bollier Democrat elites would starve but for the Kansas farmers they despise and ridicule.  For a real discussion of the complex issues facing Kansas agriculture, including new processing needs and threats to our food supply, view my ""priorities"" page at LindstromforSenate.com.  #SacktheLeft",157,77,3,3,5,1,68,36,725398317995652,LindstromforKS,/story.php?story_fbid=725398317995652&id=542530592949093
Dave Lindstrom,,2020-02-16 15:02:03,"Thank you to the Pott Co. GOP for a great spaghetti feed event.  Whether we are talking about ag, trade, jobs, or the rising threat of socialism, Kansans' concerns focus on family and the future we leave behind for generations yet to come.  I think that sums up the Kansas spirit, and really highlights the difference between between our platform and the socialist Left - we want to preserve freedom and opportunity not just for us at this minute, but to build sound foundations for those that follow.  The Left is consumed with ""self"", with power, with the 1 second ahead of them, a narrow mind that is absorbed with imposing authority on others, rather than bolstering freedom to allow others to chart their own course and pursue their own dreams.  Socialism destroys opportunity.  Kansans I meet know we can do better.  Together, we will #SacktheLeft. Join the effort at www.LindstromforSenate.com",22,22,0,0,0,0,0,3,724660321402785,LindstromforKS,/story.php?story_fbid=724660321402785&id=542530592949093
Dave Lindstrom,,2020-02-15 23:14:32,Great night in Manhattan tonight sharing our priorities to move the nation forward and restore integrity to Washington.  It was fun catching up with a lot of First District friends and hearing the latest from our very busy former Gov. Jeff Colyer.  Check out a detailed discussion of top issues on our priorities page at www.lindstromforsenate.com,18,18,0,0,0,0,0,0,724195301449287,LindstromforKS,/story.php?story_fbid=724195301449287&id=542530592949093
Dave Lindstrom,,2020-02-15 09:39:56,"A chilly morning for discussion of some hot topics at the 3rd District Eggs & Issues.  Enjoyed sharing our plan to restore fiscal accountability and to hold directly responsible those in Washington for their errant spending and debt habits.  Thank you Chair Michelle Lockwood and team for a great meeting.  And, thanks to all who came out today.  See a full discussion of major issues on our priorities page at www.LindstromforSenate.com",22,21,0,1,0,0,0,0,723807008154783,LindstromforKS,/story.php?story_fbid=723807008154783&id=542530592949093
Dave Lindstrom,,2020-02-13 19:11:57,When extortion meets abortion...,21,4,0,1,1,1,14,3,722513341617483,LindstromforKS,/story.php?story_fbid=722513341617483&id=542530592949093
Dave Lindstrom,,2020-02-12 13:30:09,"When I started in business, I needed a loan to build my first restaurant.  The bank wanted to see a business plan to show that I had thought things through.  Voters should expect the same from their candidates.  I have just released a comprehensive plan forward - covering numerous issues across more than a dozen topic areas.  From health care, the economy, rural revitalization and agriculture, to education, national security and protecting freedom and the unborn; I've set forth actual policies for your consideration.  Take a look at https://lindstromforsenate.com/daves-priorities/",24,24,0,0,0,0,0,2,721595451709272,LindstromforKS,/story.php?story_fbid=721595451709272&id=542530592949093
"Dave Lindstrom,Kansans for Life",Kansans for Life,2020-02-11 22:10:08,"Great tonight with Kansans for Life. Tim Tebow gave a great  inspirational presentation.  We must stand vigilant in this battle for freedom, for our culture, for defending and valuing life. Please contact your Kansas House Representative to encourage passage of the Value Them Both Amendment.  The amendment passed the senate and fell 4 votes short in the House.  There is still plenty of time for the House to act again on this issue, but it will take voters calling to get it across the goal line.  Commonsense abortion regulation has saved 15 babies each day in Kansas. The amendment gives Kansans the voice to ensure regulations currently on the books will stay in effect.  If your representative is a ""no"" on the amendment, ask him or her why those 15 babies saved each day aren't worth their consideration. This vote is about who we are as a people.  It's not about politics. It's about right and wrong, about defending and valuing the vulnerable, and none is more vulnerable than an unborn child.Fantastic KFL Kansas City Valentines Day Dinner with Tim Tebow, Rick Santorum, Dr. Jeff Colyer and Lamar Hunt Jr.. We also honored Senator Mary Pilcher-Cook for her longtime service to the Pro-Life Cause in Kansas.  Thank you all who attended and for sponsoring this wonderful event!",50,46,0,4,0,0,0,0,721113641757453,LindstromforKS,/story.php?story_fbid=721113641757453&id=542530592949093
Dave Lindstrom,,2020-02-10 12:09:46,"Forget about ""Russia,"" looks like Bob Hamilton may be the 'foreign' interference in our GOP primary - an uber-liberal pretending to be a Republican.  Dems are finding out how terrible of a candidate socialist Bollier is and must be grasping for a back-up plan.  But, Hamilton's legacy as an Obama-Clinton ""fan boy"" reveal their not so sly plan for what it is.  Voters beware!",23,13,0,0,2,1,7,8,720034898531994,LindstromforKS,/story.php?story_fbid=720034898531994&id=542530592949093
Dave Lindstrom,,2020-02-06 09:37:06,"Call your state representative today to encourage their support of this critical legislation to prevent unfettered, unregulated abortion in Kansas.  Radical judges are poised to strike down requirements that abortionists be licensed physicians, that clinics meet health standards required of all other medical practices, and  the requirement of parental consent for minors and other human traffiking preventions are also at risk.  The Kansas Supreme Court by its recent decision advocates for dismemberment abortion, partial birth abortion, and host of barbaric acts against the unborn and vulnerable mothers.  The Court has set the stage for New York ""abortion through to birth"" in Kansas.  Please help get this amendment on the ballot so that Kansans can overrule a radical liberal court and restore our Kansas laws as they existed just a few short months ago to protect both mother and child.",27,24,0,3,0,0,0,0,716833038852180,LindstromforKS,/story.php?story_fbid=716833038852180&id=542530592949093
Dave Lindstrom,,2020-02-05 19:28:47,There's a reason why it takes more than one person on a jury to  render a judgment.  Somebody might care less about justice and more about being a spiteful ass!,85,82,1,2,0,0,0,8,716415052227312,LindstromforKS,/story.php?story_fbid=716415052227312&id=542530592949093
Dave Lindstrom,,2020-02-05 14:39:46,"Looking forward to attending the KFL Valentine Banquet next week.  If you haven't been to this event previously, it is the premiere annual event to support Life in Kansas. And, this year NFL alum and Heisman winner Tim Tebow joins the effort.  Faith, Family and Football! Hope to see you there!",14,12,0,2,0,0,0,3,715597425642408,LindstromforKS,/story.php?story_fbid=715597425642408&id=542530592949093
Dave Lindstrom,,2020-02-04 22:39:41,"So Pelosi tears up her copy of the speech on national television.  What a petty act by a very empty soul.   Let's end the Pelosi-Schumer-Bollier assault on America. Together, we can #SacktheLeft. www.LindstromforSenate.com",152,149,0,2,0,1,0,10,715798728955611,LindstromforKS,/story.php?story_fbid=715798728955611&id=542530592949093
Dave Lindstrom,,2020-02-04 22:26:13,Keep America Great...the best is yet to come! Thank you President Trump!,82,69,1,12,0,0,0,0,715793032289514,LindstromforKS,/story.php?story_fbid=715793032289514&id=542530592949093
Dave Lindstrom,,2020-02-04 22:24:19,All are made equal by the hand of almighty God!,36,31,0,5,0,0,0,1,715792045622946,LindstromforKS,/story.php?story_fbid=715792045622946&id=542530592949093
Dave Lindstrom,,2020-02-04 22:23:20,...the most exceptional republic in human history!,14,12,0,2,0,0,0,0,715791638956320,LindstromforKS,/story.php?story_fbid=715791638956320&id=542530592949093
Dave Lindstrom,,2020-02-04 22:21:23,Never forget the sacrifice of those in uniform and their families who stand in gap daily to defend our freedoms and keep our nation and communities safe.  Thank you to our military and first responders.  We owe you our highest gratitude.,41,35,0,6,0,0,0,0,715790405623110,LindstromforKS,/story.php?story_fbid=715790405623110&id=542530592949093
Dave Lindstrom,,2020-02-04 22:17:08,"To the terrorists - if you attack Americans, you forfeit your life.   AMERICA FIRST!",65,58,0,7,0,0,0,1,715788332289984,LindstromforKS,/story.php?story_fbid=715788332289984&id=542530592949093
Dave Lindstrom,,2020-02-04 22:10:46,Pelosi snubbed applause for stopping radical Islamic terrorism.  What exactly does her party support?,97,61,0,1,4,11,20,17,715784798957004,LindstromforKS,/story.php?story_fbid=715784798957004&id=542530592949093
Dave Lindstrom,,2020-02-04 22:07:39,Yes! Restoring integrity to the bench!,12,12,0,0,0,0,0,1,715783178957166,LindstromforKS,/story.php?story_fbid=715783178957166&id=542530592949093
Dave Lindstrom,,2020-02-04 22:07:06,Restoring the Rule of Law and the culture of American freedom!,21,21,0,0,0,0,0,0,715782882290529,LindstromforKS,/story.php?story_fbid=715782882290529&id=542530592949093
Dave Lindstrom,,2020-02-04 22:00:53,Sanctuary cities kill Americans.  The politicians responsible should serve life sentences as accomplices.,64,62,0,2,0,0,0,2,715779995624151,LindstromforKS,/story.php?story_fbid=715779995624151&id=542530592949093
Dave Lindstrom,,2020-02-04 21:58:55,Broadband for rural communities is a must!,31,30,0,1,0,0,0,6,715779192290898,LindstromforKS,/story.php?story_fbid=715779192290898&id=542530592949093
Dave Lindstrom,,2020-02-04 21:56:40,Wow! Democrats in congress in lockstep supporting partial birth abortion.  Disgusting!,60,26,0,0,0,13,21,3,715778055624345,LindstromforKS,/story.php?story_fbid=715778055624345&id=542530592949093
Dave Lindstrom,,2020-02-04 21:52:35,Pray for Rush!,77,62,0,13,0,2,0,6,715776215624529,LindstromforKS,/story.php?story_fbid=715776215624529&id=542530592949093
Dave Lindstrom,,2020-02-04 21:51:54,"Pelosi snubbed applause for funding minority colleges, protecting coverage for preexisting conditions, protecting social security and Medicare, and shook her head at the notion of stopping a socialist takeover of healthcare.  She even snubbed applause for supporting lower drug prices.   This is the leader of Barbara Bollier's Democrat party - a party that puts America and Americans last.  These are dangerous people and their Owellian intrusive government  agenda must be stopped.",170,137,1,2,1,2,27,18,715775935624557,LindstromforKS,/story.php?story_fbid=715775935624557&id=542530592949093
Dave Lindstrom,,2020-02-04 21:39:45,"""The only victories that matter in Washington are those that deliver for the American people!"" - President Trump (Note not a single Democrat applauded.  The American people take a backseat to their socialist agenda of destruction).",25,25,0,0,0,0,0,1,715770605625090,LindstromforKS,/story.php?story_fbid=715770605625090&id=542530592949093
Dave Lindstrom,,2020-02-04 21:00:33,"MY TAKE:  Thanks to the hard work of Kansans and Americans across the country, and President Trump who puts America first, the state of our union is strong!  I commend President Trump for his leadership to shake off the yoke of government and allow our economy to flourish, to create an unprecedented employment record across all demographics, to foster an environment where entrepreneurship can thrive, and to restore the American Dream as both desirable and attainable for those willing to dream big and put in the hard work.   Our union is strong with a renewed embrace of freedom, of traditional values, and a president who values of life.   Our union is strong with a president that has worked to restore integrity to our borders, and who respects our military.   Our union is strong with a return to vigorously advancing American interests and ending subsidies for those countries who for too long have freeloaded off the backs of American taxpayers.   Though challenges remain, America is at last moving forward.  It’s an accomplishment that started by bringing real change, renewed purpose, and determination to shake loose the establishment elite from the reigns of power and restoring that power to the American people to benefit the American people.   I look forward to joining President Trump in Washington to be a change agent, to keep our momentum going, and to ensure a strong union with limitless opportunities for generations to come!  www.LindstromForSenate.com",52,52,0,0,0,0,0,1,715718225630328,LindstromforKS,/story.php?story_fbid=715718225630328&id=542530592949093
Dave Lindstrom,,2020-02-04 14:23:12,Start your Saturday early and join us at the 3rd Congressional District Eggs & Issues on February 15th.  Thank you to Michelle Lockwood and her board for putting this great event series together.,8,8,0,0,0,0,0,0,715594955642655,LindstromforKS,/story.php?story_fbid=715594955642655&id=542530592949093
