source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Louie Sanchez For US Senate,,2020-03-06 11:25:01,Come see us tonight!  SanchezForNewMexico.com 🇺🇸,12,12,0,0,0,0,0,0,142974003894155,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=142974003894155&id=107013564156866
Louie Sanchez For US Senate,,2020-03-05 20:30:35,SanchezForNewMexico.com 🇺🇸,35,34,0,1,0,0,0,0,142768160581406,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=142768160581406&id=107013564156866
Louie Sanchez For US Senate,,2020-03-05 14:00:21,"When I’m not traveling New Mexico meeting voters, I’m traveling New Mexico taking care of cardiology patients!  Working with physicians and patients all over the state is definitely one of the perks of the job, and it gives me great perspective on the strengths & opportunities of each area.  (Plus it’s something I truly enjoy - you can’t beat that!) Make it a great day, friends!  SanchezForNewMexico.com 🇺🇸",61,56,0,5,0,0,0,2,142604397264449,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=142604397264449&id=107013564156866
Louie Sanchez For US Senate,,2020-03-05 09:51:09,"His campaign may be over, but his influence is still here.  Surprised to learn that Bloomberg is buying the liberal agenda in New Mexico?  Then it’s time for conservative leadership at every level.  SanchezForNewMexico.com 🇺🇸",32,19,0,0,0,0,13,2,142542590603963,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=142542590603963&id=107013564156866
Louie Sanchez For US Senate,,2020-03-04 21:50:45,We can’t wait to see you there!  SanchezForNewMexico.com 🇺🇸,24,23,0,1,0,0,0,0,142355343956021,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=142355343956021&id=107013564156866
Louie Sanchez For US Senate,,2020-03-04 21:43:31,,24,24,0,0,0,0,0,0,535202287103605,Louie-Sanchez-For-US-Senate-107013564156866,/events/535202287103605?view=permalink&id=535204627103371
Louie Sanchez For US Senate,,2020-03-04 16:25:51,"Congratulations to President Trump for once again doing what he promised he would do to protect the American people!   This border wall is super important to New Mexicans and to our infrastructure, businesses, safety, and economy.  As your next Senator, I will continue to advocate for increased border security and the enforcing of immigration laws, because illegal immigrants should never be prioritized above law-abiding citizens. SanchezForNewMexico.com 🇺🇸",58,45,0,13,0,0,0,1,142200657304823,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=142200657304823&id=107013564156866
Louie Sanchez For US Senate,,2020-03-04 11:14:40,SanchezForNewMexico.com 🇺🇸,60,53,0,7,0,0,0,0,142021257322763,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=142021257322763&id=107013564156866
Louie Sanchez For US Senate,,2020-03-04 00:51:49,"Is this really appropriate behavior from ANY elected official?   The hatred and venom of the left is unacceptable, and quite frankly, disgusting.  We can’t move forward together until we stop the nonsense and concentrate on getting things done.  That’s why I’m running for Senate, and that’s why I’m asking for your support.  SanchezForNewMexico.com 🇺🇸",66,28,0,0,5,3,30,12,141360317388857,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=141360317388857&id=107013564156866
Louie Sanchez For US Senate,,2020-03-03 23:13:51,2nd Amendment emergency  - ,17,17,0,0,0,0,0,0,141283864063169,Louie-Sanchez-For-US-Senate-107013564156866,/LouieForSenate/photos/a.139571114234444/141283864063169
Louie Sanchez For US Senate,,2020-03-03 18:30:03,SanchezForNewMexico.com 🇺🇸,50,44,0,6,0,0,0,0,141105157414373,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=141105157414373&id=107013564156866
Louie Sanchez For US Senate,,2020-03-03 14:54:02,"Traveling New Mexico to meet with voters each day is an absolute pleasure, and I’ve learned so much from each of you.  Thank you for your overwhelming support for my vision and my campaign.  As your next Senator, I promise I won’t let you down!  If we haven’t met you yet, we’re coming soon, and we look forward to hearing your thoughts and ideas for our beautiful state!  SanchezForNewMexico.com 🇺🇸",27,26,0,1,0,0,0,0,141029334088622,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=141029334088622&id=107013564156866
Louie Sanchez For US Senate,,2020-03-03 11:21:57,"Mayor Bloomberg thinks it’s ok for his security detail to carry firearms because he’s rich and a politician... but the rest of us need “gun control”.  I have fought and will continue to fight these unconstitutional 2nd Amendment restrictions.  As your next Senator, our 2A rights will be a priority, because New Mexicans deserve better than the far-left agenda we’ve been handed.  Please join my fight today!  SanchezForNewMexico.com 🇺🇸",42,31,2,1,1,0,7,3,140980984093457,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=140980984093457&id=107013564156866
Louie Sanchez For US Senate,,2020-03-02 22:35:27,"New Mexico continues to fight the highly contested and unconstitutional red flag legislation!  Way to go, Grants!  SanchezForNewMexico.com 🇺🇸",75,61,0,14,0,0,0,3,140818860776336,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=140818860776336&id=107013564156866
Louie Sanchez For US Senate,,2020-03-02 15:20:45,I have to say how much I appreciate the Doña Ana FRW and the amazing crowd we had last week - support like theirs is what’s going to help us turn New Mexico RED in November!  Got an event you’d like us to attend?  Send us a message and let us know!  We love meeting other patriotic New Mexicans!  SanchezForNewMexico.com 🇺🇸,40,37,0,3,0,0,0,0,140741857450703,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=140741857450703&id=107013564156866
Louie Sanchez For US Senate,,2020-03-02 11:17:14,"It’s always a good time when we get to speak to voters about the #RedWave that’s headed our way in November!  Thank you, KRSY in Alamogordo, for having us on air to discuss Team Louie Sanchez and our fight to change the way Washington works for New Mexico!  SanchezForNewMexico.com 🇺🇸",45,43,1,1,0,0,0,1,140668590791363,Louie-Sanchez-For-US-Senate-107013564156866,/story.php?story_fbid=140668590791363&id=107013564156866
