source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Lummis for Wyoming,,2020-05-03 00:19:32,Ready for those OPEN signs. With good practices we can combat COVID-19 while we work.,23,23,0,0,0,0,0,0,3240436149300887,LummisforWyoming,/story.php?story_fbid=3240436149300887&id=369214063089791
Lummis for Wyoming,,2020-05-01 12:30:11,"“I’m in a unique position. It’s important for me to reflect the public health needs of our state, but I also intimately understand the toll this is taking on small businesses and the economy.” Dr. David Wheeler, President, Wyoming Medical Society For today's installment of WyoLight, I had the opportunity to speak with Dr. David Wheeler, President of the Wyoming Medical Society.  Healthcare Providers have the deepest understanding of the crisis we face, and also understand firsthand the impact it has had on small businesses across Wyoming.  While much of our discussion centered around the harsh reality of this virus, we got to reflect on how well our doctors and health care providers work together across the state to provide the highest quality service to the people of Wyoming. We have unique challenges here in Wyoming, but we work together and come up with solutions that are best for Wyoming and its people.",11,11,0,0,0,0,0,0,3234848123193023,LummisforWyoming,/story.php?story_fbid=3234848123193023&id=369214063089791
Lummis for Wyoming,,2020-04-30 14:10:57,"“To work in the hospitality industry, you’ve got to be a warrior.” – Chris Brown, Executive Director of the Wyoming Lodging & Restaurant Association This week we are launching a new series called ‘WyoLight’ to highlight Wyoming industries and hear how they are being impacted by COVID-19. As Wyoming Lodging and Restaurant Association's Chris Brown said during our inaugural WyoLight conversation, folks who work in hotels, restaurants, recreation, travel and tourism and other hospitality industries are true warriors who have gone through tough times before.  That being said, Chris had an important point that hospitality “can weather a terrible season, but we can’t weather a season that doesn’t happen at all.” There are many ways we can support restaurants and small businesses while they are still shut down including ordering food to-go, purchasing gift certificates and writing positive reviews online.  For a full list of ideas, check out the guide on our website: https://lummisforwyoming.com/covid/",17,16,0,1,0,0,0,0,3231378710206631,LummisforWyoming,/story.php?story_fbid=3231378710206631&id=369214063089791
Lummis for Wyoming,,2020-04-29 17:24:07,"I wanted to say thanks to all the Wyoming Young Professionals who hopped on Zoom with me last night. It was a great conversation! Special thanks to State Rep. Tyler Lindholm for moderating and to our co-hosts State Rep. Cyrus Western, Ryan McConnaughey, Shannon Wilson, and Dallas Tyrrell.  Great discussion and questions. Next time let’s do it in person 🤞.",39,38,0,1,0,0,0,0,3228243100520192,LummisforWyoming,/story.php?story_fbid=3228243100520192&id=369214063089791
Lummis for Wyoming,,2020-04-28 16:54:14,"""From farm to fork, or ranch to ribeye, now is the time to cut the bureaucratic fat out of our food system and allow American producers and consumers to come to the dining room table together again."" In case you missed it, I had a column in the Wyoming Livestock Roundup recently on a subject near and dear to my heart -- reconnecting American families with the nation's family farmers and ranchers.",110,105,0,5,0,0,0,0,3224719180872584,LummisforWyoming,/story.php?story_fbid=3224719180872584&id=369214063089791
Lummis for Wyoming,,2020-04-27 18:36:23,"I recently had the opportunity to visit with Dr. Paul Beaupré, CEO of St. John's Health in Jackson. Teton County has been a hot spot for the coronavirus in Wyoming with 64 laboratory confirmed cases. Find some of the highlights from my conversation with Dr. Beaupré including his insights on telehealth, testing, and manufacturing PPE in Wyoming at the link: https://lummisforwyoming.com/checking-in-with-st-johns-hospital-in-teton-county/ Team Lummis was proud to work with The Wort Hotel to deliver dinner to hospital staff last week.  A special thanks to The Wort Hotel General Manager Jim Waldrop and Food and Beverage Director Jordan Holcomb for making it happen!",51,47,0,4,0,0,0,0,3221695387841630,LummisforWyoming,/story.php?story_fbid=3221695387841630&id=369214063089791
Lummis for Wyoming,,2020-04-26 11:54:54,"“Our current crisis reveals our friends and our foes. Clearly, President Trump’s tough talk on trade and placement of some sideboards on globalism is needed now more than ever. These tactics of hitting the U.S. while it’s down must not go unnoticed and unaddressed.  “As we rebuild our energy sector, let’s look to local production first. The industry has proven that they can do it cleaner, more environmentally responsibly and with an eye towards job creation right here in Wyoming.”",126,117,0,9,0,0,0,0,3217231601621342,LummisforWyoming,/story.php?story_fbid=3217231601621342&id=369214063089791
Lummis for Wyoming,,2020-04-25 17:07:18,"Anybody else missing sports? 🙋🏼‍♀️ I was pleased to see Wyoming’s own Logan Wilson go in the NFL draft. So cool to see a Natrona County standout and UW Poke head to the pros 🤎💛! I watched Jumpshot, which was SO AWESOME, last weekend and am now totally taken with the Last Dance documentary on the MJ-era Bulls.  Just coincidentally, came across this picture of my dad on the 1948 Cowboys Basketball team. The back of the photo reads “Puncher Guard”. All I can figure is that he was a cowpuncher and a guard... Anyway, it’s always a great day to be a University of Wyoming Cowboy (and thank goodness I’m not a CSU Ram).",98,92,0,5,1,0,0,0,3214138641930638,LummisforWyoming,/story.php?story_fbid=3214138641930638&id=369214063089791
Lummis for Wyoming,,2020-04-23 16:11:17,"Deeply, deeply grateful for all the help and support. We have started to have weekly county chairs calls and I am just floored by the outpouring of help and eagerness to get going.  President Trump is right, we can Make America Great Again x 2. And with the energy from our campaign, you can bet Wyoming will be leading the charge.  Let’s get to work! (Can’t wait to get out on the road.)",67,63,0,4,0,0,0,0,3206505829360586,LummisforWyoming,/story.php?story_fbid=3206505829360586&id=369214063089791
Lummis for Wyoming,,2020-04-22 23:59:21,Today’s example of why socialism is antithetical to the American Dream.,184,41,30,0,19,7,87,0,3203876142956888,LummisforWyoming,/story.php?story_fbid=3203876142956888&id=369214063089791
Lummis for Wyoming,,2020-04-21 15:34:51,"Shout out to our Natrona County Campaign Chairs, JoAnn True, Shane True, and Ryan McConnaughey, who coordinated a Team Lummis donation of meals to hospital staff from The Grab and Go Gourmet last week. Thanks also to owner Maggie King and her team for making this happen! Yesterday, I had the opportunity to connect with Michele Chulick, President and CEO of the Wyoming Medical Center in Casper. As of April 20, there have been 38 laboratory confirmed cases of COVID-19 in Natrona County, 22 of which have recovered. I checked in with WMC for an update on how the hospital and community are coping with the pandemic as well as the status of diagnosed patients.  A snapshot of our conversation follows at the link: https://lummisforwyoming.com/an-update-from-the-wyoming-medical-center/",83,77,0,5,1,0,0,0,3199593916718444,LummisforWyoming,/story.php?story_fbid=3199593916718444&id=369214063089791
Lummis for Wyoming,,2020-04-20 12:27:51,"Love this video, particularly, the reference to President Teddy Roosevelt's 'speak softly but carry a big stick' quote: ""Sticks don't get any bigger than this."" Amen. To all those working at FE Warren Air Force Base in Cheyenne, thank you 🙏 for all you do to keep our nation safe.",13,13,0,0,0,0,0,0,3195902527087583,LummisforWyoming,/story.php?story_fbid=3195902527087583&id=369214063089791
Lummis for Wyoming,,2020-04-19 22:33:49,"The Chinese Communist Party (CCP) must be held responsible for their gross mismanagement of this disease, their lies, and their coverup of its origins and spread.",206,187,1,16,0,0,2,0,3193554657322370,LummisforWyoming,/story.php?story_fbid=3193554657322370&id=369214063089791
Lummis for Wyoming,,2020-04-18 22:19:44,"Encouraging news, to be sure. Eager to see more data on antibody tests, both nationally and in Wyoming.",95,91,0,4,0,0,0,0,3189011871109982,LummisforWyoming,/story.php?story_fbid=3189011871109982&id=369214063089791
Lummis for Wyoming,,2020-04-17 14:01:21,"This is absolutely spot on. 🎯 ‘Talk about moving goal posts. A month ago, the administration announced its 15-day plan to “flatten the curve” and “slow the spread” of the virus. Examine those phrases. The goal of the shutdown was never to eradicate the disease—an impossibility absent a vaccine. The lockdown was designed to buy the health sector time... In that regard, the Trump administration has become a victim of its own success. The guidelines did flatten the curve. As ugly as the outbreak has been, even New York City and other hot spots have had enough ventilators. Numerous emergency field hospitals ended up sitting empty. The lockdown has been so effective that it has allowed Mr. Trump’s political opponents to lay out a false narrative of what counts as “victory.”’",72,41,1,0,2,2,26,0,3182889541722215,LummisforWyoming,/story.php?story_fbid=3182889541722215&id=369214063089791
Lummis for Wyoming,,2020-04-15 18:13:28,"President Trump made the right decision to halt funding of the World Health Organization (WHO) pending review of their coronavirus response, and cozy relationship with the Chinese Communist Party (CCP).  American taxpayers deserve transparency. Paying billions to be misled for China’s benefit is a shocking fraud.",230,173,0,2,0,6,49,0,3175770862434083,LummisforWyoming,/story.php?story_fbid=3175770862434083&id=369214063089791
