source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
MJ for Texas,,2020-03-04 13:40:42,"Texas Primary results are still coming in, but I want to again thank the incredible supporters who powered us to a first place finish. Y'all stepped up in a big way to put our campaign in this strong position, and I'm so grateful. Loved celebrating with many of you last night!",769,602,1,165,1,0,0,33,2602519469994411,MJforTexas,/story.php?story_fbid=2602519469994411&id=1925751504337881
MJ for Texas,,2020-03-04 00:11:50,"I’m not a career politician. I’m one of millions of Texans who have seen the world we’re giving our children and thought “hell no.” We built our campaign from the ground up together & proved we have what it takes to do something incredible in November: WIN Texas. That starts now. The Texas Primary was the first major test of the powerful grassroots campaign we’ve built. Results are still rolling in, but we’re confident that we’re advancing to the runoff, and we are ready to hit the ground running.  Thank you to every candidate who stepped up to champion their ideas and values. This talented and dynamic field showed that folks across Texas have high hopes for our future. I look forward to working with all of you to move the needle on our Texas values. Our momentum is unparalleled in this race. We’ve met thousands of Texans as we’ve traveled tens of thousands of miles across our great state, earned endorsements from many editorial boards and organizations, and raised more than $4 million from 35,000 donors. This runoff will be hard-fought, but I’ve taken on tough fights my whole life. When I was shot down & fought the Taliban, when I took on the Pentagon to open ground combat roles to women, & when I fought for my life during childbirth I prevailed. Together, we WILL win this one. We have to. If we want to take action on climate change, expand and improve health care, defend reproductive rights, end the gun violence epidemic, pass immigration reform and more — we must win this seat. Our focus is the ultimate goal: defeating an 18-year Senator who’s sold out Texans’ health, safety, and security to special interests, political bosses, and corporate donors. Ours is the only campaign that has what it takes, and this runoff is our opportunity to prove it. So let’s celebrate tonight and get right back to work tomorrow, because we’ve got a message for Sen. Cornyn: pack it up, buttercup, because the people of Texas are coming to take back our Senate seat.  Pitch in to help: https://secure.actblue.com/donate/mjh_twitter?refcode=20200302_primarynight&amount=10",600,478,2,119,1,0,0,24,2602026856710339,MJforTexas,/story.php?story_fbid=2602026856710339&id=1925751504337881
MJ for Texas,,2020-03-03 12:13:37,"Already voted? We still need you today! Make an even bigger difference in this election by reaching out to folks across Texas, telling them why you're part of this team, and getting them to the polls!  Our team is talking to voters all day long. Sign up! mobilize.us/mjfortexas/?is_virtual=true",215,187,2,25,0,0,1,21,2601638683415823,MJforTexas,/story.php?story_fbid=2601638683415823&id=1925751504337881
MJ for Texas,,2020-03-03 08:29:37,"Rise & shine, y’all. Polls are OPEN.‬ ‪This is the only campaign with the grit & grassroots power to defeat Sen. Cornyn — but we have to work together every step of the way.‬ ‪So go vote, tell 3 friends, & comment with your I Voted sticker to inspire others! mjfortexas.com/voting‬",187,158,0,29,0,0,0,31,2601495316763493,MJforTexas,/story.php?story_fbid=2601495316763493&id=1925751504337881
MJ for Texas,,2020-03-02 14:18:29,"There's no better way to celebrate Texas Independence Day than by making a plan to vote! Here in Texas we value strength and independence, but we've got a Senator who bows to his political bosses. Together, we can replace him. Make your plan to vote tomorrow ⬇️ mjfortexas.com/voting",344,287,3,54,0,0,0,23,2600900226823002,MJforTexas,/story.php?story_fbid=2600900226823002&id=1925751504337881
MJ for Texas,,2020-03-02 11:12:19,"San Antonio is full of badass women, and I was so thankful to Lt. Col. Martha Spinks for the warm introduction at our San Antonio Meet & Greet. I got to meet some incredible Texans and one young lady who is counting on us to fight for her future!",183,164,1,18,0,0,0,0,2600787780167580,MJforTexas,/story.php?story_fbid=2600787780167580&id=1925751504337881
MJ for Texas,,2020-03-01 21:37:02,"Today I dropped by our phone bank in Plano to thank our #TeamMJ volunteers for their support. With the primary on Tuesday, they’re working hard to get voters to the polls — and I’m so grateful to everyone who is dedicating time, dollars, and support to this campaign.",238,221,0,17,0,0,0,4,2600340470212311,MJforTexas,/story.php?story_fbid=2600340470212311&id=1925751504337881
MJ for Texas,,2020-02-29 21:18:43,"Thank you to the San Antonio Central Labor Council for having me at your Get Out the Vote canvass launch! Y’all are out there every day to protect workers’ rights across this country, and I am honored to be in this fight against greed and corruption with you.",147,134,1,12,0,0,0,2,2599545286958496,MJforTexas,/story.php?story_fbid=2599545286958496&id=1925751504337881
MJ for Texas,,2020-02-29 13:57:03,"‪This is our LAST weekend of action before the primary, so I need your help reaching folks all across Texas before they cast their votes! Texas is the BIGGEST battleground state, and I need you with me to win it.  Sign up to help get out the vote ➡️ mjfortexas.com/events‬",531,449,1,81,0,0,0,42,2599321813647510,MJforTexas,/story.php?story_fbid=2599321813647510&id=1925751504337881
MJ for Texas,,2020-02-29 11:46:11,,8,8,0,0,0,0,0,0,614066382483446,MJforTexas,/events/614066382483446?view=permalink&id=614359465787471
MJ for Texas,,2020-02-28 12:38:01,"Today is the last day to early vote, and we’re just four days until the primary. Here’s your checklist: ✅ Vote early today! ✅ Sign up to volunteer this weekend ✅ Make sure your friends and family vote on Tuesday Find out everything you need to vote here: mjfortexas.com/voting",641,565,4,72,0,0,0,85,2598465563733135,MJforTexas,/story.php?story_fbid=2598465563733135&id=1925751504337881
MJ for Texas,,2020-02-28 12:19:50,,15,15,0,0,0,0,0,2,834896017025382,MJforTexas,/events/834896017025382?view=permalink&id=834899320358385
MJ for Texas,,2020-02-27 22:05:37,"‪Every conversation I have on the trail reminds me why I’m doing this: the son who has been waiting 15 years for disability assistance, the veteran who emigrated from El Salvador and served our country, and the little girls who wanted to know what it’s like to fly a helicopter.‬",360,312,0,48,0,0,0,18,2597926323787059,MJforTexas,/story.php?story_fbid=2597926323787059&id=1925751504337881
MJ for Texas,,2020-02-27 19:42:54,,25,24,0,1,0,0,0,1,196678541432290,MJforTexas,/events/196678541432290?view=permalink&id=196679218098889
MJ for Texas,,2020-02-27 16:23:12,,26,24,1,1,0,0,0,0,864343857350228,MJforTexas,/events/864343857350228?view=permalink&id=864354434015837
MJ for Texas,,2020-02-26 14:59:47,,29,22,1,6,0,0,0,0,227946371697578,MJforTexas,/events/227946371697578?view=permalink&id=227951715030377
MJ for Texas,,2020-02-24 20:37:06,"IBEW gave me important insight about the updates to our electrical grid we'll need in our transition to green energy. Today, I'm proud that IBEW Local 66 is standing with my campaign and endorsing me in this election.",240,212,2,26,0,0,0,10,2595505517362473,MJforTexas,/story.php?story_fbid=2595505517362473&id=1925751504337881
MJ for Texas,,2020-02-24 14:36:09,,22,21,0,1,0,0,0,5,774831883007852,MJforTexas,/events/774831883007852?view=permalink&id=774835666340807
MJ for Texas,,2020-02-24 09:09:47,"‪It was fantastic to see so many fired up people getting out there to talk to voters at a canvass kickoff this weekend with North Austin Blue Action Dems! If you couldn't make it, don’t worry -- we have more events coming up! Sign up to join us: mjfortexas.com/events‬",292,255,1,36,0,0,0,7,2595121277400897,MJforTexas,/story.php?story_fbid=2595121277400897&id=1925751504337881
MJ for Texas,,2020-02-23 15:28:27,,31,27,1,3,0,0,0,1,2266588403441656,MJforTexas,/events/2266588403441656?view=permalink&id=2266595863440910
MJ for Texas,,2020-02-21 10:54:04,"Thanks to the volunteers who participated in our first Virtual Day of Action on Tuesday. With your help, we spread the word about this campaign to thousands of Texans! We're making calls, texting, and knocking doors all weekend. Sign up for a shift ⬇️ mjfortexas.com/events",103,84,1,18,0,0,0,6,2592652137647811,MJforTexas,/story.php?story_fbid=2592652137647811&id=1925751504337881
MJ for Texas,,2020-02-20 17:53:35,"Thank you to the Meyerland Area Democrats Club and Harris County Dems (and some of their littlest members!) for having me to talk about my plans to fight climate change and to clean up Washington. Everywhere I go, I meet folks who are fired up to send some Texas values to Washington!",109,104,0,5,0,0,0,3,2592063664373325,MJforTexas,/story.php?story_fbid=2592063664373325&id=1925751504337881
MJ for Texas,,2020-02-20 16:04:34,Proud to earn the endorsement of The El Paso Times in the Democratic primary on March 3rd!  https://www.elpasotimes.com/story/news/politics/elections/2020/02/19/early-voting-2020-primary-election-el-paso-times-candidate-endorsements/4725037002/,458,398,2,57,1,0,0,39,2592008837712141,MJforTexas,/story.php?story_fbid=2592008837712141&id=1925751504337881
