source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Mark Ronchetti,,2020-03-06 12:18:27,"When I entered this race, I knew I’d have to deal with attacks and criticism, especially on social media .That’s just politics and I have thick skin. What I didn’t expect was how much my daughter was going to be so thoroughly entertained by the whole thing! So much so, that she has accepted the job of periodically selecting “Mean Tweets” to highlight for the campaign. Without further ado, I provide you Episode 2 of “Mean Tweets with Ella”",363,187,111,64,1,0,0,70,140490984140669,MarkRonchettiNM,/story.php?story_fbid=140490984140669&id=107270820796019
Mark Ronchetti,,2020-03-04 17:02:05,"Finished the day off in Grant County last night to a packed house and lots of energy! There’s so much economic potential in Silver City and all of the Grant County area, we just need to get government out of the way. #RonchettiOnTheRoad",486,424,1,59,2,0,0,17,139955234194244,MarkRonchettiNM,/story.php?story_fbid=139955234194244&id=107270820796019
Mark Ronchetti,,2020-03-03 20:09:03,‪Great morning and afternoon in Dona Ana and Luna counties! Love visiting southern New Mexico and hearing about the problems facing the region and talking about the conservative solutions to solve them. Now time for a meeting in Grant County #RonchettiOnTheRoad‬,345,314,1,29,1,0,0,13,139665070889927,MarkRonchettiNM,/story.php?story_fbid=139665070889927&id=107270820796019
Mark Ronchetti,,2020-03-03 16:57:40,Joe Biden putting Beto O’Rourke in charge of his gun policy is alarming. Beto has a position even other Democrats call extreme. He advocates walking into law abiding citizens homes and forcibly removing their guns.  New Mexico gun owners shouldn’t fear their government seizing what they lawfully own. https://nypost.com/2020/03/03/joe-biden-promises-to-put-beto-orourke-in-charge-of-gun-control/,820,252,45,2,108,15,398,93,139631917559909,MarkRonchettiNM,/story.php?story_fbid=139631917559909&id=107270820796019
Mark Ronchetti,,2020-03-03 16:50:33,It’s dumping in Deming #NM.  Some small hail mixing in.  Wet across a good portion of the south.  #nmwx #RonchettiOnTheRoad,146,127,0,5,14,0,0,18,139630260893408,MarkRonchettiNM,/story.php?story_fbid=139630260893408&id=107270820796019
Mark Ronchetti,,2020-02-29 22:29:30,We left the house this afternoon headed for the Lincoln Day dinner in Sierra County. But we never made it.  #RonchettiOnTheRoad,202,165,1,15,5,16,0,11,138673584322409,MarkRonchettiNM,/story.php?story_fbid=138673584322409&id=107270820796019
Mark Ronchetti,,2020-02-29 17:24:18,"‪It's so disappointing to see Senator Heinrich and Senator Udall voted to block protections for infants that survive abortions. As your Senator, I will stand up for everyone's rights, including the smallest and most vulnerable among us.‬ ‪MarkRonchetti.com/join‬",724,453,1,86,3,137,44,74,138622654327502,MarkRonchettiNM,/story.php?story_fbid=138622654327502&id=107270820796019
Mark Ronchetti,,2020-02-27 23:25:21,‪Finished a southern swing in Alamogordo tonight getting the chance to share our campaign with the people of Otero County. Another great night on the road in New Mexico #RonchettiOnTheRoad‬,489,434,0,55,0,0,0,13,138121057710995,MarkRonchettiNM,/story.php?story_fbid=138121057710995&id=107270820796019
Mark Ronchetti,,2020-02-27 19:51:11,‪Wrapping up a long road stretch #RonchettiOnTheRoad ‬,450,403,1,46,0,0,0,13,138063047716796,MarkRonchettiNM,/story.php?story_fbid=138063047716796&id=107270820796019
Mark Ronchetti,,2020-02-27 17:02:00,Passing through Ruidoso on our way to Tularosa when we saw this. I bet you could get the naming rights for this strip mall for a pretty....pretty good price. #BeKindRewind #RonchettiOnTheRoad,255,185,59,6,5,0,0,9,138037117719389,MarkRonchettiNM,/story.php?story_fbid=138037117719389&id=107270820796019
Mark Ronchetti,,2020-02-26 14:11:06,‪Great morning in Hobbs! Hitting on all of the issues important to the delegates and the Lea County community #RonchettiOnTheRoad‬,501,444,1,55,1,0,0,16,137728624416905,MarkRonchettiNM,/story.php?story_fbid=137728624416905&id=107270820796019
Mark Ronchetti,,2020-02-25 13:24:22,"Before my parents let me get my drivers license they made sure I could change a tire. Well, it finally paid off. Interstate blowout on our way to Clovis.  #RonchettiOFFtheRoad #RonchettiOnTheRoad",499,455,6,21,15,2,0,48,137421134447654,MarkRonchettiNM,/story.php?story_fbid=137421134447654&id=107270820796019
Mark Ronchetti,,2020-02-23 20:58:40,We had the honor of attending the 10-82 poker tournament last night in Rio Rancho to benefit injured law enforcement officers.  Great crew raising money for a great cause.,402,359,0,41,2,0,0,2,136889414500826,MarkRonchettiNM,/story.php?story_fbid=136889414500826&id=107270820796019
Mark Ronchetti,,2020-02-23 14:53:58,Writing campaign thank you notes when a little pea sized hail breaks out.  Nice! #nmwx,196,180,4,9,3,0,0,19,136827874506980,MarkRonchettiNM,/story.php?story_fbid=136827874506980&id=107270820796019
Mark Ronchetti,,2020-02-22 22:05:59,The results in Nevada tonight demonstrate two very different visions of America. I believe government's number one job is to protect your liberty and allow you to chase the American dream with your family. Senator Sanders vision empowers the government at the expense of the people. Help me fight back:  https://secure.winred.com/mark-ronchetti-for-new-mexico/donate,721,641,3,74,3,0,0,39,136589304530837,MarkRonchettiNM,/story.php?story_fbid=136589304530837&id=107270820796019
Mark Ronchetti,,2020-02-21 22:28:35,‪Had a great time over breakfast this morning speaking to voters and taking questions. Great exchange of ideas on how to move New Mexico forward.‬,454,401,1,51,1,0,0,17,136278307895270,MarkRonchettiNM,/story.php?story_fbid=136278307895270&id=107270820796019
Mark Ronchetti,,2020-02-21 20:36:13,"DELEGATES: Today is the last day of normal registration for the Pre-Primary Convention. If you are a delegate and want to support our campaign by voting for us at convention, please register at: http://newmexico.gop/2020-pre-primary-convention/! Our campaign is a conservative movement, and we would love to see all delegates at Convention. If you want to join our team you can go to MarkRonchetti.com/join",129,114,0,14,0,0,1,6,136248651231569,MarkRonchettiNM,/story.php?story_fbid=136248651231569&id=107270820796019
Mark Ronchetti,,2020-02-20 22:35:08,"The session in Santa Fe has ended, and shows exactly why we need to elect a Republican to the US Senate. New Mexico is out of balance in Santa Fe & Washington. As government gets bigger our liberty and freedoms get crushed.",884,782,1,90,2,7,2,45,135944094595358,MarkRonchettiNM,/story.php?story_fbid=135944094595358&id=107270820796019
Mark Ronchetti,,2020-02-20 16:23:04,‪When busy people take time out of their day to volunteer for our campaign it’s truly humbling.  Thank You to all of our volunteers today!  Our campaign has been blessed with help all over the state. We cannot do it without your help! #Thankful ‬,389,338,2,49,0,0,0,10,135868844602883,MarkRonchettiNM,/story.php?story_fbid=135868844602883&id=107270820796019
Mark Ronchetti,,2020-02-19 20:48:59,"‪Thanks to our friends in Grants for sitting down today to talk about issues that matter to Cibola County.  One thing was clear from our meeting, business owners need help from Washington not more obstacles as they provide for their families.  #RonchettiOnTheRoad ‬",438,391,0,47,0,0,0,19,135595181296916,MarkRonchettiNM,/story.php?story_fbid=135595181296916&id=107270820796019
Mark Ronchetti,,2020-02-19 14:13:04,‪Enjoyed lunch at Los Hermanitos in Farmington listening and talking to delegates. There is so much economic potential in San Juan County and the four corners region.  #RonchettiOnTheRoad ‬,928,804,6,112,6,0,0,46,135531617969939,MarkRonchettiNM,/story.php?story_fbid=135531617969939&id=107270820796019
Mark Ronchetti,,2020-02-18 17:38:14,"First thing they say about politics, never check your Twitter mentions. Well, I did, & we had some fun with it ⬇️",439,283,75,80,1,0,0,50,135260891330345,MarkRonchettiNM,/story.php?story_fbid=135260891330345&id=107270820796019
Mark Ronchetti,,2020-02-17 22:20:49,"Happy President's Day! It's important to remember our leaders who have shaped and formed America, and continue to lead our country today into a bright future.",226,198,2,26,0,0,0,4,135006744689093,MarkRonchettiNM,/story.php?story_fbid=135006744689093&id=107270820796019
Mark Ronchetti,,2020-02-17 18:56:57,Want to stay up-to-date on our campaign? Follow me on Instagram to catch all of the most recent posts from campaign activities across New Mexico. You can follow at instagram.com/MarkRonchettiNM,125,114,0,11,0,0,0,0,134970331359401,MarkRonchettiNM,/story.php?story_fbid=134970331359401&id=107270820796019
"Mark Ronchetti,Mark Ronchetti,Larry Tobias",Mark Ronchetti,2020-02-17 17:15:52,"ICYMI: Our Campaign announced our Co-Chairs last Friday! If you want to join them in supporting our campaign visit MarkRonchetti.com/join!‪Announcing our Campaign Co-Chairs!Speaker Don Tripp, Chairman Allen Weh, Rep. Vickie Perea, businessman Mark Veteto, former UNM Regent Jack Fortner are all joining our team & representing my campaign. This campaign is bringing people in from across the state & party, join us today!‬ MarkRonchetti.com",190,174,0,16,0,0,0,6,134949841361450,MarkRonchettiNM,/story.php?story_fbid=134949841361450&id=107270820796019
Mark Ronchetti,,2020-02-17 14:17:24,‪Had a great time at the Pro-Life Lobby Day at the Roundhouse. God’s most precious blessing to Krysty and I has been our children.  We firmly and completely support the rights of the unborn and helping young mothers give their children the lives they deserve. Thanks to the New Mexico Alliance for Life for such a great event!‬,1600,1300,4,342,1,0,0,70,134913911365043,MarkRonchettiNM,/story.php?story_fbid=134913911365043&id=107270820796019
Mark Ronchetti,,2020-02-14 22:19:54,‪Valentine’s Day Part 1 & 2 #ValentinesDay ‬,216,130,73,12,1,0,0,19,133960228127078,MarkRonchettiNM,/story.php?story_fbid=133960228127078&id=107270820796019
Mark Ronchetti,,2020-02-14 18:27:38,"‪Announcing our Campaign Co-Chairs!Speaker Don Tripp, Chairman Allen Weh, Rep. Vickie Perea, businessman Mark Veteto, former UNM Regent Jack Fortner are all joining our team & representing my campaign. This campaign is bringing people in from across the state & party, join us today!‬ MarkRonchetti.com",370,324,1,44,0,0,1,16,133918364797931,MarkRonchettiNM,/story.php?story_fbid=133918364797931&id=107270820796019
Mark Ronchetti,,2020-02-12 19:34:50,"In just one month since we announced, the amount of support our campaign has received has been amazing! We certainly have a statewide wave of momentum and it’s all thanks to YOU! We’re creating a conservative movement in this state and our campaign is the campaign that WILL beat Ben Ray! Please be a part of it and join us today! MarkRonchetti.com We NEED your help! Press SHARE to spread the news and keep it going 🔥⬇️",376,315,2,58,1,0,0,25,133257374864030,MarkRonchettiNM,/story.php?story_fbid=133257374864030&id=107270820796019
Mark Ronchetti,,2020-02-12 14:56:26,"A proud, unabashed socialist just won the New Hampshire Democratic Primary. That should make us all stand up and realize that we have to fight for what makes our country great. I will fight for our traditional New Mexico values & I will speak to New Mexicans of all parties to ensure that we don’t lose our way of life.   Help me fight back the far-left by chipping in to my campaign and donating here:",559,484,3,59,0,7,6,38,133205564869211,MarkRonchettiNM,/story.php?story_fbid=133205564869211&id=107270820796019
Mark Ronchetti,,2020-02-11 23:49:29,I was honored to be on the Tuesday Night Show at Citizen Church tonight. Great to see students seeking Gods path for their lives. Loved sharing the couch with Ella!,1200,1000,1,180,2,2,0,28,132899164899851,MarkRonchettiNM,/story.php?story_fbid=132899164899851&id=107270820796019
Mark Ronchetti,,2020-02-11 19:47:52,Some campaign challenges you expect. Others are a surprise. #Lefty,214,178,14,19,2,0,1,15,132850371571397,MarkRonchettiNM,/story.php?story_fbid=132850371571397&id=107270820796019
Mark Ronchetti,,2020-02-10 15:06:47,‪Thanks to Bob Clark for having me on his radio show this morning! We talked about the single biggest reason I got in this race. I discuss in this video.  Going to be in Ruidoso tonight & looking forward to speaking to Republicans & delegates there! #RonchettiOnTheRoad ‬,457,403,0,52,0,0,2,27,132349544954813,MarkRonchettiNM,/story.php?story_fbid=132349544954813&id=107270820796019
Mark Ronchetti,,2020-02-10 10:12:00,"‪The Crime in Albuquerque is unacceptable and one of the main reasons why I’m running. It’s time New Mexico’s leaders stand up for its citizens and fight back, & step one is working with the federal government & Trump administration to clean up our streets.‬ ‪ https://www.abqjournal.com/1418813/abq-take-federal-funds-to-fight-violent-crime.html‬",522,453,2,63,1,2,1,39,132271371629297,MarkRonchettiNM,/story.php?story_fbid=132271371629297&id=107270820796019
