source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Matlock for Kansas,,2020-03-03 14:20:56,We need to have a country and economy that reflects our good neighbor values of hospitality and building bigger tables instead of walls.  I am working on my to-do lists to do my part in making it happen.  Join the movement and Vote Matlock for US Senate in the Republican primary on August 4th. #MatlockforSenate #republicansocialism #kssen #ksleg #sunflowersocialism #todolist #goodneighbor #hospitality #buildabiggertable,13,8,0,5,0,0,0,0,192203998886598,MatlockForSenate,/story.php?story_fbid=192203998886598&id=104868924286773
Matlock for Kansas,,2020-03-02 11:20:10,"After a couple days of rest after hurting my back (#oldman), I took a walk in the beautiful weather to catch a sunset at Kaw Point Park. Stiff but I'm getting back at it! #backproblems #sunset #Kansas  @ Kaw Point Park",13,9,0,4,0,0,0,0,191287695644895,MatlockForSenate,/story.php?story_fbid=191287695644895&id=104868924286773
Matlock for Kansas,,2020-02-26 18:17:14,"I need your help!    The campaign video is going to cost roughly 1500 for shooting, equipment, and editing. Please help contribute to getting the message out about forging a new coalition around taking care of each other and building bigger tables not bigger walls.   The team is graciously working for 35$/hr for their time and equipment.  Sponsor 1hr with a 35$ donation today!            ",5,5,0,0,0,0,0,0,187519076021757,MatlockForSenate,/MatlockForSenate/photos/a.128221968618135/187519076021757
Matlock for Kansas,,2020-02-24 19:48:25,"Amazing time in Wichita. Big thanks to Greg Trechack and Craig Lloyd for arranging several events including a big gathering of young progressives for food, spirited discussion, and fun.  Shout out to Greg's mom for preparing enough delicious food for a small army! Even when we feel stuck about talking with people with different ideas, there are many values and hopes for the future we do share and can build on. Grateful for others like those I met who are working for a better future.  We got this! #wichita #campaignparty #friends #kssen #ksleg #MatlockforSenate #RepublicanSocialism #feast #letsgettowork  @ Wichita, Kansas",14,9,0,5,0,0,0,0,185922006181464,MatlockForSenate,/story.php?story_fbid=185922006181464&id=104868924286773
Matlock for Kansas,,2020-02-18 13:29:54,"Just finished the first shoot of our official campaign video!   Big thanks to @hungrylikethe_wolfe and @gpow33  for being an awesome film crew and helping me refine my message. ... and as always my amazing wife Adrianne for her help in preparing a script, clearing the shooting space, got us breakfast, and was generally a huge source of support and encouragement and good ideas.  First cut should be out early March, final... after that! #MatlockforSenate #republicansocialism #kssen #ksleg #campaignvideo #campaignbae #shootingstartstooearly  @ Kansas City, Kansas",21,18,0,3,0,0,0,0,180466116727053,MatlockForSenate,/story.php?story_fbid=180466116727053&id=104868924286773
Matlock for Kansas,,2020-02-14 12:12:48,"Time to bring some optimism back to Kansas!  Things have been rough with the corporate takeover of agriculture, medical insurance profiteers, an ever more expensive housing stock, and austerity economics that pits us against each other.   This isn't the end of the story.  Kansas is a breadbasket.  As we look to transform our economy towards sustainability and taking care of each other, we can regain the hope and optimism of a state with room for everyone where people can contribute to creating a bounty that enriches our lives and our communities. We can build this Kansas together.  Let's get to work!   PS: let's respect, learn from, and stand with indigenous people this time!          ",6,4,0,2,0,0,0,0,177102380396760,MatlockForSenate,/MatlockForSenate/photos/a.128221968618135/177102380396760
Matlock for Kansas,,2020-02-12 19:13:58,"Rural communities and small towns deserve quality healthcare, education, and housing, as well as access to healthy food.  Onaga is a town of just a few hundred with a new locally owned grocery store and a new health clinic. It was great to see a small town with some investment!  Also had the pleasure of talking to a 5th generation Kansas farmer and visiting the old family barn and picking up a few history lessons while talking about his vision for agricultural policy after the era of big corporate ag. #kssen #ksleg #kansas #agriculture #rural #smalltown #MatlockforSenate  @ Onaga, Kansas",11,11,0,0,0,0,0,0,175429317230733,MatlockForSenate,/story.php?story_fbid=175429317230733&id=104868924286773
Matlock for Kansas,,2020-02-08 19:09:48,"Was amazing to meet with @marcipenner and @wendeelrowe to talk learn more about rural Kansas.  These are some amazing ladies and if you don't get the chance to meet them, check out one of their books on KS! @ Kansas Sampler Foundation",8,7,0,1,0,0,0,1,171831470923851,MatlockForSenate,/story.php?story_fbid=171831470923851&id=104868924286773
Matlock for Kansas,,2020-02-06 19:14:51,It's a small world after all! I was interviewed about my run for US Senate on KMAN1350 by Brandon Peoples who I was in the same 4th grade class with in Nampa Idaho! It was great catching up and chatting about the campaign.  You can read the writeup here: https://1350kman.com/self-dubbed-republican-socialist-running-for-u-s-senate-in-kansas/ Listen to the interview here: https://1350kman.com/in-focus-2-6-20/ #smallworld #kssen #ksleg #MatlockforSenate #RepublicanSocialism #InFocus #KMAN1350 #classpicture  @ Kman News/Talk 1350,17,11,0,6,0,0,0,0,169982217775443,MatlockForSenate,/story.php?story_fbid=169982217775443&id=104868924286773
Matlock for Kansas,,2020-02-02 22:17:51,"CHIEFS WIN!!!  @ Kansas City, Kansas",17,14,1,2,0,0,0,0,166626238111041,MatlockForSenate,/story.php?story_fbid=166626238111041&id=104868924286773
