source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Mitch McConnell,,2020-03-05 10:00:14,Kentucky media blasts Amy McGrath for deceiving voters with MSNBC ad.,174,120,26,2,11,1,14,138,2896976670324824,McConnellForSenate,/story.php?story_fbid=2896976670324824&id=259130650776119
Mitch McConnell,,2020-03-03 10:35:53,"""After seeing the TV ads that highlight the two faces of candidate McGrath, I’m not so sure just who she really is and where her real loyalties may lie.""",371,225,62,4,22,10,48,357,2892702930752198,McConnellForSenate,/story.php?story_fbid=2892702930752198&id=259130650776119
Mitch McConnell,,2020-02-25 18:35:08,"I am PROUD to lead the fight for the pro-life movement, which is why I put two critical pro-life bills on the floor of the U.S. Senate today. If you stand for life, I need your help to defend our GOP Senate Majority right now.",2100,1700,43,308,2,3,49,430,2878551372167354,McConnellForSenate,/story.php?story_fbid=2878551372167354&id=259130650776119
Mitch McConnell,,2020-02-15 12:52:46,"""His influence, his savvy, his clout, his political capital, his leadership is what brought this win to the commonwealth of Kentucky and our community.""",1200,1000,56,151,3,4,30,457,2856615221027636,McConnellForSenate,/story.php?story_fbid=2856615221027636&id=259130650776119
Mitch McConnell,,2020-02-12 20:24:23,"“Without question, as the president is the first to recognize, all of this has been made possible because of McConnell’s mastery of the Senate.”",1500,1200,35,250,4,9,73,549,2850457121643446,McConnellForSenate,/story.php?story_fbid=2850457121643446&id=259130650776119
Mitch McConnell,,2020-02-11 11:36:49,My motto for the year is ‘leave no vacancy behind.',3000,2300,24,555,2,5,80,532,2847409411948217,McConnellForSenate,/story.php?story_fbid=2847409411948217&id=259130650776119
Mitch McConnell,,2020-02-10 11:46:29,"This rushed and rigged process was not a serious attempt to achieve the first presidential removal in American history. From day one, it was just another political attack on President Trump.",2500,2000,62,372,2,9,75,618,2845286272160531,McConnellForSenate,/story.php?story_fbid=2845286272160531&id=259130650776119
Mitch McConnell,,2020-02-05 18:52:37,We stopped impeachment. But our work is not finished. Donate and help us win! DONATE: https://secure.winred.com/mitch-mcconnell/acquittal-impeachment-fb?utm_source=facebook&utm_medium=video&utm_campaign=stopped%20impeachment&utm_content=organic,1000,692,133,160,0,5,66,858,2834936053195553,McConnellForSenate,/story.php?story_fbid=2834936053195553&id=259130650776119
Mitch McConnell,,2020-02-04 11:04:28,He won and they lost.,4400,3400,55,804,8,15,100,1044,2832131316809360,McConnellForSenate,/story.php?story_fbid=2832131316809360&id=259130650776119
Mitch McConnell,,2020-01-28 09:19:06,"""Sneering hashtags, “Saturday Night Live” skits and accusations of coverup only underscore what’s really bothering them: that Mr. McConnell somehow always seems to outfox them.""",1300,950,181,188,7,6,67,1780,2817324001623425,McConnellForSenate,/story.php?story_fbid=2817324001623425&id=259130650776119
Mitch McConnell,,2020-01-22 13:25:27,"“McConnell is a master at what he does. When all is said and done, he’ll be remembered as one of the most effective Senate majority leaders in the modern era.”",3400,2400,359,496,11,12,102,2024,2805471619475330,McConnellForSenate,/story.php?story_fbid=2805471619475330&id=259130650776119
Mitch McConnell,,2020-01-08 14:47:02,Speaker Pelosi wanted leverage -- leverage -- to reach in to the Senate and dictate our trial proceedings to us. Now I’ve made clear from the beginning that no such leverage exists. It is nonexistent.  And yesterday we made clear it will never exist.,3100,2300,117,489,7,11,211,2550,2775339305821895,McConnellForSenate,/story.php?story_fbid=2775339305821895&id=259130650776119
Mitch McConnell,,2020-01-07 11:47:51,The Speaker of the House is not going to handwrite new rules for the Senate.  It’s not going to happen.,3600,2700,133,579,10,9,115,1331,2772818112740681,McConnellForSenate,/story.php?story_fbid=2772818112740681&id=259130650776119
Mitch McConnell,,2019-12-31 20:17:52,"Tonight is not only New Year’s Eve, but it is also the last chance we have to reach our end-of-year goal! Can you step up before 11:59 PM tonight and help us close out the year strong?",887,518,229,75,1,4,60,821,2757872594235233,McConnellForSenate,/story.php?story_fbid=2757872594235233&id=259130650776119
Mitch McConnell,,2019-12-16 15:30:16,"‪“It’s a huge win for longtime advocates of the cause...It’s also a significant political victory for Senate Majority Leader Mitch McConnell, R-Ky., who had put his influence behind the effort.”‬",2700,2200,138,251,14,5,59,1258,2724450287577464,McConnellForSenate,/story.php?story_fbid=2724450287577464&id=259130650776119
Mitch McConnell,,2019-12-13 16:14:14,It’s official. ✍️ Thank you to Allison Ball and Daniel Cameron for serving as co-signers as Mitch filed for reelection today.,2300,1600,82,273,10,18,273,1310,2717999814889178,McConnellForSenate,/story.php?story_fbid=2717999814889178&id=259130650776119
Mitch McConnell,,2019-12-04 10:04:57,"I’m proud to announce the release of my memoir, “The Long Game” in paperback! This edition includes a new foreword by President Donald Trump and an afterword detailing my decision to not let President Obama fill Justice Scalia’s vacancy on the Supreme Court. Click below to order yours today!",575,281,210,39,1,3,41,739,2696999453655881,McConnellForSenate,/story.php?story_fbid=2696999453655881&id=259130650776119
"Mitch McConnell,Mitch McConnell",Mitch McConnell,2019-11-24 08:07:49,"This wrapping paper is perfect for everyone! You can surprise your conservative friends and family, or even play a joke on the liberals in your life!Don’t miss out on our limited-edition wrapping paper. We only ordered a limited supply!",424,165,165,35,3,5,51,781,2674229905932836,McConnellForSenate,/story.php?story_fbid=2674229905932836&id=259130650776119
Mitch McConnell,,2019-11-15 09:33:14,"“The effort to transform the courts is one that will benefit the American people far into the future. It is a legacy of which I am immensely proud and one for which Mitch McConnell deserves great credit,” Trump writes.",762,492,115,90,3,6,56,647,2654019594620534,McConnellForSenate,/story.php?story_fbid=2654019594620534&id=259130650776119
Mitch McConnell,,2019-11-06 16:42:28,"""There's nobody that's done a better job ever than Senator Mitch McConnell."" - President Donald J. Trump",3800,1800,1200,374,10,26,419,8840,2634799703209190,McConnellForSenate,/story.php?story_fbid=2634799703209190&id=259130650776119
Mitch McConnell,,2019-11-04 20:59:37,Honored to join President Donald J. Trump at #TrumpRallyLexington tonight. Find your poll & vote Republican tomorrow!  🗳-> https://vote.gop,3000,2300,237,421,9,8,73,1137,2631006596921834,McConnellForSenate,/story.php?story_fbid=2631006596921834&id=259130650776119
Mitch McConnell,,2019-11-04 12:01:53,Nancy Pelosi and Adam Schiff's impeachment inquiry against President Donald Trump is a kangaroo court. Click below to get our limited edition t-shirt and spread the word!,390,220,77,30,3,5,55,528,2630214320334395,McConnellForSenate,/story.php?story_fbid=2630214320334395&id=259130650776119
Mitch McConnell,,2019-09-30 21:03:47,We have just 3 hours left to break our fundraising record. All donations are 4X MATCHED before midnight. Donate right now!,823,309,316,40,3,6,149,2144,2558629414159553,McConnellForSenate,/story.php?story_fbid=2558629414159553&id=259130650776119
Mitch McConnell,,2019-09-29 17:48:12,"USMCA would create around $68 billion in wealth and 176,000 jobs. It’s time for Nancy Pelosi and the House Democrats to stop blocking this significant victory for the American people.",1100,738,125,38,14,29,193,798,2556567497699078,McConnellForSenate,/story.php?story_fbid=2556567497699078&id=259130650776119
Mitch McConnell,,2019-09-17 20:57:41,I’m not going to let the left-wing mob and their allies in the liberal media try to take down Justice Kavanaugh again. Get your bumper sticker and show your support!,783,436,212,54,2,9,70,1398,2533772683311893,McConnellForSenate,/story.php?story_fbid=2533772683311893&id=259130650776119
Mitch McConnell,,2019-09-11 08:44:26,Never Forget.,626,512,10,50,1,48,5,513,2521711297851365,McConnellForSenate,/story.php?story_fbid=2521711297851365&id=259130650776119
Mitch McConnell,,2019-09-05 15:11:44,"“They are personally offended at seeing their images being used in a political attack ad that does not reflect their personal feelings or beliefs,” their attorney, Christopher Thacker, wrote. “It is simply wrong for the McGrath Campaign to use individual miners suffering from black lung disease as political pawns without their permission or consent.”",434,298,35,7,11,33,50,574,2510714592284369,McConnellForSenate,/story.php?story_fbid=2510714592284369&id=259130650776119
"Mitch McConnell,Friends of Coal-Kentucky",Friends of Coal-Kentucky,2019-08-23 16:43:11,"Thank you Friends of Coal-Kentucky!""Senator McConnell has spent his career defending coal miners, their families, and retirees. As Senate Majority Leader, he stands up for rural America, making Kentucky’s priorities national priorities. Without him, Kentucky would be left with San Francisco’s Nancy Pelosi, who wants to close one-third of America’s coal plants and put around 23,000 Americans out of work. To fight unprecedented—and probably unconstitutional—federal overreach by the Obama administration, our senator mobilized the nation’s governors and joined the fight against its anti-coal policies in court. Anyone who attacks Senator McConnell’s accomplishments for families and coal communities isn’t paying attention. The vast majority of Kentuckians are grateful to Senator McConnell for his steadfast commitment to helping families get back on their feet after the War on Coal."" - Tyler White, Kentucky Coal Association - President",1100,745,114,77,8,9,189,1153,2487010071321488,McConnellForSenate,/story.php?story_fbid=2487010071321488&id=259130650776119
Mitch McConnell,,2019-08-21 09:22:07,"The Hong Kong crisis is something the world has seen time and again: authoritarian rulers seeking to repress the innate human desire for freedom, self-expression and self-government. As Beijing grapples with growing domestic unrest and slowing economic growth, it should pause before threatening a key engine of its growth and provoking the international community. Beijing can step back from chaos to pursue freer and fairer trade and greater respect for sovereignty and human rights. These basic steps can ensure a more prosperous and peaceful future for all of our citizens.",521,432,30,45,4,0,10,545,2482662131756282,McConnellForSenate,/story.php?story_fbid=2482662131756282&id=259130650776119
Mitch McConnell,,2019-08-12 09:05:00,Get your official Back-to-Back Supreme Court Champs T-Shirt! Your donation will help President Trump and Mitch keep confirming judges at a record-breaking pace!,401,181,87,29,0,3,101,526,2465268603495635,McConnellForSenate,/story.php?story_fbid=2465268603495635&id=259130650776119
Mitch McConnell,,2019-08-01 22:46:06,‪EXPOSED: An ultra-liberal billionaire funneled $1.6 million to a so-called “Republican” group to attack President Trump and Mitch McConnell.,1000,329,367,40,47,23,285,2381,2448377258518103,McConnellForSenate,/story.php?story_fbid=2448377258518103&id=259130650776119
Mitch McConnell,,2019-07-26 18:23:06,“Senate Democrats asked for unanimous consent to these bills knowing they would not receive it and pretended to be shocked when they didn’t get it. The media then gobbled up a narrative...”,1000,250,672,22,7,11,86,3898,2437370819618747,McConnellForSenate,/story.php?story_fbid=2437370819618747&id=259130650776119
Mitch McConnell,,2019-07-25 10:12:07,SPOTTED: Amy McGrath Fundraising With Sponsor Of Virginia’s Infanticide Bill,1300,407,92,27,54,148,572,1713,2434919426530553,McConnellForSenate,/story.php?story_fbid=2434919426530553&id=259130650776119
Mitch McConnell,,2019-07-24 13:22:09,The House Democrats' Mueller Hearing is an embarrassing circus. Can you imagine if they controlled the Senate too?  Donate & Protect the Republican Senate. ⤵️⤵️⤵️,991,463,373,41,5,11,98,2002,2433390590016770,McConnellForSenate,/story.php?story_fbid=2433390590016770&id=259130650776119
Mitch McConnell,,2019-07-19 09:56:10,"""We are located in rural Kentucky, and if had not been for McConnell and his tireless efforts this day would never have come."" - Cris Fuentes, CEO of North American Stainless",784,564,144,52,1,3,20,792,2423881954300967,McConnellForSenate,/story.php?story_fbid=2423881954300967&id=259130650776119
Mitch McConnell,,2019-07-12 21:27:00,"“The video implies that McConnell never responded, but it appears the letters were sent Tuesday, the same day that McGrath announced her bid for the Democratic nomination to challenge him.“",349,197,101,13,10,3,25,614,2411965072159322,McConnellForSenate,/story.php?story_fbid=2411965072159322&id=259130650776119
Mitch McConnell,,2019-07-10 20:34:03,McGrath flip-flops.,464,149,183,3,16,13,100,649,2408248829197613,McConnellForSenate,/story.php?story_fbid=2408248829197613&id=259130650776119
