source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
McKennon For US Senate 2020,,2020-03-04 06:00:01,"Video originally recorded on March 1, 2020",8,8,0,0,0,0,0,0,2253503784686079,McKennon2020,/story.php?story_fbid=2253503784686079&id=521934044509737
McKennon For US Senate 2020,,2020-02-28 11:54:27,"Kerry D. McKennon @McKennon2020 Your vote belongs to you not a party. So when individuals tell you the voting for the actual person of your choice causes someone else to win it is simply untrue, because that assumption tells individuals that their vote is owned by a party and is not theirs to give freely.",16,14,0,2,0,0,0,0,2244922352210889,McKennon2020,/story.php?story_fbid=2244922352210889&id=521934044509737
McKennon For US Senate 2020,,2020-02-21 15:57:22,,21,17,0,4,0,0,0,1,2231856470184144,McKennon2020,/story.php?story_fbid=2231856470184144&id=521934044509737
McKennon For US Senate 2020,,2020-02-21 11:46:43,"'I am positive that Libertarians not only offer another choice they offered the best choice.'  ---Kerry McKennon, Libertarian for US Senate. #OpenKerry  #McKennon2020  #GoldRush",14,12,0,2,0,0,0,0,2231468326889625,McKennon2020,/story.php?story_fbid=2231468326889625&id=521934044509737
McKennon For US Senate 2020,,2020-02-14 20:18:58,"Being positive and putting forth hope for Liberty is key to winning elections, leadership and governing. The McKennon 2020 campaign is going to be positive in this historic race. 1. Positive that the War on Drugs must end. 2. Positive that Pro-Peace is a must. 3. Positive that stewardship begins with the individual. 4. Positive that individual liberty for all is key to happiness and we must work to achieve Liberty NOW. 5. Positive that voting Gold is never a waste ever. 6. Positive that choosing the less of two evils is still evil. 7. Positive that taxation is theft. 8. Positive that the debt needs to be dealt with by cutting spending. 9. Positive that working together we can win elections. 10. Positive that the right to self defense by any means can not be infringed. 11. Positive that voting for hope over fear will never be wrong. 12. Positive that diversity in our party grows our party. 13. Positive that less government means more freedom. #VoteGold #OpenKerry #McKennon2020",21,19,0,2,0,0,0,0,2218833484819776,McKennon2020,/story.php?story_fbid=2218833484819776&id=521934044509737
McKennon For US Senate 2020,,2020-02-11 14:12:34,,24,20,0,3,1,0,0,5,2212382065464918,McKennon2020,/story.php?story_fbid=2212382065464918&id=521934044509737
McKennon For US Senate 2020,,2020-02-10 18:14:55,,12,11,0,1,0,0,0,0,2210739135629211,McKennon2020,/story.php?story_fbid=2210739135629211&id=521934044509737
McKennon For US Senate 2020,,2020-01-22 00:49:12,"We have a fundraising goal of $350 for this week. On February 11th, we will be in Amarillo for a candidate forum. These funds will go to much needed printed materials and a table/booth at the state convention.  To donate go to: www.mckennon2020.com",12,9,0,3,0,0,0,1,2174019349301190,McKennon2020,/story.php?story_fbid=2174019349301190&id=521934044509737
McKennon For US Senate 2020,,2020-01-04 18:04:34,"'Be Pro-Peace. I do not understand that anyone except those making a profit off of war could ever be for war.'  - Kerry D. McKennon, Libertarian Senate Candidate",27,18,0,9,0,0,0,1,2140346029335189,McKennon2020,/story.php?story_fbid=2140346029335189&id=521934044509737
McKennon For US Senate 2020,,2020-01-03 16:01:26,McKennon2020 is pro-peace.  Working to resolve conflicts without bombs is key to creating good relationships with other nations. Ending wars and military engagements should be a goal. #VoteGold #McKennon2020,17,15,0,2,0,0,0,0,2138149952888130,McKennon2020,/story.php?story_fbid=2138149952888130&id=521934044509737
