source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
"John Mues for Montana,John Mues",John Mues,2020-03-05 20:18:21,"Great to see my Op-Ed, “How to Fix Capitalism”, published in the Helena Independent Record today.  Your thoughts appreciated. #mtpol",20,14,0,6,0,0,0,0,651638002263830,MuesforMontana,/story.php?story_fbid=651638002263830&id=445262262901406
"John Mues for Montana,John Mues",John Mues,2020-03-05 14:03:45,Democratic US Senate debate schedule: 07 Apr 2020 - Billings 15 Apr 2020 - Missoula 24 Apr 2020 - Kalispell Let’s make sure these scheduled debates happen.  #mtpol,11,7,1,3,0,0,0,1,651487588945538,MuesforMontana,/story.php?story_fbid=651487588945538&id=445262262901406
"John Mues for Montana,John Mues",John Mues,2020-03-04 17:07:52,"There are several Democratic US Senate debates scheduled between now and the 02 June primary election. I will be there for each, and looking forward to it. #mtpol #mtsen #mtnews",9,8,0,1,0,0,0,0,650843822343248,MuesforMontana,/story.php?story_fbid=650843822343248&id=445262262901406
John Mues for Montana,,2020-03-04 14:16:08,"Steve Daines taking credit for LWCF funding is election year politics at its worst. Daines fought funding for three years and backed efforts to block public access to our lands for his corporate contributors. We need a Senator who consistently supports protecting OUR land and water, not flip flopping for an election soundbite. https://thehill.com/policy/energy-environment/485780-trump-calls-for-full-funding-for-conservation-program-after",42,26,3,0,2,1,10,5,650772969017000,MuesforMontana,/story.php?story_fbid=650772969017000&id=445262262901406
"John Mues for Montana,Navy Athletics",Navy Athletics,2020-02-28 09:08:59,"This is one of the reasons why I decided to attend the U.S. Naval Academy:  the Brigade Boxing Championship, which I saw for the first time during my recruiting trip to Annapolis.  Unparalleled esprit d’corps, grit, and passion for excellence.   Looking forward to the battle ahead against Senator Daines. #mtpolYou can watch the Brigade Boxing Championship live from Alumni Hall starting at 7 PM here: https://watchstadium.com/live/navy-boxing-brigade-championship/",8,8,0,0,0,0,0,0,650747962352834,MuesforMontana,/story.php?story_fbid=650747962352834&id=445262262901406
"John Mues for Montana,John Mues",John Mues,2020-03-04 03:04:27,"2nd half of my Mansfield-Metcalf speech, for your review.  #mtpol",13,11,0,2,0,0,0,0,650420429052254,MuesforMontana,/story.php?story_fbid=650420429052254&id=445262262901406
"John Mues for Montana,John Mues",John Mues,2020-03-02 22:31:09,"Wonderful to hang out with so many inspiring Montana women leaders and activists at the Carol’s List event morning following Mansfield-Metcalf dinner in Helena. Just a few:  Terri Smith, Carol Williams, Barbara Bessette, Jasmine Taylor, Sue Orr, Shani Henry & Rebecca Squires of Moms Demand Action, JoBeth Blair, Beth Kampshror, Sam Harrington, and even a former teacher of mine, Pat Kemp. When women rise, communities and nations rise. #mtpol",36,35,0,1,0,0,0,1,649651959129101,MuesforMontana,/story.php?story_fbid=649651959129101&id=445262262901406
"John Mues for Montana,John Mues",John Mues,2020-03-01 21:27:24,"Quick stop at our Deer Lodge Valley place after an amazing Mansfield-Metcalf Dinner weekend in Helena (pics & video of speech to come).  Clark Fork River with Flint Creek Mountains in background, with Pintler Mountains distant, left.  #mtpol",21,19,0,2,0,0,0,1,648996629194634,MuesforMontana,/story.php?story_fbid=648996629194634&id=445262262901406
"John Mues for Montana,John Mues",John Mues,2020-02-26 13:28:26,"I do not know the full backstory. But I have a decent you-know-what detector. #SteveDaines had a dedicated Forest Service employee in Montana suspended, career ruined, for defending access to public lands. Now, after Pat Bellinghausen, of #BillingsGazette, led the harshest critique of Daines, including describing him as “more sycophant than senator” and, most recently, taking him to the woodshed for failing to show independence from the Executive Branch during the impeachment trial, Pat Bellinghausen has been fired. If there is a solid explanation, please share (I do not want to be conspiratorial).  However, I have yet to find one.  I do not regard “reorganization” as an adequate explanation, given the context. What we do know is that Daines is not an ethical man, has a history of vindictive retribution, just like the president, and we are in the middle of an election year of which Daines is a major part. The truest tell will be if the Billings Gazette ceases its real criticism of Daines moving forward.  Until then, we need better answers. #mtpol #mtsen #mtnews #stevebullock #jontester #nytimes #wapo",30,26,0,2,0,0,2,4,646157086145255,MuesforMontana,/story.php?story_fbid=646157086145255&id=445262262901406
"John Mues for Montana,John Mues",John Mues,2020-02-26 12:23:26,"#SteveDaines deflecting attention from his failures. Is Anti-Life per savage cuts to the vulnerable (& tax breaks for billionaires), then posts this drivel. Added $Trillions to debt, self-describes as budget hawk. Weak on borders, supports separating kids from their moms. #mtpol",29,25,0,3,0,0,1,2,646127776148186,MuesforMontana,/story.php?story_fbid=646127776148186&id=445262262901406
