source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Nancy Harris for US Senate,,2020-03-05 15:56:31,,14,10,0,3,1,0,0,1,1253567221504039,NancyHarrisforSenate,/story.php?story_fbid=1253567221504039&id=958504471010317
Nancy Harris for US Senate,,2020-03-03 11:09:11,,29,23,0,5,1,0,0,3,1251850381675723,NancyHarrisforSenate,/story.php?story_fbid=1251850381675723&id=958504471010317
"Nancy Harris for US Senate,Nancy Harris",Nancy Harris,2020-03-02 19:31:47,"When women are elements of change the common rebuttal is, more times than not, to attack her physically. Does nothing change? I am nauseated to say the least.  Thoroughly ashamed and embarrassed for this great young woman.",60,11,0,0,9,3,37,1,1251344685059626,NancyHarrisforSenate,/story.php?story_fbid=1251344685059626&id=958504471010317
"Nancy Harris for US Senate,Nancy Harris",Nancy Harris,2020-02-28 15:41:14,,100,71,0,28,1,0,0,3,1248937635300331,NancyHarrisforSenate,/story.php?story_fbid=1248937635300331&id=958504471010317
"Nancy Harris for US Senate,David Manson,Idaho Democratic Discussion","David Manson,Idaho Democratic Discussion",2020-02-28 10:27:28,"More liberal speak please!“Traditional liberalism traces its intellectual roots to John Stuart Mill, John Locke, the Social Gospel movement and the New Deal. This liberalism believes in gaining power the traditional way: building coalitions, working within the constitutional system and crafting the sort of compromises you need in a complex, pluralistic society. This is why liberals like Hubert Humphrey, Ted Kennedy and Elizabeth Warren were and are such effective senators. They worked within the system, negotiated and practiced the art of politics... Liberalism celebrates certain values: reasonableness, conversation, compassion, tolerance, intellectual humility and optimism. Liberalism is horrified by cruelty. (It eschews rather than) embodies the populist values, which are different: rage, bitter and relentless polarization, a demand for ideological purity among your friends and incessant hatred for your supposed foes. A liberal leader confronts new facts and changes his or her mind. A populist leader cannot because the omniscience of the charismatic headman can never be doubted. A liberal sees shades of gray. For a populist reality is white or black, friend or enemy. Facts that don’t fit the dogma are ignored. A liberal sees inequality and tries to reduce it. A populist sees remorseless class war and believes in concentrated power to crush the enemy”",7,7,0,0,0,0,0,0,1248757465318348,NancyHarrisforSenate,/story.php?story_fbid=1248757465318348&id=958504471010317
Nancy Harris for US Senate,,2020-02-19 10:42:14,,10,7,1,2,0,0,0,2,1241773222683439,NancyHarrisforSenate,/story.php?story_fbid=1241773222683439&id=958504471010317
"Nancy Harris for US Senate,Fran Schindler",Fran Schindler,2020-02-13 16:49:40,"I have been arrested with Fran in DC saving the ACA and DACA and protesting the Trump Tax Scam.  She is now eye witness to the tragedy in Brownsville Texas.  I share this with you because I will not stop fighting for people.  I will call out wrong, I will bare witness until this nightmare ends.  Thank you Fran Schindler for being there.  I promise to join you soon.  Our back are old, our shoulders rounding, but we can bare the pain for the world to see.By the time I got “home from school“ yesterday, I was too exhausted (physically and emotionally)to post. Yesterday 2/12 , I consider my first total immersion into the “subversive  act of Witnessing. We got up early and caught a ride to Brownsville airport. We were dressed in “layers as it was cold, cloudy, and windy. We were there to Witness another cruel, inhumane act perpetrated by DJT and his corrupt cronies. We were instructed to be quiet spread out and try to stay out of sight. We found an area behind a building, we stood against the wall and inched our  way toward the fence where we had a good view of what has started being called “The Boxcars in the Sky” A Charter Airline, I couldn’t see the name, ready for boarding. I could see men Shaking out shackles laying them out ready to be put on. There were about 3 buses parked partially out of sight  Since I am short I was able to get up close to the fence and those behind could see over my head I pressed my eye close to an opening in the fence and watched  Very soon they came!!!! Men, Shuffling to the bottom of the steps. I saw them being patted down and then they climbed the steps to board the plane. I started to count #1-2-3-4-5 Once I started to count I couldn’t stop. One by one I witnessed each one with a number. They kept coming my brothers then my sisters  The longer I counted,  the tears began to cloud my vision and I had to blink them away. In my mind I said I must SEE each one. These people who only wanted a chance at a better life. They are brothers,fathers,husbands,friends someone cares about them someone is losing them. Tom asked did I need a break— NO NO- I must count! I must mark them ! they must be seen by someone.  This cruelty must be noted.  People must see  people must know.!! 10-20-30* ******121 shackled and shuffling up the steps. Then a break.  The men on the ground are shaking out more shackles.  Then it starts again WOMEN coming from another bus Cuffed, Shackled slowly maintaining their balance one throwing her  hair   Back away from her face—122 -123-124-125-126-127 The men on the ground start cleaning up The flight crew walk out to the plane They climb the stairs the door closes  The engines start  Now the plane is in taxiing for take off  Another woman and I stand by the fence as the plane slowly passes us We start waving  perhaps someone is looking out the window and sees us Perhaps they will know someone witnessed this new Holocaust Now She and I are holding each other and crying #Free Them #Do Not Look Away",33,17,1,1,3,10,1,1,1237215556472539,NancyHarrisforSenate,/story.php?story_fbid=1237215556472539&id=958504471010317
Nancy Harris for US Senate,,2020-02-13 15:30:21,"Be cautious of investing your heart with a candidate.  Think with your head, and choose the Democrat selected to run.  We will lose our democracy if we continue killing each other off with the circular firing squad.",35,32,1,2,0,0,0,3,1237176499809778,NancyHarrisforSenate,/story.php?story_fbid=1237176499809778&id=958504471010317
Nancy Harris for US Senate,,2020-02-13 10:50:41,"Wednesday, I received medical advice that I needed to slow down and take better care of myself. Therefore, it is with regret that I am announcing the end of the Nancy Harris for Senate Campaign. I am grateful for all the people who have supported me, donated to my campaign, and became my friend in the past year.  I will continue to work for those causes I care most: Women’s Rights,Safe and Legal Abortion, Medicare for all, and the Green New Deal. And, most importantly, I will continue to support Idaho Democrats for office.",194,61,1,42,4,86,0,72,1237019853158776,NancyHarrisforSenate,/story.php?story_fbid=1237019853158776&id=958504471010317
"Nancy Harris for US Senate,Conservation Voters for Idaho",Conservation Voters for Idaho,2020-02-10 17:44:33,"Sometimes States issues are Federal issues.  All across the country, billionaires are buying up land and locking citizens from public lands. This is a very important bill! Plan to show up and testify or write letters to support its passage or we will be locked out of our public lands forever!What a difference a week makes.",23,19,0,1,3,0,0,0,1235576763303085,NancyHarrisforSenate,/story.php?story_fbid=1235576763303085&id=958504471010317
"Nancy Harris for US Senate,Nancy Harris",Nancy Harris,2020-02-09 19:29:41,"Another full afternoon canvassing,  this time with Coty Ternes, a first timer. We hit about 40 doors, Coty knocking for Bernie and me for petition signatures.  Great day.",10,9,0,1,0,0,0,0,1233935906800504,NancyHarrisforSenate,/story.php?story_fbid=1233935906800504&id=958504471010317
