source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Paula Jean Swearengin,,2020-03-02 20:37:53,A dose of cuteness & why I fight! Benji says... #SwearInGrandmaSwearengin,83,51,0,32,0,0,0,4,1494361117408553,PaulaJean2020,/story.php?story_fbid=1494361117408553&id=785936231584382
Paula Jean Swearengin,,2020-03-02 15:27:22,"I am sick of the typical playbook argument from the establishment, ""He/she can't win."" The candidates that we get behind win!",142,126,0,16,0,0,0,7,1494197577424907,PaulaJean2020,/story.php?story_fbid=1494197577424907&id=785936231584382
Paula Jean Swearengin,,2020-02-29 20:50:13,"We started this day in a real fundraising jam, and I am just amazed at how many of you have stepped up to help us get to our goal. Hitting these numbers gives us the resources to reach the people of West Virginia, and now we are only around $3,600 from our goal! We can do this if we all pull together! I don't have the words to express how thankful I am for you all! It's truly a team! http://bit.ly/PJS_FB #UniteOurFight #NotMeUs #TeamPaulaJean",92,75,0,17,0,0,0,3,1492776247567040,PaulaJean2020,/story.php?story_fbid=1492776247567040&id=785936231584382
Paula Jean Swearengin,,2020-02-29 13:35:23,Join our 100% people-funded movement to flip this seat and give power back to the people of West Virginia and the entire country. To learn more about Paula Jean visit: https://paulajean.com,157,119,0,38,0,0,0,8,1492533530924645,PaulaJean2020,/story.php?story_fbid=1492533530924645&id=785936231584382
Paula Jean Swearengin,,2020-02-28 13:47:20,"We need all hands on deck if we're going to flip this Senate seat in November! #TeamPaulaJean is fighting for everyday people and right now we're short this month. Can you help us catch up with $1, $3 or even $5 before midnight Saturday? Thank you! http://bit.ly/PJS_Feb #UniteOurFight #WestVirgina",102,86,0,16,0,0,0,3,1491710081006990,PaulaJean2020,/story.php?story_fbid=1491710081006990&id=785936231584382
Paula Jean Swearengin,,2020-02-28 10:02:46,"Hello, Kentucky friends! This candidate is the real deal! Please spread the word! #DitchMitch2020 #PeopleFunded",19,14,0,5,0,0,0,0,1491562607688404,PaulaJean2020,/story.php?story_fbid=1491562607688404&id=785936231584382
"Paula Jean Swearengin,90 for 90",90 for 90,2020-02-27 18:39:06,"Thank you 90 for 90 for your support!!Welcome Paula Jean Swearengin, Candidate U.S. Senate West Virginia, to 90 for 90. https://www.90for90.org/2020-candidates-west-virginia",168,128,0,40,0,0,0,6,1491090457735619,PaulaJean2020,/story.php?story_fbid=1491090457735619&id=785936231584382
Paula Jean Swearengin,,2020-02-26 21:49:06,"As a woman, I know what it’s like to be paid less to do the same work as a man. Sen. Capito claims to be a champion of women but has a LONG history of voting against #EqualPayForEqualWork.  She was the first woman elected to the U.S. Senate for West Virginia but she’ll be the LAST woman elected who ignores our needs!!! #PaulaJean2020",91,73,0,17,1,0,0,7,1490298067814858,PaulaJean2020,/story.php?story_fbid=1490298067814858&id=785936231584382
Paula Jean Swearengin,,2020-02-26 18:29:55,The hardest thing for me as a candidate is having to be away from my family so much! I was so happy to see this precious baby today!  #ProudGrandma,88,65,0,23,0,0,0,1,1490190397825625,PaulaJean2020,/story.php?story_fbid=1490190397825625&id=785936231584382
Paula Jean Swearengin,,2020-02-25 22:55:37,"Maybe Pete Buttigieg doesn’t get it. There is a clear difference between having healthcare and having health insurance. When people who are insured still can’t afford to seek medical attention, we have a national healthcare crisis! #TeamPaulaJean will fight for Medicare for All!  http://bit.ly/PJS2020_MFA #PaulaJean2020 #HealthcareIsAHumanRight #DemDebate #MedicareforAll #UniteOurFight",172,123,0,49,0,0,0,8,1489529384558393,PaulaJean2020,/story.php?story_fbid=1489529384558393&id=785936231584382
