source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Peggy Hubbard,,2020-03-03 14:46:04,"This is my opponent Dr. Tom Tarter, who touts that he is from Springfield in his bio. But, he cut and ran to Schaumburg Illinois. Another politician leaving Southern Illinois behind! He underestimating my dominance in Springfield was actually greater than he thought (So, much for me not having name recognition).  Dr. Tarter IS for mandatory vaccinations for children, regardless of a parent's objections. I was on the fence on the subject being a mother. After researching this topic, I can understand a parent's concern.  Some of these vaccines are made with aborted fetal tissue and cells. And, other ingredients from formaldehyde and things i can't even pronounce! We live in a state that tells parents, they MUST allow boys in girls locker rooms. Also, allowing a minor girl to have an abortion WITHOUT parental consent? Really? But, preach you MUST vaccinate? You can't have it both ways! Illinois state government will penalize a parent for what ever reason they choose for not  vaccinating their child with ingredients that are questionable and could cause harm to a child. And, place a medical burden and stress on a family. I've spoken to parents who children have  suffered adverse reactions to these vaccines. And, it is disturbing. Heartbreaking details. Dr. Tarter is a man of science, no doubt about his abilities. But, not taking the time to LISTEN to a parents concern? Well, his bedside manners are cold and condescending.  Do you want a Senator that turns a deaf ear to a parent? You take an oath as a doctor ""First do no harm"" some children are harmed. So, do you want a Senator that will work to find a solution for safer vaccines, that will not cause harm to a child? I have NO ties to big pharma. My ties are with parents. And, I will protect YOUR rights to say what is best for YOUR child. I will protect YOUR medical freedoms.  #PARENTALCONTROL #peggyforillinois",299,237,0,44,16,0,2,53,1044785672588851,PeggyHubbardIL,/story.php?story_fbid=1044785672588851&id=332176483849777
Peggy Hubbard,,2020-03-02 20:58:02,"Tomorrow in Chicago, WTTW/PBS Senatorial Candidate Debate LIVE 7pm.  I am fighting for Illinoisans who have been abandoned and forgotten about. I am in this fight for YOU! I need prayers and support. March 17th is right around the corner.  LET'S DO THIS!! #peggyforillinois",421,348,0,73,0,0,0,49,1044242829309802,PeggyHubbardIL,/story.php?story_fbid=1044242829309802&id=332176483849777
Peggy Hubbard,,2020-03-02 10:51:29,"This is Senator candidate Mark Curran, the blonde on the left (L) is Linda Prestia and right behind her the brunette is Jennifer Nevins. With them is a few of the ""mean girls"" crew.  Mark Curran in 2018, after he was defeated in the Sheriff race for Lake County. He talked about his defeat, and blamed President Trump for his loss. He said, ""President Trump is bad for our party and bad for our brand. We need to find away to take him out"". Now, Jennifer Nevins and Linda Prestia KNOW Mark Curran IS a NEVER TRUMPER, here they are at his fundraiser last week!  They label me a liar, a Democratic plant and other disturbing rhetoric. Mark Curran LIED about his record regarding drivers licenses for illegals when confronted. He is on record attending a PRO ILLEGALS rally while SHERIFF!  And called our President ""blind"". He recieved a NO CONFIDENCE VOTE, as sheriff by the ICOP. He SUPPORTS Dick Durbin ""Gang Of Eight"" immigration bill, allowing amnesty to 1 million illegals. They claim to ""vet"" all candidates? What about this? Mark Curran IS  your Democratic Plant.  Knowing ALL of this....This is who Jennifer Nevin's ""mean girls"" crew support? They profess their LOVE for President Trump, yet support a NEVER TRUMPER!  #Truth #peggyforillinois #MAGA #FIGHTBACK",308,177,3,4,39,9,76,54,1043939912673427,PeggyHubbardIL,/story.php?story_fbid=1043939912673427&id=332176483849777
"Peggy Hubbard,David Hale",David Hale,2020-03-02 05:50:44,"Please share my store of redemption and fight for life. This is my story. This is my truth. While my opponents tout that they are pro life. And, recieved accolades and endorsements for being the ""campions"" for pro life. Giving pretty speeches is one thing. Being a Doctor is another. But, until you carry LIFE inside you?  There is no greater endorsement than to fight off the people trying to kill the life inside you and that life you brought forth? She now calls me momma.  #peggyforillinoisShe’s a Terrible Liar...",357,260,0,93,1,2,1,34,1043764879357597,PeggyHubbardIL,/story.php?story_fbid=1043764879357597&id=332176483849777
Peggy Hubbard,,2020-02-29 23:44:52,"What a great, FULL day meeting the amazing people across our state! Started the day in Cambridge at a breakfast meet and greet. Ended the day at the Richland County Lincoln Day Dinner in Olney where so many patriots showed their support for our conservative Republican values and our great President! Let’s keep this #PeggyForIllinois momentum going!!",493,408,0,84,1,0,0,16,1042858272781591,PeggyHubbardIL,/story.php?story_fbid=1042858272781591&id=332176483849777
Peggy Hubbard,,2020-02-29 17:45:25,"Across the country, and across the state today there were rallies held for President Donald J Trump. I wasn't able to attend these events today, but, I wanted to show my support for OUR President and our country! 🇺🇸🇺🇸🇺🇸🇺🇸 #MAGA #KAG #peggyforillinois",1200,996,3,287,0,0,0,47,1042670052800413,PeggyHubbardIL,/story.php?story_fbid=1042670052800413&id=332176483849777
Peggy Hubbard,,2020-02-29 10:30:29,"“Thanks to President Trump’s leadership, we are finally making substantial progress toward ending our nation’s longest war."" Good.  Bring 👏🏾 them 👏🏾 home 👏🏾 #PeggyForIllinois",692,579,0,110,3,0,0,30,1042427972824621,PeggyHubbardIL,/story.php?story_fbid=1042427972824621&id=332176483849777
Peggy Hubbard,,2020-02-27 22:58:46,"Sen. Dick Durbin wants to take away $3.8 billion for the construction and completion of the wall, on our most southern border.  How long? How long are we going to allow Sen. Dick Durbin, to vote against America's interest? Can our state endure six more years of Dick Durbin? We have doors on our homes to keep the ones we love safe. Well, America IS our house! Our President is trying to keep US safe! Help me defeat Dick Durbin! He has plenty to do right here in his own state!  I will stand up against sanctuary cities in Illinois, that make our communities unsafe. #peggyforillinois",693,330,2,16,19,10,316,110,1041320812935337,PeggyHubbardIL,/story.php?story_fbid=1041320812935337&id=332176483849777
Peggy Hubbard,,2020-02-27 12:32:48,HEY MOUNT VERNON IL!  I AM HEADING YOUR WAY WITH SIGNS! I WILL BE @ ROADHOUSE HARLEY DAVIDSON  FROM 12:45P TIL 2P!  LIMITED QUANTITIES AVAILABLE!  COME ON OUT AND SEE ME AND MY ROADHOUSE H-D FAMILY! SEE YA SOON! #peggyforillinois,409,331,0,78,0,0,0,34,1041017759632309,PeggyHubbardIL,/story.php?story_fbid=1041017759632309&id=332176483849777
Peggy Hubbard,,2020-02-26 19:08:54,"Hello everyone! March 17th is right around the corner. I am truly humbled by your support.  I have supporters across the state who have volunteered to help distribute signs. We have limited quantities, but if you leave a comment with your town, we'll try to help you get in contact with someone close to you. Whether you live in Lake, Winnebago, Will, Effingham, Saline, Clinton, etc. Let us know! I appreciate your support! #peggyforillinois",494,405,0,89,0,0,0,100,1040485543018864,PeggyHubbardIL,/story.php?story_fbid=1040485543018864&id=332176483849777
Peggy Hubbard,,2020-02-26 00:42:50,"Senator Dick Durbin voted against preserving life today. If a baby SURVIVES an abortion, medical treatment will be withheld and the child left to die. DEMOCRATS AGAINST CHILDREN OF AMERICA.  We have federal laws against animal cruelty, but our unborn child has NO protection? As your next U.S. Senator for Illinois, i will fight for our unborn.  Please go to:  Peggyhubbard.org and donate! We need a fighter! #peggyforillinois",642,383,1,10,3,126,119,48,1039923946408357,PeggyHubbardIL,/story.php?story_fbid=1039923946408357&id=332176483849777
Peggy Hubbard,,2020-02-25 11:24:23,"HEY GLADIATORS! TODAY I WILL BE ATTENDING THE CANDIDATE FORUM IN DECATUR ILLINOIS @ THE DECATUR CONFERENCE CENTER & HOTEL 4191 US-36 6PM! COME ON OUT AND LISTEN TO THE MESSAGE AND MY VISION TO RESTORE ILLINOIS LEADERSHIP. AND, YES! THERE WILL BE PLENTY OF SIGNS ON HAND! #PEGGYFORILLINOIS",440,375,1,64,0,0,0,31,1039542303113188,PeggyHubbardIL,/story.php?story_fbid=1039542303113188&id=332176483849777
Peggy Hubbard,,2020-02-25 00:44:48,"Thank you Illinois State Rep John Cabello, who has endorsed me for my quest represent the people of Illinois, while attending NIRW Candidate Forum in Rockford.  People of Illinois deserve a fighter and I'll leave it all on the field of battle for YOU. #peggyforillinois",1200,969,0,234,1,0,0,40,1039206119813473,PeggyHubbardIL,/story.php?story_fbid=1039206119813473&id=332176483849777
Peggy Hubbard,,2020-02-21 19:12:48,"In Boone County for their Lincoln Day Dinner with my good friend, Don Menge. Thank you, Don, for lifting me up and fighting for me and the future of our state. <3",820,666,0,154,0,0,0,30,1036813373386081,PeggyHubbardIL,/story.php?story_fbid=1036813373386081&id=332176483849777
Peggy Hubbard,,2020-02-20 18:50:14,"BTRO CANDIDATE FORUM, ADDRESSING HINSDALE NEWS ARTICLE 2/20/2020",641,436,3,200,1,0,1,170,153997092252418,PeggyHubbardIL,/story.php?story_fbid=153997092252418&id=332176483849777
Peggy Hubbard,,2020-02-19 14:03:08,"HAPPY BIRTHDAY PEGGY!! Today is Peggy's 56th birthday. Please help us wish this Navy veteran, Harley-riding, former cop, Trump-supporting patriot a very happy birthday by getting her one step closer to beating Dick Durbin! CHIP IN $56 NOW--or you can send her a cake with 56 candles. Nah, that's really messy and complicated--just say happy birthday with your donation of $56! #PeggyforIllinois #56for56 #HappyBirthdayPeggy",1200,908,0,307,0,0,1,313,1035165350217550,PeggyHubbardIL,/story.php?story_fbid=1035165350217550&id=332176483849777
Peggy Hubbard,,2020-02-19 02:07:58,"Help us wish our very own PEGGY HUBBARD a very Happy Birthday today! From humble begins, to a candidate for U.S. Senate IL.   She is working hard, even on her Birthday Peggy Hubbard will be out delivering signs to people who want to see her standing in victory on March 17th. This is the kind of Senator we need for Illinois.  HAPPY BIRTHDAY PEGGY HUBBARD <3",1700,1200,0,449,1,0,0,833,1034762340257851,PeggyHubbardIL,/story.php?story_fbid=1034762340257851&id=332176483849777
Peggy Hubbard,,2020-02-18 10:31:23,"My opponent Mark Curran wants to revive the ""Gang Of Eight"" immigration bill that will give millions of illegal immigrants automatic citizenship. This is a radical idea and will replace merit based immigration, that President Trump and I full support. Mark Curran FULLY supports the ""Gang Of Eight""  Mark Curran, also supports drivers licenses for illegals as well. He fully supported this bill, as Sheriff of Lake County during the Rauner administration.  This ""Gang of Eight"" includes Dick Durbin and Jeff Flake. So, Mark Curran SUPPORTS a plan co-sponsored by Senator Dick Durbin. Mark Curran recieved the Chicago Sun Times, endorsement for your NEXT U.S. Senator! Can you say RINO? Ladies and gentlemen, have your warning bells sounded off in your head yet? They should! #peggyforillinois",570,167,2,5,59,10,327,61,1034287746971977,PeggyHubbardIL,/story.php?story_fbid=1034287746971977&id=332176483849777
Peggy Hubbard,,2020-02-17 14:21:18,"HAPPY PRESIDENTS' DAY, TO THE MAN WHO TOOK BACK AMERICA!  THANK YOU, PRESIDENT TRUMP!  TRUMP 2020 🇺🇸🇺🇸🇺🇸 HUBBARD 2020",845,618,3,223,0,1,0,37,1033689797031772,PeggyHubbardIL,/story.php?story_fbid=1033689797031772&id=332176483849777
Peggy Hubbard,,2020-02-17 11:13:05,These signs look great together. #PeggyHubbardForIllinois #KAG,2000,1500,1,508,1,1,0,119,1033589320375153,PeggyHubbardIL,/story.php?story_fbid=1033589320375153&id=332176483849777
Peggy Hubbard,,2020-02-16 17:11:24,"Had the privilege of attending and speaking at the Cumberland County GOP Lincoln Day Dinner last night. So many great folks who are passionate about defeating Dick Durbin in November and getting Illinois and our nation back on track. I'll fight like nobody else in this race and bring a dynamic Durbin and the Washington elite isn't prepared to fight against. Working together, and with your support, WE WILL WIN. #PeggyForIllinois",656,527,1,128,0,0,0,27,1033050173762401,PeggyHubbardIL,/story.php?story_fbid=1033050173762401&id=332176483849777
Peggy Hubbard,,2020-02-15 15:40:34,"Had the pleasure of speaking at the McLean County GOP breakfast in Bloomington this morning. It was a great event with even better people. Meeting by meeting, person by person, I'm traveling across our state to build our grassroots army to defeat Dick Durbin in November.  Heading to Cumberland County for their Lincoln Day Dinner in Toledo tonight. Hope to see you there! #PeggyForIllinois",673,551,1,121,0,0,0,33,1032288707171881,PeggyHubbardIL,/story.php?story_fbid=1032288707171881&id=332176483849777
Peggy Hubbard,,2020-02-15 07:18:08,HEY BLOOMINGTON/NORMAL IL!  I will be at the Double Tree Hotel today attending a Candidate Breakfast Forum from 9:30 AM until 11 AM! IF YOU WOULD LIKE A SIGN. PLEASECOME ON OUT AND GET ONE!  *LIMIT 2 PER HOUSEHOLD!* #PeggyForIllinois,670,556,1,111,2,0,0,42,1031999457200806,PeggyHubbardIL,/story.php?story_fbid=1031999457200806&id=332176483849777
Peggy Hubbard,,2020-02-14 12:33:58,,567,399,0,168,0,0,0,134,529687314340855,PeggyHubbardIL,/story.php?story_fbid=529687314340855&id=332176483849777
Peggy Hubbard,,2020-02-14 12:05:06,"THE MOMENT YOU ALL HAVE BEEN WAITING FOR! SENT IN A TRUCK THAT THEY CAN GET IN MY SUBDIVISION!  MY SIGNS HAVE ARRIVED! IF YOU LIVE IN: BELLEVILLE  SWANSEA SHILOH DUPO COLUMBIA  WATERLOO VALAMEYER RED BUD CHESTER SPARTA MILSTADT CAHOKIA GRAFTON ALTON WOOD RIVER GRANITE CITY  EDWARDSVILLE/GLEN CARBON COLLINSVILLE/MARYVILE FAIRVIEW HEIGHTS  MARRISA COULTERVILLE PINCKNEYVILLE TILDEN MURPYSBORO MT VERNON  COBDIN HARDIN BRUSSELS TAYLORVILLE SPRINGFIELD  PEORIA PEKIN JACKSONVILLE  MARION ANA DIXON MARSHALL QUINCY  DANVILLE  DECATUR  CENTRALIA  NEW ATHENS NEW BADEN CARLYLE  AND ALL POINTS NOT COVERED?  WE GOT YOU!  Get your butts in gear! And get your signs! They are limited to (2) per household!  I appreciate your support and patience, so very much! Now, lets spread the word PEGGY HUBBARD IS COMING FOR ILLINOIS!",825,643,2,179,1,0,0,224,1031416573925761,PeggyHubbardIL,/story.php?story_fbid=1031416573925761&id=332176483849777
Peggy Hubbard,,2020-02-14 11:33:32,,273,189,0,83,0,1,0,30,1045317445843404,PeggyHubbardIL,/story.php?story_fbid=1045317445843404&id=332176483849777
Peggy Hubbard,,2020-02-11 21:52:32,"I am running to help restore the forgotten communities of Illinois. The communities Dick Durbin has long forgotten about. I am pro-2nd Amendment, pro-life, pro-Illinoisans first, pro-first responders, pro-God. I am a Navy veteran, former law enforcement, IRS analyst, A.B.A.T.E member, American Legion and a member of the NRA.  I served as an election judge in St. Clair County. I have witnessed voter fraud in the metro area. I have stopped it as it happened. And, brought light to the voter corruption issues in St. Clair County. I am NOT afraid to rock the boat. Fight for the people of Illinois. I am told that I am “rough around the edges.” Rough around the edges is what is needed.  Dick Durbin has passed his usefulness in Illinois. In 2014, I had a choice to continue to be a Democrat or an American, and restore Illinois. I am an AMERICAN! The fight has begun to restore Illinois. I am a proud Republican and I'm asking for your support and your vote in the Republican primary on March 17th. #PeggyForIllinois",2200,1700,0,553,0,0,0,150,1029345277466224,PeggyHubbardIL,/story.php?story_fbid=1029345277466224&id=332176483849777
Peggy Hubbard,,2020-02-09 20:24:51,"Had the honor of speaking with the great people in Lee County at their Reagan Day Dinner this weekend. Illinois is more than Chicago. We are a lot of small towns and communites connected together. If we hope to turn Illinois around, we have to join together and fight together. The Washington elite isn't going to give up power, we're gonna have to take it back. It's time we fought together and retired Dick Durbin in November. WE GOT THIS! #PeggyForIllinois",740,604,1,134,1,0,0,31,1027827660951319,PeggyHubbardIL,/story.php?story_fbid=1027827660951319&id=332176483849777
Peggy Hubbard,,2020-02-09 19:55:51,"Thank you so much for helping us get to 20,000 likes! With support like yours, WE WILL WIN the fight against Dick Durbin and the rest of the Washington elite. #PeggyForIllinois",1500,1300,3,245,1,0,6,96,1027813774286041,PeggyHubbardIL,/story.php?story_fbid=1027813774286041&id=332176483849777
Peggy Hubbard,,2020-02-09 12:11:38,"WE HAVE REACHED OVER 20,000 LIKES TO OUR CAMPAIGN PAGE. THANK YOU! This makes me even more determined to fight for all the forgotten communities of Illinois, fight for our veterans, fight for our children's future, for they too are DREAMERS! Fight for our first responders, fight for our Second Amendment rights. Fight for the right to life for our unborn, Fighting to give YOU, the good folks of Illinois a voice. Stand with OUR President Donald J. Trump, as we push back against the far left Democrats, who will stop at nothing to destroy our country.  Join me in the fight to defeat Dick Durbin in November! #PeggyForIllinois",1100,926,0,210,1,0,0,54,1027544410979644,PeggyHubbardIL,/story.php?story_fbid=1027544410979644&id=332176483849777
