source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Ricky Dale Harrington Jr for US Senate,,2020-02-29 12:36:18,,6,6,0,0,0,0,0,0,1538763532958047,RDH4Senate,/events/1538763532958047?view=permalink&id=1538763536291380
"Ricky Dale Harrington Jr for US Senate,Michael J Kalagias for Congress",Michael J Kalagias for Congress,2020-02-24 08:55:31,Come and join us and hear more about our plans on the campaign trail.,13,13,0,0,0,0,0,1,213796170015188,RDH4Senate,/story.php?story_fbid=213796170015188&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-02-17 23:18:52,"I wanted to share with you one of the main reasons I am running for US Senate.  Last year, a law was passed that makes it difficult for third parties to get on the ballot. The rationale was to make the ballot less cluttered. This is comical when you look at the 2020 ballot. In the Arkansas House of Representatives, 51 seats are UNCONTESTED. That essentially means the candidate has already won.  If not for third party candidates and Independent candidates, 8 of those seats would also be UNCONTESTED. Another 2 seats will be determined by party primary and afterwards, the seat will be UNCONTESTED.  In the Arkansas State Senate, there are 7 UNCONTESTED seats, with 2 others being determined by party primary. My hope is that my campaign will encourage the people of Arkansas to run for office and for other parties to engage in the political process. It is not good for power to be hoarded by one party. Things like the “petition killer bill” are introduced when a party is in power and feels like it can do whatever it pleases.  We must fight to keep our republic healthy. We need diverse ideas. We must find a way to work together and not continue in political tribalism.  So, I say to the people of Arkansas, go and CONTEST those seats! #1stAmendment",29,27,0,1,1,0,0,2,208498140544991,RDH4Senate,/story.php?story_fbid=208498140544991&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-02-10 18:55:55,,10,9,0,1,0,0,0,0,208139430374203,RDH4Senate,/events/208139430374203?view=permalink&id=208139440374202
Ricky Dale Harrington Jr for US Senate,,2020-02-07 17:21:01,,6,6,0,0,0,0,0,0,200003441394461,RDH4Senate,/story.php?story_fbid=200003441394461&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-02-07 17:20:24,,12,11,0,1,0,0,0,0,200002901394515,RDH4Senate,/story.php?story_fbid=200002901394515&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-02-07 17:19:48,,5,5,0,0,0,0,0,0,200002544727884,RDH4Senate,/story.php?story_fbid=200002544727884&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-02-07 17:17:10,Should the government be able to force tech companies to build a backdoor access into their devices? Asking for a friend. #itsyourrepublic,17,9,0,0,1,0,7,12,200000824728056,RDH4Senate,/story.php?story_fbid=200000824728056&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-02-03 17:47:52,Surely the jury needed to hear from a witness that was willing to testify.... #itsyourrepublic,13,12,0,1,0,0,0,0,196711378390334,RDH4Senate,/story.php?story_fbid=196711378390334&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-01-20 12:24:26,"Attended the Interfaith Unity Prayer breakfast hosted by the MLK Commission of Arkansas' Department of Education at the Governor's mansion. A great event in honor of Dr. King's legacy of equality. One of my favorite quotes from Dr. King is this, ""Injustice anywhere is a threat to justice everywhere."" Let us remember that just because you are not effected by something presently does not mean it will not or may not affect your freedom or Liberty in the future. We are all champions of justice, so take up your mantle.",34,29,0,5,0,0,0,0,185211162873689,RDH4Senate,/story.php?story_fbid=185211162873689&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-01-13 22:37:02,,54,50,0,4,0,0,0,1,180908293303976,RDH4Senate,/RDH4Senate/photos/a.111040670290739/180908293303976
Ricky Dale Harrington Jr for US Senate,,2020-01-13 15:28:54,,10,10,0,0,0,0,0,5,180801876647951,RDH4Senate,/story.php?story_fbid=180801876647951&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-01-03 21:56:17,"We should not be directly attacking high level government officials without a full declaration of war from Congress. I do not support getting involved in another war that does not involve direct defense of the nation. It is unwise for us to continue intervening in the affairs of sovereign nations. We have spent almost 20 years and $ 2.4 trillion in Iraq and Afghanistan  and have not accomplished anything other than continued destabilization of a sovereign nation. We need to stop being the ""world police"". Are we willing to commit more money and the lives of young American men and women on wars that do not bring us to a resolution of offenses against our country. Cool heads must prevail now. Do not engage in another war unless there is a clear end. Do not act rashly, we have always been a beacon of light and hope in this dark world. Is this the moment where we become the bad guys? #itsyourrepublic",195,98,37,15,1,1,43,92,176845223710283,RDH4Senate,/story.php?story_fbid=176845223710283&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-01-02 23:04:17,"Is our government becoming more authoritarian, or is it just me?",36,28,0,0,0,6,2,11,176410927087046,RDH4Senate,/story.php?story_fbid=176410927087046&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2020-01-01 13:12:26,,30,30,0,0,0,0,0,0,175729557155183,RDH4Senate,/story.php?story_fbid=175729557155183&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2019-12-25 12:24:29,,45,38,0,7,0,0,0,3,172578850803587,RDH4Senate,/story.php?story_fbid=172578850803587&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2019-12-17 19:30:02,Secret courts deliberating whether an American citizen should or should not be spied upon with a low threshold of accountability is a recipe for abuse and corruption. End it. #itsyourrepublic,169,144,0,2,4,1,18,13,169088394485966,RDH4Senate,/story.php?story_fbid=169088394485966&id=111040616957411
"Ricky Dale Harrington Jr for US Senate,Congressman Thomas Massie",Congressman Thomas Massie,2019-12-13 10:12:32,"This week, we were given 19 hours to review the 3,488 page National Defense Authorization Act — a bill that authorizes $738 billion of spending in FY2020. The bill passed. I voted no.",11,10,0,1,0,0,0,0,167564834638322,RDH4Senate,/story.php?story_fbid=167564834638322&id=111040616957411
Ricky Dale Harrington Jr for US Senate,,2019-12-13 21:18:59,"I work in Corrections and our criminal justice system needs to change. There should be NO money making incentives to incarcerate people.  No one cares until it hits them in their backyard,  I say you have a duty to make sure those in power do not create a system that locks people up and uses them in a profiteering industry. #itsyourrepublic",334,290,1,26,10,2,5,36,167486157979523,RDH4Senate,/story.php?story_fbid=167486157979523&id=111040616957411
