source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Richard Ojeda,,2020-03-04 19:59:11,Coronavirus and bills,294,223,3,64,1,1,2,234,2686397164926628,RichardOjeda2020,/story.php?story_fbid=2686397164926628&id=1375193652713915
Richard Ojeda,,2020-03-04 19:45:46,Going live at 8pm to talk about a few bills and the coronavirus,38,35,0,3,0,0,0,1,2656986851201249,RichardOjeda2020,/story.php?story_fbid=2656986851201249&id=1375193652713915
Richard Ojeda,,2020-03-03 20:03:43,"I am running to be one of two United States senators for West Virginia.  I’m a man of the people, from the people, so I need your help. I won’t be a corporate money candidate. Check out his message and please consider donating! https://secure.actblue.com/donate/vote-ojeda-2020-1 #VoteOjeda2020",639,507,8,121,1,1,1,42,2656158287950772,RichardOjeda2020,/story.php?story_fbid=2656158287950772&id=1375193652713915
Richard Ojeda,,2020-03-02 22:55:31,"This breaks my heart.  The young man in this pic was my interpreter.  For the past ten years I have written letters, made phone calls and have tried hard to help Nowrozali to get the ability to make it to America.  5 others that worked directly with me have been successful and have made it here.  Hopefully the New Zealand Defense Force will figure out how to help him.  He NEVER tried to get out of a dangerous trip.  Shibar Pass, Eshpeshta, Waras and Panjab........Nowrozali was always ready to roll.",524,133,0,7,5,279,100,30,2655425788024022,RichardOjeda2020,/story.php?story_fbid=2655425788024022&id=1375193652713915
Richard Ojeda,,2020-03-02 20:01:33,Stay alert,478,380,0,91,1,2,4,292,254291575573832,RichardOjeda2020,/story.php?story_fbid=254291575573832&id=1375193652713915
Richard Ojeda,,2020-02-29 11:31:05,The Crown Act,262,201,2,59,0,0,0,55,203296580913113,RichardOjeda2020,/story.php?story_fbid=203296580913113&id=1375193652713915
Richard Ojeda,,2020-02-22 19:59:32,"A cool fact.......Danny Devito donated $1,000 to my congressional race in the mid terms.",1500,1200,8,232,16,0,0,52,2647951135438154,RichardOjeda2020,/story.php?story_fbid=2647951135438154&id=1375193652713915
Richard Ojeda,,2020-02-18 20:29:10,Unions/equal pay regardless of gender,649,511,5,130,1,1,1,162,490932248263274,RichardOjeda2020,/story.php?story_fbid=490932248263274&id=1375193652713915
Richard Ojeda,,2020-02-18 17:35:49,Going live tonight at 8:30 to speak about unions and why I am by far the better candidate to move forward in support of unions.,223,202,2,19,0,0,0,21,2644388739127727,RichardOjeda2020,/story.php?story_fbid=2644388739127727&id=1375193652713915
Richard Ojeda,,2020-02-13 11:37:25,It’s hard to believe it’s been ten years since that mission.  https://demcastusa.com/2020/02/13/to-help-or-hurt-major-richard-ojeda-explains-pretenses-for-withholding-foreign-aid/,127,98,2,22,3,1,1,12,2639911256242142,RichardOjeda2020,/story.php?story_fbid=2639911256242142&id=1375193652713915
Richard Ojeda,,2020-02-13 10:46:04,"Hey Mercer County!  We need far more Tinas and a lot less Porterfields!   Let’s push out the hate and replace it with someone who truly understands sacrifice and service.  Tina is a Desert Storm combat vet, a teacher and a social worker.  Do you feel like you do not have a voice in Charleston???  Send Tina!  All you have to do is hear her speak once and you will clearly see that she is head and shoulders above the rest.",399,352,0,46,1,0,0,11,2639875409579060,RichardOjeda2020,/story.php?story_fbid=2639875409579060&id=1375193652713915
Richard Ojeda,,2020-02-12 17:16:28,Capito is the one out of touch. Donate (link below on this post) and help me send her packing.  #turnWVblue #VoteOjeda2020 https://secure.actblue.com/donate/vote-ojeda-2020-1,445,322,56,34,11,3,19,152,2639270329639568,RichardOjeda2020,/story.php?story_fbid=2639270329639568&id=1375193652713915
Richard Ojeda,,2020-02-11 19:42:24,"If you don’t think voting is a big deal and are guilty of staying home in past elections I want to show you a pic of the first FREE Iraqi election ballot where the citizens were able to go to the polls and for the first time, select a leader that was not Saddam Hussein!  Make no mistakes about it.....people died that day because there were powers at work that never wanted the people of Iraq to ever select their own leader.  I think I read where over 45% of American voters stayed home in the last election.  Never take it for granted.  I have a feeling we have a few folks in government that would love nothing more than to turn our democracy into a dictatorship!   Vote!  We have been been waiting for you!",374,325,0,43,4,1,1,22,2638448603055074,RichardOjeda2020,/story.php?story_fbid=2638448603055074&id=1375193652713915
Richard Ojeda,,2020-02-10 18:15:38,It’s not the Democrats that attack the citizens of this state.   It’s the members of the GOP.  This is yet another attack on our teachers and school service personnel.  Actions not words!  Stop listening to their bullshit and look at their votes!,296,185,1,6,23,17,64,19,2637568979809703,RichardOjeda2020,/story.php?story_fbid=2637568979809703&id=1375193652713915
"Richard Ojeda,Wood County Young Democrats",Wood County Young Democrats,2020-02-07 08:43:37,"👏🏼Happy Friday! We are looking forward to all the events happening this weekend—come on out to help your local candidates and get involved in your community! 📚🏠☕️ Saturday 2/8 Perrysburg city councilwoman Jan Materni is joining congressional candidate Nick Rubando for coffee and canvassing, starting at 9 am at The Bard’s Coffee https://facebook.com/events/s/coffee-and-canvas/2592490957695012/?ti=icl Meet at Grounds for Thought at 3 pm to canvass for Elizabeth Warren in Bowling Green. Follow the link to sign up: https://www.mobilize.us/ohioforwarren/event/223100/ Sunday 2/9 Meet at The Flying Joe any time from 10-5 to join Ohio State Senate candidate Reem Subei for canvassing in Perrysburg https://facebook.com/events/s/team-reem-canvass-in-perrysbur/193090761807977/?ti=icl The first Wood County Young Democrats book club meeting begins at 2 pm at Grounds for Thought to discuss the beginning of Senator Sherrod Brown’s book Desk 88 https://facebook.com/events/s/book-club-meeting/2590878504524725/?ti=icl",62,60,0,2,0,0,0,12,2636694123230522,RichardOjeda2020,/story.php?story_fbid=2636694123230522&id=1375193652713915
Richard Ojeda,,2020-02-08 19:59:24,The elderly and disabled.   They deserve far more than what they are given. https://secure.actblue.com/donate/vote-ojeda-2020-1,710,534,6,165,2,0,3,253,827996187611666,RichardOjeda2020,/story.php?story_fbid=827996187611666&id=1375193652713915
Richard Ojeda,,2020-02-08 18:07:51,Going live tonight at 8pm to talk about the elderly and the disabled. These folks are part of our society and they deserve far more than they are given.,215,184,1,29,1,0,0,24,2635835639983037,RichardOjeda2020,/story.php?story_fbid=2635835639983037&id=1375193652713915
Richard Ojeda,,2020-02-05 16:51:21,"We need to flip the Senate from red to blue. No one is above the law. When I ran for US House in 2018, my race was 1st out of 435 for moving the needle 34 points in the reddest district in America.  I’m running for the WV Democratic nomination for United States Senate. Help me mount a campaign to take on the incumbent and flip this seat.  Please donate. I’ll take the voice of the people to Washington.  #VoteOjeda2020 #FliptheSenateRedtoBkue2020 https://secure.actblue.com/donate/vote-ojeda-2020-1",1200,940,41,127,8,27,141,240,2633217660244835,RichardOjeda2020,/story.php?story_fbid=2633217660244835&id=1375193652713915
"Richard Ojeda,Teresa Toriseva",Teresa Toriseva,2020-01-31 19:13:10,#VoteOjeda2020 #weareworthy,1000,931,12,108,2,1,7,135,2629168020649799,RichardOjeda2020,/story.php?story_fbid=2629168020649799&id=1375193652713915
Richard Ojeda,,2020-01-30 20:16:55,Political Shenanigans  https://secure.actblue.com/donate/vote-ojeda-2020-1,213,178,1,32,1,0,1,25,2628374450729156,RichardOjeda2020,/story.php?story_fbid=2628374450729156&id=1375193652713915
"Richard Ojeda,Richard Ojeda",Richard Ojeda,2020-01-30 16:27:00,#voteojeda2020 #weareworthyI’m running for US Senate and Natalie Cline is running for US House.  We both agree that WV needs leaders who represent people instead of money interests.  She and I wholeheartedly endorse each other’s campaign.  To be successful we will both need assistance.  Please consider donating to my page and after you do please go to Natalie’s page and do the same.  Any amount is appreciated.  https://secure.actblue.com/donate/vote-ojeda-2020-1,208,178,4,25,0,0,1,15,2628248054075129,RichardOjeda2020,/story.php?story_fbid=2628248054075129&id=1375193652713915
"Richard Ojeda,Richard Ojeda",Richard Ojeda,2020-01-30 16:26:26,#VoteOjeda2020Capito is voting “No” to impeach and “No”to remove.  Also voting “No” on additional witnesses.  Imagine being in court knowing that there are many out there who can shed light on crimes but having someone standing in the way of justice.  That’s exactly what Capito is doing and just another reason why I am running for US Senate to take her seat!   ,486,397,10,61,5,4,9,79,2628247854075149,RichardOjeda2020,/story.php?story_fbid=2628247854075149&id=1375193652713915
Richard Ojeda,,2020-01-28 12:20:01,"#marshallcounty #VoteOjeda2020 #panhandletopanhandleWV #OjedaforUSSenate The campaign trail can be tough!  No matter how busy you get you need to always remember that if you take care of your body your body will always take care of you.  Enjoying the planet fitness here in Moundsville.  Wonderful staff and as always, the equipment meets my needs!  Airborne!",610,548,3,58,0,0,1,52,2626499410916660,RichardOjeda2020,/story.php?story_fbid=2626499410916660&id=1375193652713915
Richard Ojeda,,2020-01-19 11:10:00,"I’m proud to be a Medical Cannabis advocate. It helps so many, especially veterans.  #VoteOjeda2020",769,658,0,110,1,0,0,24,2619025364997398,RichardOjeda2020,/story.php?story_fbid=2619025364997398&id=1375193652713915
"Richard Ojeda,Ben Salango",Ben Salango,2020-01-15 10:23:32,"Im on the side of those who protect working people.  #VoteOjeda2020I’m proud to announce that Kanawha County will be the first county in West Virginia to offer 12 weeks paid family leave that will include new birth parents, new adoptive parents, foster parents, and grandparents taking care of grandchildren.",95,83,3,9,0,0,0,6,2618129138420354,RichardOjeda2020,/story.php?story_fbid=2618129138420354&id=1375193652713915
Richard Ojeda,,2020-01-18 09:21:43,#wheelingfeeling #VoteOjeda2020,164,148,0,16,0,0,0,6,2618095291757072,RichardOjeda2020,/story.php?story_fbid=2618095291757072&id=1375193652713915
"Richard Ojeda,City of Ravenswood WV",City of Ravenswood WV,2020-01-17 19:04:32,This is how the people take back their government. Register to Vote! #VoteOjeda2020Great job! #JacksonCountyStrong,1400,1100,1,281,8,0,0,55,2617652061801395,RichardOjeda2020,/story.php?story_fbid=2617652061801395&id=1375193652713915
