source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Royce West,,2020-03-04 18:18:55,"I am humbled and grateful for the support I have received from across the state in this race, and honored to have a chance to continue this race to represent our great state in the United States Senate.  During the course of this campaign, I have had the opportunity to meet a number of fine people who were also running for the job of United States Senator. I’ve listened as they’ve shared their ideas and vision for our state over the past several months in multiple forums across Texas.  To my colleagues in this hard-fought contest: thank you for helping build the most diverse field of candidates in the history of this state to seek public office. Thank you for sharing your ideas, and for challenging your peers in this race. I am confident that some of the faces who will be the future of the Texas Democratic Party were on the stages of many forums across our state in this race, and I encourage you to remain involved, and not give up your desire to represent the people of Texas as an elected official in government. It is truly among the highest callings of public service.  To my wife, Carol, I say thank you for being with me on this journey. I thank my family for all the support they have provided me. I thank my campaign staff for their work and leadership, and, most of all, thank the voters of this state who made Royce their choice.  I believe we are well-positioned to win the runoff. The runoff is a brand new day.",276,219,0,57,0,0,0,36,522340095153002,RoyceWestTX,/story.php?story_fbid=522340095153002&id=379742336079446
Royce West,,2020-03-04 09:56:49,"At this time, the race remains too close to call. We are continuing to monitor the numbers at Team West Headquarters, and will let our supporters know when we know more. Thank you all for your support!",43,42,0,1,0,0,0,6,522117805175231,RoyceWestTX,/story.php?story_fbid=522117805175231&id=379742336079446
Royce West,,2020-03-03 23:39:02,We do not expect that we will have a clear enough picture of results this evening to call it one way or the other. We will issue a statement in the morning as final results become more clear. Thank you all for your support. —Royce West,81,70,0,11,0,0,0,11,521876088532736,RoyceWestTX,/story.php?story_fbid=521876088532736&id=379742336079446
Royce West,,2020-03-03 22:55:41,Interview with KERA.,14,13,0,1,0,0,0,0,522219208498424,RoyceWestTX,/story.php?story_fbid=522219208498424&id=379742336079446
Royce West,,2020-03-03 19:03:06,Only about an hour left to get out and vote! Remember if you are standing in line when the polls close at 7 p.m. you will be allowed to vote!,26,25,0,1,0,0,0,8,521779308542414,RoyceWestTX,/story.php?story_fbid=521779308542414&id=379742336079446
Royce West,,2020-03-03 17:21:06,"Matt Mershon from Spectrum News Austin caught up with me a little while ago outside a polling place. Remember, you only have until 7 p.m. tonight to get to the polls. If you are in line when the polls close at 7 p.m., you will be allowed to vote.",15,14,0,1,0,0,0,1,521746581879020,RoyceWestTX,/story.php?story_fbid=521746581879020&id=379742336079446
"Royce West,Fort Worth Star-Telegram",Fort Worth Star-Telegram,2020-03-03 11:40:24,"Team West is aware of the issues the Tarrant County Elections department is having at Democratic polling places today in Tarrant County.  Our team is on top of this, and we can tell you there is no reason for you to stay home in Tarrant County. GET OUT AND VOTE before 7 p.m. You may experience a longer than usual wait time, so plan accordingly. Remember, if you are in line when the polls close, you will be allowed to vote.Have you had any trouble trying to vote today?",39,31,0,1,5,1,1,13,521613278559017,RoyceWestTX,/story.php?story_fbid=521613278559017&id=379742336079446
Royce West,,2020-03-03 11:43:28,"If you live in Harris County, you can use this link to find your polling place AND see estimated wait times at the polling locations.  Remember we have a long ballot in many counties, and that impacts the time it takes a voter to vote. Please be patient with your fellow voters as they exercise their franchise.  If you have not already voted, you should be making your plans to vote today. What time will you leave? How will you get there (drive, public transit)? Do you need your sample ballot? Do you have the appropriate ID with you?",13,12,0,1,0,0,0,0,521610848559260,RoyceWestTX,/story.php?story_fbid=521610848559260&id=379742336079446
Royce West,,2020-03-03 10:50:03,"Haye YOU voted yet? Polls close at 7 PM tonight.  REMEMBER: depending on what type of electronic voting equipment your county has, and depending upon where Senator West is on your county’s ballot, you may have to scroll or flip to the second page to see Senator West’s name among the candidates.  You can find your polling place and other pertinent information through the Texas Democratic Party here: http://bit.ly/2I42FVN",10,10,0,0,0,0,0,0,521584925228519,RoyceWestTX,/story.php?story_fbid=521584925228519&id=379742336079446
Royce West,,2020-03-03 10:00:12,Today is Election Day! Make Royce Your Choice!,221,198,0,23,0,0,0,31,521560261897652,RoyceWestTX,/story.php?story_fbid=521560261897652&id=379742336079446
Royce West,,2020-03-03 09:56:26,"Today is Election Day, and polls are open until 7 p.m. Please get out and vote!",34,34,0,0,0,0,0,1,521558088564536,RoyceWestTX,/story.php?story_fbid=521558088564536&id=379742336079446
Royce West,,2020-03-02 11:58:53,WE HAVE MOMENTUM! A new poll from highly-respected pollster Emerson College shows Senator West within striking distance of the lead and well-positioned for the runoff! Can you help Senator West raise the funds he needs in these final hours? http://bit.ly/3chDvkq,40,35,0,5,0,0,0,0,521060915280920,RoyceWestTX,/story.php?story_fbid=521060915280920&id=379742336079446
Royce West,,2020-02-29 20:33:12,I took time to visit with some Boy Scouts and others at the Brazos Valley African American Museum’s annual dinner tonight.,52,51,0,1,0,0,0,1,520109595376052,RoyceWestTX,/story.php?story_fbid=520109595376052&id=379742336079446
"Royce West,Royce West",Royce West,2020-02-29 17:23:12,"I’ve been endorsed by several newspapers during this campaign, including the Houston Chronicle. All of these newspapers and many of the organizations endorsing my campaign such as the Tejano Democrats have cited my experience and record as well as my ability to build diverse coalitions to make positive change happen for Texas as reasons for their support.  I hope you will join the hundreds of thousands of Texans who have made Royce their choice in the race for U.S. Senate by voting on Tuesday.I’m very honored to have earned the recommendation of the Houston Chronicle in my campaign for United States Senate. Remember that polling places are open TODAY in many cities across Texas for you to vote.",188,155,0,33,0,0,0,13,520045975382414,RoyceWestTX,/story.php?story_fbid=520045975382414&id=379742336079446
Royce West,,2020-02-29 12:27:10,"𝐈𝐂𝐘𝐌𝐈: 𝐓𝐡𝐞 Fort Worth Star-Telegram 𝐡𝐚𝐬 𝐞𝐧𝐝𝐨𝐫𝐬𝐞𝐝 𝐦𝐞 𝐟𝐨𝐫 𝐔.𝐒. 𝐒𝐞𝐧𝐚𝐭𝐞 𝐢𝐧 𝐭𝐡𝐞 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐢𝐜 𝐏𝐫𝐢𝐦𝐚𝐫𝐲:  “Of dozen names on Texas Democrats’ U.S. Senate primary ballot offer just about every choice a voter could hope for, a field that’s diverse in terms of race, gender, age, political experience and business acumen. As early voting comes to a close Friday and Tuesday brings the primary election, one candidate stands out in terms of proven legislative ability and a chance to unseat three-term incumbent John Cornyn, if things break the party’s way: state Sen. Royce West.”  Read more here: http://bit.ly/399vewY",14,10,0,4,0,0,0,0,519929195394092,RoyceWestTX,/story.php?story_fbid=519929195394092&id=379742336079446
Royce West,,2020-02-28 20:59:43,"I went to vote with my family earlier this evening as early voting came to a close.  We have made it to the last minutes of the fourth quarter, and now it is up to you to help carry us over the finish line. This will be a close race, and every vote counts. Click here for help finding your polling place and learning about what kind of ID you need to vote: http://bit.ly/2I42FVN On behalf of myself, Carol, and my family, thank you for making me your choice in the race for United States Senate. Together, we can bring leadership to Washington that can build coalitions to bring about great change over the next few years on issues like healthcare, climate change, common sense gun control, and an array of issues impacting our country.  If you haven’t made your choice in this race yet, as I’ve said throughout my campaign, I consider this race a job interview. Look at my resume, my references, and my record, and I’m confident you will agree that my record of experience makes Royce your choice for U.S. Senate.",153,118,0,35,0,0,0,17,519560355430976,RoyceWestTX,/story.php?story_fbid=519560355430976&id=379742336079446
Royce West,,2020-02-28 15:27:07,"Haye YOU voted yet? You have just a few more hours before polls close and the early voting period is over.  If you don’t vote today, polls are open TUESDAY for Election Day, 7 a.m. until 7 p.m.  You can find your polling place and other pertinent information through the Texas Democratic Party here: http://bit.ly/2I42FVN",41,39,0,2,0,0,0,4,519441392109539,RoyceWestTX,/story.php?story_fbid=519441392109539&id=379742336079446
