source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Sema Hernandez for U.S. Senate,,2020-03-04 08:58:33,My life experience radicalized me to fight for our rights. We gotta keep fighting for Bernie Sanders to get the nomination.,214,131,0,83,0,0,0,13,777736322750695,SemaForTexas,/story.php?story_fbid=777736322750695&id=192655561258777
Sema Hernandez for U.S. Senate,,2020-03-03 17:55:42,"I proudly cast my vote today for progressive candidates I wholeheartedly believe in. My children, our communities, and our future on my mind and in my heart. #ivoted #TxSen #Texas #Bernie2020 #VoteSema #VoteBernie #VoteAudiaJones #VoteAshton #SuperTuesday #ElectionDay",202,116,0,86,0,0,0,18,777312696126391,SemaForTexas,/story.php?story_fbid=777312696126391&id=192655561258777
Sema Hernandez for U.S. Senate,,2020-03-03 12:30:57,I'd rather discuss policy and building a movement. Others have nothing else but smears. I am not afraid to address the smears one of my opponents has been saying about me. I showed up to answer tough questions while she ran away. Let's win on policy. #SuperTuesday,21,16,0,5,0,0,0,2,777147766142884,SemaForTexas,/story.php?story_fbid=777147766142884&id=192655561258777
Sema Hernandez for U.S. Senate,,2020-03-03 09:43:17,Don't miss this interview with @TheRabbleTX! #SuperTuesday #ElectionDay #Sema2020   https://podcasts.apple.com/us/podcast/bonus-episode-sema-hernandez-u-s-senate-candidate/id1449731392?i=1000467233510,21,15,0,6,0,0,0,0,777050332819294,SemaForTexas,/story.php?story_fbid=777050332819294&id=192655561258777
Sema Hernandez for U.S. Senate,,2020-03-03 08:01:04,It’s #SuperTuesday here in Texas! The voting polls in Texas are open from 7am-7pm. Find your polling location at teamrv-mvp.sos.texas.gov/MVP/mvp.do Don’t let the weather deter you from voting today! Your vote matters! Your vote counts!,38,26,0,12,0,0,0,7,776989852825342,SemaForTexas,/story.php?story_fbid=776989852825342&id=192655561258777
"Sema Hernandez for U.S. Senate,Jaime Lawson",Jaime Lawson,2020-03-02 23:58:53,Election Day Eve ❤️Supporting Chinatown for Election Day Eve. #ElectanActivist. #Sema2020 #Ash4TX.,44,29,0,15,0,0,0,0,776766399514354,SemaForTexas,/story.php?story_fbid=776766399514354&id=192655561258777
"Sema Hernandez for U.S. Senate,Trevor Newman",Trevor Newman,2020-03-01 20:28:17,"I had a great time block walking with the next Senator from Texas, Sema Hernandez!  We did some good work today reminding people to go out and vote all the way down the Democratic primary ballot on Tuesday.  We might have radicalized a few waitresses along the way.",38,28,0,10,0,0,0,0,776131339577860,SemaForTexas,/story.php?story_fbid=776131339577860&id=192655561258777
"Sema Hernandez for U.S. Senate,The Political Feminist",The Political Feminist,2020-03-01 13:10:00,"Make a plan to vote on Super Tuesday, March 3, 2020!This Tuesday we not only need people to vote for Bernie in their state's primaries but to vote for progressive/people powered primary challengers. We need to take over both the Executive branch of our government AND the Legislative. It's not just Democrats vs. Republicans, it's the grassroots/people vs. the corporatists. Please be sure to vote for these people this Tuesday. In TEXAS: Jessica Cisneros for Congress, Sema Hernandez for U.S. Senate,  Adrienne Bell for Congress TX-14 and Mike Siegel for Congress - TX-10 In CALIFORNIA: Shahid Buttar for Congress, Kim for Congress and Peter Mathews for Congress.  It is vital we take over from corporatists. Please spread the word and help the grassroots get out the vote for the people this Tuesday! https://youtu.be/tjyfmjmm93o",26,18,0,8,0,0,0,0,775835136274147,SemaForTexas,/story.php?story_fbid=775835136274147&id=192655561258777
Sema Hernandez for U.S. Senate,,2020-03-01 14:30:07,Con tanto amor para la gente de Tejas.  ¡Vamos a ganar! #Sema2020 #VoteTexasWith so much love for the people of Texas. We're going to win! #Sema2020 #VoteTexas,80,48,0,32,0,0,0,0,775768516280809,SemaForTexas,/story.php?story_fbid=775768516280809&id=192655561258777
Sema Hernandez for U.S. Senate,,2020-03-01 14:06:06,"Driving from El Paso, Texas to San Marcos,TX to canvass for @s.t_newman @berniesanders and of course our campaign with @jocamarquez.  Others have SuperPAC's running commercials for them, we have people.    Join us  ",67,45,0,22,0,0,0,1,775756009615393,SemaForTexas,/SemaForTexas/photos/a.208913109633022/775756009615393
