source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Shelley Moore Capito,,2020-03-04 11:30:08,West Virginia Oil Marketers and Grocers Association has endorsed Senator Capito's reelection campaign. Check out our website to read the full release. http://capito2020.com/2020/03/omega-endorses-capito/,38,34,0,1,0,0,3,6,3069063533127299,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3069063533127299&id=492934580740220
Shelley Moore Capito,,2020-02-27 11:00:25,Senator Capito is fighting for us in Washington! She is committed to continuing to work for our West Virginia families and our West Virginia values. https://youtu.be/tOFxAQFKKBk,166,135,8,20,1,0,2,38,3055193087847677,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3055193087847677&id=492934580740220
Shelley Moore Capito,,2020-02-25 11:09:38,President Trump stands with Shelley Moore Capito because he knows she votes for West Virginia. President Trump's agenda is good for West Virginia. That's why Senator Capito has voted with him more than 95% of the time. Sign your name to support the Trump-Capito team.  https://secure.winred.com/shelley-moore-capito/trump_stands_with_capito,127,95,15,12,1,0,4,17,3050918331608486,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3050918331608486&id=492934580740220
Shelley Moore Capito,,2020-02-24 09:00:13,West Virginians for Life has endorsed Senator Capito's reelection campaign. Check out our website to read the full release.  http://capito2020.com/2020/02/west-virginians-for-life-pac-endorses-senator-capito/,200,166,8,22,0,0,4,27,3048386655194987,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3048386655194987&id=492934580740220
Shelley Moore Capito,,2020-02-18 21:59:53,Senator Capito tipped off Chapmanville vs Scott tonight for a packed house!,187,172,0,12,1,0,2,19,3036242829742703,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3036242829742703&id=492934580740220
Shelley Moore Capito,,2020-02-16 17:04:01,Thank you everyone who came out to our campaign office grand opening! We had a great afternoon welcoming everyone to the new space. Arch is all ready to start making campaign calls!,238,214,0,18,1,1,4,37,3031374006896252,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3031374006896252&id=492934580740220
Shelley Moore Capito,,2020-02-14 17:00:16,"Join Team Capito this Sunday for the Capito for West Virginia campaign headquarters grand opening! We're all settled in at our new Bridge Road offices, the yard signs have arrived, and we're ready to show everyone around! The more the merrier, but RSVPs are appreciated.",75,65,5,3,0,0,2,19,3026762337357419,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3026762337357419&id=492934580740220
Shelley Moore Capito,,2020-02-14 10:00:25,Senator Capito is running for reelection based on her record of solving problems and her work delivering for communities across West Virginia. She will continue to fight for you and be our voice in Washington. https://youtu.be/OrXbxMqTF3A,296,256,13,21,0,1,5,68,3026016527432000,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3026016527432000&id=492934580740220
Shelley Moore Capito,,2020-02-12 13:25:54,"True to her commitment to improving connectivity in rural America, Senator Capito asked the Big 12 commissioner why West Virginians are being forced to pay extra and stream to catch WVU take on top ranked opponents. It did not go unnoticed! https://www.barstoolsports.com/blog/1851949/im-in-love-with-this-wv-senator-who-asked-the-big-12-commissioner-on-record-why-the-wvukansas-hoops-game-isnt-on-tv",274,252,7,12,1,0,2,42,3021883911178595,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3021883911178595&id=492934580740220
Shelley Moore Capito,,2020-02-11 15:31:21,"Senator Capito has recieved the Family Research Council's True Blue award based on her 100% record with @FRCAction voting to protect life, codify the Hyde Amendment, and confirm conservative judges.",87,70,1,6,0,0,10,23,3019882104712109,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3019882104712109&id=492934580740220
Shelley Moore Capito,,2020-02-11 09:32:55,"This morning Tony Perkins, President of the Family Research Council awarded Senator Capito the True Blue award for her 100% voing record with @FRCAction",198,171,2,15,1,2,7,34,3019236628109990,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3019236628109990&id=492934580740220
Shelley Moore Capito,,2020-02-07 15:00:37,This is just the beginning! https://youtu.be/nVodXy61rNg,266,217,3,31,1,1,13,60,3010831575617162,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3010831575617162&id=492934580740220
Shelley Moore Capito,,2020-02-03 09:08:31,The West Virginia Trucking Association has endorsed Senator Capito's reelection campaign. Check out our website to read the full release. http://capito2020.com/2020/02/west-virginia-trucking-association-endorses-capito/,136,110,7,16,0,1,2,40,3001428953224091,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=3001428953224091&id=492934580740220
Shelley Moore Capito,,2020-01-31 10:00:31,Did you know: Senator Capito has an A rating from the Susan B. Anthony List? Read more about her #ProvenConservative record at their site:  https://www.sba-list.org/senator/shelley-capito,101,79,7,12,0,1,2,40,2995114077188912,ShelleyMooreCapitoForWestVirginia,/story.php?story_fbid=2995114077188912&id=492934580740220
