source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
"Stephany Rose Spaulding for Senate,Kristen Seidel",Kristen Seidel,2020-03-07 12:01:38,"💜💜💜Have I told you why I'm caucusing for Stephany Rose Spaulding for Senate today? Well there are several.  1) She holds strong progressive values and has proven she will fight for our environment, immigration reform, criminal justice reform, and reproductive justice.  2) she is ready to fight for real campaign finance reform. She knows in order for true reflective democracy we must start breaking down barriers to run 3) She shows up! Stephany understands that we need progressive leaders at every level of government and shows up to make that happen. She spent November's election day making calls for Omar and Juan all DAY to GOTV. 4) This doesn't get talked about enough... Stephany knows how to build relationships to make things happen. Not only does she run the ethnic and women's studies program at a conservative college in the Springs, she has earned tenure as a black woman!! This is because Stephany knows how to stop, listen, and build relationships! 5) She is exciting Colorado's youth to show up! 6) And finally REPRESENTATION MATTERS! Last I checked the Senate is pretty full of a whole bunch of white dudes. We need our Senate to reflect the many experiences of people in our country. It matters!!  Please join me in caucusing for Stephany Rose today!",20,16,0,4,0,0,0,0,2779350088797889,StephanyForCO,/story.php?story_fbid=2779350088797889&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-03-06 11:14:51,"I am glad we have RBG and other justices who are on the side of our rights to safe and legal abortion. But... Who we pick to represent us is not just politics, it’s about our lives. We are at a dangerous moment in our country, where we could see the rollback of rights to safe and legal abortion.  We can thank the US Senate, and US Senator Cory Gardner, for that. He voted to confirm, and helped push through, Supreme Court justices who are likely to invalidate vital pieces or all of Roe v. Wade. Such a decision will leave low-income women, of which more are women of color, without access to the care they need at one of the hardest times in their lives.  Join me this Saturday to caucus for change. We need a woman’s voice, a woman of color’s voice, in our US Senate. Be a delegate for change. (Find out more by committing to caucus at www.stephanyforco.com) #SupportWomenLeading #CaucusforChange",114,84,0,30,0,0,0,3,2777114565688108,StephanyForCO,/story.php?story_fbid=2777114565688108&id=122640451135546
"Stephany Rose Spaulding for Senate,A Concerned Voice In Colorado's 6th Congressional District",,2020-03-05 21:14:09,"Ready to caucus THIS SATURDAY? There are two steps to finding your caucus. First please look up your precinct with the SOS: https://www.sos.state.co.us/voter. You can find your precinct under the County and District Tab. Once you have your caucus number, you can look up your caucus location on the Colorado Democratic Party website: https://www.coloradodems.org/caucus/.  At caucus please tell folks why you support me - and ask them to join you. We can have a new, bold and progressive choice on the primary ballot! Let's do this. We can be the new, bold voice we deserve. #CaucusforChange#Stephany #RunWithMe￼￼ Stephany Rose Spaulding for Senate #Caucus￼",56,45,3,8,0,0,1,7,2775859095813655,StephanyForCO,/story.php?story_fbid=2775859095813655&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-03-05 13:25:02,"Colorado it’s time to Caucus and I am asking that you caucus for me. If you are not a registered Dem and will not be caucusing, then I ask that you share this in hopes of catching someone in your network that is! #RunWithMe",42,28,0,14,0,0,0,2,2775202112546020,StephanyForCO,/story.php?story_fbid=2775202112546020&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-03-04 10:32:00,"Many can’t begin to imagine the number of times I’ve been told to “sit down,” “wait my turn,” “you will mess things up for ____.” But it takes true courage, tenacity and awareness in who you are created to be in order to walk in one’s calling. I am not in this race to glorify me. I am in this work to fulfill something purposed for a people who have hoped against hope, who have watched their dreams deferred finally beginning to take shape. I am in this race to fight for a generation that has not yet been conceived. If you believe in the power to make the unseen manifest into being, run with me. But if all that you can do is to bank on what has already been done, step aside—unbelief will neither stifle nor silence me. For all the Dreamers who believe there is no time like the present, LET’S GO! We got much work to do . (and if you are in CO, get to the Caucuses on March 7th by 2PM!)",57,37,0,20,0,0,0,2,2772766579456240,StephanyForCO,/StephanyForCO/photos/a.612074558858797/2772766579456240
Stephany Rose Spaulding for Senate,,2020-03-04 09:56:37,Meanwhile voter suppression is still very real! https://www.msnbc.com/msnbc/watch/-they-must-have-been-doing-this-on-purpose-why-this-man-waited-5-5-hours-to-vote-79965765869?cid=sm_npd_ms_fb_ma&fbclid=IwAR2JvnF4YG5ix4yBzhDeLc0TGhlNHge8XERaLdE17soU6H9glmlLk__PuNM,115,41,0,0,3,16,55,8,2772695466130018,StephanyForCO,/story.php?story_fbid=2772695466130018&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-03-02 08:19:14,Thank you to so many who have given to help us reach this final goal of $3770 more raised before caucus. We are being fueled by people who want more for all of us. Not corporate interests. Please help us reach out goal! https://secure.actblue.com/donate/committee-to-elect-stephany-rose-spaulding-1,15,12,0,3,0,0,0,0,2768322689900629,StephanyForCO,/story.php?story_fbid=2768322689900629&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-03-02 06:24:03,"Our country has a long, long history of such xenophobia. We cannot let it happen any more.",80,66,0,13,0,1,0,3,2768137223252509,StephanyForCO,/story.php?story_fbid=2768137223252509&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-03-03 09:35:43,"We fought long and hard for this right. Please don’t squander it. If you live in a Super Tuesday state, please get your ballot in today! https://news.wgcu.org/post/black-suffragists-helped-lead-charge-womens-voting-rights-campaign",77,59,0,18,0,0,0,2,2770544396345125,StephanyForCO,/story.php?story_fbid=2770544396345125&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-03-01 07:42:59,We are kicking off this Womxn’s History Month with the indomitable Vicki Cowart! She’s a champion for Reproductive freedom and justice here in Colorado. We salute your sacrifice and service to all womxn!,37,28,0,9,0,0,0,3,2766201170112781,StephanyForCO,/StephanyForCO/photos/a.612074558858797/2766201170112781
Stephany Rose Spaulding for Senate,,2020-02-28 10:51:34,"We got gear, just in time for you to #RockTheCaucus on March 7th. We have a very limited order of #TeamSpauding shirts (50 in total) and they are going fast. Order yours today!!! https://secure.actblue.com/donate/srfstshirts",13,9,0,4,0,0,0,1,2762256370507261,StephanyForCO,/story.php?story_fbid=2762256370507261&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-28 12:27:07,"I am so amazed at our campaign and the goals we will meet with your help.  We are the little campaign that dared to do the improbable, believing it is not impossible. We have spent hours driving thousands of miles across our state to meet Coloradans where they are - in their homes, in their favorite neighborhood spots, in their libraries. I have heard what they want in leadership. They want someone who puts them, and their families’ needs, first. They want someone who will be a voice we need in these hard and scary times.  We need a voice who will say black lives matter. We need a voice to say it’s time to stop the oil and gas industry from making our air harder and harder to breathe and our water dangerous to drink. We need a voice who will say health care for all. I am not a politician like my opponents. I am not doing this for my next political opportunity. I am doing this because I believe in people. I believe in love. I believe in change. My goal this month is to raise the final $3770 that we need to reach the potential caucus goers out there. We have reached 15,000 voters by mail; 10,000 by phone and 7,500 by text because of supporters like you! Meeting our final goal by March 7th, will help us get the caucus delegates we need in order to make the ballot. We can do this with just 3 people donating $500, 4 people donating $250, 6 people donating $100, 8 people donating $50, and 10 people donating $27. We can do this with your help! Please give today to help us reach that goal in these final 8 days. https://secure.actblue.com/donate/committee-to-elect-stephany-rose-spaulding-1 You are the reason our grassroots campaign continues to make a difference -- and will win this race. You believe in a better future for all of us - which includes caucusing for change. I will be that change.",25,19,0,6,0,0,0,1,2762424293823802,StephanyForCO,/story.php?story_fbid=2762424293823802&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-26 10:09:58,"Good morning! We are TEN days away from caucuses!! You have the opportunity to get a woman and a woman of color on the ballot, so please commit to caucus for a better future 💕",25,19,1,5,0,0,0,1,2757920814274150,StephanyForCO,/story.php?story_fbid=2757920814274150&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-28 09:38:35,"The Democratic Caucuses are happening March 7th at 2PM and I hope we can count on you in your precinct.   1. Identify your precinct number! Copy and paste this link to look up your voter registration information  Click on the County & District Information tab. Looking at the long “precinct number” your local precinct is the last 3 digits of the first number listed. 2. Next, identify your precinct caucus site using the following link.     This is where you need to show up on Sat. I recommend showing up a half-hour early to get checked in on time. 3. At your caucus site, you will have the opportunity to share why you support your candidates. This discussion period is very important to the entire caucus process, so make sure it is not glossed over by anyone. You have this right as a voter to discuss.",18,15,0,3,0,0,0,0,2762118997187665,StephanyForCO,/StephanyForCO/photos/a.612074558858797/2762118997187665
Stephany Rose Spaulding for Senate,,2020-02-29 09:18:02,Thank you to all who have donated to help us reach our $3770 goal by caucus! We are now a quarter to our goal. Can you help us get there by March 7?  Our campaign is about Colorado and community. We deserve leadership who will be a voice for all Coloradans.  Give for change today! https://secure.actblue.com/donate/committee-to-elect-stephany-rose-spaulding-1 #RunWithMe #CaucusforRose #CaucusforChange #LeapDayforChange,26,20,0,6,0,0,0,0,2764294170303481,StephanyForCO,/story.php?story_fbid=2764294170303481&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-03-01 07:58:15,"Good morning! As we enter “Super Week” here in Colorado, let’s get ready for transformational change. Get your morning flowing by checking out our interview with Tikneshia Beauford on KGNU radio! https://news.kgnu.org/2020/02/elections-2020-stephany-rose-spaulding-candidate-in-democratic-primary-colorado-u-s-senate-race/",34,23,0,11,0,0,0,2,2766227730110125,StephanyForCO,/story.php?story_fbid=2766227730110125&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-24 09:01:47,Healthcare must be both accessible and equitable. Addressing systemic racism and classism in the practice of health care has to be a top priority for communities across the country.  https://goodmorningamerica.com/family/story/stunning-photos-black-women-raises-awareness-disparity-birth-69128223,79,66,0,13,0,0,0,5,2753655144700717,StephanyForCO,/story.php?story_fbid=2753655144700717&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-23 19:42:45,,2,2,0,0,0,0,0,0,1898633006936318,StephanyForCO,/events/1898633006936318?view=permalink&id=1898633010269651
Stephany Rose Spaulding for Senate,,2020-02-26 22:03:46,,12,11,0,1,0,0,0,0,127624458673081,StephanyForCO,/events/127624458673081?view=permalink&id=127624462006414
Stephany Rose Spaulding for Senate,,2020-02-23 19:42:01,,3,3,0,0,0,0,0,0,495596721131065,StephanyForCO,/events/495596721131065?view=permalink&id=495596727797731
Stephany Rose Spaulding for Senate,,2020-02-29 12:49:15,"We have 1 week left before the Caucuses in Colorado. On this Leap Day, can we get 29 people donating $29 to help us finish meeting our end of the month goals? We are meeting voters where they are every day and can not do it without you!! Please donate whatever you can https://secure.actblue.com/donate/srs_website?refcode=website&amount=15",28,26,0,2,0,0,0,1,2764684073597824,StephanyForCO,/story.php?story_fbid=2764684073597824&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-23 19:40:42,,2,1,0,1,0,0,0,0,192617868641128,StephanyForCO,/events/192617868641128?view=permalink&id=192617871974461
Stephany Rose Spaulding for Senate,,2020-02-25 22:25:47,"We can have a progressive choice on our primary ballot. We can have a candidate who will fight for all of these things. We can have a woman Senator for our state. It’s time we do. But we need your help. We have 11 days until caucus, and we are texting, phone banking and getting literature to caucus locations across the state.  Please give today. For a new way.  Here: http://bit.ly/CaucusforStephanyRoseS #CaucusforChange #CaucusforStephanyRose",52,42,1,9,0,0,0,4,2756897154376516,StephanyForCO,/story.php?story_fbid=2756897154376516&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-23 19:40:00,,3,3,0,0,0,0,0,0,499420170970282,StephanyForCO,/events/499420170970282?view=permalink&id=499420177636948
Stephany Rose Spaulding for Senate,,2020-02-27 09:57:31,This is a historic moment for Colorado and we would love to hear your thoughts. What do think the impact will be on CO? Should this be Federal? https://krdo.com/news/top-stories/2020/02/26/colorado-set-to-become-22nd-state-with-no-death-penalty/,148,103,0,45,0,0,0,14,2760042170728681,StephanyForCO,/story.php?story_fbid=2760042170728681&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-23 19:39:19,,4,4,0,0,0,0,0,0,180792829893900,StephanyForCO,/events/180792829893900?view=permalink&id=180792839893899
Stephany Rose Spaulding for Senate,,2020-02-23 19:38:24,,8,7,0,1,0,0,0,0,2719260564858329,StephanyForCO,/events/2719260564858329?view=permalink&id=2719260578191661
Stephany Rose Spaulding for Senate,,2020-02-22 08:19:13,"We can’t continue to vote against our best interests and keep asking “why aren’t things different?” To not have the courage to resist the status quo, means we are the architects of our own demise. The time is now for new, bold and Progressive leadership in the U. S. Senate. Find your Colorado caucus location https://www.coloradodems.org/2020-caucus-locations/",66,48,0,18,0,0,0,2,2749463008453264,StephanyForCO,/story.php?story_fbid=2749463008453264&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-20 21:45:51,cats for stephany! 😍,53,41,0,12,0,0,0,0,2746364602096438,StephanyForCO,/story.php?story_fbid=2746364602096438&id=122640451135546
Stephany Rose Spaulding for Senate,,2020-02-21 09:58:20,"I am so proud to have the support of my friend Omar Montgomery. He has been a voice for his community in so many ways - as an educator, President of the Aurora NAACP, and advocate. Thank you Omar Montgomery for your work and your support.",42,32,0,10,0,0,0,0,2747463048653260,StephanyForCO,/story.php?story_fbid=2747463048653260&id=122640451135546
