source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Steve Daines,,2020-03-04 20:20:00,"We’re ready to win this race. Sen. Daines has a proud record of delivering results, protecting our way of life and always putting Montana first!",242,135,53,8,1,8,37,106,2943508129025914,SteveDainesforMontana,/story.php?story_fbid=2943508129025914&id=176789922364429
Steve Daines,,2020-03-04 10:03:19,"The people of Montana stand with you, Mr. President! Let's Keep America Great!",439,365,9,62,0,0,3,34,2942276752482385,SteveDainesforMontana,/story.php?story_fbid=2942276752482385&id=176789922364429
Steve Daines,,2020-03-02 11:25:40,"On Friday, I officially filed to run for a second term as Montana's U.S. Senator. I'm humbled by the outpouring of support we've received - including from President Trump who knows I stand with him in always fighting for Montana!",491,421,4,61,0,2,3,48,2934735083236552,SteveDainesforMontana,/story.php?story_fbid=2934735083236552&id=176789922364429
Steve Daines,,2020-02-29 17:28:06,"Montana, are you with President Trump and Senator Daines? Show your support!",426,356,12,56,2,0,0,24,2926496294060431,SteveDainesforMontana,/story.php?story_fbid=2926496294060431&id=176789922364429
Steve Daines,,2020-02-29 10:27:50,"Officially filed for re-election in Conrad where my great-great grandma homestead nearby five generations ago.  I’ve been humbled to serve the people of this great state, and looking forward to another six years!",457,406,4,44,2,0,1,29,2925797604130300,SteveDainesforMontana,/story.php?story_fbid=2925797604130300&id=176789922364429
Steve Daines,,2020-02-28 16:37:19,"Mr. President, it's an honor to have your support. Thank you for everything you've done for the people of Montana. Looking forward to FOUR MORE YEARS of working with you to put Montana First!! Let's Keep America Great!!",624,526,9,81,3,1,4,40,2924189104291150,SteveDainesforMontana,/story.php?story_fbid=2924189104291150&id=176789922364429
Steve Daines,,2020-02-26 18:37:27,ICYMI: Senator Daines Endorsed by Iron Workers Union,186,156,4,24,0,1,1,15,2919940354716025,SteveDainesforMontana,/story.php?story_fbid=2919940354716025&id=176789922364429
Steve Daines,,2020-02-25 13:22:03,Small businesses across MT and this country are booming thanks to President Trump's leadership!,208,173,10,24,0,0,1,20,2917333718310022,SteveDainesforMontana,/story.php?story_fbid=2917333718310022&id=176789922364429
Steve Daines,,2020-02-19 13:29:19,"As costs continue to rise, I'll continue fighting to ensure seniors have access to affordable, high-quality health care!",105,91,7,7,0,0,0,30,2904081646301896,SteveDainesforMontana,/story.php?story_fbid=2904081646301896&id=176789922364429
Steve Daines,,2020-02-17 13:57:12,Today is President's Day - a day to honor all of our nation's presidents who have made a lasting impact on our country.  Today we especially honor President Trump - a leader who has delivered on promises for Montana and our country! 🇺🇸,239,185,17,34,1,1,1,44,2899647010078693,SteveDainesforMontana,/story.php?story_fbid=2899647010078693&id=176789922364429
Steve Daines,,2020-02-13 14:18:33,"Thanks to President Trump and the Republican-led Congress, our economy is stronger than ever.  Jobs are being created and wages are rising!",137,110,12,13,0,0,2,35,2890512264325501,SteveDainesforMontana,/story.php?story_fbid=2890512264325501&id=176789922364429
Steve Daines,,2020-02-11 11:20:21,“It is a shame that there are bad actors out there looking to take advantage of our nation’s heroes. My legislation cracks down on pension poachers and ensure our veterans in Montana and across the country are protected from these illegal scams.” —Sen. Daines,56,49,0,1,0,1,5,20,2885585874818140,SteveDainesforMontana,/story.php?story_fbid=2885585874818140&id=176789922364429
Steve Daines,,2020-02-07 10:00:23,"Incredible news - Economy continues to BOOM! 225,000 new jobs added in January thanks to Republican leadership under President Trump!",142,120,5,16,0,0,1,25,2876573609052700,SteveDainesforMontana,/story.php?story_fbid=2876573609052700&id=176789922364429
Steve Daines,,2020-02-06 10:12:50,"Democrats know they can't beat President Trump at the ballot, so they tried to remove him from office. Not on our watch!",346,292,5,30,3,5,11,65,2874373549272706,SteveDainesforMontana,/story.php?story_fbid=2874373549272706&id=176789922364429
Steve Daines,,2020-02-05 17:37:38,"The Democrats’ impeachment sham is over. Now, let’s get back to work for the American people!",338,274,2,52,1,0,9,38,2872899082753486,SteveDainesforMontana,/story.php?story_fbid=2872899082753486&id=176789922364429
Steve Daines,,2020-02-05 11:02:43,"Enough is enough. It's time to acquit President Trump and end this one-sided, politically-motivated process. Montanans are behind President Trump, and so am I!",354,281,3,55,0,2,13,63,2872259812817413,SteveDainesforMontana,/story.php?story_fbid=2872259812817413&id=176789922364429
Steve Daines,,2020-02-04 20:32:38,“Never before have we seen such a partisan presidential impeachment process ... This is wrong and it has damaged our country ... Supporting this impeachment means ignoring the voices of Montanans who voted for President Trump in the last election. And it means silencing Montanans who plan to vote for President Trump in the 2020 election.”,335,222,1,10,7,18,77,209,2870917312951663,SteveDainesforMontana,/story.php?story_fbid=2870917312951663&id=176789922364429
Steve Daines,,2020-02-04 10:39:23,"While the Democrats continue to smear Our President, President Trump remains focused on delivering for the American people — and the American people know the truth — President Trump is Making America Great Again.",331,264,18,41,2,1,5,36,2870027996373928,SteveDainesforMontana,/story.php?story_fbid=2870027996373928&id=176789922364429
