source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Susan Wagle for Kansas,,2020-03-05 11:39:04,"Senate President Susan Wagle, R-Wichita, said the Senate is committed to working with Kelly to ensure proper resources and support are available. “I appreciate the prompt and thorough briefing given by Gov. Kelly’s administration as the state prepares to address the possible outbreak of the coronavirus,” Wagle said. “I am pleased to learn she is in constant communication with Vice President Mike Pence and the Trump administration.” https://www.ottawaherald.com/news/20200304/kansas-officials-advise-precaution-as-coronavirus-spreads/1",7,7,0,0,0,0,0,1,509463989712783,SusanWagleforKansas,/story.php?story_fbid=509463989712783&id=374180693241114
Susan Wagle for Kansas,,2020-03-04 18:25:01,"I am appalled that Senator Schumer would threaten two Supreme Court Justices as they hear an important case on abortion. His thuggish rhetoric may play well on the liberal streets of New York City. But they have no place on the steps of our nation’s highest court. I’ll stand up to Senator Schumer in the U.S. Senate and defend the unborn, no matter his threats.  https://www.google.com/amp/s/www.washingtonexaminer.com/opinion/chuck-schumer-threatens-kavanaugh-and-gorsuch-will-pay-the-price-if-they-rule-the-wrong-way%3f_amp=true",47,29,0,1,6,2,9,5,509028193089696,SusanWagleforKansas,/story.php?story_fbid=509028193089696&id=374180693241114
Susan Wagle for Kansas,,2020-03-04 11:54:27,Governor Laura Kelly called me immoral for my steadfast defense of the unborn. I think taking one child’s life in the womb is immoral. I won’t back down from this fight. Kansans must be allowed to vote on the Value Them Both Amendment before the Senate takes up Medicaid expansion.,14,11,0,3,0,0,0,2,508880989771083,SusanWagleforKansas,/story.php?story_fbid=508880989771083&id=374180693241114
Susan Wagle for Kansas,,2020-03-03 13:24:52,Thank you Senator Rick Santorum for standing with me in the fight to protect the unborn in Kansas. You won the 2012 caucus here. And we will win this fight. We can’t allow state tax dollars to pay for abortions.,25,20,0,3,0,0,2,3,508352726490576,SusanWagleforKansas,/story.php?story_fbid=508352726490576&id=374180693241114
Susan Wagle for Kansas,,2020-03-02 15:01:45,"‪We can’t allow Medicaid expansion to proceed without the Value Them Both Amendment. Otherwise, the liberal Supreme Court will allow Governor Kelly to use Kansas state tax dollars to fund abortions just like they do in Connecticut.‬",16,13,0,3,0,0,0,3,507834399875742,SusanWagleforKansas,/story.php?story_fbid=507834399875742&id=374180693241114
Susan Wagle for Kansas,,2020-03-01 07:59:57,"“They want to protect their second amendment rights, their ability to own a gun, to carry a gun. Another issue that we have in southeast Kansas, is they dislike this move towards democratic socialism,” said State Senator Wagle. https://www.koamnewsnow.com/kansas-senate-hits-session-halfway-point/",11,11,0,0,0,0,0,9,507114169947765,SusanWagleforKansas,/story.php?story_fbid=507114169947765&id=374180693241114
Susan Wagle for Kansas,,2020-02-29 15:05:43,"The open Kansas Senate seat belongs to the people of Kansas, not the DC swamp. We can’t let Chuck Schumer and the radical left buy this seat for a certified liberal like Barbara Bollier who is out of step with our conservative Kansas values. Make no mistake, the DC liberal establishment is trying to buy this seat and with it the Senate majority. In the Kansas Senate, Barbara Bollier has been missing votes. She is likely jet setting to fundraisers in liberal cities to meet her monthly fundraising goal. I’ve been fighting to protect life and stop socialized medicine. Can you help me reach my monthly fundraising goal by making a small donation?  https://secure.winred.com/wagle-for-kansas/deadline_feb",6,5,1,0,0,0,0,5,506755546650294,SusanWagleforKansas,/story.php?story_fbid=506755546650294&id=374180693241114
Susan Wagle for Kansas,,2020-02-29 08:39:57,"Secretary of State Mike Pompeo just witnessed the signing of an historic peace agreement with Afghanistan. Today there is hope for freedom. All Kansans are proud of the efforts of President Trump & our native son Mike Pompeo to create a lasting peace & end America’s longest war. “These commitments represent an important step to a lasting peace in a new Afghanistan, free from al Qaeda, ISIS, and any other terrorist group that would seek to bring us harm.”  - President Donald Trump https://www.washingtontimes.com/news/2020/feb/28/pompeo-witness-us-taliban-peace-deal-signing/",14,14,0,0,0,0,0,2,506584540000728,SusanWagleforKansas,/story.php?story_fbid=506584540000728&id=374180693241114
Susan Wagle for Kansas,,2020-02-28 11:12:25,"Where was Barbara Bollier yesterday? As the Kansas Senate wrapped up votes before a break, Barbara was MIA for the second time this year. Where was she? New York? Washington DC? San Francisco? The one thing we know is she was not in Kansas.  http://www.teamwagle.com/another_thursday_more_missed_votes",3,2,0,0,0,1,0,6,506108156715033,SusanWagleforKansas,/story.php?story_fbid=506108156715033&id=374180693241114
Susan Wagle for Kansas,,2020-02-27 10:15:48,Susan is busy in Topeka fighting the liberals who not only want to bring more socialized medicine to Kansas. They are also using their push for government run healthcare as a way to use our state tax dollars to fund abortions. We can’t let this happen. The only thing standing between Governor Laura Kelly having a blank check to advance her pro-abortion agenda is Susan’s relentless fight to stop her.  Help Susan fight back by making a small donation of even $25 today so we can reach our fundraising goal for the month.  https://secure.winred.com/wagle-for-kansas/deadline_feb,6,6,0,0,0,0,0,2,505531503439365,SusanWagleforKansas,/story.php?story_fbid=505531503439365&id=374180693241114
