source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Teresa Tomlinson,,2020-03-05 17:29:34,660 signs headed out around the community! Thanks everyone. Spread the word! #TeamTomlinson #SendPerduePacking,54,49,0,5,0,0,0,6,2899063633464430,TeresaPikeTomlinson,/story.php?story_fbid=2899063633464430&id=171730749531079
,,2020-03-03 15:42:21,,0,0,0,0,0,0,0,0,2894709957233131,TeresaPikeTomlinson,/ufi/reaction/profile/browser/?ft_ent_identifier=2894709753899818&refid=17&_ft_=top_level_post_id.2894709957233131%3Atl_objid.2894709957233131%3Apage_id.171730749531079%3Aphoto_attachments_list.%5B2894709810566479%2C2894709850566475%2C2894709830566477%2C2894709820566478%5D%3Aphoto_id.2894709810566479%3Astory_location.4%3Astory_attachment_style.new_album%3Atagged_locations.112849205397242%3Atds_flgs.3%3Apage_insights.%7B%22171730749531079%22%3A%7B%22page_id%22%3A171730749531079%2C%22actor_id%22%3A171730749531079%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1583268141%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B2894709810566479%2C2894709753899818%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A171730749531079%2C%22page_id%22%3A171730749531079%2C%22post_id%22%3A2894709810566479%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A171730749531079%2C%22page_id%22%3A171730749531079%2C%22post_id%22%3A2894709753899818%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22112849205397242%22%3A%7B%22page_id%22%3A112849205397242%2C%22actor_id%22%3A171730749531079%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22role%22%3A4%2C%22sl%22%3A4%7D%7D%3Athid.171730749531079%3A306061129499414%3A43%3A0%3A1585724399%3A-3817655527227995609&__tn__=%2AW-R#footer_action_list
Teresa Tomlinson,,2020-03-05 12:36:10,"""Women are 100% autonomous. We have bodily autonomy as a basic human right.” #TeamTomlinson",77,60,1,15,0,0,1,6,2898626403508153,TeresaPikeTomlinson,/story.php?story_fbid=2898626403508153&id=171730749531079
Teresa Tomlinson,,2020-03-05 07:00:50,"Help us welcome Councilmember Michael Julian Bond to #TeamTomlinson. He has served Atlanta citywide, representing more than 450,000 local residents, since his election to the Atlanta City Council Post 1 At-Large seat in November of 2009. Bond is a member of the Committee on Council and the Community Development/HR and Public Safety committees. From 1994 to 2001, Michael J Bond served on the council as the District 3 representative. During that time, he served as the city council’s President Pro Tempore. Outside of his council duties, Bond served as the Deputy Director and Chief Programs Officer for the Atlanta branch of the NAACP. We are honored to have him the team to #SendPerduePacking. 🤜🏻🤛🏽",20,20,0,0,0,0,0,1,2897992103571583,TeresaPikeTomlinson,/story.php?story_fbid=2897992103571583&id=171730749531079
Teresa Tomlinson,,2020-03-04 07:00:55,"Help us welcome Cathy Woolard to #TeamTomlinson. She was the first openly gay elected official in Georgia when she joined the Atlanta City Council in 1997. She served as President of the Atlanta City Council from 2002 - 2004. As a District 6 City Councilmember, Cathy Woolard for Atlanta became a prominent voice on multi-modal transportation issues - specifically the Atlanta BeltLine - and on civil rights issues related to housing, employment, and public accommodations. Woolard has held senior executive positions at CARE, League of Conservation Voters, and the Human Rights Campaign. She is currently a public affairs consultant and we are honored to have her on the team to #SendPerduePacking. 🤜🏻🤛🏽",87,71,1,15,0,0,0,2,2895875203783273,TeresaPikeTomlinson,/story.php?story_fbid=2895875203783273&id=171730749531079
Teresa Tomlinson,,2020-03-03 20:00:28,Look at all of these wonderful yard signs beginning to pop up! Sign up for yours today: https://secure.ngpvan.com/q53taeRv4EuL8ZUEGQiSnQ2,81,72,2,7,0,0,0,4,2895071980530262,TeresaPikeTomlinson,/story.php?story_fbid=2895071980530262&id=171730749531079
Teresa Tomlinson,,2020-03-03 17:40:05,"""In 2016, Donald Trump won the state of Georgia with 50.4% of the vote. That man almost lost the majority vote in Georgia."" #TeamTomlinson #GeorgiaGumption",70,61,2,7,0,0,0,3,2894883447215782,TeresaPikeTomlinson,/story.php?story_fbid=2894883447215782&id=171730749531079
Teresa Tomlinson,,2020-03-03 07:00:29,Help us welcome Felicia Moore to #TeamTomlinson. She is the current President of the Atlanta City Council and the former Councilmember for District 9. Her career in public service spans more than 20 years. Felicia A. Moore is an active member of the National League of Cities. She’s a past president and current board member of the NBCSL and is also a leading member of the Georgia Municipal Association. Felicia Moore is a graduate of Central State University in Ohio. She is a member of the Alpha Kappa Alpha Sorority Incorporated and a licensed Real Estate Broker. We are honored to have her on the team to #SendPerduePacking. 🤜🏻🤛🏽,39,36,0,3,0,0,0,0,2893312614039532,TeresaPikeTomlinson,/story.php?story_fbid=2893312614039532&id=171730749531079
Teresa Tomlinson,,2020-03-02 22:07:35,‪A few words about making political history and bringing good government to Georgia. Teresa Tomlinson US Senate Qualification  #gapol #TeamTomlinson ‬,45,40,0,5,0,0,0,0,2893159234054870,TeresaPikeTomlinson,/story.php?story_fbid=2893159234054870&id=171730749531079
Teresa Tomlinson,,2020-03-02 14:21:51,"Today, I qualified to officially be on the ballot in the 2020 Democratic primary. We will see you all at the ballot box on May 19th! #TeamTomlinson #GeorgiaGumption #SendPerduePacking",385,296,1,84,3,1,0,32,2892518790785581,TeresaPikeTomlinson,/story.php?story_fbid=2892518790785581&id=171730749531079
Teresa Tomlinson,,2020-03-02 10:58:24,Had a great time joining the ladies of Alpha Kappa Alpha Sorority Incorporated for the 13th Annual Rosa Parks Women of Courage Breakfast in Columbus this morning! #TeamTomlinson,44,38,1,5,0,0,0,0,2892180007486126,TeresaPikeTomlinson,/story.php?story_fbid=2892180007486126&id=171730749531079
Teresa Tomlinson,,2020-03-02 07:00:17,"Help us welcome Atlanta City Council member Andrea Boone to #TeamTomlinson. She serves as a member of the Atlanta City Council representing the citizens of District 10. Atlanta native, Councilmember Andrea Boone proudly served the citizens of Atlanta through her work in the office of former Atlanta City Councilmember C.T. Martin. She also served over seven years as the City of Atlanta Commissioner in the Mayor’s Office of Constituent Services. Boone is a proven advocate who has worked to champion the needs of the residents in her district. She is a proud member of Alpha Kappa Alpha Sorority Incorporated and a graduate of TUSKEGEE UNIVERSITY. We are honored to have Andrea Boone on the team to #SendPerduePacking. 🤜🏻🤛🏽",33,30,1,2,0,0,0,0,2891701274200666,TeresaPikeTomlinson,/story.php?story_fbid=2891701274200666&id=171730749531079
Teresa Tomlinson,,2020-03-01 11:12:21,"Thank you so much to Lauren, Marian, Amy and Rick for hosting a wonderful Meet and Greet in Decatur last night! We're ready to flip Georgia blue! #TeamTomlinson",49,42,2,5,0,0,0,5,2890130054357788,TeresaPikeTomlinson,/story.php?story_fbid=2890130054357788&id=171730749531079
Teresa Tomlinson,,2020-03-01 08:51:07,"Sojourn: Southern Jewish Resource Network for Gender and... 14th Annual Fundraiser, Purim Off Ponce at The Temple Atlanta.",18,17,1,0,0,0,0,0,2889885171048943,TeresaPikeTomlinson,/story.php?story_fbid=2889885171048943&id=171730749531079
Teresa Tomlinson,,2020-02-29 22:40:37,"Sojourn: 14th Annual Fundraiser, Purim Off Ponce at The Temple Atlanta.",24,22,0,2,0,0,0,0,2889039557800171,TeresaPikeTomlinson,/story.php?story_fbid=2889039557800171&id=171730749531079
Teresa Tomlinson,,2020-02-29 14:00:29,Have you been keeping up with all that we have been doing across the state this month? Check this out for a recap of what we've been up to! https://teresatomlinson.com/february-campaign-update/,41,32,1,7,0,0,1,0,2888313114539482,TeresaPikeTomlinson,/story.php?story_fbid=2888313114539482&id=171730749531079
Teresa Tomlinson,,2020-02-29 10:00:00,Did you see our endorsement from Judge Penny Brown Reynolds this week? Watch this video to hear more about why she agrees Teresa Tomlinson is the right choice for U.S. Senate!,39,34,1,4,0,0,0,0,2886143814756412,TeresaPikeTomlinson,/story.php?story_fbid=2886143814756412&id=171730749531079
Teresa Tomlinson,,2020-02-28 19:00:20,"Do you have your #TeamTomlinson t-shirt and water bottle yet? If not, head over to www.teresatomlinson.com/shop now!",4,4,0,0,0,0,0,0,2886613748042752,TeresaPikeTomlinson,/story.php?story_fbid=2886613748042752&id=171730749531079
Teresa Tomlinson,,2020-02-28 17:38:43,"On Monday, I had the wonderful privilege of visiting with the Concerned Black Clergy in Atlanta! I enjoyed being able to hear their concerns and excitement for Georgia's future. #TeamTomlinson",53,46,1,6,0,0,0,1,2886503491387111,TeresaPikeTomlinson,/story.php?story_fbid=2886503491387111&id=171730749531079
Teresa Tomlinson,,2020-02-28 07:14:20,Tune in TONIGHT at 7:00 pm on FOX 5 Atlanta to hear my discussion with Russ Spencer FOX 5 on The Road to November. We discuss everything from how Trump barely won Georgia in 2016 to Senator David Perdue’s vulnerability in the upcoming election.,48,43,1,4,0,0,0,3,2885443864826407,TeresaPikeTomlinson,/story.php?story_fbid=2885443864826407&id=171730749531079
Teresa Tomlinson,,2020-02-27 07:25:52,"Help us welcome Judge Penny Brown Reynolds to #TeamTomlinson. She touched millions of people with her internationally syndicated daytime TV court series, Family Court with Judge Penny.  A history maker, she became the first African-American in the country to serve as Executive Counsel for a Governor. She is a former prosecutor, state Assistant Attorney General, first African American Chief of Staff and legal counsel to Georgia’s Lieutenant Governor. #TeamTomlinson was thrilled to have Judge Penny Brown Reynolds speak at our Coffee and Campaigning event at Paschal's Restaurant this month. We are honored to have her dynamic energy on the team to #SendPerduePacking. 🤜🏻🤛🏽",43,34,2,7,0,0,0,0,2883354571702003,TeresaPikeTomlinson,/story.php?story_fbid=2883354571702003&id=171730749531079
Teresa Tomlinson,,2020-02-26 19:31:59,Sen. David Perdue has FAILED us. It's time for some change. #TeamTomlinson #GeorgiaGumption,109,87,7,14,0,0,1,7,2882371718466955,TeresaPikeTomlinson,/story.php?story_fbid=2882371718466955&id=171730749531079
Teresa Tomlinson,,2020-02-25 07:00:45,"We are honored to welcome Senator Ed Harbison to #TeamTomlinson. He was first elected to the Georgia Senate Democratic Caucus in 1992. He represents the citizens of Macon, Marion, Talbot, Taylor, and Schley counties as well as portions of Chattahoochee County and Muscogee County.  Ed Harbison served three tours in Vietnam and is responsible for legislation that designated Georgia as a Purple Heart State. He also established a separate court for Veterans in Georgia and the Georgia Military Veterans Hall of Fame.  Senator Harbison served in the U.S. Marines, is a Purple Heart recipient, and does so much for our Veterans. He holds the rank of Major in the Legislative Branch of the Civil Air Patrol and we are honored to have him on board with #TeamTomlinson to help #SendPerduePacking. 🤜🏻🤛🏽",47,39,0,7,0,0,1,0,2878687142168746,TeresaPikeTomlinson,/story.php?story_fbid=2878687142168746&id=171730749531079
Teresa Tomlinson,,2020-02-24 11:49:13,Thank you so much to our fantastic hosts for ending our day yesterday with two wonderful additional meet and greets in Decatur and Inman Park.  (Four in one day!) I’m so grateful for the support of each of you. #TeamTomlinson #GeorgiaGumption,45,43,1,1,0,0,0,4,2877641572273303,TeresaPikeTomlinson,/story.php?story_fbid=2877641572273303&id=171730749531079
Teresa Tomlinson,,2020-02-23 21:14:09,Each meet-n-greet is an exhilarating confirmation that Georgia is ready to flip. Thank you to our amazing hosts in Morningside and Roswell for pulling together these terrific events.,68,62,1,5,0,0,0,0,2876400275730766,TeresaPikeTomlinson,/story.php?story_fbid=2876400275730766&id=171730749531079
Teresa Tomlinson,,2020-02-23 16:00:11,Be sure to head to our online store to get your #TeamTomlinson merch today! shop.teresatomlinson.com #GeorgiaGumption,15,14,1,0,0,0,0,1,2875973829106744,TeresaPikeTomlinson,/story.php?story_fbid=2875973829106744&id=171730749531079
Teresa Tomlinson,,2020-02-23 13:48:57,Do you want a #TeamTomlinson yard sign to proudly display in your yard?  Sign up for one here: https://secure.ngpvan.com/q53taeRv4EuL8ZUEGQiSnQ2,87,73,2,11,0,0,1,13,2875768352460625,TeresaPikeTomlinson,/story.php?story_fbid=2875768352460625&id=171730749531079
Teresa Tomlinson,,2020-02-21 19:47:16,"Confused about the difference between Georgia's Presidential Preference date and Georgia's Primary Election for all other offices? Check out these graphics for key dates, including voter registration deadlines and election dates!",58,55,1,2,0,0,0,2,2872117949492332,TeresaPikeTomlinson,/story.php?story_fbid=2872117949492332&id=171730749531079
Teresa Tomlinson,,2020-02-21 15:33:11,"On Wednesday night, we got to visit with the DeKalb Young Democrats! Excited to see all generations eager to turnout in the 2020 elections! #TeamTomlinson #GeorgiaGumption",89,83,3,3,0,0,0,2,2871778839526243,TeresaPikeTomlinson,/story.php?story_fbid=2871778839526243&id=171730749531079
Teresa Tomlinson,,2020-02-20 18:17:04,Celebrated women running for and winning office at the Georgia's WIN List 20th Anniversary Legislative Luncheon today and heard a powerful discussion of how important it is to have women at the table! So proud to have supported WIN List from its beginning. #ElectMoreWomen,82,68,3,11,0,0,0,3,2869816943055766,TeresaPikeTomlinson,/story.php?story_fbid=2869816943055766&id=171730749531079
Teresa Tomlinson,,2020-02-19 22:07:07,Thank you so much to everyone for your birthday wishes today! I am so fortunate. 💕,32,27,1,4,0,0,0,8,2868038103233650,TeresaPikeTomlinson,/story.php?story_fbid=2868038103233650&id=171730749531079
Teresa Tomlinson,,2020-02-19 15:40:50,"On Teresa's birthday, a shout-out to the woman who made it happen: her mom. -- Team Tomlinson  Sign Teresa's birthday card here: https://secure.ngpvan.com/3oOXuR9NzkKH_jeKOlCxGw2",35,30,0,5,0,0,0,5,2867488733288587,TeresaPikeTomlinson,/story.php?story_fbid=2867488733288587&id=171730749531079
Teresa Tomlinson,,2020-02-19 10:28:57,"Help us wish a happy birthday to the woman who gives us all hope and who will be the next U.S. Senator from Georgia, Teresa Tomlinson! --Team Tomlinson 🎉🎁 Sign her birthday card here:  https://secure.ngpvan.com/3oOXuR9NzkKH_jeKOlCxGw2",147,122,1,23,0,0,1,76,2866974050006722,TeresaPikeTomlinson,/story.php?story_fbid=2866974050006722&id=171730749531079
