source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Texans For Stovall,,2020-03-04 17:41:41,"Dwayne here: Texans, I can’t express how much I appreciate all the support I have received. This campaign has made me love Texas and my fellow Texans more than ever. I’ve come to understand that “Putting Texas First” is not just a slogan, it’s a frame of mind that is spreading like wildfire. God bless each of you and your families, and God bless Texas. #DontMoveTheCenotaph",887,652,1,209,1,23,1,248,1465478406951078,TexansForStovall,/story.php?story_fbid=1465478406951078&id=468445316654397
Texans For Stovall,,2020-03-03 15:12:49,"It just keeps getting better, Texans! Listen up!",392,273,2,9,23,13,72,138,1464547777044141,TexansForStovall,/story.php?story_fbid=1464547777044141&id=468445316654397
Texans For Stovall,,2020-03-03 12:27:37,"Dwayne here: Direct Action Texas has established toll-free lines for reporting election administration issues, including potential fraud. Pass along these phone numbers to your family and friends. In addition to being displayed online, these numbers will be placed in communities where potential for fraud has been detected or has a pattern of occurring. English: 877-267-VOTE (8683) Spanish: 877-385-VOTA (8682) Email: tips@directactiontx.com",102,98,1,2,1,0,0,15,1464443073721278,TexansForStovall,/story.php?story_fbid=1464443073721278&id=468445316654397
Texans For Stovall,,2020-03-03 12:16:28,"March 3rd, 1836.  184 years ago today, John Cornyn would have most certainly been with Moses Rose. Vote Texas. Vote Stovall. #PuttingTexasFirst",115,100,10,5,0,0,0,12,1464435363722049,TexansForStovall,/story.php?story_fbid=1464435363722049&id=468445316654397
Texans For Stovall,,2020-03-03 09:36:42,"Dwayne here: My friend, Matt Patrick, God rest his soul, once interviewed John Cornyn about his unwillingness to fight for Texas, and he referenced the men of the Alamo as a example of how Texans will fight for what is right.  This was John Cornyn’s response: “Well, I understand what you're saying about the battle of the Alamo. That didn't turn out so well for the Texicans who fought there. I think that perhaps a better model is the Battle of San Jacinto where we actually won the war."" Let that sink in, Texans.  Vote Texas. Vote Stovall. #PuttingTexasFirst",1700,1200,11,39,215,32,215,318,1464308020401450,TexansForStovall,/story.php?story_fbid=1464308020401450&id=468445316654397
Texans For Stovall,,2020-03-02 21:02:45,2020 Primary Update,478,379,4,94,1,0,0,362,508153703457792,TexansForStovall,/story.php?story_fbid=508153703457792&id=468445316654397
Texans For Stovall,,2020-03-02 18:48:07,Facebook live tonight at 8:00 and John Cornyn has every reason to be worried.,277,239,3,35,0,0,0,36,1463773517121567,TexansForStovall,/story.php?story_fbid=1463773517121567&id=468445316654397
Texans For Stovall,,2020-03-02 14:34:22,,17,17,0,0,0,0,0,0,137152767609915,TexansForStovall,/events/137152767609915?view=permalink&id=137152770943248
Texans For Stovall,,2020-03-02 13:05:58,"Dwayne here: Texans, I wrote this I a while back, and never did anything with it, so I might as well share it.  ________ What makes an every-Texan run for United States Senate? Answer: selfishness. I just want to be left alone, and I know this government will never leave me alone. My name is Dwayne Stovall and I’m just an every-Texan. I’m a husband, a father, and a business owner. I work for myself and my family. I’m charitable where my heart calls me to be. I believe a man should own the property he purchases with the fruits of his labor. I believe the governmental structure under which we relate to each other should be as small as humanly possible and should exist only to secure our individual liberty and property.  In short, I’m a little [r] republican with Jeffersonian principles, and that makes me the conservative republican that the establishment big government leadership of the Republican Party no longer represents.  What makes me different than most candidates is that I have a deep historical knowledge of this office; what it can do, what it can’t do, and its primary purpose - which is to protect the best interests of Texas at all times. Sixteen years ago I began studying source documents from the founders in Philadelphia, to the delegates in the State Ratification Conventions, and more. Early in this self-study I developed an affinity for the U.S. Senate position because of its original design, which was to be, as George Mason described it, “a mechanism of self-defense” for the States. It was during this time that I began closely monitoring John Cornyn’s behavior in office, and started understanding just how bad he was for Texans and the future of Texas.  It doesn’t take the casual observer long to realize that Cornyn’s actions in office are completely predictable. When and if he ever speaks publicly, which is extremely rare outside of an election period, it is always the same old rhetoric; “Those Democrats” are the ones who want to grow the debt. THEY are the one who want to increase the spending. THEY are the ones who want to fund Planned Murderhood. THEY are the ones who want to give the government evermore unconstitutional powers. This is his only message and it has never ever changed. The problem with his message is that it is a lie. When I say Cornyn’s actions are predictable, this is what I mean: He stands in front of the camera and blames the Democrats for things like increasing the debt, increased spending, funding Planned Murderhood, and government overreach. Then when the camera is off, he goes to the floor of the chamber and votes with the Democrats for things like increasing the debt, increased spending, funding Planned Murderhood, and government overreach. He spends millions of dollars each election telling every conservative Texan that he is “just like you” just before negotiating with Dianne Feinstein to create “smart” infringements on our right to bear arms, or working with Beto to craft legislation that undermines the wall, or voting for illegal bailouts, DACA, anti-free market minimum wage increases, and allowing the federal government to illegally spy on law abiding Texans. And these are just a few examples. After many years of watching John Cornyn consistently vote with the Democrats on everything we conservative Texans hate, and then listening to him blame the Democrats for the very problems he helped create, I made the decision to run against him. So, in 2014, with only 70k dollars, I ran against John Cornyn and garnered almost 11% of the Republican Primary.  I decided almost immediately to run again and never really stopped campaigning. I have the largest campaign in Texas with between 1,000 and 1,500 volunteers, who are all drawn to the message of “Putting Texas First” and the belief that we must divest power away from this federal.  Texans, young and old, know that John Cornyn is everything that is wrong with DC today.  He’s not a fighter. He’s the SWAMP.  We Texans deserve better - much better - and we deserve to be left alone.  For more information, please go to: Web: DwayneStovall.com FB: www.facebook.com/texansforstovall Twitter: @DwayneStovall Instagram: Texans for Stovall",190,159,1,30,0,0,0,19,1463589017140017,TexansForStovall,/story.php?story_fbid=1463589017140017&id=468445316654397
Texans For Stovall,,2020-03-02 12:20:39,"Texans,  Having a family heritage of men who came here while this land was still Mexico, and who fought against tyranny for Texas independence, gives me a great admiration for this day in our history. It make me ponder the great sacrifices that were made to establish this wonderful State and to protect liberty. It also reminds me that today, 184 years later, liberty is once again under attack, and it is imperative that we respond. Yes, liberty is being destroyed, not by abrupt and abusive actions, but by silent and unseen consent; not with canons and other armaments, but with governmental policies and centralized power. As I write this, every aspect of the daily lives of Texans are ruled over from a distant town by people we do not know.  These are the same people who force us to be business partners with an organization that murders babies. These are the same people who use the government to spy on us without cause or consent. These are the same people who spend our earnings on things we do not approve of and then borrow more in our names. The same people who destroy our currency. The very same people who want to restrict our right to bear arms, and then expect us to thank them for it. From time to time throughout history, a generation is called upon to protect liberty. I truly believe that this is that time, and ours is that generation.  Brothers and sisters, divesting power away from that federal government and #PuttingTexasFirst has never been more important. We must come together to protect Texas - to protect liberty. We can. And I believe we will.  Happy Texas Independence Day.  May God bless each and every one of us, and may He continue to bless the great State of Texas.  In liberty, Dwayne Stovall 6th Generation Texian and (r) U.S. Senate Candidate",297,260,0,37,0,0,0,16,1463555270476725,TexansForStovall,/story.php?story_fbid=1463555270476725&id=468445316654397
