source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Tina Smith,,2020-04-30 17:58:07,One in three jobs held by women has been deemed “essential.” To all the women on the frontlines of this crisis: thank you from the bottom of my heart.,64,53,2,8,0,0,1,0,3238096786414528,TinaSmithMN,/story.php?story_fbid=3238096786414528&id=2040270322863853
Tina Smith,,2020-04-29 16:40:22,I am honored to receive the Moms Demand Action for Gun Sense in America Gun Sense Candidate distinction. We must take action to pass common-sense gun reform. Too many of our communities have been devastated by gun violence.  I am committed to continuing to make this a top priority of mine in the Senate. Thank you to Moms Demand Action for their leadership on ending gun violence in our communities.,138,120,2,16,0,0,0,0,3237088849848655,TinaSmithMN,/story.php?story_fbid=3237088849848655&id=2040270322863853
Tina Smith,,2020-04-28 17:09:10,"A national testing strategy is critical to safely reopening the economy again. Testing must not only be available and widespread, but also accessible to everyone. That’s why I worked so hard to make sure COVID-19 and antibody testing is free, even if you don’t have insurance.  How this administration has handled testing angers me. Unfortunately, in the Senate, we can’t legislate competence, but I am doing whatever I can to get the additional resources we need for testing and to push the administration to develop a plan.",44,40,2,1,0,0,1,0,3236159559941584,TinaSmithMN,/story.php?story_fbid=3236159559941584&id=2040270322863853
Tina Smith,,2020-04-27 11:12:11,We must do whatever we can to ensure our food workers are working in safe and sanitary conditions. Their health and well-being should be our top priority.,74,71,0,1,2,0,0,0,3234857390071801,TinaSmithMN,/story.php?story_fbid=3234857390071801&id=2040270322863853
Tina Smith,,2020-04-26 17:45:22,"This past week, the Senate passed another coronavirus relief package that included funding for our hospitals, testing, and small business loans. There is still a lot of work to be done. I won’t stop listening to your needs and advocating for you at every level.",99,91,0,7,0,0,1,0,3234114926812714,TinaSmithMN,/story.php?story_fbid=3234114926812714&id=2040270322863853
Tina Smith,,2020-04-25 18:24:12,"Climate change is an existential threat to humanity - and with #EarthDay earlier this week, it’s a great reminder of the bold action we need. Taking that action on climate change is good for our health, the economy and jobs, clean air and water, and it’s necessary for our future.",100,83,4,11,0,0,2,0,3233045296919677,TinaSmithMN,/story.php?story_fbid=3233045296919677&id=2040270322863853
Tina Smith,,2020-04-24 16:42:12,"I love spending time in the great outdoors, and our national parks are a special and protected place to do that. Happy National Park Week!",288,254,1,31,0,1,1,0,3231999397024267,TinaSmithMN,/story.php?story_fbid=3231999397024267&id=2040270322863853
Tina Smith,,2020-04-23 20:47:19,This week — and every week — our campaign is so grateful for all of our incredible volunteers that are a part of Team Tina. You are the lifeblood of our campaign. Thank you for all you do! #NationalVolunteerWeek,53,44,1,7,0,0,1,0,3231169620440578,TinaSmithMN,/story.php?story_fbid=3231169620440578&id=2040270322863853
Tina Smith,,2020-04-22 17:32:15,"Happy Earth Day! Today is an important reminder that we must be good stewards of our planet and commit to taking bold action to combat climate change. In the Senate, I have worked hard to advocate for policies to fix our climate crisis. And I promise you this: I won’t stop fighting — there’s too much at stake.",114,107,1,6,0,0,0,0,3230005900556950,TinaSmithMN,/story.php?story_fbid=3230005900556950&id=2040270322863853
Tina Smith,,2020-04-21 17:38:53,"Now more than ever, it’s important for us to be supporting Minnesota’s farmers. That’s why Minnesota Cooks - the Minnesota Farmers Union local foods outreach program - compiled a list of Minnesota family farms who are selling directly and safely to consumers. Find that list and a family farm near you here: www.minnesotacooks.org. Photo Credit: Katie Cannon",159,137,0,21,0,1,0,0,3228989853991888,TinaSmithMN,/story.php?story_fbid=3228989853991888&id=2040270322863853
