source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Veronica Fernandez for US Senate,,2020-05-01 13:05:26,"Follow the money and see how some lobbying works.  Our taxpayer dollars subsidize 8 of 10 ACA policies.  Millions of these dollars are spent by the healthcare industry to lobby and influence Congress and it works.  Laws are written and passed that benefit the industry, not policyholders.   Think it through.  In short, we pay ins companies to deny us coverage and increase our premiums and taxes.  That has gone on for too long and they need to be told no.  I will do that.  No more tax dollars spent on lobbying.  Vote me in to get them out.",0,0,0,0,0,0,0,0,133732541566693,VeronicaforNJ2020,/story.php?story_fbid=133732541566693&id=106647334275214
Veronica Fernandez for US Senate,,2020-05-02 11:42:51,"No makeup, full quarantine look.  Nothing fake here, just a real candidate who will provide real representation.  I have a lot of supporters, including a Mom who likes to sew❤️. Thank you!",13,7,0,6,0,0,0,0,134005621539385,VeronicaforNJ2020,/story.php?story_fbid=134005621539385&id=106647334275214
Veronica Fernandez for US Senate,,2020-04-30 08:49:10,8 out of 10 ACA policies are subsidized with billions of our tax payer dollars.  Millions go to CEO compensation while we are denied care and premiums increase.  So much waste.  Under M4A you pay for your own healthcare and not everyone else's.  Take the socialism out of healthcare!  https://www.taxpolicycenter.org/briefing-book/how-much-does-federal-government-spend-health-care,3,3,0,0,0,0,0,0,133367574936523,VeronicaforNJ2020,/story.php?story_fbid=133367574936523&id=106647334275214
Veronica Fernandez for US Senate,,2020-04-29 07:50:03,Want to show your support for Veronica 2020? Try out our profile picture frame!,1,0,0,1,0,0,0,0,133058248300789,VeronicaforNJ2020,/story.php?story_fbid=133058248300789&id=106647334275214
Veronica Fernandez for US Senate,,2020-04-28 08:44:52,"Here in New Jersey many of us pay nearly half our income on healthcare, one way or another. Cost continues to increase while benefits are reduced year after year. As a New Jersey licensed Property Casualty (including Health) underwriter for nearly twenty years, you can trust me when I say we are being ripped off. But many members of congress will tell you that we must keep private, employer-based insurance. Others will advocate for a public option. They all know that a single payer Medicare for All system is the best option for the American people, both financially and in actual care. But they continue to deny this because they rely on the profitable health insurance industry to support their reelection campaigns. Please visit https://www.veronica2020.com/issues for more information.",3,3,0,0,0,0,0,0,132747948331819,VeronicaforNJ2020,/story.php?story_fbid=132747948331819&id=106647334275214
Veronica Fernandez for US Senate,,2020-04-28 08:44:44,"SCOTUS got it right this time.  This victory for transparency is a victory against corruption.   Know your donors, follow the money, and make the connections to who gets represented.  What a mess.",0,0,0,0,0,0,0,0,132747904998490,VeronicaforNJ2020,/story.php?story_fbid=132747904998490&id=106647334275214
Veronica Fernandez for US Senate,,2020-04-26 10:13:36,Good morning NJ!  We are growing! More  platform coming this week! Feels great to fight back!,3,3,0,0,0,0,0,0,132175721722375,VeronicaforNJ2020,/story.php?story_fbid=132175721722375&id=106647334275214
Veronica Fernandez for US Senate,,2020-04-25 19:11:06,"Neither Democrats nor Republicans control Congress, money does. Voters and taxpayers don’t decide on legislation, money does. I am running to get the money out of Congress so that our representatives, regardless of party, can compromise and enact laws that benefit us the people. Between now and November, it will be my responsibility to work to earn your vote. Help me take the first step by signing my petition to get on the ballot.  https://www.veronica2020.com/ballot_petition",29,23,0,6,0,0,0,0,132005358406078,VeronicaforNJ2020,/story.php?story_fbid=132005358406078&id=106647334275214
Veronica Fernandez for US Senate,,2020-04-25 05:43:05,"For anyone who is interested in campaign finance and how it affects legislation, this is a great place to start.  WARNING:  It will get you motivated to contact your candidates and insist this be a policy priority.",2,2,0,0,0,0,0,0,131821238424490,VeronicaforNJ2020,/story.php?story_fbid=131821238424490&id=106647334275214
Veronica Fernandez for US Senate,,2020-04-24 14:17:00,"Imagine the medical bills resulting from Covid19.  Who will pay? Depends...did you contract the virus at work or elsewhere?  Ins companies have a long history of battling each other over which policy should respond and it is often up to the ""insured"" to prove whether they were injured at work or not.    Healthcare in our country is a mess on so many levels.  Navigating medical bills is exhausting.  First denials, then hours on the phone, then lost information, then more denials.  I've been there, done that TOO many times.  I so want to fight this fight.  When this nightmare is over, we will have a chance to rebuild and we need to get it right.  Vote me in!",3,3,0,0,0,0,0,0,131634791776468,VeronicaforNJ2020,/story.php?story_fbid=131634791776468&id=106647334275214
