source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Victor Harris for U.S. Senate,,2020-03-02 19:26:18,Message from Col. Victor Harris to Texas Vets:  Help me once again put PEOPLE FIRST. Serve the vets who served you!,7,7,0,0,0,0,0,0,135466727977997,Victorfortexas,/Victorfortexas/photos/a.115625096628827/135466727977997
Victor Harris for U.S. Senate,,2020-02-23 09:57:36,We don't need open borders or closed borders ... we need controlled borders. #sanctuarycountry,6,6,0,0,0,0,0,0,132868114904525,Victorfortexas,/story.php?story_fbid=132868114904525&id=111948866996450
Victor Harris for U.S. Senate,,2020-02-23 06:48:59,"It doesn't just mean for the GOP, folks. WE ARE TEXAS DEMOCRATS.",4,4,0,0,0,0,0,2,132821898242480,Victorfortexas,/story.php?story_fbid=132821898242480&id=111948866996450
Victor Harris for U.S. Senate,,2020-02-19 17:41:43,My highlights and core message from last night's debates.  PLEASE SUPPORT US:  https://secure.actblue.com/donate/friends-of-victor-h-harris-1,8,5,0,3,0,0,0,0,131703801687623,Victorfortexas,/story.php?story_fbid=131703801687623&id=111948866996450
Victor Harris for U.S. Senate,,2020-02-18 18:40:41,"Don't miss the debate for the Texas Democratic Party US Senate primary! And support us for credible, qualified leadership!  #VoteTexas",6,6,0,0,0,0,0,0,131396351718368,Victorfortexas,/story.php?story_fbid=131396351718368&id=111948866996450
Victor Harris for U.S. Senate,,2020-02-14 07:35:30,https://www.kvue.com/article/news/politics/vote-texas/us-senate-debate-democrat-candidates-against-john-cornyn-kvue-texas-tribune-kut/269-0e67674f-0f0d-4f32-a596-8051280b6447,10,9,0,1,0,0,0,0,129937461864257,Victorfortexas,/story.php?story_fbid=129937461864257&id=111948866996450
Victor Harris for U.S. Senate,,2020-02-08 10:00:46,Updated video with our latest 'exit' montage,5,4,0,1,0,0,0,0,801738113632852,Victorfortexas,/story.php?story_fbid=801738113632852&id=111948866996450
Victor Harris for U.S. Senate,,2020-02-07 10:56:16,"America is unique among nations in that it draws its people, its wealth, its strength --- its lifeforce --- from every country, of every corner of the globe. If we ever shut the door, & forget this is the source of our strength, America's greatness will soon be lost.  #OpenYourGoldenGate #teardownthiswall",5,3,1,1,0,0,0,2,127467932111210,Victorfortexas,/story.php?story_fbid=127467932111210&id=111948866996450
Victor Harris for U.S. Senate,,2020-02-07 10:56:10,Updated video with our latest 'exit' montage,3,3,0,0,0,0,0,0,127468048777865,Victorfortexas,/story.php?story_fbid=127468048777865&id=111948866996450
Victor Harris for U.S. Senate,,2020-02-03 20:20:40,"4 yrs ago, Democrats 'pre-selected' a flawed nominee and IGNORED Bernie Sanders. Did DSCC make same mistake by allowing Sen. Schumer to 'pre-select' M.J. Hegar? #Victor4Texas #Victor4Victory #Victor2020Texas",60,24,20,0,2,1,13,62,126142825577054,Victorfortexas,/story.php?story_fbid=126142825577054&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-29 10:00:14,"To quote the late Senator Edward (Ted) Kennedy, ""the lion of the Senate,""  ""The commitment I seek is not to outworn views but to old values that will never wear out. """,5,4,0,0,0,1,0,2,817489002093451,Victorfortexas,/story.php?story_fbid=817489002093451&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-28 17:03:32,"Help me, help Texas get the right kind of leadership! Let's DEFEAT Sen. Cornyn! #Victor4Texas #VictorForTX2020",147,73,50,8,2,0,14,82,123565759168094,Victorfortexas,/story.php?story_fbid=123565759168094&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-28 16:15:24,,9,8,0,0,0,0,1,0,586822642100326,Victorfortexas,/story.php?story_fbid=586822642100326&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-28 13:32:45,"This past weekemd I am chance to do a segment with austin ABC's  ""THIS WEEK, TEXAS,"" with host Ashley Goudeau. @AshleyG_KVUE",33,16,2,0,1,0,14,28,123473175844019,Victorfortexas,/story.php?story_fbid=123473175844019&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-28 13:32:07,,13,11,0,2,0,0,0,2,123473325844004,Victorfortexas,/story.php?story_fbid=123473325844004&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-28 13:32:04,"To quote the late Senator Edward (Ted) Kennedy, ""the lion of the Senate,""  ""The commitment I seek is not to outworn views but to old values that will never wear out. """,2,2,0,0,0,0,0,0,123473349177335,Victorfortexas,/story.php?story_fbid=123473349177335&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-20 15:32:34,"Some want to make America small, but today, let's remember that America can be as big as it wants to be. Great principles don't get lost once they come to light; they're right here. You just have to see them again.",2,2,0,0,0,0,0,1,120043076187029,Victorfortexas,/story.php?story_fbid=120043076187029&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-19 22:59:20,,1,0,0,0,1,0,0,0,119711586220178,Victorfortexas,/story.php?story_fbid=119711586220178&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-18 15:30:17,Visit my webpage at ,35,29,0,6,0,0,0,7,119076889616981,Victorfortexas,/Victorfortexas/photos/a.111948950329775/119076889616981
Victor Harris for U.S. Senate,,2020-01-13 14:41:07,"Immigration is our strength, not our liability. America has and always will be a ""nation of immigrants,"" & the moment we forget this is the moment we lost what makes America strong.  #Victor4Victory #VictorForSenate2020",14,7,0,0,0,0,7,31,116622856529051,Victorfortexas,/story.php?story_fbid=116622856529051&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-13 14:24:39,"Immigration is our strength, not our liability. America has and always will be a ""nation of immigrants,"" & the moment we forget this is the moment we lost what makes America strong.  #Victor4Victory #VictorForSenate2020",1,1,0,0,0,0,0,0,114706536720683,Victorfortexas,/story.php?story_fbid=114706536720683&id=111948866996450
,,2020-01-07 00:34:19,,0,0,0,0,0,0,0,0,112080030316667,Victorfortexas,/ufi/reaction/profile/browser/?ft_ent_identifier=112063193651684&refid=17&_ft_=top_level_post_id.112080030316667%3Atl_objid.112080030316667%3Apage_id.111948866996450%3Aphoto_attachments_list.%5B112079876983349%2C112079853650018%2C112079990316671%2C112079950316675%5D%3Aphoto_id.112079876983349%3Astory_location.4%3Astory_attachment_style.new_album%3Atds_flgs.3%3Apage_insights.%7B%22111948866996450%22%3A%7B%22page_id%22%3A111948866996450%2C%22actor_id%22%3A111948866996450%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1578375259%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B112079876983349%2C112063193651684%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A111948866996450%2C%22page_id%22%3A111948866996450%2C%22post_id%22%3A112079876983349%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A111948866996450%2C%22page_id%22%3A111948866996450%2C%22post_id%22%3A112063193651684%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.111948866996450%3A306061129499414%3A43%3A0%3A1585724399%3A-3224222764197268012&__tn__=%2AW-R#footer_action_list
Victor Harris for U.S. Senate,,2020-01-12 01:37:06,,1,1,0,0,0,0,0,0,115790383278965,Victorfortexas,/story.php?story_fbid=115790383278965&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-11 17:28:25,My political philosophy at its most elemental.,1,1,0,0,0,0,0,0,115625103295493,Victorfortexas,/story.php?story_fbid=115625103295493&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-10 07:07:54,"Want to come, but can't make it? WATCH joint press conference, courtesy of our page. Livestream from network affiliates will be posted for your convenience! #VictorForSenate2020 #Victor4TX",2,2,0,0,0,0,0,0,114742583383745,Victorfortexas,/story.php?story_fbid=114742583383745&id=111948866996450
Victor Harris for U.S. Senate,,2020-01-10 05:52:47,,3,3,0,0,0,0,0,0,114697320054938,Victorfortexas,/story.php?story_fbid=114697320054938&id=111948866996450
