source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Josh Wheeler For U.S. Senate,,2020-04-30 11:05:09,Another bouncing Baby Boy. We are so blessed,82,65,0,17,0,0,0,0,897315474073341,Wheeler4Wyoming,/story.php?story_fbid=897315474073341&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-04-25 09:33:19,"As a combat Veteran, I know what it means to stand by my oath. I am very concerned about many things in this great country. For instance, our national debt, the broken VA system,  and lack of physical responsibility to name a few. Learn more about me May, 20th at 5:30pm, with a backup date of June, 10th at 5:30pm. Come speak with me in person, and enjoy some great food. Let us all help our President drain the swamp, and not put another career politician into place.",225,199,10,11,2,2,1,0,893657797772442,Wheeler4Wyoming,/story.php?story_fbid=893657797772442&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-04-22 10:44:00,"This should fix that problem. I mean it works for gun free zones, does it not??🤔🤔🤔 😂😂😂🤣🤣🤣",43,18,25,0,0,0,0,0,891463887991833,Wheeler4Wyoming,/story.php?story_fbid=891463887991833&id=551369002001325
"Josh Wheeler For U.S. Senate,Breitbart",,2019-04-19 14:16:05,Knowing our history is Knowledge. Knowledge is power.  https://www.facebook.com/95475020353/posts/10162833017420354/It happened today...in 1775.,24,19,0,5,0,0,0,0,889246134880275,Wheeler4Wyoming,/story.php?story_fbid=889246134880275&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-04-17 13:29:36,"I will be in Cheyenne Friday and Saturday, if you want a yard sign, Drop me a PM with your address. Stay safe and wash your hands.",26,21,1,4,0,0,0,0,887807865024102,Wheeler4Wyoming,/story.php?story_fbid=887807865024102&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-04-10 16:45:36,,10,9,0,1,0,0,0,0,882521345552754,Wheeler4Wyoming,/Wheeler4Wyoming/photos/a.551370592001166/882521345552754
Josh Wheeler For U.S. Senate,,2020-04-10 10:26:31,Country Of Origin Label (COOL). This should be a thing. https://m.youtube.com/watch?feature=youtu.be&v=g1_d6EeBOQs,31,27,0,4,0,0,0,0,882307602240795,Wheeler4Wyoming,/story.php?story_fbid=882307602240795&id=551369002001325
,,2020-04-09 18:18:36,,62,55,0,7,0,0,0,0,658641361377888,Wheeler4Wyoming,/story.php?story_fbid=658641361377888&id=551369002001325
,,2020-04-02 09:57:11,,24,19,1,4,0,0,0,0,223677402208571,Wheeler4Wyoming,/story.php?story_fbid=223677402208571&id=551369002001325
,,2020-03-25 14:38:22,,1,1,0,0,0,0,0,0,922040121567528,Wheeler4Wyoming,/events/922040121567528?view=permalink&id=922040124900861
Josh Wheeler For U.S. Senate,,2020-03-25 01:54:59,"The reports are that the truckers are getting supplies to the stores. People are stocking the shelves all night and letting old people shop first. Carnival Cruise line told Trump “We can match those big Navy Hospital ships with some fully staffed cruise ships” GM said hold our cars and watch this; we can make those ventilators where we were making cars starting next week. Women and children are making homemade masks and handing out snacks to truckers. Restaurants and schools said, We’ve got kitchens and staff; we can feed kids.” Churches are holding on-line services and taking care of their members and community. NBA basketball players said, “Hold our basketballs while we write checks to pay the arena staff.” Construction companies said, “Here are some masks for the medical staff and doctors”. Breweries are making sanitizer out of the left-over ingredients. We thought we couldn’t live without Baseball, NASCAR, NBA or going to the beach, restaurants or a bar. Instead, we’re trying to keep those businesses open by ordering take-out. And many are making a difference by just being still, a virtue thought to be lost.  What communist China didn't count on was America saying ""Hey, hold my beer and watch this."" I think a Japanese Admiral in the middle of the Pacific said it best in 1941, ""I think we have awakened a sleeping giant."" Give us a few more weeks (maybe months) and we will be doing much better! And stop listening to the hysterical media!! Sharing this from another FB friend. The best post I’ve seen this year!  We have a wonderful country and an amazing God. I know we will be ok .🇺🇸🙏🏻🙌🏻🙏🏻🇺🇸 #unitedwestand #merica",46,33,0,12,1,0,0,0,870027973468758,Wheeler4Wyoming,/story.php?story_fbid=870027973468758&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-03-24 12:32:00,Save the Date May 20th.  Fundraiser dinner. More details to come.,13,12,0,0,1,0,0,0,869636970174525,Wheeler4Wyoming,/story.php?story_fbid=869636970174525&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-03-10 20:25:02,I am looking at doing a fundraiser dinner in Casper. $100.00 per ticket. 100 to 250 people is the range for the venues I have looked at. If you would like to attend just say yes and what you would want to eat. THIS IS NOT SET UP YET! THIS IS JUST TO GET AN INITIAL COUNT.,11,11,0,0,0,0,0,0,859852261152996,Wheeler4Wyoming,/story.php?story_fbid=859852261152996&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-02-28 17:23:03,New publication Fighting4wyoming.com/my-strong-stance,18,15,0,3,0,0,0,0,852100818594807,Wheeler4Wyoming,/story.php?story_fbid=852100818594807&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-02-27 16:01:37,I am going to be a proud father for the 2nd time. God blessed my wife and I with another bundle of joy.,126,89,0,36,1,0,0,0,851359042002318,Wheeler4Wyoming,/story.php?story_fbid=851359042002318&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-02-26 21:16:02,,35,32,0,3,0,0,0,0,850811228723766,Wheeler4Wyoming,/Wheeler4Wyoming/photos/a.551369025334656/850811228723766
Josh Wheeler For U.S. Senate,,2020-02-07 05:43:35,https://imgflip.com/i/3o5oxk,31,7,23,1,0,0,0,0,836831123455110,Wheeler4Wyoming,/story.php?story_fbid=836831123455110&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-02-01 16:55:59,My wife and I will be attending. Come listen to the candidates that show up.  https://facebook.com/events/s/2020-lcgop-lincoln-day-dinner/529567120987474/?ti=as,5,4,0,1,0,0,0,0,833111770493712,Wheeler4Wyoming,/story.php?story_fbid=833111770493712&id=551369002001325
Josh Wheeler For U.S. Senate,,2020-01-29 16:14:28,I have added a letter to my constituents. Let me know what you think. Fighting4wyoming.com,8,8,0,0,0,0,0,0,830957324042490,Wheeler4Wyoming,/story.php?story_fbid=830957324042490&id=551369002001325
,,2020-01-07 16:25:27,,4,4,0,0,0,0,0,0,2498156100442989,Wheeler4Wyoming,/events/2498156100442989?view=permalink&id=2498156110442988
Josh Wheeler For U.S. Senate,,2019-12-25 13:20:12,,22,22,0,0,0,0,0,0,801681063636783,Wheeler4Wyoming,/story.php?story_fbid=801681063636783&id=551369002001325
Josh Wheeler For U.S. Senate,,2019-12-15 11:04:37,Merry Christmas and happy new year,8,6,0,2,0,0,0,0,792741537864069,Wheeler4Wyoming,/story.php?story_fbid=792741537864069&id=551369002001325
