source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Amun for United States Senate from Georgia,,2020-02-28 15:46:27,,0,0,0,0,0,0,0,0,2949749178585046,amun4senate,/story.php?story_fbid=2949749178585046&id=2451670588392910
Amun for United States Senate from Georgia,,2020-02-28 09:01:02,Check it out.,0,0,0,0,0,0,0,0,2949457135280917,amun4senate,/story.php?story_fbid=2949457135280917&id=2451670588392910
Amun for United States Senate from Georgia,,2020-02-23 01:06:44,I will support you Bernie Sanders U.S. Senator Bernie Sanders,0,0,0,0,0,0,0,0,2944797079080256,amun4senate,/story.php?story_fbid=2944797079080256&id=2451670588392910
Amun for United States Senate from Georgia,,2020-02-21 15:34:02,I filed paperwork for a Super PAC earlier today. Upward. Pro-Marijuana Pro-Union Modernization of Transportation Solutions More information next week. @amun4senate,0,0,0,0,0,0,0,0,2943555262537771,amun4senate,/story.php?story_fbid=2943555262537771&id=2451670588392910
Amun for United States Senate from Georgia,,2020-02-20 08:12:20,"Support real people, running for political office who champion real issues for the betterment of America.",0,0,0,0,0,0,0,0,2942302419329722,amun4senate,/story.php?story_fbid=2942302419329722&id=2451670588392910
Amun for United States Senate from Georgia,,2020-02-19 15:29:07,"Show your support for a Georgian driven by a desire to create a better Georgia, a better America, and a future we all can be proud of. @amun4senate  Amun for United States Senate from Georgia",0,0,0,0,0,0,0,0,2941725959387368,amun4senate,/story.php?story_fbid=2941725959387368&id=2451670588392910
Amun for United States Senate from Georgia,,2020-01-31 14:54:43,The people deserve politicians who protect the integrity of this great land.,0,0,0,0,0,0,0,1,2925055777721053,amun4senate,/story.php?story_fbid=2925055777721053&id=2451670588392910
Amun for United States Senate from Georgia,,2020-01-27 17:49:10,,0,0,0,0,0,0,0,0,2921762108050420,amun4senate,/story.php?story_fbid=2921762108050420&id=2451670588392910
Amun for United States Senate from Georgia,,2020-02-13 17:03:05,I will support it.,3,2,1,0,0,0,0,1,2936403283252969,amun4senate,/story.php?story_fbid=2936403283252969&id=2451670588392910
Amun for United States Senate from Georgia,,2020-01-29 18:12:13,‪I completed a survey earlier. Here is a short regarding my response. You and I have more in common than you and them. ‬ ‪===‬ ‪@amun4senate #USSenate #Vote2020 #Georgia #gapol ‬,1,1,0,0,0,0,0,0,2923434781216486,amun4senate,/story.php?story_fbid=2923434781216486&id=2451670588392910
Amun for United States Senate from Georgia,,2020-01-05 18:15:40,,0,0,0,0,0,0,0,0,2899768630249768,amun4senate,/story.php?story_fbid=2899768630249768&id=2451670588392910
