source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Bill Cassidy,,2020-03-05 15:53:28,#TBT to when I announced my re-election campaign last month. I want another six years to continue to listen to you and be Louisiana’s voice in Washington. We must continue to solve real issues for Louisiana families.,183,126,34,15,1,1,6,61,10156784133106776,billcassidy,/story.php?story_fbid=10156784133106776&id=80987211775
Bill Cassidy,,2020-03-05 11:23:22,"Earlier this week, I received the complete and total endorsement of President Trump. Together, we will continue to bring success to American families.  https://www.theadvocate.com/baton_rouge/news/politics/article_24c6594a-5cbf-11ea-9dcb-ebb0cfd66611.html",468,376,43,42,0,2,5,72,10156784130546776,billcassidy,/story.php?story_fbid=10156784130546776&id=80987211775
Bill Cassidy,,2020-03-04 16:08:41,"The coronavirus is serious, but some are trying to stoke public fear for political gain against President Trump.  https://apnews.com/d36d6c4de29f4d04beda3db00cb46104",172,90,23,1,4,10,44,77,10156784128151776,billcassidy,/story.php?story_fbid=10156784128151776&id=80987211775
Bill Cassidy,,2020-03-04 11:15:01,We must take the politics out of the preparations for the coronavirus. The only thing we have to fear is the fear of the virus itself. The Trump administration is making sure we are prepared.,140,114,24,1,1,0,0,68,10156784124676776,billcassidy,/story.php?story_fbid=10156784124676776&id=80987211775
Bill Cassidy,,2020-03-03 16:00:11,This is a great week for Louisiana baseball! LSU vs SLU tonight and LSU vs Grambling tomorrow.  https://www.theadvocate.com/baton_rouge/sports/lsu/article_c5759fee-5ce8-11ea-b333-63dac6442223.html,18,16,2,0,0,0,0,0,10156781524676776,billcassidy,/story.php?story_fbid=10156781524676776&id=80987211775
Bill Cassidy,,2020-03-03 11:14:00,"Today is Super Tuesday. Democrats get the opportunity to go to the polls to pick their favorite socialist, while Republicans can focus on the success America will continue to see under the next four years of President Donald Trump.",696,533,71,70,1,2,19,204,10156781521761776,billcassidy,/story.php?story_fbid=10156781521761776&id=80987211775
Bill Cassidy,,2020-03-02 20:41:04,THANK YOU Donald J. Trump for endorsing my re-election campaign for U.S. Senate! I look forward to continuing to work alongside you to Keep America Great! Sign up to join President Trump on Team Cassidy here >>> http://bit.ly/JOIN-TEAM-CASSIDY,804,609,93,84,2,3,13,125,10156780151061776,billcassidy,/story.php?story_fbid=10156780151061776&id=80987211775
Bill Cassidy,,2020-03-02 16:08:49,Thank you President Trump for your support! I'm looking forward to continuing our work to solve real issues for Louisiana families.,481,351,78,43,1,2,6,93,10156779627226776,billcassidy,/story.php?story_fbid=10156779627226776&id=80987211775
Bill Cassidy,,2020-03-01 15:46:02,Did you know that Mike Bloomberg has donated almost $14 million to Planned Parenthood? The fight to protect the lives of unborn babies has never been more necessary than it is now. Join me in protecting millions of unborn children by adding your name below:,100,62,19,1,2,4,12,61,10156769396301776,billcassidy,/story.php?story_fbid=10156769396301776&id=80987211775
Bill Cassidy,,2020-03-01 11:01:52,"Since day one, I’ve been committed to finding real solutions to the real issues Louisiana families face. Sign up today to join Team Cassidy and be a part of this fight for Louisiana:",157,100,45,10,0,0,2,51,10156769393236776,billcassidy,/story.php?story_fbid=10156769393236776&id=80987211775
Bill Cassidy,,2020-02-29 14:14:53,I’m running for re-election to continue to solve real issues for Louisiana Families. To bring more of the national success we’ve achieved here to our state.,382,263,65,31,2,8,13,120,10156769388936776,billcassidy,/story.php?story_fbid=10156769388936776&id=80987211775
Bill Cassidy,,2020-02-28 17:40:48,Medicare-for-All is Medicare-for-NONE. Taxpaying Americans should not be stuck with the 52 Trillion dollar price bill that the Left is proposing. Add your name and join me in saying NO to Medicare-for-All:,109,72,15,1,0,1,20,79,10156769386221776,billcassidy,/story.php?story_fbid=10156769386221776&id=80987211775
