source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Cal Cunningham,,2020-03-03 20:42:17,"Thank you, North Carolina. I am honored to be your Democratic nominee for U.S. Senate.",2000,1300,3,691,5,0,1,311,10151407202889990,calfornc,/story.php?story_fbid=10151407202889990&id=111428049989
Cal Cunningham,,2020-03-03 16:54:00,"Thank you to everyone who is voting and volunteering today, even in the rain! And a special thanks to my family members who are going the extra mile to help our campaign. There’s still time to get to the polls—find your location here: vt.ncsbe.gov/PPLkup/",657,566,1,90,0,0,0,60,10151407078129990,calfornc,/story.php?story_fbid=10151407078129990&id=111428049989
Cal Cunningham,,2020-03-03 08:00:05,"When you see my name on your ballot, it’s not just me on your ballot: It’s access to health care. It's an investment in public education. It’s taking on climate change. Please don’t wait to make your voice heard. You can find your polling place here: https://vt.ncsbe.gov/PPLkup/",425,369,2,53,1,0,0,46,10151406716924990,calfornc,/story.php?story_fbid=10151406716924990&id=111428049989
"Cal Cunningham,NaShonda L Bender-Cooke",NaShonda L Bender-Cooke,2020-03-02 20:22:45,"I hear all the time, “Girl, you should run for office!” That’s not my walk. I don’t speak much on politics anymore because I decided to be a mom first. And at the end of the day, teaching is my calling. The closest I’ll get to politics is always advocating. I need to keep my daughters safe and be there for my students. However, every once in awhile someone will reignite my political interest and I become an avid supporter. Cal Cunningham for U.S. Senate is that someone. I’ve watched his career for quite some time. I’ve had several conversations with him and most importantly watched him do the work, from representing families and educators to honoring and supporting students. He is exactly who we need to get things done right and feel safe and secure about North Carolina’s future. I voted for him and I hope you will too!",148,133,0,15,0,0,0,0,10151406386554990,calfornc,/story.php?story_fbid=10151406386554990&id=111428049989
,,2020-03-01 20:58:04,,0,0,0,0,0,0,0,0,10151405681084990,calfornc,/ufi/reaction/profile/browser/?ft_ent_identifier=10151405680189990&refid=17&_ft_=top_level_post_id.10151405681084990%3Atl_objid.10151405681084990%3Apage_id.111428049989%3Aphoto_attachments_list.%5B10151405680344990%2C10151405680824990%2C10151405681004990%2C10151405681229990%5D%3Aphoto_id.10151405680344990%3Astory_location.4%3Astory_attachment_style.new_album%3Atds_flgs.3%3Apage_insights.%7B%22111428049989%22%3A%7B%22page_id%22%3A111428049989%2C%22actor_id%22%3A111428049989%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1583114284%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B10151405680344990%2C10151405680189990%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A111428049989%2C%22page_id%22%3A111428049989%2C%22post_id%22%3A10151405680344990%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A111428049989%2C%22page_id%22%3A111428049989%2C%22post_id%22%3A10151405680189990%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.111428049989%3A306061129499414%3A43%3A0%3A1585724399%3A4625417286948049650&__tn__=%2AW-R#footer_action_list
Cal Cunningham,,2020-03-02 14:34:58,"The ACA has saved lives, but as long as Thom Tillis is in Washington, North Carolinians can’t trust him to defend it. When I’m in the Senate, I will always protect folks with pre-existing conditions.",273,234,0,31,2,2,4,20,10151406197274990,calfornc,/story.php?story_fbid=10151406197274990&id=111428049989
Cal Cunningham,,2020-03-02 08:34:52,ICYMI: A new poll in our race has us 5 POINTS ahead of Thom Tillis. We can—and we will—replace him this fall. Help us make sure we’ve got the resources to do it:,1100,831,2,317,3,0,0,104,10151405935719990,calfornc,/story.php?story_fbid=10151405935719990&id=111428049989
Cal Cunningham,,2020-03-01 14:32:40,"Excited to be in Western North Carolina today, and enjoyed lunch with folks in Hendersonville this afternoon. Thank you to Josh Remillard for NC House 117 for hosting us, and for his kind words about our campaign!",233,208,0,25,0,0,0,9,10151405495609990,calfornc,/story.php?story_fbid=10151405495609990&id=111428049989
Cal Cunningham,,2020-03-01 12:20:32,Harvey Gantt is a true trailblazer in North Carolina politics. It is such an honor to have his endorsement in this race.,574,488,1,84,1,0,0,17,10151405402674990,calfornc,/story.php?story_fbid=10151405402674990&id=111428049989
"Cal Cunningham,Floyd B. McKissick Jr.",Floyd B. McKissick Jr.,2020-02-29 15:07:41,"Thank you, Floyd, for your kind words! I’m so thankful to have your support in this race.A Visit by Cal Cunningham to Durham Recently, Cal Cunningham, who is running in the Democratic Primary to become the party’s nominee to run against US Senator Tom Tillis, held a well-attended listening tour here in Durham during which he shared his thoughts and perspectives on the issues facing our state and our country, but, more importantly, he listened to concerns expressed by everyday people right here in our community. I’ve known Cal for close to two decades, and he served our state admirably as a Member of the NC Senate in addition to serving in the military. I would encourage you to read and learn more about his campaign and his capacity to defeat Tom Tillis and to serve our State in Washington.",259,223,0,36,0,0,0,18,10151404849784990,calfornc,/story.php?story_fbid=10151404849784990&id=111428049989
