source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Chris Coons,,2020-03-07 17:21:07,"I’m in Alabama this weekend participating in the annual Congressional Civil Rights pilgrimage.  It’s an inspiring reminder of how far we’ve come but it’s also a sobering reminder of all the work we still have ahead. This pilgrimage is moving, emotional, and challenging.  We’ve visited memorials to the victims of lynching and seen markers of the slave trade, but we’ve also celebrated the civil rights heroes who have fought for justice and equality.",113,100,1,11,0,0,1,15,10157264561697198,chriscoons,/story.php?story_fbid=10157264561697198&id=7209432197
Chris Coons,,2020-03-04 12:10:55,"In Delaware, we never stopped believing in Joe Biden because he never stopped believing in us.  Now, Americans across the country are sending a clear message: Joe is the candidate to unite our party and defeat Donald Trump.  Chip in to help Joe keep up the momentum today >> https://secure.actblue.com/donate/coons-for-biden",290,219,22,44,0,0,5,60,10157254889352198,chriscoons,/story.php?story_fbid=10157254889352198&id=7209432197
Chris Coons,,2020-03-04 08:00:37,"I had a great time with so many energized Delaware Democrats at the Stitch House Brewery in Wilmington last night watching the Super Tuesday results come in. I was so glad to spend time with Cassandra Marshall, the Wilmington City Committee Democratic Chair, Traci Murphy and Mallory Nugent, two inspiring advocates for gun safety, State Senator Tizzy Lockman, our state party chair, Erik Raser-Schramm, and so many others.   Thanks so much to everyone who came out!",151,132,4,13,0,0,2,16,10157254319752198,chriscoons,/story.php?story_fbid=10157254319752198&id=7209432197
Chris Coons,,2020-03-02 15:23:16,"This is what's at stake in 2020. Republicans and President Trump will continue to do everything they can to repeal the Affordable Care Act (including protections for Americans with pre-existing conditions and more). They have no plan to replace it. They never have. Their only plan is repeal. Delawareans and Americans deserve better - we should be working to improve the Affordable Care Act, but to do that, we need to win in November.",106,61,7,3,2,7,26,45,10157249589167198,chriscoons,/story.php?story_fbid=10157249589167198&id=7209432197
Chris Coons,,2020-02-28 10:57:34,"One year ago this week, the House of Representatives passed the Bipartisan Background Checks Act. It’s a commonsense bill, with bipartisan support, that would help protect our families and our communities from gun violence, but for a year now, Mitch McConnell and Senate Republicans have refused to even bring it up for a vote. Since they won't act, we must. If we're going to finally address gun violence, we need to re-take the Senate and finally get to work.",115,76,0,5,2,3,29,39,10157239517927198,chriscoons,/story.php?story_fbid=10157239517927198&id=7209432197
Chris Coons,,2020-02-24 12:06:10,"This week, Senate Republicans are planning to force votes on two pieces of legislation that are designed as political attacks on a woman's right to choose.  I will not allow Republicans to take away women's access to the health care they need - and I'm proud to be endorsed this year by Planned Parenthood.",2800,1900,7,104,22,157,571,176,10157228001177198,chriscoons,/story.php?story_fbid=10157228001177198&id=7209432197
"Chris Coons,Wilmington Democrats",Wilmington Democrats,2020-02-21 19:38:43,"Thank you, Councilman Freel, for your tireless service and advocacy for our city and everyone who calls it home.At Thursday night's City Council meeting, Councilman Bud Freel announced his retirement from Council.  On behalf of all Wilmington Democrats, we thank you, Councilman Freel, for your outstanding service to this city and to everyone in it.  It's bittersweet for us, though, as Councilman Freel has been a steady and strong voice for us in this City's government for 26 years. Few of us don't have a story of Councilman Freel taking an interest in a problem or issue we were dealing with and then going the extra mile to help find a resolution.  It never mattered where you lived in the City, his commitment to Constituent Service compels him to respond to any Wilmingtonian who calls for help to cut through red tape or to advocate for a fix to a local issue.  His vision of committed Constituent Service also means that he is regularly taking a hard look at operational best practices from other cities that could be implemented here to make our City's government more effective.  When you work with Councilman Freel, you know you are working with a real Public Servant -- someone who is laser-focused on improving our city and helping all of its citizens because that is how we ALL rise.  We forget in this ratings-focused age that there are still people doing the heroic work of genuine Public Service.  Public service is a real calling and those who respond to that call well are valuable and rare.  It's been our privilege to have you represent us these past 26 years, Councilman Freel.  We look forward to your work for the rest of your term and to thanking you in person for your commitment to Wilmington and to all of us.",52,42,1,7,0,0,2,12,10157221881732198,chriscoons,/story.php?story_fbid=10157221881732198&id=7209432197
Chris Coons,,2020-02-21 12:57:50,"I'm so honored to be endorsed by the Brady Campaign to Prevent Gun Violence.  We need bold action right now to stop our epidemic of gun violence, and I'm ready to act.  Here in Delaware and all across the country, we need to strengthen background checks, take weapons of war off of our streets, limit the sale of high capacity magazines, and give law enforcement better tools to ensure that weapons do not remain in the hands of those who shouldn't have them.",6400,5600,46,645,12,10,127,490,10157219301077198,chriscoons,/chriscoons/photos/a.215598842197/10157219301077198
Chris Coons,,2020-02-19 16:27:43,"For many Americans, faith is something that helps us through difficult times and challenges us to be our best selves.  That's certainly true for me, and it's also true for my good friend, Joe Biden. I was moved by this fantastic piece written by his wife, Dr. Jill Biden",201,123,29,40,1,4,4,47,10157213928982198,chriscoons,/story.php?story_fbid=10157213928982198&id=7209432197
Chris Coons,,2020-02-19 09:00:03,"Last week marked the second anniversary of the Parkland, Florida massacre that took the lives of 17 innocent high school students and staff members.  There were more mass shootings in 2019 than there were days in the year. I’m not okay with that — no one should be. That's the same message I received from the Parkland students and parents whom I met with, too. Thanks to their activism, a growing number of Americans are demanding solutions, and I’m ready to act.  During my time in the Senate, I've supported gun safety reforms that will protect families all across America — from banning high-capacity magazines to strengthening background checks — but Donald Trump and Mitch McConnell are standing in the way.  It's time to pass common-sense gun safety legislation. The victims and survivors of the Parkland shooting deserve no less.",142,97,0,5,2,26,12,54,10157212928077198,chriscoons,/story.php?story_fbid=10157212928077198&id=7209432197
Chris Coons,,2020-02-18 20:28:45,"Great to be with so many supporters, volunteers, and friends in Kent County tonight to eat some pizza and talk about all the work we have ahead in 2020!",139,120,5,13,0,0,1,17,10157211584702198,chriscoons,/story.php?story_fbid=10157211584702198&id=7209432197
Chris Coons,,2020-02-18 17:00:09,"President Trump continues to pack our courts with partisan, ideologically-driven nominees like Judge Andrew Brasher, who was nominated to a lifetime position on a critically important appellate court, despite overwhelming opposition from civil rights organizations. I thank everyone who joined me in speaking out against his opposition, including my friend Andrew Gillum and leaders with the NAACP. http://bit.ly/3bM7OQ1",106,53,7,2,1,13,30,40,10157211113562198,chriscoons,/story.php?story_fbid=10157211113562198&id=7209432197
Chris Coons,,2020-02-13 19:04:54,Let's be clear: the Trump budget cuts for safety net programs are unacceptable.,251,103,4,4,0,16,124,69,10157195608102198,chriscoons,/story.php?story_fbid=10157195608102198&id=7209432197
Chris Coons,,2020-02-12 15:28:15,"Senator Michael Bennet is a friend and colleague, and one of the smartest, hardest working people I know.  Thank you for bringing your focus on making progress and your commitment to taking our country in a positive direction to the presidential campaign.",109,104,1,3,0,0,1,16,10157192180787198,chriscoons,/story.php?story_fbid=10157192180787198&id=7209432197
Chris Coons,,2020-02-11 14:00:39,The Trump Administration is trying to cut safety net programs like SNAP that make all the difference for many American families. I introduced a bill today with Senator Sherrod Brown to make sure we protect these programs and help American families in need access them.,13000,9600,51,677,164,318,2300,1300,10157188945552198,chriscoons,/story.php?story_fbid=10157188945552198&id=7209432197
