source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Cory Booker,,2020-05-01 16:53:31,Our nation spends so much money preparing for war. We should be spending far more preparing for pandemics.,1500,1300,30,120,1,1,5,0,10159972287882228,corybooker,/story.php?story_fbid=10159972287882228&id=36872302227
Cory Booker,,2020-05-01 13:39:53,Living wages. Universal paid family and sick leave. Better workplace safety standards. These are policies we should adopt immediately and keep in place long after this crisis has ended. Workers must come first.,387,318,3,33,2,23,1,0,10159971528377228,corybooker,/story.php?story_fbid=10159971528377228&id=36872302227
Cory Booker,,2020-05-01 10:04:40,Today is about honoring the dignity of work. I stand proudly with all of these workers on the front lines fighting for better working conditions. Their safety and well-being is more important than corporate profits. #MayDay,1400,1200,10,141,7,2,1,0,10159970635587228,corybooker,/story.php?story_fbid=10159970635587228&id=36872302227
Cory Booker,,2020-04-30 14:35:07,America should have the moral courage to do the same. Weapons of war have no place in our society.,7700,6300,86,1200,24,10,37,0,10159967466777228,corybooker,/story.php?story_fbid=10159967466777228&id=36872302227
Cory Booker,,2020-04-30 13:00:37,I've heard from many minority-owned businesses who are having trouble accessing the federal loans they should be receiving. More must be done to expand the Paycheck Protection Program and level the playing field for these small business owners.,1000,400,8,7,13,323,276,0,10159967149057228,corybooker,/story.php?story_fbid=10159967149057228&id=36872302227
Cory Booker,,2020-04-29 19:16:59,"The Paycheck Protection Program is intended to help small businesses, not large companies. There hasn't been nearly enough transparency on how these loans are being distributed. We have more work to do to ensure this aid is getting into the right hands.",1000,365,4,5,13,88,624,0,10159964462902228,corybooker,/story.php?story_fbid=10159964462902228&id=36872302227
Cory Booker,,2020-04-29 14:55:40,"Our country now has over 1,000,000 cases of coronavirus. More Americans have lost their lives in just two months of this pandemic than during the entirety of the Vietnam War. Despair will not have the last word. Together, we will get through this. We shall overcome.",1600,1000,18,176,6,318,11,0,10159963594697228,corybooker,/story.php?story_fbid=10159963594697228&id=36872302227
Cory Booker,,2020-04-29 13:29:47,This remarkable milestone is a testament to the incredible efforts of the staff at Hackensack University Medical Center—one of our hardest-hit hospitals. Many lives have been saved because of their heroic work.,1700,1300,4,309,11,0,0,0,10159963331897228,corybooker,/story.php?story_fbid=10159963331897228&id=36872302227
Cory Booker,,2020-04-29 10:24:13,"As we discuss how to prevent another global health pandemic, one important step we can take is phasing out factory farming. Current industrialized livestock practices only increase the likelihood of another major outbreak.",1300,1000,25,141,15,75,9,0,10159962814217228,corybooker,/story.php?story_fbid=10159962814217228&id=36872302227
Cory Booker,,2020-04-28 15:19:47,I wish the president were as motivated to get first responders and frontline workers the PPE they need as he is about protecting corporate profits.,4100,2200,38,45,109,406,1300,0,10159960114572228,corybooker,/story.php?story_fbid=10159960114572228&id=36872302227
