source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
"Mark Curran for U.S. Senate,WTTW - Chicago PBS",WTTW - Chicago PBS,2020-03-03 12:22:41,"WTTW News's first candidate forum before the March 17th primaries, featuring the Republican candidates for U.S. Senate, airs tonight at 7:00 pm.  Learn more about each of the candidates in our Voter Guide.",11,11,0,0,0,0,0,0,2725974300954824,curranforsenate,/story.php?story_fbid=2725974300954824&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-03 15:27:27,"Hear from those who know and worked alongside Mark Curran and saw firsthand the content of his character, his dedication to the Constitution, and his outspoken support of conservative principles.",12,12,0,0,0,0,0,0,594850051066483,curranforsenate,/story.php?story_fbid=594850051066483&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-03 13:57:39,I am leaving the Courthouse after a NG Verdict for my client. Defending liberty and upholding the Constitution.,105,96,0,8,1,0,0,9,2725815574304030,curranforsenate,/story.php?story_fbid=2725815574304030&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-03 11:15:26,"I'll be participating in the WTTW - Chicago PBS Candidate Forum this evening. The forum airs live at 7PM (CT) and will last about 30 minutes. There should also be a live stream available on WTTW's website (or at least a video upload of the forum after it airs). If you haven't done so already, check out my profile in the WTTW Voter Guide.",132,127,0,4,1,0,0,14,2725697084315879,curranforsenate,/story.php?story_fbid=2725697084315879&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-02 13:52:45,"The attacks I have taken have been based upon lie after lie. Everyone should know I supported Donald Trump for President in 2016 and that I support him in 2020. Everyone should know that I never supported a piece of legislation that was not supported by the Illinois Chiefs of Police Association. Everyone should know that I spent my life in law enforcement and support strong borders and a rule of law. An example of the latest lie is that because I am a Catholic I will do whatever the Pope says, even though I don’t personally care for this Pope, and do not believe he understands American exceptionalism. I am not lying this is what Satan is up to. Read the first comment below, that I reference in my comment. These comments are commonplace.",334,291,1,33,3,5,1,66,2724890677729853,curranforsenate,/story.php?story_fbid=2724890677729853&id=1544233135795619
"Mark Curran for U.S. Senate,Michael Brown,American Citizens for Truth","Michael Brown,American Citizens for Truth",2020-03-02 13:34:16,"There is only one candidate who has teen tried and tested.  A man of impeccable credentials, a man who upholds the rule of law, and has demonstrated integrity and honor at every turn.  But don’t believe me, how about believing some American heroes and conservative icons?                    ",73,68,0,5,0,0,0,3,2724876884397899,curranforsenate,/story.php?story_fbid=2724876884397899&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-02 12:05:05,"ICYMI: My friend and former colleague McHenry County Sheriff Bill Prim, Rabine Group Chairman and Founder Gary Rabine, McHenry County State's Attorney Pat Kenneally, Marilyn Smolenski (Palatine Women’s Organization) and long time McHenry County Right to Life Head Irene Napier have all endorsed my campaign. McHenry Strong.",90,77,0,10,2,1,0,1,2724803787738542,curranforsenate,/story.php?story_fbid=2724803787738542&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-02 09:07:25,,230,220,1,7,1,0,1,20,2724667911085463,curranforsenate,/story.php?story_fbid=2724667911085463&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-01 22:56:04,"I was able to see my friend Gary Rabine speak to a packed crowd in Effingham today with Susan Latropoulos Petty and my friends from Illinois Conceal Carry. They are circulating my literature and grateful that I was one of the first law enforcement officials to proudly support concealed carry, despite being from a Blue County.",70,65,0,4,1,0,0,0,2724303667788554,curranforsenate,/story.php?story_fbid=2724303667788554&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-01 22:15:03,"Defend the Unborn. Defend our Borders. Defend our Constitution. Defend the Free Markets. Defend Liberty. On March 17th, vote Mark Curran: electcurran.com/donate",247,225,0,21,1,0,0,4,2724267781125476,curranforsenate,/story.php?story_fbid=2724267781125476&id=1544233135795619
"Mark Curran for U.S. Senate,Ammie Kessem: For 41st Ward Republican Committeeman",Ammie Kessem: For 41st Ward Republican Committeeman,2020-03-01 19:41:32,"The Curran Crew had a great time today. Beautiful weather makes for an even better time canvassing. If you're in the 41st Ward of Chicago, make sure to vote for Ammie Kessem: For 41st Ward Republican Committeeman. And of course, make sure to vote for the ONLY candidate with the qualifications and experience to defeat Dick Durbin: Mark Curran!Fun day canvassing in Edison Park with the Curran Clan! Sunday Funday will go down in infamy!",43,40,0,3,0,0,0,0,2724201461132108,curranforsenate,/story.php?story_fbid=2724201461132108&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-01 12:01:01,Meet at Firewater Saloon on the Northwest Side today at 1PM as we prepare to walk in support of Your Republican Law & Order Ticket.,93,87,0,6,0,0,0,1,2723902801161974,curranforsenate,/story.php?story_fbid=2723902801161974&id=1544233135795619
Mark Curran for U.S. Senate,,2020-03-01 10:12:11,ICYMI: Our campaign continues to amass endorsement after endorsement. We're now at 55 and the momentum just continues to grow!  Help us finish strong and win -> electcurran.com/donate,115,110,0,3,2,0,0,6,2723824554503132,curranforsenate,/story.php?story_fbid=2723824554503132&id=1544233135795619
