source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Dr. Al Gross for US Senate,,2020-03-05 17:11:03,"If Dan Sullivan is ok with limiting science in environmental rules, I’m ok limiting him to one term.  What do you think?",129,100,0,5,3,1,20,7,1055684741454787,dralgrossak,/story.php?story_fbid=1055684741454787&id=819607471729183
Dr. Al Gross for US Senate,,2020-03-02 17:49:27,"Corona Virus is a worldwide public health emergency. As a doctor, I urge everyone to read this:",42,42,0,0,0,0,0,0,1053375098352418,dralgrossak,/story.php?story_fbid=1053375098352418&id=819607471729183
Dr. Al Gross for US Senate,,2020-02-28 23:19:52,We have a plan for working families. Dan doesn’t.  It’s time for change. Take a look at some great coverage out of Fairbanks.,96,92,0,4,0,0,0,2,1051235541899707,dralgrossak,/story.php?story_fbid=1051235541899707&id=819607471729183
Dr. Al Gross for US Senate,,2020-02-27 21:18:18,Great to spend the afternoon speaking with working families in Fairbanks to share my plan — and my priority — that protects retirements and pension plans and provides for what hard working Alaskans have worked towards for so long.,62,58,0,4,0,0,0,0,1050374005319194,dralgrossak,/story.php?story_fbid=1050374005319194&id=819607471729183
Dr. Al Gross for US Senate,,2020-02-26 21:48:49,"Just finished our press conference in Anchorage where we unveiled our plan to save the pensions of Alaskan workers. A solution is long overdue, and I’m excited to head to Fairbanks to share it there. Stay tuned for further details!",103,101,0,2,0,0,0,4,1049602608729667,dralgrossak,/story.php?story_fbid=1049602608729667&id=819607471729183
Dr. Al Gross for US Senate,,2020-02-26 16:04:21,"For all of his talk about small government, Dan Sullivan and his DC pals believe its the government's job to interfere with a woman's right to choose. Well I believe differently.  As a Doctor, an Alaskan, and a father, I call this behavior out. Dan Sullivan -- maybe you haven't learned yet, but this is not representative of Alaskan values. Study quick, November is right around the corner and we're going to beat you.",84,72,0,11,0,0,1,5,1049446812078580,dralgrossak,/story.php?story_fbid=1049446812078580&id=819607471729183
Dr. Al Gross for US Senate,,2020-02-18 05:02:00,"Want to defeat the most beatable Republican senator you’ve never heard of AND get a chance at winning an Alaska adventure? Watch this new video from U.S. Senate Candidate, Dr. Al Gross, to learn how you can do both. Alaska is ground zero for climate change, but Senator Dan Sullivan called the Alaskans he was elected to represent “climate change alarmists.” He voted to say climate change isn't real, he's against the Paris Climate Treaty and he even wanted to let energy companies dump their waste on tribal lands. It's clear, Dan Sullivan doesn't understand what Alaskans are living with every day. We can win this, but we need your help. Chip in today. >> http://bit.ly/2UYfRmU",350,313,2,31,3,0,1,43,1042466872776574,dralgrossak,/story.php?story_fbid=1042466872776574&id=819607471729183
"Dr. Al Gross for US Senate,Alaskans for Al",Alaskans for Al,2020-02-14 16:51:21,"We're feeling a lot of #alaskalove today from the folks over at @AlaskansforAl. Thank you to all the working Alaskans out there who are volunteering their time to bring real change to the U.S. Senate. Please like/follow/share @AlaskansforAl to help get Dr. Al Gross elected... and submit a photo of your own! #ValentinesDay #AlwaysAlaskaHappy Valentine's Day from your Alaskans for Al organizers! Our names are Zach and Laura, and we're newlyweds and educators based in the tiny town of Gustavus, AK. We've struggled with health care costs, watched record high temps hammer our salmon, lived with the threat of toxic chemicals in our water... and been repeatedly ignored by our Washington delegation. So it's time for a change. We started this page because we believe Al Gross is going to bring that change. He's a real Alaskan, who understands the challenges we face in a bush community. Sending lots of Alaska love on this special day! ❤️ 5/268 Dr. Al Gross for US Senate, #AlaskaAl, #alaskansforal, #aksen, #akelect, #alaska, #alaskan, #alaskalife, #alaskaliving, #alaskalove, #alaskabornandraised, #nopebble, #grassroots, #hearourvoice, #independent, #getinvolved, #election2020, #ussenate, #vote, #iwillvote, #flipthesenate, #valentinesday, #valentines, #valentinesday2020, #love, #alaskalove, #newlyweds, #thepersonalispolitical",47,45,0,2,0,0,0,2,1039965419693386,dralgrossak,/story.php?story_fbid=1039965419693386&id=819607471729183
Dr. Al Gross for US Senate,,2020-02-13 18:24:49,This is a direct threat to our economy and our security. As your Senator I will never let partisan politics get in the way of protecting our state.,88,51,0,0,6,2,29,10,1039013173121944,dralgrossak,/story.php?story_fbid=1039013173121944&id=819607471729183
Dr. Al Gross for US Senate,,2020-02-09 18:41:24,"Ready to take back the U.S. Senate in 2020 AND go on an Alaskan Adventure with U.S. Senate candidate, Dr. Al Gross? Chip in to Al’s campaign right now and you’ll be automatically entered for a chance to win an Alaskan Adventure (on us)! ",528,478,8,38,0,1,3,27,1035860163437245,dralgrossak,/dralgrossak/photos/a.819617598394837/1035860163437245
Dr. Al Gross for US Senate,,2020-02-06 23:28:56,Our hearts are heavy for the families of those lost in the crash near Tuntutuliak in Southwest Alaska this afternoon. Monica and I extend our deepest condolences. Tonight’s tragedy gives us another reminder to hold our loved ones close.,78,20,0,0,1,57,0,4,1033707076985887,dralgrossak,/story.php?story_fbid=1033707076985887&id=819607471729183
Dr. Al Gross for US Senate,,2020-02-03 16:50:37,"Dan Sullivan has shown us once again that he’s nothing more than a yes man for the President. He put his party -- not Alaska -- first by voting to deny Alaskans the opportunity to hear from witnesses at the Senate’s impeachment trial.  That’s not what we need in a Senator. Our state, and our country, deserves better. If you’re ready for a Senator who will finally put Alaskans first in Washington, then please make a contribution of $5 or whatever amount you can afford to my campaign today >> http://bit.ly/2Uk64XQ",394,369,3,13,0,0,9,34,1031200083903253,dralgrossak,/story.php?story_fbid=1031200083903253&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-29 17:10:28,"   I’m committed to doing my part in any way I can as a candidate, and as Alaska’s next Senator, to protect this state and its people from the climate crisis -- but I can’t do it alone. Can you pitch $5 or more today to help us offset our campaign’s carbon emissions, and defeat Dan Sullivan at the same time? ",614,547,7,54,1,0,5,43,1027510174272244,dralgrossak,/dralgrossak/photos/a.819617598394837/1027510174272244
Dr. Al Gross for US Senate,,2020-01-28 18:14:03,This is irresponsible policy.  Equally irresponsible is letting Dan Sullivan get away with calling himself a fiscal conservative!,136,76,0,0,5,9,46,12,1026830811006847,dralgrossak,/story.php?story_fbid=1026830811006847&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-27 20:54:48,Americans being evacuated from China will stop briefly at Anchorage airport for a health screening. It is vital that we maintain a strong public health system so Alaskans and all Americans are safe.,43,39,1,0,3,0,0,0,1026141744409087,dralgrossak,/story.php?story_fbid=1026141744409087&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-24 12:40:56,“A growing number of disasters linked to global climate change resulting from the continued consumption of fossil fuels was another factor cited for moving the clock even closer to midnight.”,28,17,0,0,5,5,1,0,1023504704672791,dralgrossak,/story.php?story_fbid=1023504704672791&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-21 14:00:27,"Today, I am proud to announce that our campaign has been endorsed by End Citizens United -- the leading organization working to stop the influence of dark money and special interests in our government. Watch the video and chip in $5 or more to help us end dark money influence in politics: https://bit.ly/3arRljv",69,66,0,3,0,0,0,9,1021096878246907,dralgrossak,/story.php?story_fbid=1021096878246907&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-20 18:45:55,"Almost 60 years ago, Dr. Martin Luther King, Jr. shared his dream of ""a day when people will not be judged by the color of their skin, but by the content of their character."" In the decades since, we have made great strides toward that dream but they have been accompanied with terrible divisiveness. As one of the most diverse states in the country, Alaska itself has experienced both the important steps forward and the urgent need for more progress. Dr. King also famously said that ""the arc of the moral universe is long, but it bends toward justice."" As your United States Senator, I will work tirelessly to continue to bend that moral arc toward Dr. King's dream — a dream we all share.",66,58,0,7,1,0,0,4,1020538341636094,dralgrossak,/story.php?story_fbid=1020538341636094&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-17 13:40:47,"Unlike Mike Dunleavy, Dan Sullivan, and Mitch McConnell who kowtow to Betsy DeVos and special interests, I'll put students, teachers, and parents first. I'll fight for public education.  Watch the video:",65,64,0,1,0,0,0,3,1018040845219177,dralgrossak,/story.php?story_fbid=1018040845219177&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-13 20:29:35,"Last year Dan Sullivan voted to rip $100,000,000 from our military construction budget — a crucial part of our economy — to pay for a border wall. For the good of Alaska, Dan, please don’t do this again.",121,57,0,0,4,3,57,7,1014577345565527,dralgrossak,/story.php?story_fbid=1014577345565527&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-10 12:57:58,"People like Dan Sullivan and Mike Dunleavy want our state to go backwards — literally.  We have a different vision. It’s time to build an Alaskan Economy that draws jobs and people to our state, not away from it.",77,65,0,1,2,6,3,5,1011311522558776,dralgrossak,/story.php?story_fbid=1011311522558776&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-08 16:30:20,"Your continued support of our campaign has led us to our second consecutive million dollar quarter. We are growing, and are so excited that Mindy O’Neal and Senator Johnny Ellis are joining our team! Together, we will win in 2020.",128,122,0,5,1,0,0,2,1009469389409656,dralgrossak,/story.php?story_fbid=1009469389409656&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-08 13:00:47,Alaska needs leadership that will work tirelessly to grow the economy. I’m sick of Alaska being behind the lower 48 when it comes to job growth. We have what it takes to build a robust 21st century economy — we just need the leadership to take us there.,28,24,0,4,0,0,0,2,1009335279423067,dralgrossak,/story.php?story_fbid=1009335279423067&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-07 18:02:21,"”In this troubling time in our national politics it is good to know that somebody like Alan Gross is willing to step up to try to change the culture in Washington DC. Alan Gross will stand up for Alaskans. He’ll be an Independent voice we can count on, not a rubber stamp. Alaskans can count on Dr. Al.”  - Senator Tom Begich",93,87,0,6,0,0,0,1,1008576886165573,dralgrossak,/story.php?story_fbid=1008576886165573&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-07 14:15:47,Couldn’t agree more with Representative Andy Josephson.,42,41,0,0,1,0,0,0,1008441326179129,dralgrossak,/story.php?story_fbid=1008441326179129&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-02 17:47:05,"As someone who has fished commercially out west in Alaska, I know firsthand how dangerous it can be out there. Thanks to the incredibly fast and heroic response by the Coast Guard in extremely marginal conditions. They saved the lives of two crew members! My heart goes out to the families of the five missing crew members who are presumed dead.",83,35,0,0,0,48,0,3,1003722399984355,dralgrossak,/story.php?story_fbid=1003722399984355&id=819607471729183
Dr. Al Gross for US Senate,,2020-01-01 19:17:24,"We did it because of you. Thank you.  Because of you we hit our fundraising goals and our campaign is growing. Really, that’s because of you.  Monica and I can’t thank you enough. Please have a happy and healthy New Year and we look forward to continuing this campaign with you.",98,85,0,13,0,0,0,8,1002833020073293,dralgrossak,/story.php?story_fbid=1002833020073293&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-30 17:27:48,"If 2019 taught me anything, it’s that we can flip this seat — but only with the help of grassroots supporters like YOU.   We’re still a few thousand dollars short of hitting our end-of-year fundraising goal, so I need you to chip in one more time before 2020 is here. Rush a donation now >> https://bit.ly/2sC6JbE",29,29,0,0,0,0,0,0,1000537466969515,dralgrossak,/story.php?story_fbid=1000537466969515&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-25 19:51:58,Happy to have the whole family home for the holidays!,191,171,0,20,0,0,0,16,995830337440228,dralgrossak,/story.php?story_fbid=995830337440228&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-20 20:38:07,I’m done with these extremists calling themselves fiscally responsible.  Dan Sullivan got a big dividend for his Wall Street buddies and left Alaska’s working families behind. Time and time again Dan shows us he’s not on our side. It’s time for change. #AlwaysAlaska,125,103,1,0,0,8,13,11,990954091261186,dralgrossak,/story.php?story_fbid=990954091261186&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-19 12:47:29,"This past quarter has been a big one for us — the Alaska Democratic Party, 314 Action Fund, and the DSCC all endorsed our campaign to defeat Dan Sullivan.  But, while it's clear folks all across the country know that we can flip this seat, we’re still $50,000 short from hitting our end-of-year fundraising goal.  Can I count on you to dig deep one more time this year, and help us meet our goal before midnight on December 31? Chip in now >> https://bit.ly/2sFV6jU",63,61,0,2,0,0,0,3,989743558048906,dralgrossak,/story.php?story_fbid=989743558048906&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-18 17:29:35,"For too long, we've been represented in Washington by a career politician who doesn't show up for the issues that matter to our state.  Unlike Dan Sullivan, I’ll be a leader and advocate for the kind of change that Alaska needs.",79,75,0,4,0,0,0,2,988966381459957,dralgrossak,/story.php?story_fbid=988966381459957&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-12 20:49:17,The urgency is real and the inaction is having devastating effects on our economy. Dan Sullivan remains silent while our state suffers the consequences. We need solutions to this crisis and to work to diversify our economy in order to bring new jobs to our state. #AlwaysAlaska,75,55,0,0,3,17,0,3,983550228668239,dralgrossak,/story.php?story_fbid=983550228668239&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-09 21:47:50,"As a doctor, I find this law abhorrent on so many levels. It violates the doctor-patient relationship, it humiliates women, and it could cause serious psychological harm -- especially to survivors of rape and incest. It's wrong. I'll be a U.S. Senator who fights to make healthcare, including reproductive care, affordable and accessible to all. And you can be sure that I'll protect your right to keep deeply personal medical decisions between you, your family, and your doctor. Stand with Planned Parenthood and our campaign: https://bit.ly/2qBg2rs",129,83,0,5,2,2,37,8,980774585612470,dralgrossak,/story.php?story_fbid=980774585612470&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-06 16:47:58,Dan Sullivan just doesn’t care about your health. He's voted to take away access to care and strip coverage for people with preexisting conditions.  I'll use my experience as a doctor to make Medicare a public option for individuals and small businesses to lower healthcare costs and bring new companies to Alaska.,138,127,1,10,0,0,0,18,3297782040264000,dralgrossak,/story.php?story_fbid=3297782040264000&id=819607471729183
Dr. Al Gross for US Senate,,2019-12-05 12:49:47,"Dan Sullivan continues to stand against Alaska at every turn. He doesn’t understand that in Alaska, we value our freedom and our independence. This latest Senate confirmation stands in direct opposition to our Alaska values. #AlwaysAlaska",87,42,0,0,1,7,37,8,976607662695829,dralgrossak,/story.php?story_fbid=976607662695829&id=819607471729183
Dr. Al Gross for US Senate,,2019-11-28 12:15:45,"From our family to yours, Happy Thanksgiving!",299,265,0,33,1,0,0,30,970210503335545,dralgrossak,/story.php?story_fbid=970210503335545&id=819607471729183
Dr. Al Gross for US Senate,,2019-11-26 16:02:33,"This is wrong. Another example of Dan Sullivan misleading his constituents. Unlike Dan Sullivan, I'll be a U.S. Senator who fights for all Alaskans.",83,48,0,1,6,3,25,6,968503386839590,dralgrossak,/story.php?story_fbid=968503386839590&id=819607471729183
