source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
" Bluegrass,Bennie Jerome Smith",Bennie Jerome Smith,2020-02-27 11:20:28,Had the BLESSED opportunity to get invited to meet the members of the ALL WOOL & A YARD WIDE DEMOCRATIC CLUB. Also met another U.S. SENATE CANDIDATE MAGGIE JO HILLIARD...,0,0,0,0,0,0,0,0,128433605381983,electmojo,/story.php?story_fbid=128433605381983&id=100167171541960
" Bluegrass,Warren County KY Democratic Party",Warren County KY Democratic Party,2020-02-20 15:29:12,"Bowling Green:From Party Chairwoman, Charlene Rabold: Below is an opportunity for you to learn more about the re-organization process from our state party. Dates for you to add to your calendar are as follows: March 2nd 5:30 pm Cambridge Mkt Warren County Democratic Executive Committee Meeting (open to all democrats)  March 21st 10:00 am Location Bowling Green Junior High Precinct Convention doors will open at 9:30 AM (to elect precinct captains) April 6 th 5:30 pm Cambridge Mkt Warren County Democratic Executive Committee Meeting (open to all democrats) April 18 th at 10:00 am location to be determined County Convention  May 30th County Caucus 10:00 am location to be determined June 6th  International Convention Center Louisville KY Congressional District Convention June 6th International Convention Center Louisville KY State Convention",0,0,0,0,0,0,0,0,127948445430499,electmojo,/story.php?story_fbid=127948445430499&id=100167171541960
" Bluegrass,Nicole Rodriguez,Lexington for Bernie Sanders","Nicole Rodriguez,Lexington for Bernie Sanders",2020-02-25 19:41:14,This is wrong in so many ways. #MedicareForAll #GreenNewDeal #NotMeUs #ExpandSocialSafetyNets #NoJusticeNoPeace #DitchMitch,0,0,0,0,0,0,0,0,127693265456017,electmojo,/story.php?story_fbid=127693265456017&id=100167171541960
" Bluegrass,Bennie Jerome Smith",Bennie Jerome Smith,2020-02-28 17:26:36,"Y’all, this is Bennie J. Smith D-KY 4 US Senator 2020  & we agree it’s time for Mitch to retire! #ByeMitch",3,2,0,1,0,0,0,1,129045218654155,electmojo,/story.php?story_fbid=129045218654155&id=100167171541960
" Bluegrass,Maggie Jo Hilliard,Bye Mitch! Group","Maggie Jo Hilliard,Bye Mitch! Group",2020-02-28 17:15:51,#ByeMitch #HelloEducation #HelloTeachers👋🏼,1,1,0,0,0,0,0,0,129041735321170,electmojo,/story.php?story_fbid=129041735321170&id=100167171541960
" Bluegrass,Virginia Meagher,Indivisible SE KY","Virginia Meagher,Indivisible SE KY",2020-02-25 15:31:50,#ByeMitch ❤️,0,0,0,0,0,0,0,0,127643565460987,electmojo,/story.php?story_fbid=127643565460987&id=100167171541960
" Bluegrass,Maggie Jo Hilliard",Maggie Jo Hilliard,2020-02-16 11:08:33,"This is an example of an open endorsement procedure. The questions are deep and jolting, but when we, as Americans, do our homework on candidates, we make better choices. It would be absurd to endorse before conducting this type of procedure, but the DSCC doesn’t work this way. #ByeMitch #ElectMoJo",0,0,0,0,0,0,0,0,123603209198356,electmojo,/story.php?story_fbid=123603209198356&id=100167171541960
" Bluegrass,Maggie Jo Hilliard",Maggie Jo Hilliard,2020-02-16 11:07:37,"There are many more ideas in this race. I’m offended at the lack of research done before this call was made. This is why voters stay home. This is why no one believes America will change in time to fix our planet.  Amy McGrath is ProWall, ProTrump, ProKavanaugh, AntiMedicare-for-All and changed from independent to democrat to be a politician. She lost in her last run and fumbles on the issues when we need efficiency in office. She was first to file but this is a PRIMARY! The world needs to know she’s not a replacement for Mitchy policies, nor the only option for smart voters. Google her. Do your research.  If you’re looking for a litigation attorney with a reputation for standing up to corrupt and powerful institutions, there’s me. I’m Maggie Jo Hilliard, and I’m in this race too. Although I respect her commitment to her country and fabulous fundraising, Amy is not the best person to represent Kentuckians who need healthcare immediately, who have to live with polluted air and water everyday, who work three jobs and still can’t pay for a dental checkup, who pay 1/9 of their monthly budget for insulin, who face unfair employment practices for lack of a federal fairness action, who are shamed for mental illness and treatment is hard to find, who are fighting to survive addiction that was most certainly corporate-caused, who are grieving another shooting or suicide, who are homeless still from Wall Street greed &/or the last recession, who are fighting for a voice in their government but cannot vote due to draconian and racist historical traditions, who are angry about the lack of judicial processes in our highest institutions and those who are fed up with economic disparities which cause kids to be less educated and underfed.  Why vote for Amy if you can vote for the stronger Republican on the other ticket? #ByeMitch #ByeAmy #ElectMoJo #DitchMitch  Even if the media and the party fail to recognize I’m in this race - friends, I am in this race! Please show your support by donating at ElectMoJo.com. Please share xo",0,0,0,0,0,0,0,0,123603012531709,electmojo,/story.php?story_fbid=123603012531709&id=100167171541960
" Bluegrass,Virginia Meagher,Indivisible SE KY","Virginia Meagher,Indivisible SE KY",2020-02-25 15:30:21,"❤️ 🏔 ♟ 🌲 🌳 🚗 I went o’er yonder to Jackson, KY and met Students, Chess Champions, Lawyers, Advocates, Elected Officials, Doctors, Teachers and others while eating amazing catfish, mashed taters and corn at Kelsie’s!  We talked about the damage Mitch has done to the great people and beautiful resources of Kentucky. We shared stories and ideas about how we can work together to heal our communities from 35 years of corporate exploitation, political greed and corruption in federal government. Thanks for helping me spread the good words — BYE MITCH — HELLO 2020!  Virginia is a retired lawyer still working everyday for her community to educate and heal people - She’s democratically hosting all candidates at her Indivisible SE KY meetings! Thank you so much for a wonderful tour and talk! See y’all again soon!!  #ByeMitch #ElectMoJo #WeHaveWorkToDo #ReviveTheLegislativeGraveyard  #MedicareForAll #GreenNewDeal #ElectionSecurity #MarijuanaLegalization #RECLAIMact #Indivisible #NotMeUs #NoBanNoWall #Science #Math #RevolutionBluegrass #VoteFORKentuckyMaggie Jo Hilliard visited Jackson this evening.  She is an attorney and an artist.  She practices law in Kentucky and Florida.  We really enjoyed talking with her and questioning her about what she stands for.  I think I liked best when she said, we not only need to beat Mitch McConnell, we need to make some big changes in the next 10 years, or our planet will be beyond repair.",4,4,0,0,0,0,0,0,127643125461031,electmojo,/story.php?story_fbid=127643125461031&id=100167171541960
 Bluegrass,,2020-02-19 21:58:38,"Hey Team MoJo, here are some free tickets for Friday’s Kick-Off in Butchertown (they’re limited so get’em while ya can)  🙂 Hope you’ll join us! 🙂 https://www.electmojo.com/free",2,1,0,1,0,0,0,0,125113535713990,electmojo,/story.php?story_fbid=125113535713990&id=100167171541960
" Bluegrass,Brian Eisold",Brian Eisold,2020-02-16 11:06:53,"What a surprise....the DSCC has decided to put their thumb on the scale to support a questionable candidate in a primary to defeat Mitch McConnell when Maggie Jo Hilliard is a far better choice.  In fact, I recall meeting quite a few better candidates at a Kentucky forum where Amy McGrath didn’t bother to show up.",0,0,0,0,0,0,0,0,123602859198391,electmojo,/story.php?story_fbid=123602859198391&id=100167171541960
 Bluegrass,,2020-02-10 23:10:14,See all the candidates on 3/5/20! #ByeMitch #ElectMoJo https://facebook.com/events/s/us-senate-candidate-forum/3362013057204210/?ti=icl,0,0,0,0,0,0,0,0,120807556144588,electmojo,/story.php?story_fbid=120807556144588&id=100167171541960
 Bluegrass,,2020-02-12 09:35:43,"Headed to Frankfort then Jackson, KY Thursday - join us! https://facebook.com/events/s/meet-the-candidate-maggie-jo-h/2535173333470390/?ti=ia",6,6,0,0,0,0,0,0,121547066070637,electmojo,/story.php?story_fbid=121547066070637&id=100167171541960
 Bluegrass,,2020-02-08 17:32:13,,1,1,0,0,0,0,0,0,179617840048027,electmojo,/events/179617840048027?view=permalink&id=179617850048026
 Bluegrass,,2020-01-20 19:47:07,"“Human progress is neither automatic nor inevitable... Every step toward the goal of justice requires sacrifice, suffering, and struggle; the tireless exertions and passionate concern of dedicated individuals.” Martin Luther King, Jr. The campaign has been making progress this week toward our shared goals of more democracy, better healthcare, climate action and equal justice. Here’s the new logo design - I hope you like it!  Many thanks for joining the campaign, y’all! #ElectMojo",11,11,0,0,0,0,0,0,100750654816945,electmojo,/story.php?story_fbid=100750654816945&id=100167171541960
Elect MoJo 2020:Revolution Bluegrass,,2020-01-19 18:03:42,,11,11,0,0,0,0,0,0,100181508207193,electmojo,/electmojo/photos/a.100167201541957/100181508207193
