source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Elect Sharon Hudson,,2020-03-03 23:27:12,"I am so humbled by all of the wonderful people who voted for me. Thank you. Congratulations to the candidates who won, I'm sorry for the many fantastic candidates who worked so hard and didn't make it. Now let's all work together to Keep America Great!",8,7,0,1,0,0,0,2,2609015992529639,electsharonhudson,/story.php?story_fbid=2609015992529639&id=558545447576714
Elect Sharon Hudson,,2020-03-02 13:10:42,Send a Steel Magnolia to Washington to Drain the Swamp.,129,110,5,10,0,0,4,16,2606322192799019,electsharonhudson,/story.php?story_fbid=2606322192799019&id=558545447576714
Elect Sharon Hudson,,2020-03-01 20:10:55,I wrote this for a citizen in Pender County who is working to pass a 2A resolution there.,6,6,0,0,0,0,0,0,2604938149604090,electsharonhudson,/story.php?story_fbid=2604938149604090&id=558545447576714
Elect Sharon Hudson,,2020-02-29 15:44:23,Send a Steel Magnolia to Washington to Drain the Swamp.,4,3,0,1,0,0,0,1,2602605409837364,electsharonhudson,/story.php?story_fbid=2602605409837364&id=558545447576714
Elect Sharon Hudson,,2020-02-28 21:01:17,"I'm organizing my desk and thinking about all of the wonderful adventures I've had and the special people I have met since I filed to run on December 20th. I still have many things to do before Super Tuesday, but I want to thank all of you for coming along for the ride. The only sure thing about politics is that it is always interesting!! Good luck to all of the candidates. And if this lasts longer than next Tuesday for me, I will need all of your help. I hope to see many of you at the Trump rally on Monday. No matter what, let's help our President keep America great!!",6,4,0,2,0,0,0,2,2601019479995957,electsharonhudson,/story.php?story_fbid=2601019479995957&id=558545447576714
Elect Sharon Hudson,,2020-02-28 19:23:28,It was great seeing Mecklenburg County Commissioner Pat Cotham at the Newsmaker Breakfast this morning. She is an expert on affordable housing.,3,3,0,0,0,0,0,0,2600893300008575,electsharonhudson,/story.php?story_fbid=2600893300008575&id=558545447576714
Elect Sharon Hudson,,2020-02-27 14:12:04,"If you are in Winston-Salem tonight stop by! Forsyth County Republican Women,    6:30 p.m.   Bib's Downtown, Hickory Room Winston-Salem, NC",2,2,0,0,0,0,0,0,2598421943589044,electsharonhudson,/story.php?story_fbid=2598421943589044&id=558545447576714
Elect Sharon Hudson,,2020-02-26 03:49:29,"I look forward to meeting the Hendersonville Republican Men's Club Breakfast this morning, 7:30-9 a.m.  Dixie Diner, 1724 Brevard Road Laurel Park, N.C.  If you are in the area please join us!",6,5,0,1,0,0,0,0,2595628870535018,electsharonhudson,/story.php?story_fbid=2595628870535018&id=558545447576714
Elect Sharon Hudson,,2020-02-26 00:31:44,Thank you Republican Women of Cary for allowing me to speak this afternoon at your wonderful event. Trump 2020!!,12,9,0,3,0,0,0,1,2595417183889520,electsharonhudson,/story.php?story_fbid=2595417183889520&id=558545447576714
Elect Sharon Hudson,,2020-02-24 23:54:15,I met some very nice people at the Onslow County Lincoln-Reagan Dinner.,5,5,0,0,0,0,0,0,2593440490753856,electsharonhudson,/story.php?story_fbid=2593440490753856&id=558545447576714
Elect Sharon Hudson,,2020-02-24 23:35:03,"I am looking forward to spending time tomorrow with the Republican Women of Cary and Southwestern Wake at the Lara Trump Luncheon. I hope to see you there! Prestonwood Country Club, Cary, NC.",5,5,0,0,0,0,0,0,2593418200756085,electsharonhudson,/story.php?story_fbid=2593418200756085&id=558545447576714
Elect Sharon Hudson,,2020-02-21 23:51:33,Listening to C.L. Bryant speak at the Crystal Coast Republican Women’s Lincoln-Reagan Rally. It was a wonderfully event. Thank you for having me.,4,3,0,1,0,0,0,0,2587599478004624,electsharonhudson,/story.php?story_fbid=2587599478004624&id=558545447576714
Elect Sharon Hudson,,2020-02-21 00:39:48,"""Senator Thom Tillis is hell-bent on turning our rural communities into pipelines for cartel drug trafficking and criminal aliens."" Vote him out!!  https://www.conservativereview.com/news/horowitz-senate-republicans-looking-repeat-1986-amnesty-seeking-president-trumps-support/",6,3,0,0,0,0,3,3,2585671574864081,electsharonhudson,/story.php?story_fbid=2585671574864081&id=558545447576714
Elect Sharon Hudson,,2020-02-21 00:00:21,I look forward to meeting everyone Saturday in Jacksonville!,1,1,0,0,0,0,0,0,2585628594868379,electsharonhudson,/story.php?story_fbid=2585628594868379&id=558545447576714
Elect Sharon Hudson,,2020-02-20 22:11:36,"I am looking forward to meeting everyone Friday evening. Country Club of the Crystal Coast, Pine Knoll Shores, NC",1,1,0,0,0,0,0,0,2585493421548563,electsharonhudson,/story.php?story_fbid=2585493421548563&id=558545447576714
Elect Sharon Hudson,,2020-02-16 22:12:17,"February 17 Cumberland County GOP Convention     6:00 p.m Headquarters Library 300 Maiden Lane Fayetteville, NC  Come if you are in the area!",0,0,0,0,0,0,0,0,2577774075653831,electsharonhudson,/story.php?story_fbid=2577774075653831&id=558545447576714
Elect Sharon Hudson,,2020-02-20 21:49:04,I am proud to have received a four star candidate rating by Grass Roots North Carolina. Which is two more than Sen. Tillis.,8,6,0,2,0,0,0,0,2585466041551301,electsharonhudson,/story.php?story_fbid=2585466041551301&id=558545447576714
Elect Sharon Hudson,,2020-02-19 02:10:45,It was great being with Burke County citizens tonight as they passed their Second Amendment Protection Resolution.,2,1,0,1,0,0,0,1,2581871418577430,electsharonhudson,/story.php?story_fbid=2581871418577430&id=558545447576714
