source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Elisa Martinez for New Mexico,,2020-03-06 13:37:17,"✅ Elisa Martinez is a proven leader for New Mexico. With over a decade's worth of experience advocating for our state, our values, and our future - Elisa Martinez is the leader we need. #Elisa2020 #NMsen #NMpol",18,17,0,2,0,0,0,0,221641542561504,elisafornm,/story.php?story_fbid=221641542561504&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-05 14:44:29,"As an actual Native American, I’m 1/1024% saddened by Elizabeth Warren’s failed campaign. 😉 #Elisa2020 #nmsen #nmpol",581,194,349,37,1,0,0,32,220878612637797,elisafornm,/story.php?story_fbid=220878612637797&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-05 11:49:26,Socialism. Doesn't. Work. ❌ Take it from an actual Native American who's experienced its destruction firsthand on our reservations.🤷🏻‍♀️New Mexico: let's reject the socialist policies of the extreme left and elect a leader that values our freedoms: Elisa Martinez for US Senate. #nmsen #nmpol https://www.google.com/amp/s/www.axios.com/elizabeth-warren-campaign-drops-out-8fcbba79-38bf-4eea-bc7c-4a06a15d975a.html,525,444,31,49,0,1,0,21,220780969314228,elisafornm,/story.php?story_fbid=220780969314228&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-04 20:16:55,Thank you Senator Sasse!  It’s shameful Senator Schumer threatened Justices Gorsuch and Kavanaugh would “pay the price” for ruling in favor of women's health over the abortion industry. This type of bully behavior is unacceptable and an attempt to infringe on the separation of powers.  https://www.washingtonexaminer.com/news/bully-tactics-gop-senator-slams-schumer-for-threatening-kavanaugh-and-gorsuch,287,250,0,30,5,0,2,22,220253652700293,elisafornm,/story.php?story_fbid=220253652700293&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-04 12:21:24,"From Hobbs to Grants and everywhere in between, New Mexicans are excited to hear about our campaign to put New Mexico first! They are concerned about the extreme left’s plan to dismantle good paying jobs in the energy industry, red-flag legislation and the lack of true representation in DC. Elisa is the ONLY candidate in the US Senate who can beat Ben Ray Lujan in November. Join the movement today: elisafornm.com. #elisa2020",426,348,0,78,0,0,0,15,219999816059010,elisafornm,/story.php?story_fbid=219999816059010&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-03 17:11:57,"This is HUGE! With President Trump and Elisa Martinez at the top of ticket in November, we WILL turn New Mexico red!  #Trump2020 #Elisa2020  ➡️➡️ Sign here if you want to bring President Trump back to New Mexico for a rally: https://bit.ly/3cx1oVw https://www.santafenewmexican.com/news/local_news/trump-vows-to-win-new-mexico-return-to-state-soon/article_c36de964-5d8c-11ea-90a6-5ba804210727.html",789,588,3,198,0,0,0,38,219316002794058,elisafornm,/story.php?story_fbid=219316002794058&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-03 16:22:00,Still time to vote in our Super Tuesday poll! New Mexico: who you do you want as your next US Senator? 🗳 #NMsen #NMpol https://www.elisafornm.com/sen-poll/,153,134,0,19,0,0,0,37,219291869463138,elisafornm,/story.php?story_fbid=219291869463138&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-03 12:37:32,🗳 Who should win in 2020: Martinez or Lujan? Take the Super Tuesday election poll. Let New Mexico know who you want to be your next US Senator! #NMsen #NMpol https://www.elisafornm.com/sen-poll/,179,154,0,25,0,0,0,48,219165072809151,elisafornm,/story.php?story_fbid=219165072809151&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-02 13:30:11,"Are New Mexico families ready to pay for Sanders, AOC, and Ben Ray Lujan's “Green New Deal?” ➡️ $74,432 per NM household!  As your US Senator, Elisa Martinez will STOP 🛑 the Green New Deal before it destroys New Mexico.  #NMsen #NMpol https://www.google.com/amp/s/www.foxnews.com/politics/study-green-new-deal-trillions-households-swing-states.amp",287,143,2,2,24,4,112,23,218406199551705,elisafornm,/story.php?story_fbid=218406199551705&id=114172129975113
Elisa Martinez for New Mexico,,2020-03-01 15:30:30,"Amazing group at the Sierra County Lincoln Day Dinner last night! New Mexicans are concerned about the direction our state is headed, and are ready to elect a leader who will fight to put New Mexico’s values first. Elisa is the only candidate in the US Senate race who’s taken on the far left and won. Join the movement: Elisafornm.com. #elisa2020",401,352,0,49,0,0,0,13,217696909622634,elisafornm,/story.php?story_fbid=217696909622634&id=114172129975113
