source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Don Bolduc,,2020-04-30 17:16:26,"""The partisanship that we're seeing today is born of SELF service, not selfless service."" I will work for you, the people of New Hampshire, not special interests in Washington, DC.  Jeanne Shaheen is not up to the job. It's time to get this right. #nhpolitics #nhsen #NH",32,30,0,2,0,0,0,0,254189995781369,gendonbolduc,/story.php?story_fbid=254189995781369&id=310875636463673
"Don Bolduc,Don Bolduc",,2020-04-30 13:55:22,"🚨ANNOUNCEMENT!🚨 Tonight's Virtual Town Hall will include a special guest... Register now!  ⬇️ ⬇️ ⬇️""As Americans, we are protected under the constitution to bear arms. I staunchly believe in that right."" -Don Bolduc Join our 2nd Amendment Virtual Town Hall! RSVP Required.  A link will be sent via email 1 hour prior to event: http://ow.ly/G6JN50zs6aH #2A #nhpolitics #nhsen",17,17,0,0,0,0,0,0,521646228719945,gendonbolduc,/story.php?story_fbid=521646228719945&id=310875636463673
Don Bolduc,,2020-04-30 12:40:27,"During this campaign, I've had the honor of meeting so many strong Granite Staters. I look forward to resuming normal activities as soon as we can safely do so. In the meantime, please support local businesses and stay safe!   Thanks for your support!  #nhpolitics #nhsen http://ow.ly/tH7G50zcI2r",47,45,0,2,0,0,0,0,1169172233430696,gendonbolduc,/story.php?story_fbid=1169172233430696&id=310875636463673
Don Bolduc,,2020-04-29 12:44:26,"""As Americans, we are protected under the constitution to bear arms. I staunchly believe in that right."" -Don Bolduc Join our 2nd Amendment Virtual Town Hall! RSVP Required.  A link will be sent via email 1 hour prior to event: http://ow.ly/G6JN50zs6aH #2A #nhpolitics #nhsen",61,60,0,1,0,0,0,0,520984658786102,gendonbolduc,/story.php?story_fbid=520984658786102&id=310875636463673
Don Bolduc,,2020-04-26 09:58:01,"During this campaign, I've had the honor of meeting so many strong Granite Staters. I look forward to resuming normal activities as soon as we can safely do so. In the meantime, please support local businesses and stay safe!   Thanks for your support!  #nhpolitics #nhsen http://ow.ly/tH7G50zcI2r",78,74,0,4,0,0,0,0,1512029118973120,gendonbolduc,/story.php?story_fbid=1512029118973120&id=310875636463673
"Don Bolduc,Swim With A Mission",,2020-04-24 17:05:57,"Phil is a great man. If you aren’t familiar with Swim With A Mission please learn about the amazing work they do. 🇺🇸 “We have a challenge and we have to solve it together. And we will overcome it together!” -DBSwim With A Mission Co-Founder Philip Taub wrote another incredible op-ed piece published in the New Hampshire Union Leader and this is a must read! Phil gets the perspective from 3 American Heroes on how to stay mentally tough during the  #COVID19 pandemic including; Medal of Honor Recipient Ryan Pitts who received the medal for his extraordinary acts of heroism during the Battle of Wanat, Mark Geist AKA ""Oz"" who helped save 25 people in the 13 Hour Battle of Benghazi, and Brigadier General Don Bolduc who was one of the Green Beret 'Horse Soldiers' sent into Afghanistan right after September 11th that fought the Taliban. Read and see what great advice they had to give to help us get through these challenging times!  #Heroes #America #MentalToughness",22,21,0,1,0,0,0,0,518086222409279,gendonbolduc,/story.php?story_fbid=518086222409279&id=310875636463673
Don Bolduc,,2020-04-23 19:07:22,"I am honored to have the support of so many impressive Granite Staters.  Thank you, Ronald!    I will work for you!   Add your name to the growing endorsement list here:    ",94,88,0,6,0,0,0,0,517432575807977,gendonbolduc,/gendonbolduc/photos/a.312007729683797/517432575807977
Don Bolduc,,2020-04-22 12:59:24,"During this campaign, I've had the honor of meeting so many strong Granite Staters. I look forward to resuming normal activities as soon as we can safely do so. In the meantime, please support local businesses and stay safe!   Thanks for your support!  #nhpolitics #nhsen http://ow.ly/tH7G50zcI2r",34,33,0,1,0,0,0,0,239011440796086,gendonbolduc,/story.php?story_fbid=239011440796086&id=310875636463673
Don Bolduc,,2020-04-22 11:22:33,"""The partisanship that we're seeing today is born of SELF service, not selfless service."" I will work for you, the people of New Hampshire, not special interests in Washington, DC.  Jeanne Shaheen is not up to the job. It's time to get this right. #nhpolitics #nhsen #NH",60,58,0,2,0,0,0,0,709923183095394,gendonbolduc,/story.php?story_fbid=709923183095394&id=310875636463673
Don Bolduc,,2020-04-22 09:20:15,"U.S. SENATE CANDIDATE DON BOLDUC AVAILABLE DAILY FOR VETERAN OUTREACH MEETINGS VIA PHONE AND VIDEO CHAT “I want my fellow veterans to know that I am available as a resource. During this time of isolation, we must be doing everything in our power to help each other. Veterans who are dealing with post-traumatic stress, health issues, or have any other concerns, need to know that help and support are available,” Bolduc said. Sign up here: https://www.signupgenius.com/go/9040b4fa4a62babfc1-donbolduc #nhpolitics #nhsen",70,59,0,11,0,0,0,0,516483629236205,gendonbolduc,/story.php?story_fbid=516483629236205&id=310875636463673
Don Bolduc,,2020-04-21 12:55:18,Virtual Town Hall TONIGHT! Join me for a Zoom meeting tonight at 7pm. Topics:  ➡️ Economy ➡️ Debt ➡️ Deficit RSVP required. Meeting information will be sent via email 1 hour before the Town Hall.  RSVP -----> https://www.eventbrite.com/e/virtual-town-hall-economy-debt-and-deficit-tickets-103139025602 #nhpolitics #nhsen,18,18,0,0,0,0,0,0,515964785954756,gendonbolduc,/story.php?story_fbid=515964785954756&id=310875636463673
