source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
George Flinn,,2020-05-01 18:10:05,"Politicians have been focused on fame and one-liners for too long! Tennessee needs a senator that will fight for conservative values and REAL solutions, not just soundbites. To learn more about my Real Solutions, go to ",13,12,0,1,0,0,0,0,3737483196278728,george,/george.flinn/photos/a.922528594440883/3737483196278728
George Flinn,,2020-05-01 16:35:05,"This virus has seriously disrupted our way of life. However, it will end and we'll return to normal. We need a plan to get back to normal and ensure we are prepared, should this happen again. I have a plan to do that. Read my detailed, 4-point plan at ",10,9,0,0,0,1,0,0,3737299362963778,george,/george.flinn/photos/a.922528594440883/3737299362963778
George Flinn,,2020-05-01 13:28:07, See you there!,1,1,0,0,0,0,0,0,3736907563002958,george,/george.flinn/photos/a.922528594440883/3736907563002958
,,2020-05-01 12:02:51,"Join me LIVE - next Thursday, May 7th - as we further discuss the actions we can take and what we can do to fix this situation to stop the chokehold of foreign nations.",3,2,0,1,0,0,0,0,3736724109687970,george,/story.php?story_fbid=3736724109687970&id=922528564440886
George Flinn,,2020-04-30 18:15:08,"It’s easy for politicians today to point fingers, call people names and get their 15 seconds of fame on TV. It is not getting the job done. We need to implement REAL solutions. Tennessee and our nation need this more than ever. To read my solutions, go to ",9,6,1,1,0,0,1,0,3734624286564619,george,/george.flinn/photos/a.922528594440883/3734624286564619
George Flinn,,2020-04-30 16:10:07,"China behaved badly during this pandemic. They lied to save face instead of lives, yet will they be punished? It’s time for the U.S. to amend the Sovereign Immunity Act and hold nations accountable if they cause harm to the health of Americans. Help me hold them accountable!",22,20,0,2,0,0,0,0,3734393193254395,george,/george.flinn/photos/a.922528594440883/3734393193254395
,,2020-04-30 15:52:42,Join Me LIVE - How the Communist Chinese Government Has Gone TOO Far,123,99,0,15,2,0,7,0,1120272655021966,george,/story.php?story_fbid=1120272655021966&id=922528564440886
George Flinn,,2020-04-30 13:05:25,"Don't forget, today at 3pm I will be hosting a Facebook Live Q&A about China and how they've gone way too far in this crisis. I will also be answering your questions! Go to  to watch! I am looking forward to it.",4,4,0,0,0,0,0,0,3734013416625706,george,/george.flinn/photos/a.922528594440883/3734013416625706
George Flinn,,2020-04-29 16:25:05,"With the coronavirus pandemic, our leaders are struggling to balance public safety and the integrity of our nation's economy. I have a clear plan for the future, so that we can return to normal and be ready for the next crisis. Visit  to read my plan!",5,4,0,1,0,0,0,0,3731550063538708,george,/george.flinn/photos/a.922528594440883/3731550063538708
George Flinn,,2020-04-29 14:55:14,"China and other foreign nations have a chokehold on our medical supplies, and it must change! Without a strategic reserve and reliable sources for medical supplies, our nation will be beholden to others for critical supplies. I have a plan to change this. ",8,8,0,0,0,0,0,0,3731367953556919,george,/george.flinn/photos/a.922528594440883/3731367953556919
