source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Jeanne Shaheen,,2020-05-01 17:30:56,"It's incredibly important that we pay attention to all aspects of our well-being in a stressful time like this. As we enter #MentalHealthAwarenessMonth, New Hampshire's mental health centers are here to help, and I'm working to help them get the resources they need.",15,14,0,0,0,0,0,0,10158379654148293,jeanneshaheenNH,/story.php?story_fbid=10158379654148293&id=6691963292
Jeanne Shaheen,,2020-04-30 19:33:47,"As we approach the end of April, I’m asking for your help to defend the progress we’ve fought for. Our campaign is powered by grassroots donors, and we’re fighting an avalanche of money from the other side. Whatever you can give right now, it would mean the world to me.",18,15,0,1,0,0,2,0,10158376313748293,jeanneshaheenNH,/story.php?story_fbid=10158376313748293&id=6691963292
Jeanne Shaheen,,2020-04-30 16:20:20,"Behind-the-scenes from my typical video conferencing setup (with plenty of books on hand). I’m grateful for the tools that allow us to stay connected so I can hear from public health experts, small business owners, first responders, and other front line workers. #WorkFromHome",244,213,1,29,0,0,0,0,10158375748693293,jeanneshaheenNH,/story.php?story_fbid=10158375748693293&id=6691963292
Jeanne Shaheen,,2020-04-29 19:31:38,"More New Hampshire small businesses have been approved for loans today. While I'm pleased that we're providing more relief to get through this crisis, it is absolutely critical that we make sure this money is going to the businesses that need it most. Having a relationship with a big bank shouldn't determine whether your business can keep workers on the payroll.",25,23,1,1,0,0,0,0,10158372781568293,jeanneshaheenNH,/story.php?story_fbid=10158372781568293&id=6691963292
Jeanne Shaheen,,2020-04-27 20:56:16,"My colleague Kirsten Gillibrand is right: the USPS performs an essential public good for millions of Americans, especially in rural communities that major corporations would charge a premium to serve. Hurting the Post Office hurts everyone. #SaveTheUSPS",303,252,1,24,3,5,18,0,10158365931663293,jeanneshaheenNH,/story.php?story_fbid=10158365931663293&id=6691963292
Jeanne Shaheen,,2020-04-27 14:32:50,"“In a period particularly fraught with political partisanship, Sen. Shaheen proved her ability to put politics aside collaborating with Republican colleagues to pass a bill prioritizing small businesses and working families.”",33,33,0,0,0,0,0,0,10158364921868293,jeanneshaheenNH,/story.php?story_fbid=10158364921868293&id=6691963292
Jeanne Shaheen,,2020-04-24 16:23:38,"The post office provides an indispensable service to every community in the country, and the 600,000 Americans it employs are on the front lines of this crisis. The next relief package must include more funding to keep it operational.",158,85,0,2,2,6,63,0,10158353826713293,jeanneshaheenNH,/story.php?story_fbid=10158353826713293&id=6691963292
Jeanne Shaheen,,2020-04-23 16:01:45,The Trump administration has so far failed to expand testing efforts in the way that we need to reopen shuttered businesses. That's why I fought for and secured more funding in this upcoming legislation to give NH the capability to expand on its own.,29,27,2,0,0,0,0,0,10158349459043293,jeanneshaheenNH,/story.php?story_fbid=10158349459043293&id=6691963292
Jeanne Shaheen,,2020-04-22 17:37:04,"Yesterday I helped pass a bill with $484 billion to provide much-needed relief to New Hampshire small businesses and hospitals, and increase testing capacity across the state. Small business and health care providers need urgent help. Let's get this signed into law so these funds come to NH quickly.",41,40,0,1,0,0,0,0,10158345457648293,jeanneshaheenNH,/story.php?story_fbid=10158345457648293&id=6691963292
Jeanne Shaheen,,2020-04-22 14:44:08,"Even in this pandemic, we can't forget the long-term environmental crisis of climate change. This #EarthDay I’m reminded of how connected we are to each other, and to the environment. Let’s act like it, and work together to protect our planet for the next generation. That’s why I’ve called for the U.S. to rejoin the Paris Climate Agreement, and introduced bipartisan legislation to drive down energy costs for families while lowering our carbon footprint. We owe it to future generations to take action while we still can. #EarthDay2020",57,49,1,7,0,0,0,0,10158344838978293,jeanneshaheenNH,/story.php?story_fbid=10158344838978293&id=6691963292
Jeanne Shaheen,,2020-04-21 20:45:45,I'm reaching out directly to give you an update on our response to the #COVID19 crisis.,102,92,1,8,1,0,0,0,10158342226673293,jeanneshaheenNH,/story.php?story_fbid=10158342226673293&id=6691963292
Jeanne Shaheen,,2020-04-20 19:47:01,"Many New Hampshire veterans haven't needed to file tax returns, but that doesn't mean they don't need our help right now. I pushed with Senator Maggie Hassan to make sure vets will get assistance they need and earned, and am glad it's happening.  https://www.wmur.com/article/veterans-to-receive-federal-covid-19-impact-payment-without-filing-tax-returns/32191870",23,22,0,0,1,0,0,0,10158338248323293,jeanneshaheenNH,/story.php?story_fbid=10158338248323293&id=6691963292
Jeanne Shaheen,,2020-04-19 14:19:29,Happy Greek Orthodox Easter to everyone celebrating today! The traditional painted red eggs are a symbol of hope and the renewal of life. Sending you my best wishes for a fun and healthy holiday wherever you may be. Καλό Πάσχα!,66,58,0,8,0,0,0,0,10158333242953293,jeanneshaheenNH,/story.php?story_fbid=10158333242953293&id=6691963292
Jeanne Shaheen,,2020-04-17 13:42:39,"I'm proud to endorse Joe Biden for President of the United States. ‪My friend Joe Biden has dedicated his life to making a difference for American families. From VAWA to the ACA, he's shown the values and persistence needed to get the job done. This is the most consequential election of my lifetime. I said from the beginning I would support our nominee and I am excited to endorse Joe. Standing together, we can build a stronger economy and brighter future for all Granite Staters.",502,409,7,81,0,2,3,0,10158324996798293,jeanneshaheenNH,/story.php?story_fbid=10158324996798293&id=6691963292
Jeanne Shaheen,,2020-04-15 16:54:36,"In addition to the important role they play in New Hampshire's economy, our airports are crucial lifelines to the supplies we need to fight this pandemic. The CARES Act funding will help Manchester and other airports in New Hampshire continue to operate. https://www.unionleader.com/news/health/coronavirus/nh-airports-land-15-2m-through-cares-act/article_dd88d638-e6b7-5be0-8bf3-d1d59cf1ed0e.html",18,18,0,0,0,0,0,0,10158318143648293,jeanneshaheenNH,/story.php?story_fbid=10158318143648293&id=6691963292
Jeanne Shaheen,,2020-04-14 16:59:28,"Nurses aren't just saving patients' lives: they're working together to keep each other safe, like the team at Elliot Hospital building a disposable gown they designed themselves. They deserve our support now more than ever.",80,63,0,17,0,0,0,0,10158314446578293,jeanneshaheenNH,/story.php?story_fbid=10158314446578293&id=6691963292
Jeanne Shaheen,,2020-04-13 18:29:42,"More than 4,400 NH small businesses have been approved for $1 billion in forgivable loans as part of the CARES Act. Every job we save is one more paycheck for a family that needs to put food on the table. Now, SBA must move quickly to get money out ASAP.",19,16,0,3,0,0,0,0,10158311153763293,jeanneshaheenNH,/story.php?story_fbid=10158311153763293&id=6691963292
Jeanne Shaheen,,2020-04-13 15:05:53,This delivery of over 6.6 million masks and other PPE items will make an extraordinary difference for our health care providers and workers. Thank you to Dean Kamen and everyone who played a part in bringing this crucial aid to NH.,97,86,0,11,0,0,0,0,10158310503833293,jeanneshaheenNH,/story.php?story_fbid=10158310503833293&id=6691963292
Jeanne Shaheen,,2020-04-12 14:30:27,"Wishing a joyful #Easter to all those celebrating in New Hampshire and around the world today. Today is a day to celebrate hope and new beginnings - even if we're apart, I hope you are able to find some of that spirit today, and keep it with you in the days ahead.",73,64,0,9,0,0,0,0,10158306863488293,jeanneshaheenNH,/story.php?story_fbid=10158306863488293&id=6691963292
Jeanne Shaheen,,2020-04-11 13:10:29,"Thanks for the first picture challenge, . Here's Billy and I caught in the waves way back when... How's this for a ?  Your turn, !",107,88,0,19,0,0,0,0,10158302638198293,jeanneshaheenNH,/jeanneshaheenNH/photos/a.10151236112888293/10158302638198293
Jeanne Shaheen,,2020-04-09 16:57:24,"In 2008, Kevin Kurland was serving abroad when he hatched an idea for a small business. Today, Kevin is serving his community back home, making hand sanitizer for Granite Staters through that business, Smoky Quartz Distillery.  Thank you, Kevin.",24,22,0,2,0,0,0,0,10158296167643293,jeanneshaheenNH,/story.php?story_fbid=10158296167643293&id=6691963292
