source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Joey Camp 2020,,2020-03-07 14:22:22,,0,0,0,0,0,0,0,0,502092110740751,joeycamp2020,/story.php?story_fbid=502092110740751&id=229264031356895
"Joey Camp 2020,Joseph A Camp",Joseph A Camp,2020-03-06 22:55:49,"The Crown Act is law. With Governor Jared Polis, Rhonda Fields, Representative Leslie Herod, and so many more. ~Jojo",0,0,0,0,0,0,0,0,501637547452874,joeycamp2020,/story.php?story_fbid=501637547452874&id=229264031356895
Joey Camp 2020,,2020-03-06 14:14:29,"Some photos from this week. Some great folks, good discussions, revelations had, and all sides represented. Thank you Governor Polis for putting together the forum on Criminal Justice Systems. Thank you Senator Pete Lee, Senator Rhonda Fields, Colorado District Attorney George Brauchler, and so many more for this gathering. So much was achieved. Also, Senator Lee was so kind to allow a personal guided tour for some youth I know. Almost done with this very productive week. ~Joey",0,0,0,0,0,0,0,0,501413030808659,joeycamp2020,/story.php?story_fbid=501413030808659&id=229264031356895
Joey Camp 2020,,2020-03-04 21:00:57,"AT THIS HOUR - 6:38 AM, MAR 4 DELEGATE ESTIMATE BIDEN 675 SANDERS 641 WARREN 75 BLOOMBERG 73 BUTTIGIEG 26 KLOBUCHAR 7 GABBARD 2 ~Joey",1,1,0,0,0,0,0,0,500275100922452,joeycamp2020,/story.php?story_fbid=500275100922452&id=229264031356895
Joey Camp 2020,,2020-03-03 12:48:03,,3,2,0,1,0,0,0,0,499418961008066,joeycamp2020,/story.php?story_fbid=499418961008066&id=229264031356895
"Joey Camp 2020,Joseph A Camp",Joseph A Camp,2020-03-02 15:51:39,Amy Klobuchar was giving away all her presidential campaign swag! Hit me up for an Amy shirt! ~JoeyFree Amy Swag.,0,0,0,0,0,0,0,0,498852534398042,joeycamp2020,/story.php?story_fbid=498852534398042&id=229264031356895
"Joey Camp 2020,Joseph A Camp",Joseph A Camp,2020-03-02 15:48:47,"Yet another candidate that I have met that has dropped out of the Presidential race! Who should I meet next? ~JojoI was there when Amy Klobuchar suspended her campaign for President of the United States. ""Amy Klobuchar will beat Donald J. Trump"" I'm still in the running Joey Camp 2020! ~Jojo",0,0,0,0,0,0,0,0,498851467731482,joeycamp2020,/story.php?story_fbid=498851467731482&id=229264031356895
Joey Camp 2020,,2020-03-01 19:47:37,,0,0,0,0,0,0,0,0,498248897791739,joeycamp2020,/story.php?story_fbid=498248897791739&id=229264031356895
"Joey Camp 2020,Joseph A. Camp,Joey Camp 2020,Joey Camp 2020","Joseph A. Camp,Joey Camp 2020,Joey Camp 2020",2019-02-03 01:03:20,"Like all campaigns we have to beg for attention. ~JoeyMatt and I would like to ask you to cyber endorse our candidacy by sharing, liking, commenting, and engaging with us. We want to be your cyber and real life candidates. ~Joey",1,1,0,0,0,0,0,0,496919521258010,joeycamp2020,/story.php?story_fbid=496919521258010&id=229264031356895
"Joey Camp 2020,John W. Hickenlooper",John W. Hickenlooper,2020-02-27 19:19:16,"~JoeyOur criminal justice system is broken—and Kevin Richardson, Raymond Santana Jr., and Yusef Salaam know that too well. It was powerful to hear them share their experience.",0,0,0,0,0,0,0,0,496144318002197,joeycamp2020,/story.php?story_fbid=496144318002197&id=229264031356895
