source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
John Cornyn,,2020-03-04 12:03:04,We’ll take Bernie & all of the failed down-ballot elections too!,204,123,46,3,6,2,24,126,2290797077688046,johncornyn,/story.php?story_fbid=2290797077688046&id=355316521236121
John Cornyn,,2020-03-03 22:47:36,"Keeping Texas Red starts tonight, and it starts with you. Onward to November!",644,542,18,74,0,2,8,78,2289760957791658,johncornyn,/story.php?story_fbid=2289760957791658&id=355316521236121
John Cornyn,,2020-03-03 21:33:50,Thank you for entrusting me as the official Republican nominee to keep Texas red! The work isn’t finished yet. Onward to November. #KeepTexasRed,2200,1900,21,221,4,10,22,211,2289672237800530,johncornyn,/story.php?story_fbid=2289672237800530&id=355316521236121
John Cornyn,,2020-03-03 13:59:24,"We traveled the state urging Texans to #SaddleUpNVote. Check out a highlight of the many places we traveled and people we met, and don’t forget: Vote Senator John Cornyn today in the primaries. -->",133,105,16,9,0,1,2,54,2289128444521576,johncornyn,/story.php?story_fbid=2289128444521576&id=355316521236121
John Cornyn,,2020-03-03 12:02:02,Join us in Austin tonight as we watch the results of the primary election come in!,92,78,2,8,0,1,3,45,2288967271204360,johncornyn,/johncornyn/photos/a.362871747147265/2288967271204360
John Cornyn,,2020-03-03 09:14:57,"Texas, today is the day to #SaddleUpNVote – get your primary vote in! Be sure to make your voice heard before 7pm tonight & vote for Senator John Cornyn to #KeepTexasRed!",191,169,13,7,0,1,1,73,2288705467897207,johncornyn,/story.php?story_fbid=2288705467897207&id=355316521236121
John Cornyn,,2020-03-03 07:00:09,Happy Super Tuesday! TODAY IS PRIMARY VOTING DAY! Not sure where your polling location is? Check out where the closest location is to you →,74,64,3,6,1,0,0,45,2288498781251209,johncornyn,/story.php?story_fbid=2288498781251209&id=355316521236121
John Cornyn,,2020-03-02 20:37:00,Don’t forget that TOMORROW is Super Tuesday--Don’t forget to vote for Senator Cornyn to #KeepTexasRed.,428,334,65,24,1,1,3,151,2287754951325592,johncornyn,/story.php?story_fbid=2287754951325592&id=355316521236121
John Cornyn,,2020-03-02 07:44:00,"Happy Texas Independence Day! On this day in 1836, Texas was declared as a free republic from Mexico. Proud of the progress we’ve made as a state.",720,651,7,60,1,0,1,75,2286721404762280,johncornyn,/johncornyn/photos/a.362871747147265/2286721404762280
John Cornyn,,2020-03-01 08:57:01,Time to saddle up and defend the Texas we love. We can’t do this without you.. Join us →,312,256,37,15,0,2,2,92,2284996494934771,johncornyn,/story.php?story_fbid=2284996494934771&id=355316521236121
John Cornyn,,2020-02-28 11:44:35,Today is the LAST day to Saddle Up n’ EARLY Vote! Be sure to get out today and make your voice heard.,115,97,11,6,0,0,1,77,2281537161947371,johncornyn,/johncornyn/photos/a.362871747147265/2281537161947371
John Cornyn,,2020-02-27 07:41:01,"As a reminder, tomorrow is the LAST day to early vote before the March primary. Be sure to SADDLE UP N’ VOTE to make your voice heard across the state. And remember, let’s .",179,163,5,9,0,0,2,110,2279283188839435,johncornyn,/johncornyn/photos/a.362871747147265/2279283188839435
John Cornyn,,2020-02-26 11:40:02,#TeamCornyn is seeking volunteers who want to defend Texas’ conservative voice & join in on the fight to #KeepTexasRed! More →,184,129,32,18,0,0,5,109,2277854112315676,johncornyn,/story.php?story_fbid=2277854112315676&id=355316521236121
John Cornyn,,2020-02-25 15:03:01,They can’t and won’t buy out our constitutional rights.,917,395,89,15,25,14,379,286,2276320612469026,johncornyn,/story.php?story_fbid=2276320612469026&id=355316521236121
John Cornyn,,2020-02-24 14:57:01,Good news out of UT. Continuing to pray for those affected by the coronavirus around the globe.,272,249,2,13,7,1,0,72,2274485355985885,johncornyn,/story.php?story_fbid=2274485355985885&id=355316521236121
John Cornyn,,2020-02-23 13:11:03,"The public credits President Trump with more economic growth than Obama because it’s TRUE. Wages are growing, there are more job openings than those seeking employment, and over $1 TRILLION of wages came back into the US thanks to his tax cuts.",568,442,68,50,1,2,5,228,2272451679522586,johncornyn,/story.php?story_fbid=2272451679522586&id=355316521236121
John Cornyn,,2020-02-22 14:43:01,Forgotten no longer! President Trump once again following through on his word. Economy = still booming. Unemployment? Lowest it’s seen in nearly 50 years.,1600,1300,70,220,2,1,8,317,2270703729697381,johncornyn,/story.php?story_fbid=2270703729697381&id=355316521236121
John Cornyn,,2020-02-22 08:39:00,"ICYMI: AOC has decided to endorse #AOCristina Tzintzún Ramirez. These two and their radical policies are completely out of step with Texas, making our job to #KeepTexasRed even more important.",772,164,120,10,20,23,435,254,2270156863085401,johncornyn,/story.php?story_fbid=2270156863085401&id=355316521236121
John Cornyn,,2020-02-21 14:32:15,"The socialist takeover continues. They ‘claim’ to be the moderate saving-grace, but all I see is a game to find out who is the most sold out to the Left.",580,332,65,5,10,43,125,254,2268802286554192,johncornyn,/story.php?story_fbid=2268802286554192&id=355316521236121
John Cornyn,,2020-02-21 11:38:01,AOC has decided to bring her radical divisiveness to the Lone Star State...,345,56,54,8,13,8,206,193,2268539326580488,johncornyn,/johncornyn/photos/a.362871747147265/2268539326580488
John Cornyn,,2020-02-21 10:24:15,"NEWSFLASH: AOC has endorsed the most radical Texas Senate nominee. AOC has no place in Texas, let alone endorsing candidates who support the Green New Deal, Medicare for All, & gun seizure programs who would strip Texas of everything we know it to be.",1100,207,140,5,31,27,737,448,2268420983258989,johncornyn,/story.php?story_fbid=2268420983258989&id=355316521236121
John Cornyn,,2020-02-20 13:55:01,Do you want to play a part in keeping Texas red in November? Join my campaign & help get the word out about #TeamCornyn.,346,267,44,29,0,1,5,137,2266846530083101,johncornyn,/story.php?story_fbid=2266846530083101&id=355316521236121
John Cornyn,,2020-02-20 12:04:34,Senator Cornyn held an early voting rally in Austin this morning and afterward headed to the polls to cast his ballot. Early voting runs through Feb. 28. Election Day is March 3.,527,454,20,43,0,5,5,149,2266691036765317,johncornyn,/story.php?story_fbid=2266691036765317&id=355316521236121
John Cornyn,,2020-02-19 13:54:02,Dems are trying to plant roots in the Lone Star state. It’s our job to stand strong for our values and keep them out!,2200,975,410,30,29,40,743,1004,2264971150270639,johncornyn,/story.php?story_fbid=2264971150270639&id=355316521236121
John Cornyn,,2020-02-18 13:36:03,We kicked off early voting in Texas with a bang! Thank you to all who joined us in Fort Worth to #saddleupNvote. Remember: Early voting runs from today through February 28 – cast your ballot today!,338,287,22,22,1,2,4,129,2263089480458806,johncornyn,/story.php?story_fbid=2263089480458806&id=355316521236121
John Cornyn,,2020-02-18 12:57:11,Senator Cornyn sat down with NBC's Julie Fine to talk about his vote to acquit President Trump and how Republicans are going to  this November.  ,773,648,50,58,3,4,10,228,2263035310464223,johncornyn,/johncornyn/photos/a.362871747147265/2263035310464223
John Cornyn,,2020-02-18 07:05:01,Early voting for the March 3 primary begins TODAY. Be sure to cast your early ballot for STRONG GOP leaders. #KeepTexasRed #KeepItRed,544,474,25,41,0,2,2,192,2262484280519326,johncornyn,/story.php?story_fbid=2262484280519326&id=355316521236121
John Cornyn,,2020-02-17 17:22:02,They so desperately want to flip Texas blue. What they need to understand: It won’t happen.,1300,649,213,30,27,24,432,523,2261538930613861,johncornyn,/story.php?story_fbid=2261538930613861&id=355316521236121
John Cornyn,,2020-02-17 08:41:50," of those who have helped shape our nation. Keep up the great work, President Trump!",294,247,9,30,0,3,5,78,2260786277355793,johncornyn,/johncornyn/photos/a.362871747147265/2260786277355793
John Cornyn,,2020-02-16 09:54:02,"For the 8th straight MONTH, border apprehensions are dropping at historic lows thanks to the crackdown from the Trump administration.",1900,1600,34,263,4,0,3,207,2259024964198591,johncornyn,/story.php?story_fbid=2259024964198591&id=355316521236121
John Cornyn,,2020-02-15 10:52:01,JOBS ARE BOOMING! TX added nearly 1k jobs PER DAY in 2019. Good for everyone.,1600,1300,22,175,27,1,2,246,2257224791045275,johncornyn,/story.php?story_fbid=2257224791045275&id=355316521236121
John Cornyn,,2020-02-14 17:54:51,Looking forward to walking into the 2020 campaign season with the Nueces County Republicans & Texas Federation of Republican Women by my side. Great being with them earlier today. #KEEPTEXASRED,293,255,20,15,0,0,3,80,2255865091181245,johncornyn,/story.php?story_fbid=2255865091181245&id=355316521236121
John Cornyn,,2020-02-14 09:48:43,Happy Valentine's Day from ! ,2600,2200,182,205,7,10,53,430,2255136771254077,johncornyn,/johncornyn/photos/a.362871747147265/2255136771254077
John Cornyn,,2020-02-13 11:27:03,"We want four more years of conservative leadership -- not a far-left socialist power grab vying to strip our nation of healthcare, guns, and much more.",1400,1000,87,243,5,4,24,278,2253369634764124,johncornyn,/story.php?story_fbid=2253369634764124&id=355316521236121
John Cornyn,,2020-02-12 09:26:01,"The squad has got to go. President Trump’s State of the Union speech was full of hope & truth toward our economy, and to praise the House Speaker for tearing up the speech is disgraceful.",4000,1000,74,25,36,238,2600,1685,2251277074973380,johncornyn,/story.php?story_fbid=2251277074973380&id=355316521236121
John Cornyn,,2020-02-11 09:21:01,Do you want to help #KeepTexasRed? Sign up now to join #TeamCornyn in the fight!,392,315,41,30,1,1,4,135,2249412025159885,johncornyn,/story.php?story_fbid=2249412025159885&id=355316521236121
John Cornyn,,2020-02-10 09:22:01,"With President Trump's leadership, job numbers continue to skyrocket and unemployment rates are plummeting. #JobsReport",624,522,31,67,1,2,1,166,2247581368676284,johncornyn,/story.php?story_fbid=2247581368676284&id=355316521236121
John Cornyn,,2020-02-09 15:06:01,When is Beto going to stop? Lots of money spent & another big loss. #KeepTexasRed,573,214,260,10,4,8,77,217,2246249128809508,johncornyn,/story.php?story_fbid=2246249128809508&id=355316521236121
John Cornyn,,2020-02-08 22:34:54,Capping off an historic week by speaking at the  Lincoln Day Dinner! Looking forward to 2020 Republican wins from the White House to the courthouse! ,2200,1800,24,313,3,5,36,265,2244873058947115,johncornyn,/johncornyn/photos/a.362871747147265/2244873058947115
John Cornyn,,2020-02-08 12:05:01,‘Democrats are nervous wrecks and Republican excitement has grown.’ Another 4 for President Trump & let’s keep the Senate!,1100,961,54,159,3,1,10,295,2244071252360629,johncornyn,/story.php?story_fbid=2244071252360629&id=355316521236121
