source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Wayne Johnson for US Senate,,2020-01-22 15:39:19,A good read from @anniereporter of CNBC with case studies relating to the student loan debt crisis.,0,0,0,0,0,0,0,0,153516649415933,johnsonsenate,/story.php?story_fbid=153516649415933&id=102632061171059
Wayne Johnson for US Senate,,2020-03-05 14:41:05,"When I left the Trump administration last October to seek appointment to the U.S. Senate, I knew the time was now to elevate the debate over the student loan debt crisis shackling 44 million Americans & their families, including 1.2 million Georgians. For the past few months, I have talked to hundreds of regular Georgians who talk about the burden of student debt, debt largely created by broken Federal Student Aid model. It's a kitchen table issue for them. That's why I qualified today to be on the ballot in the unique ""jungle primary"" as a Republican who can reach across party politics and talk about the kitchen table issues facing voters in Georgia. As a fiscal conservative and businessman who worked inside the FSA program for two years, I know my Opportunity Plus plan will work. It will require compromise, leadership and bipartisanship. But it is doable. We won't spend million on negative television ads or attack other candidates. Instead, we will take the message across Georgia. There are people living with the burden of student debt in every one of Georgia's counties, and that's where I'm heading. We'll talk about those kitchen table issues like student loan debt. That may sound better to voters than a barrage of negative television and direct mail pieces. Join us. Spread the word on your digital platforms. The only way the student loan crisis gets solved is if an army of regular citizens band together. Join me today.  www.johnsonsenate.com/join_us",2,2,0,0,0,0,0,0,185660812868183,johnsonsenate,/story.php?story_fbid=185660812868183&id=102632061171059
Wayne Johnson for US Senate,,2020-02-01 18:52:08,Tucker Carlson knows more about the student loan debt crisis than broadcast anchor in the country. He is spot on with this report that says it will take a conservative mentality to solve the problem. https://video.foxnews.com/v/6128782581001?playlist_id=5198073478001#sp=show-clips,3,3,0,0,0,0,0,1,160925912008340,johnsonsenate,/story.php?story_fbid=160925912008340&id=102632061171059
Wayne Johnson for US Senate,,2020-01-10 09:07:11,An interesting read regarding the student loan crisis. http://www.abajournal.com/news/article/law-grad-wins-discharge-of-his-student-debt-in-opinion-criticizing-punitive-standards,5,2,0,2,1,0,0,1,146905270077071,johnsonsenate,/story.php?story_fbid=146905270077071&id=102632061171059
Wayne Johnson for US Senate,,2020-01-08 21:29:19,"Income-based repayment plans are one of the reasons millions of Americans end up with a student loan for their entire adult life. It can be fixed, but not without new-found political courage in Washington. https://www.forbes.com/sites/robertfarrington/2020/01/06/the-student-loan-forgiveness-tax-bomb/#3f1bb9e43271",2,2,0,0,0,0,0,0,146397923461139,johnsonsenate,/story.php?story_fbid=146397923461139&id=102632061171059
Wayne Johnson for US Senate,,2020-01-08 08:54:00,"How long has the country's politicians been talking about the student loan crisis in America? Years. Lots of talk with no action. Here is an article from 2016 that is on point. It's time to solve this problem from the bottom up, not the top down. https://www.consumerreports.org/student-loan-debt-crisis/lives-on-hold/",2,2,0,0,0,0,0,1,146231790144419,johnsonsenate,/story.php?story_fbid=146231790144419&id=102632061171059
Wayne Johnson for US Senate,,2019-12-04 12:30:24,I want to congratulate @KLoeffler on her appointment & applaud @BrianKempGA for this thoughtful approach to this process. We need to prioritize ending the student loan crisis & I hope our new Senator will do just that.,2,2,0,0,0,0,0,0,132607454840186,johnsonsenate,/story.php?story_fbid=132607454840186&id=102632061171059
Wayne Johnson for US Senate,,2019-11-24 19:56:23,"Tucker Carlson has reported on the student loan crisis for many years in Washington. Introducing Dr. Wayne Johnson on his show Friday night, Carlson described Johnson as ""knowing more about the subject than any living American."" It's a subject that impacts 44 million Americans and crosses party lines. #johnsonsenate",6,6,0,0,0,0,0,2,128273865273545,johnsonsenate,/story.php?story_fbid=128273865273545&id=102632061171059
Wayne Johnson for US Senate,,2019-11-24 15:54:59,,3,3,0,0,0,0,0,0,128210155279916,johnsonsenate,/story.php?story_fbid=128210155279916&id=102632061171059
Wayne Johnson for US Senate,,2019-11-24 15:51:35,"Wayne Johnson Joined Tucker Carlson to Discuss Student Loan Crisis, November 22, 2019",5,5,0,0,0,0,0,1,128209488613316,johnsonsenate,/story.php?story_fbid=128209488613316&id=102632061171059
Wayne Johnson for US Senate,,2019-11-22 17:54:12,,5,5,0,0,0,0,0,0,127202155380716,johnsonsenate,/story.php?story_fbid=127202155380716&id=102632061171059
Wayne Johnson for US Senate,,2019-10-30 22:12:58,,0,0,0,0,0,0,0,0,111383340295931,johnsonsenate,/story.php?story_fbid=111383340295931&id=102632061171059
Wayne Johnson for US Senate,,2019-10-30 15:55:54,"Dr. Wayne Johnson resigned from the U.S. Department of Education last week, after being in charge of the federal student aid program for two years. End Student Loan Debt www.johnsonsenate.com",0,0,0,0,0,0,0,0,111100766990855,johnsonsenate,/story.php?story_fbid=111100766990855&id=102632061171059
Wayne Johnson for US Senate,,2019-11-20 13:14:13,,2,2,0,0,0,0,0,0,126109578823307,johnsonsenate,/story.php?story_fbid=126109578823307&id=102632061171059
Wayne Johnson for US Senate,,2019-11-14 15:25:47,"Three weeks ago today, Wayne Johnson announced his intention to seek the appointment of Georgia Gov. Brian Kemp to the U.S. Senate, based on his plan to solve the student loan crisis. The plan struck a nerve in America. Over 21 days, the conservative from Macon has talked about the plan with NBC, CBS, MSNBC, CNBC, Yahoo News, Yahoo Finance, the Wall Street Journal, the Washington Post and the Atlanta Journal-Constitution, among others. Today, Wayne was given the honor of presenting his plan to the American Enterprise Institute, one of the leading conservative think tanks in the world. Conservatives know this is a crisis for 44 million Americans, know it needs to be addressed and now have a plan they can gather around. Of all the media, this story from Jim Galloway sums it up best. #onaroll #johnsonsenate https://www.johnsonsenate.com/the_republican_who_would_grab_student_loan_debt_by_the_horns",5,5,0,0,0,0,0,0,123253969108868,johnsonsenate,/story.php?story_fbid=123253969108868&id=102632061171059
Wayne Johnson for US Senate,,2019-11-14 15:18:41,"Millennials across the country have student loan debt they struggle with each month. Wayne talked about the student loan debt crisis with Cheddar, the Millennial Network, on Wednesday. #johnsonsenate https://www.johnsonsenate.com/cheddar_this_former_trump_education_official_is_calling_for_mass_student_loan_forgiveness",2,2,0,0,0,0,0,0,123252279109037,johnsonsenate,/story.php?story_fbid=123252279109037&id=102632061171059
