source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Joni Ernst,,2020-03-04 19:21:34,"Americans are feeling great about our trade deals, and why wouldn’t they?  Already this year we’ve delivered USMCA and Phase One of a trade deal with China, and there’s so much more to come under President Trump and our Republican Senate majority.",146,127,3,14,0,0,2,31,3015609988470893,joniforiowa,/story.php?story_fbid=3015609988470893&id=586751814690068
Joni Ernst,,2020-03-04 15:32:29,"In college I visited the Soviet Union as part of an agricultural exchange. There was no running water, no refrigeration, no telephones, no automobiles. They were farming with horses and wagons - in 1989. And the local people would ask us, “what is it like to be an American?” They dreamed and hungered for the freedoms we take for granted.  So for those that are seeking socialism, I would say all you have to do is look around this world and see where socialism has failed and how people that live in those countries long to be free.",833,724,9,86,9,3,2,95,3015282055170353,joniforiowa,/story.php?story_fbid=3015282055170353&id=586751814690068
Joni Ernst,,2020-03-03 18:25:34,"In the last year, we’ve: Reinstated the biodiesel tax credit Approved year-round E15 sales Iowa is going to keep feeding and fueling the world 🌽💪",34,33,1,0,0,0,0,7,3013348432030382,joniforiowa,/story.php?story_fbid=3013348432030382&id=586751814690068
Joni Ernst,,2020-03-03 13:12:07,"Thanks to President Trump and the #TCJA, Iowans are keeping more of their money. In Iowa:  Over 1 million families benefit from doubling the standard deduction Over 240,000 families benefit from doubling the child tax credit And the average family is paying $1,400 less per year",219,179,18,20,0,0,2,39,3012879878743904,joniforiowa,/story.php?story_fbid=3012879878743904&id=586751814690068
Joni Ernst,,2020-03-02 14:54:12,"There’s never been more Republican women in the Senate, and we’re getting results! Conservative women are leading the way on life, family leave, healthcare, and so many other issues. 💁‍♀️💪",317,263,13,36,1,1,3,46,3010811042284121,joniforiowa,/story.php?story_fbid=3010811042284121&id=586751814690068
Joni Ernst,,2020-03-02 09:34:22,"Watch LIVE as I turn in 23,812 signatures to qualify for the ballot!",815,636,10,159,2,4,4,110,606317143253465,joniforiowa,/story.php?story_fbid=606317143253465&id=586751814690068
Joni Ernst,,2020-03-01 15:37:45,Great News! It should go without saying that kids should be able to run a lemonade stand without getting the police involved.,294,247,8,31,6,0,2,54,3008586822506543,joniforiowa,/story.php?story_fbid=3008586822506543&id=586751814690068
Joni Ernst,,2020-02-29 16:30:26,"Today on the 99 county tour: 📍Davenport  📍Oskaloosa 📍And up next, a town hall meeting in Chariton!",242,200,7,29,0,1,5,48,3006204822744743,joniforiowa,/story.php?story_fbid=3006204822744743&id=586751814690068
Joni Ernst,,2020-02-29 11:21:08,"I had a great time in Davenport with @kimreynoldsia! Thanks to everyone who joined us! @ Davenport, Iowa",212,186,0,22,0,0,4,15,3005691182796107,joniforiowa,/story.php?story_fbid=3005691182796107&id=586751814690068
"Joni Ernst,Breitbart",Breitbart,2020-02-28 17:42:37,The Democrats embracing socialism should look at all the places where socialism has failed.Wise words.,170,143,12,11,2,0,2,45,3004219292943296,joniforiowa,/story.php?story_fbid=3004219292943296&id=586751814690068
Joni Ernst,,2020-02-28 14:19:25,My MAKE CENTS Act will Make Washington Squeal and rein in the culture of waste in DC by requiring transparency and accountability from lawmakers and government agencies.,105,81,12,8,0,1,3,33,3003772256321333,joniforiowa,/story.php?story_fbid=3003772256321333&id=586751814690068
Joni Ernst,,2020-02-27 18:14:47,Welcome to our live Facebook townhall meeting! Post your questions in the comments and I’ll get to as many as I can.,480,362,14,79,2,1,22,280,659112391590555,joniforiowa,/story.php?story_fbid=659112391590555&id=586751814690068
Joni Ernst,,2020-02-27 12:19:49,"When people are turning to Craigslist for insulin, it’s clear we’re facing a crisis. It’s why I’m supporting 8 bills in the Senate to bring down prescription prices and let people buy the drugs they need in a safe manner.",247,192,3,13,21,8,10,53,3001314576567101,joniforiowa,/story.php?story_fbid=3001314576567101&id=586751814690068
Joni Ernst,,2020-02-26 19:45:39,"Tomorrow at 5 PM I’ll be holding a live Townhall right here on Facebook! If you can’t join us then, leave a question in the comments here.",59,50,1,7,0,0,1,25,2999821600049732,joniforiowa,/story.php?story_fbid=2999821600049732&id=586751814690068
Joni Ernst,,2020-02-26 15:29:58,"Last night’s debate, and everything we’ve seen from the early primaries, just proves that the Democrats have become the party of socialism.  Their solution to everything is more taxes, more spending, and more government control of our lives.",567,409,10,7,8,39,94,121,2999460896752469,joniforiowa,/story.php?story_fbid=2999460896752469&id=586751814690068
Joni Ernst,,2020-02-26 10:40:53,Elizabeth Warren What’s wrong with saying “kill it” since you don’t believe it’s a life to begin with?,411,295,29,4,16,46,21,113,2998978463467379,joniforiowa,/story.php?story_fbid=2998978463467379&id=586751814690068
Joni Ernst,,2020-02-25 13:29:47,"Prescription drug costs are too high, and it’s an issue I hear about across all 99 counties in Iowa. We’re taking action in the Senate to lower prescription drug prices.",281,251,7,21,0,1,1,42,2997115176987041,joniforiowa,/story.php?story_fbid=2997115176987041&id=586751814690068
Joni Ernst,,2020-02-24 19:07:48,"This Thursday at 5 PM I’ll be hosting a live Townhall here on Facebook! If you can’t join us, leave a question here and I’ll answer as many as I can.",107,94,6,5,0,0,2,58,2995443387154220,joniforiowa,/story.php?story_fbid=2995443387154220&id=586751814690068
Joni Ernst,,2020-02-24 16:21:35,Renewing the biodiesel tax credit is a huge win for our ag economy. Now we need to make sure the IRS moves quickly to make these payments.,58,50,1,2,1,0,4,20,2995208163844409,joniforiowa,/story.php?story_fbid=2995208163844409&id=586751814690068
Joni Ernst,,2020-02-24 12:03:19,"We’ve heard a lot of talk about bringing down prescription drug prices, now it’s time for action. I’m currently working on 8 bills in the Senate which, along with the CREATES act signed in December, will: Increase competition in the marketplace Streamline the FDA approval process Close loopholes that drive up prescription costs",197,177,9,9,1,0,1,50,2994778080554084,joniforiowa,/story.php?story_fbid=2994778080554084&id=586751814690068
Joni Ernst,,2020-02-23 19:11:47,Our best wishes to these men and women of the Red Bull. Thank you for all you do to keep our nation safe.,364,300,0,34,3,25,2,58,2993291934036032,joniforiowa,/story.php?story_fbid=2993291934036032&id=586751814690068
Joni Ernst,,2020-02-23 14:33:54,Is there anything Iowa ag isn’t number one in? Great job Cinnamon Ridge!,399,351,3,41,4,0,0,28,2992850150746877,joniforiowa,/story.php?story_fbid=2992850150746877&id=586751814690068
Joni Ernst,,2020-02-22 12:57:02,Another beautiful day in the great state of Iowa!,638,565,5,62,1,1,4,57,2990546764310549,joniforiowa,/story.php?story_fbid=2990546764310549&id=586751814690068
Joni Ernst,,2020-02-21 19:23:34,Another great week working to  in Washington!,226,203,6,15,0,1,1,19,2988937647804794,joniforiowa,/joniforiowa/photos/a.600921606606422/2988937647804794
Joni Ernst,,2020-02-21 14:37:55,"Billions of your taxpayer dollars go to waste every year because of the culture of waste in DC. By requiring transparency in government projects and ending use-it-or-lose-it budgeting, we can change that culture and #MakeEmSqueal.",320,290,8,17,1,1,3,62,2988525857845973,joniforiowa,/story.php?story_fbid=2988525857845973&id=586751814690068
Joni Ernst,,2020-02-20 18:42:14,It’s time to hold states accountable for flouting immigration law and putting Americans in danger.,1000,923,7,134,1,0,10,88,2986628944702331,joniforiowa,/story.php?story_fbid=2986628944702331&id=586751814690068
Joni Ernst,,2020-02-19 18:33:10,"Not one Democrat in our hearing could answer why it’s okay to let a baby die after surviving an abortion attempt. Think about that.  Protecting the life of newborn babies should be a basic moral principle, not a partisan issue.",2100,597,7,24,36,587,872,306,2984391238259435,joniforiowa,/story.php?story_fbid=2984391238259435&id=586751814690068
Joni Ernst,,2020-02-19 14:14:39,"Republican policies are working, and Americans are noticing. Under President Trump and our Republican Senate majority, our economy is the best it has been in decades.",268,221,22,23,0,1,1,60,2984004594964766,joniforiowa,/story.php?story_fbid=2984004594964766&id=586751814690068
