source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Jon Ossoff,,2020-03-05 17:40:40,Defend Roe v. Wade!,836,304,1,10,12,52,457,97,3023012787756671,jonossoff,/story.php?story_fbid=3023012787756671&id=1336293769761923
Jon Ossoff,,2020-03-05 12:52:59,Young Americans are politically diverse. But most of us agree politics is intolerably corrupt.  Most of us agree every citizen deserves health care. Most of us demand an end to the destruction of our planet.  Thanks Taos Wynn & Millennial Civil Rights for hosting and for having me!,104,89,0,15,0,0,0,2,3022557891135494,jonossoff,/story.php?story_fbid=3022557891135494&id=1336293769761923
Jon Ossoff,,2020-03-05 10:11:36,"State Rep. Spencer Frye is a fighter for Georgia’s working families in Athens and in our state legislature. Thank you, Spencer, for your friendship and support!",236,209,0,26,1,0,0,2,3022276977830252,jonossoff,/story.php?story_fbid=3022276977830252&id=1336293769761923
Jon Ossoff,,2020-03-04 17:00:58,"Roe v. Wade is under heavy attack.  Politicians like my opponent David Perdue believe they're qualified and entitled to make deeply personal and sensitive medical decisions for American women. In the Senate, I'll defend the privacy of women's health care. I'll only vote to confirm federal judges who will uphold Roe v. Wade.",454,163,0,6,6,57,222,28,3020716817986268,jonossoff,/story.php?story_fbid=3020716817986268&id=1336293769761923
Jon Ossoff,,2020-03-04 12:16:06,"Today I put my name on the ballot to represent Georgia in the United States Senate. That’s quite a feeling! I am grateful to live in a democracy. Democracy is precious.  But our democracy is deeply threatened by corruption, incompetence, and deceit.  Together we can save it!",1200,1000,1,218,3,0,1,54,3020298494694767,jonossoff,/story.php?story_fbid=3020298494694767&id=1336293769761923
Jon Ossoff,,2020-03-03 15:00:37,"When women are dying because they don’t get the prenatal or OBGYN care they need, we have a 𝙘𝙧𝙞𝙨𝙞𝙨. We know how to reduce maternal mortality, but our leaders are failing to act with urgency.  Every elected official & candidate in Georgia should be prioritizing this issue.",227,197,0,7,0,21,2,6,3018422741549009,jonossoff,/story.php?story_fbid=3018422741549009&id=1336293769761923
Jon Ossoff,,2020-03-03 09:05:54,Georgia State Sen. Emanuel Jones has served as a Captain in the U.S. Army Corps of Engineers and Chair of Georgia’s Legislative Black Caucus. I’m grateful to have Sen. Jones’ support!,305,276,0,29,0,0,0,1,3017821981609085,jonossoff,/story.php?story_fbid=3017821981609085&id=1336293769761923
Jon Ossoff,,2020-03-02 16:03:48,David Perdue and his allies will say I’m too young to serve in the Senate. But youth is my greatest strength. The last thing anyone says about Washington is that there are too many young people in power.,284,252,1,30,0,0,1,9,3016311068426843,jonossoff,/story.php?story_fbid=3016311068426843&id=1336293769761923
Jon Ossoff,,2020-03-02 11:25:40,🚈 Light rail. Fast rail.  🚃 Streetcars. Electric cars.  🚴‍♂️ Bikeshares. Bike lanes.  🌳 Greenbelts. Beltlines. Historic infrastructure investment is coming.,249,221,0,28,0,0,0,5,3015989825125634,jonossoff,/story.php?story_fbid=3015989825125634&id=1336293769761923
Jon Ossoff,,2020-03-01 18:00:31,Sunny was having a pretty ruff day until he got some #Ossoff swag. Now he’s feeling paw-some. #DogsForOssoff,364,297,3,64,0,0,0,8,3014516461939637,jonossoff,/story.php?story_fbid=3014516461939637&id=1336293769761923
Jon Ossoff,,2020-03-01 14:36:29,"Henry County will elect a new Sheriff this year, and my friend Reginald Scandrett is the clear choice!  Support Chief Scandrett! ➡️ https://www.scandrett4sheriff.com",215,208,1,6,0,0,0,1,3010554522335831,jonossoff,/story.php?story_fbid=3010554522335831&id=1336293769761923
