source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Justin O'Donnell for U.S. Senate,,2020-04-30 15:48:02,"The first generation of pokemon games is a funny little corolary to the current state of US Politics and Political Parties... (Colors are on point) Red and Blue versions were nearly identical in every way, with very few minor differences in the available pokemon. However, gameplay was identical, so were the glitches. And everyone had 1 favorite version they stood by (mine was blue version) but the reality was we all cheated the same and exploited the same glitches to win. Yellow version came out later, and provided the same conceptual style, but added major changes to the story and plotline, as well as significant changes to game play. But most importantly, in Yellow Version you had to win without exploiting the same glitches that made Blue and Red so easy. The developers patched it to make Yellow Version have a much harder path to the same win.  Blue Version and Red Version could still link with and compete against Yellow version players, but they still had access to infinite rare candies and other Items to make for an uneven playing field.   Yellow Version was easilly the best of Gen 1, because while it was certainly harder, it was a much more rewarding experience to win with it, knowing you had an uphill battle that the other kids at summer camp were cheating to beat.  Don't play Blue and Red Versions, play Yellow Version and vote Libertarian.",5,4,1,0,0,0,0,0,2560481007535185,justin4liberty,/story.php?story_fbid=2560481007535185&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-04-28 10:54:02,"Have you ever wondered what a taxpayer funded political campaign would look like? I'll give you a hint, it came in the form of a ""stimulus package."" Independent candidates are struggling to fund campaigns in these trying times, while incumbents in Congress are campaigning with blank checks backed by stolen tax revenue. It's time for real meaningful change in DC, not just more of the same with a different party. Head over to www.odonnell2020.com/donate today to chip in what you can to help push back against the corruption of incumbency!",2,2,0,0,0,0,0,0,2558740304375922,justin4liberty,/story.php?story_fbid=2558740304375922&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-04-21 02:08:47,"4/20 is a fun day of celebration for most of the country. But this year it fell on the culmimation of Patriots Day Weekend. Patriots Day is a holiday not celebrated by most of the country, but has a place of great prestige in Massachusetts, remembering the Battle of Concord and Lexington, and the begining of the American Revolution.  In a normal year, Patriots Day Weekend is capped off with Marathon Monday, the traditional running of the Boston Marathon, an iconic race through the Heart of Boston, bringing Thousands of runners, and Hundreds of thousands of spectators lining the course from Hopkinton to Boston to cheer them on.  However, this is not a typical year. The Boston Marathon was cancelled this year, which is a striking blow to both the small businesses on the route that depend on the days traffic, as well as the heart and soul of the greater Boston Area as a whole.  This isn't the first time in my life that the Marathon has been atypical. 7 years ago, on Patriots Day, I was serving in the Massachusetts National Guard and had volunteered to work security for the 2013 Boston Marathon. That was not a typical marathon, and the following days shook the very foundations of the Liberty and Freedom we were celebrating. It began a cascade of events that drastically changed my life, and my outlook on Liberty and freedom.  That series of events led to my inevitably getting involved with the Libertarian Party, running for office, and working tirelessly to protect the freedoms we hold so dear.  Please read the article I linked that I wrote and published last year, and please take a moment to like and share my page, and in these trying times, if you can spare it, visit www.odonnell2020.com/donate to help contribute to a campaign to bring a new voice to the political discussion in the US Senate. https://medium.com/@ODonnell4NH/why-im-running-as-a-libertarian-402be6e52575 .",3,3,0,0,0,0,0,0,2552988938284392,justin4liberty,/story.php?story_fbid=2552988938284392&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-04-18 18:20:41,"Allowed to operate freely, the economy would adjust to safely serve its purpose in the new world we live in. Government intervention does nothing but delay innovation and exacerbates the economic harm done to those most vulnerable in our society. Free People deserve Free Markets.  #ReOpenNH",15,14,0,1,0,0,0,0,2551257718457514,justin4liberty,/story.php?story_fbid=2551257718457514&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-04-17 16:57:39,Granite Staters should be encouraged to support Local businesses with their Stimulus checks...  Local businesses like Sig Sauer.,8,7,1,0,0,0,0,0,2550302741886345,justin4liberty,/story.php?story_fbid=2550302741886345&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-03-23 17:07:02,How it feels to watch the Market be quarantined by Government.  https://youtu.be/jRRs0BrBDx0,2,1,1,0,0,0,0,0,2530002367249716,justin4liberty,/story.php?story_fbid=2530002367249716&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-03-23 16:30:26,"“Is life so dear, or peace so sweet, as to be purchased at the price of chains and slavery? Forbid it, Almighty God! I know not what course others may take; but as for me, give me liberty or give me death!” -Patrick Henry, 1775",5,4,0,1,0,0,0,0,2529982603918359,justin4liberty,/story.php?story_fbid=2529982603918359&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-03-23 16:30:12,Say it louder for the people in the back!,24,19,1,4,0,0,0,0,2529982507251702,justin4liberty,/story.php?story_fbid=2529982507251702&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-03-16 18:33:19,"If you want your local businesses to exist after this pandemic, you must support them through it. The corporate chains and retail giants can weather this storm, but small bussinesses and resturaunts in our neighborhoods cannot. I will be visiting Murphy's Taproom tomorrow to get my dinner to go, and will be visiting Presto Pasta this week as well for the same.  The overreaction by government is already having an adverse economic impact on our communities, and the small business owners we take for granted will suffer for the ignorance of elected politicians.",10,8,0,1,1,0,0,0,2524415814475038,justin4liberty,/story.php?story_fbid=2524415814475038&id=1745722325677728
Justin O'Donnell for U.S. Senate,,2020-03-16 16:01:29,"Social distancing and self quarantine might be good ideas to minimize exposure to pathogens, but these orders set a dangerous precedent for government overreach.  Tyrants have historically used emergencies to grant themselves new far reaching powers that never go away once the situation has resolved. It is incumbent upon us to be vigilant not only for our health, but for the preservation of our liberties as well.",6,4,1,1,0,0,0,0,2524337074482912,justin4liberty,/story.php?story_fbid=2524337074482912&id=1745722325677728
