source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Lorena Garcia For Senate,,2020-03-07 13:57:25,"As you are heading in to caucus today, you may find a #TeamLorena2020 volunteer outside collecting signatures to make sure we get a progressive, well qualified woman onto the primary ballot. Sign our petition if you have not yet signed a petition for a US Senate candidate yet!",20,17,0,3,0,0,0,0,1378358668992816,lorenaforsenate,/story.php?story_fbid=1378358668992816&id=1021086678053352
Lorena Garcia For Senate,,2020-03-04 16:58:13,"SPREAD THE WORD: WE ARE NOT CAUCUSING.  You cannot caucus for us at your precinct Saturday (we are petitioning only on to the ballot) ****BUT we do need help collecting signatures on our petitions at some caucuses.  Can you volunteer to help collect Saturday, either at your caucus/ before caucus/ or at a random busy site I send you to!?  Message our field manager, Hayley Banyai-Becker ASAP",22,16,0,6,0,0,0,2,1376053905889959,lorenaforsenate,/story.php?story_fbid=1376053905889959&id=1021086678053352
Lorena Garcia For Senate,,2020-03-03 10:56:51,Vote! All the cool kids are doing it.,62,39,0,22,0,1,0,3,1375021775993172,lorenaforsenate,/story.php?story_fbid=1375021775993172&id=1021086678053352
Lorena Garcia For Senate,,2020-03-03 09:15:36,"D.A. Lacey has done what needs to happen across the country. Not only did she dismiss these cases, she also sealed their records. This is criminal justice reform and we need this across the country.",122,96,0,26,0,0,0,3,1374943746000975,lorenaforsenate,/story.php?story_fbid=1374943746000975&id=1021086678053352
Lorena Garcia For Senate,,2020-03-01 15:09:39,#TeamLorena2020 in Manitou Springs today!,60,44,0,15,1,0,0,1,1373436479485035,lorenaforsenate,/story.php?story_fbid=1373436479485035&id=1021086678053352
Lorena Garcia For Senate,,2020-03-01 13:08:15,"Humbled and honored to have the support this incredible community leader, Ean Thomas Tafoya!  AND SUPER EXCITED TO ANNOUNCE OUR NEW PODCAST! Check out the first episode (with Ean as our special guest) here and let us know what we should name it!  https://open.spotify.com/show/7xsiiupMkL9p6hZzQdE95n?si=wnFT9kylQBmAORvAwBknqA",42,28,0,14,0,0,0,0,1373365452825471,lorenaforsenate,/story.php?story_fbid=1373365452825471&id=1021086678053352
Lorena Garcia For Senate,,2020-02-29 19:55:49,Some awesome people finally taught some of #TeamLorena2020 how to make a TikTok and this is how it turned out. Moral of the story: sign our petitions👏🏻✊🏽✊🏼👍🏾👏🏿,35,12,8,15,0,0,0,1,1372701992891817,lorenaforsenate,/story.php?story_fbid=1372701992891817&id=1021086678053352
Lorena Garcia For Senate,,2020-02-29 11:48:23,"Reproductive justice is vital to the health of everyone. These manipulative attacks on our right to access healthcare is not only pathetic,  but very dangerous. Cory Gardner who continues to vote in favor of these bills shows his complete and total ignorance to the science of abortions. He is not fit to be an elected official and must be fired.",58,26,0,2,1,0,29,6,1372413726253977,lorenaforsenate,/story.php?story_fbid=1372413726253977&id=1021086678053352
Lorena Garcia For Senate,,2020-02-28 18:10:33,,24,12,0,12,0,0,0,4,500329897575611,lorenaforsenate,/story.php?story_fbid=500329897575611&id=1021086678053352
Lorena Garcia For Senate,,2020-02-28 17:02:20,,32,20,0,12,0,0,0,5,129106815183812,lorenaforsenate,/story.php?story_fbid=129106815183812&id=1021086678053352
Lorena Garcia For Senate,,2020-02-28 00:41:35,BOULDER! See you tomorrow!,15,12,0,3,0,0,0,0,1371212103040806,lorenaforsenate,/story.php?story_fbid=1371212103040806&id=1021086678053352
