source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Glen Neal for United States Senate,,2020-04-11 01:55:46,"I agree with the Covid-19 government guidelines administered by the CDC and President Trump. I have been practicing the guidelines from the time of their release. Recently Governor Lee has proclaimed his own statewide mandates to be followed which goes considerably farther than the national guidelines. I can foresee Constitutional conflicts with the state mandates and expect them to be pointed to in the near future and challenged as to their legality. Our nation has many freedoms and rights that are guaranteed and should not be suppressed by any administrative order or legislated law. Our elected officials should never intentionally violate the rights and freedoms of the citizens of our great Republic As an American Patriot, If you have concerns of this presently occurring sound out and let your objections be heard. The future of the United States of America may be in jeopardy if we fail to act.",0,0,0,0,0,0,0,0,1103102076721833,neal4senate2020,/story.php?story_fbid=1103102076721833&id=846912302340813
Glen Neal for United States Senate,,2020-04-01 04:41:56,,0,0,0,0,0,0,0,0,1095541990811175,neal4senate2020,/story.php?story_fbid=1095541990811175&id=846912302340813
Glen Neal for United States Senate,,2020-04-23 09:59:49,"China has created a worldwide panic by setting the Covid-19 virus loose with no attempt on the part of the Chinese to share any information about this disease. Now it is being reported that they may have developed a vaccine that will be available as early as August 2020. This whole Covid-19 pandemic stinks like a dead rat.  Our next big government expenditure should be on our infrastructure and a significant portion of the money should be earmarked for developing an industrial base to bring all manufacturing back home from China. The Communist Government of China must be punished economically for the damage they have done to our economy.  To accomplish becoming independent from China Americans must make drastic changes in the makeup of congress. The Rhinos absolutely must go and be replaced with individuals that care more about our nation and it's people than they care about making themselves and their buddies rich. There will be no place for partisan politics in the next congress. That would definitely require a change to Republicans becoming the majority party and Nancy Pelosi and her socialist followers sent back to hide in the basement of the Capital Building to continue their anti American scheming. I would like to share with you what a former member of Congress recently said about China and the Covid-19 virus: From Trey Gowdy: I'm not saying Covid-19 isn't real... But Pay attention folks, there's much more going on here than what meets the eye. Is it a coincidence that just when the economy is booming, the stock market is setting record highs, we are winning the trade wars, school shootings have stopped, our nation is at peace, the Democratic party is a disaster and so is their likely nominee(Biden).  He hasn't a chance in hell & they're not about to let an outsider(Bernie) destroy their scheme. It looks like Trump is a sure bet for reelection after fending off 3 years of investigations and impeachment, then all the sudden world crisis pandemic. Stock market tumbles, companies are laying off employees, everything is closed and canceled, CEO's of giant companies are resigning and indictments are coming. Now they say there are a couple ways a President doesn't win reelection. Those are an unpopular war or a poor economy. But there is something larger going on here driving this sudden outbreak right after Trump beats an impeachment. Especially the fact that it(Corona virus)originated in China who we are in a global trade war with brought on by Trump. Let's not forget Biden's back door deals with CHINA as well. China doesn't want 4 more years of Trump either. It all seems rather convenient for the nations and opponents of our current President and economy 5 months before an election. Couldn't have hit at a more perfect time. With the Democrats running out of campaign talking points in light of no school shootings, no migrant caravans at the southern border, fighting in Syria winding down, North Korea not firing missiles and Trump beating a sham impeachment. The corona virus gave them one last hail Mary to try and point fingers at Trump with the clock winding down in 2020. This is almost the perfect fascist playbook. Control the population with fear-mongering and panic, control the media, spread propaganda and the fan-favorite disarm the population. Oh, and did anyone notice that while they are mad as hell at Trump for not sending aid to Ukraine, they THEMSELVES voted AGAINST giving ANY emergency aid to all Americans ? Sorry but I don't think we are all going to die. Remember when Ebola was what was going to kill us all, and the media kept showing the piles of body bags that were prepared for the fallout. Then a month later it was totally forgotten. The common flu has killed more people this year already and the media is SILENT! A handful of deaths out of 320 million Americans and we are in panic tearing down our society and costing our economy billions in the wake. It all just seems fishy, a little too well-timed if you ask me.",2,2,0,0,0,0,0,0,1113023142396393,neal4senate2020,/story.php?story_fbid=1113023142396393&id=846912302340813
Glen Neal for United States Senate,,2020-04-20 12:13:43,,6,5,0,1,0,0,0,0,1110815425950498,neal4senate2020,/story.php?story_fbid=1110815425950498&id=846912302340813
Glen Neal for United States Senate,,2020-04-17 07:11:58,,2,2,0,0,0,0,0,0,1108284759536898,neal4senate2020,/story.php?story_fbid=1108284759536898&id=846912302340813
Glen Neal for United States Senate,,2020-03-17 18:04:27,,0,0,0,0,0,0,0,0,1084058688626172,neal4senate2020,/story.php?story_fbid=1084058688626172&id=846912302340813
Glen Neal for United States Senate,,2020-04-01 04:30:13,,3,3,0,0,0,0,0,0,1095536477478393,neal4senate2020,/story.php?story_fbid=1095536477478393&id=846912302340813
Glen Neal for United States Senate,,2020-04-01 04:12:35,,2,2,0,0,0,0,0,0,1095529334145774,neal4senate2020,/story.php?story_fbid=1095529334145774&id=846912302340813
Glen Neal for United States Senate,,2020-02-27 06:06:13,,3,2,0,1,0,0,0,0,1069386160093425,neal4senate2020,/story.php?story_fbid=1069386160093425&id=846912302340813
Glen Neal for United States Senate,,2020-03-11 22:17:18,,3,3,0,0,0,0,0,0,1079728569059184,neal4senate2020,/story.php?story_fbid=1079728569059184&id=846912302340813
Glen Neal for United States Senate,,2020-02-22 11:38:49,I am a seventh generation Tennessean and a tenth generation American.   My roots in this state and nation run deep.  I am not a politician nor a millionaire and owe no allegiance to any big donors.   I am a Christian of high morals and unquestionable integrity.  I know no enemies as I can always find forgiveness in my heart. I have been a public servant throughout my adult life and have greatly enjoyed serving the public to which I belong.  I don't carry the adversities of William Hagerty or Manish Sethi and will continue to be honest and open in my ways.  I pray that I can earn your trust and continue my service to the people as your representative in the United States Senate.,3,2,0,1,0,0,0,0,1065742633791111,neal4senate2020,/story.php?story_fbid=1065742633791111&id=846912302340813
Glen Neal for United States Senate,,2020-02-18 16:21:14,,1,1,0,0,0,0,0,0,1062798240752217,neal4senate2020,/story.php?story_fbid=1062798240752217&id=846912302340813
Glen Neal for United States Senate,,2020-02-18 16:15:38,,4,3,0,1,0,0,0,0,1062795167419191,neal4senate2020,/story.php?story_fbid=1062795167419191&id=846912302340813
