source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Bryan Pruitt,,2020-01-23 23:36:19,,0,0,0,0,0,0,0,0,1312571032259786,pruitt4kansas,/pruitt4kansas/photos/a.1157649457751945/1312571032259786
"Bryan Pruitt,Manhattan Area Chamber of Commerce",Manhattan Area Chamber of Commerce,2020-02-20 11:56:23,#MattyLet's see them!!😺🐶🐭🐰🐸🐵🐥🐍🐢,1,1,0,0,0,0,0,0,1334732456710310,pruitt4kansas,/story.php?story_fbid=1334732456710310&id=1130368353813389
Bryan Pruitt,,2020-02-17 09:45:38,Happy Presidents' Day!,6,6,0,0,0,0,0,0,1332256050291284,pruitt4kansas,/pruitt4kansas/photos/a.1160342854149272/1332256050291284
"Bryan Pruitt,Visit Manhattan Kansas",Visit Manhattan Kansas,2020-01-29 11:04:45,Happy Kansas Day!Happy #kansasday  There are so many reasons to celebrate Kansas.  What do you love most about Kansas?,2,2,0,0,0,0,0,0,1317063165143906,pruitt4kansas,/story.php?story_fbid=1317063165143906&id=1130368353813389
Bryan Pruitt,,2020-01-20 15:51:01,,1,1,0,0,0,0,0,0,1309925749190981,pruitt4kansas,/pruitt4kansas/photos/a.1160342854149272/1309925749190981
Bryan Pruitt,,2019-12-31 21:01:16,To the great new things coming next year. Have a safe and happy New Year. #2020,8,8,0,0,0,0,0,2,1291048994411990,pruitt4kansas,/pruitt4kansas/photos/a.1160342854149272/1291048994411990
Bryan Pruitt,,2019-12-23 10:28:38,"From the entire Pruitt 4 Kansas Team, we want to wish all our friends, family and supporters a great Christmas Week! Merry Christmas and Happy Holidays! - Bryan Pruitt",6,6,0,0,0,0,0,2,1282645471919009,pruitt4kansas,/story.php?story_fbid=1282645471919009&id=1130368353813389
Bryan Pruitt,,2019-12-11 12:51:43,"Supporters, Friends and Family, The Kansas Republican Party Annual Convention is next month and there will be a Senate Candidate Debate.  It's critical that I make the debate stage, but the catch is it costs quite a bit to participate in the Debate. Can you help me make the debate stage in January with a donation of $20, $50 or $100 or more? Donation link here: https://secure.anedot.com/pruitt-4-kansas/donate Thank you for any amount you can give! - Bryan Pruitt",3,3,0,0,0,0,0,0,1271348383048718,pruitt4kansas,/story.php?story_fbid=1271348383048718&id=1130368353813389
Bryan Pruitt,,2019-11-11 11:22:50,"Today we honor all our vets, thank you for your service.  So proud of my sister for her service in Iraq, this was deployment day October 4, 2007.  Freedom is never free.  God Bless America and all who protect us!",24,20,0,4,0,0,0,4,1243309665852590,pruitt4kansas,/story.php?story_fbid=1243309665852590&id=1130368353813389
Bryan Pruitt,,2019-11-05 15:04:25,Election Day in Kansas...I Voted! Bryan Pruitt. Thanks Flagg Youngblood for visiting this week!,19,15,0,4,0,0,0,2,1238035079713382,pruitt4kansas,/story.php?story_fbid=1238035079713382&id=1130368353813389
Bryan Pruitt,,2019-10-31 20:10:08,Handing out candy to the kids...have a great evening everyone! Bryan Pruitt,5,5,0,0,0,0,0,0,1233649590151931,pruitt4kansas,/story.php?story_fbid=1233649590151931&id=1130368353813389
Bryan Pruitt,,2019-10-02 13:15:23,"A great day for the campaign, Bryan signed the #TaxpayerProtectionPledge at Americans for Tax Reform.  Thank you Grover Norquist for your hospitality!",7,6,0,1,0,0,0,0,1203874473129443,pruitt4kansas,/story.php?story_fbid=1203874473129443&id=1130368353813389
Bryan Pruitt,,2019-10-01 15:20:33,"A big thanks to everyone who donated to the campaign in our opening weeks.  We didn't hit our goal, and there is much more work to do in Q4.  If you have a moment and can help us out by being one of first donors in the new quarter, please donate below.  Thanks EVERYONE Bryan Pruitt https://secure.anedot.com/pruitt-4-kansas/donate",1,1,0,0,0,0,0,0,1203160356534188,pruitt4kansas,/story.php?story_fbid=1203160356534188&id=1130368353813389
Bryan Pruitt,,2019-09-24 22:25:25,Great Conversation about the issues that matter to Kansans. Bryan Pruitt Lindsay France,7,7,0,0,0,0,0,1,1197720230411534,pruitt4kansas,/story.php?story_fbid=1197720230411534&id=1130368353813389
Bryan Pruitt,,2019-09-24 13:45:28,Looking forward to this evening with KU College Republicans!,4,4,0,0,0,0,0,0,1197471437103080,pruitt4kansas,/story.php?story_fbid=1197471437103080&id=1130368353813389
Bryan Pruitt,,2019-09-22 17:34:03,Anyone wondering whether Bryan and Bryan Pruitt Senate Campaign will defend ur 2A rights?  Check this out!,3,3,0,0,0,0,0,0,1196059667244257,pruitt4kansas,/story.php?story_fbid=1196059667244257&id=1130368353813389
"Bryan Pruitt,The Manhattan Mercury",The Manhattan Mercury,2019-09-20 17:18:39,The Kansas Board of Regents is trying hard to make Gov. Kelly a one term Gov.The Kansas Board of Regents will ask Gov. Laura Kelly for $95.3 million in new state support for higher education as part of its 2021 budget request. https://themercury.com/news/regents-request-million-in-new-funding/article_976f4c48-d9ab-5dc3-a1fc-76512c5a585d.html,1,1,0,0,0,0,0,0,1194591044057786,pruitt4kansas,/story.php?story_fbid=1194591044057786&id=1130368353813389
Bryan Pruitt,,2019-09-20 14:42:01,"We are only TEN (10) days from the reporting deadline...we need you help.  Please don't say no to #Matty the rescue dog campaign mascot and Emory, the first politician baby hug from the campaign trail.   We have a real opportunity to make a difference and bring a fresh, new, dynamic voice to the political scene in Kansas.   Please help me today!  Donate here: https://secure.anedot.com/pruitt-4-kansas/donate You can also help us by liking our page, follow me Bryan Pruitt and our page on FB and Twitter, and PLEASE SHARE this post with your friends! Every little bit helps! The Countdown to Sept. 30 begins with YOU! Thanks!",37,33,0,3,0,1,0,0,1194434017406822,pruitt4kansas,/story.php?story_fbid=1194434017406822&id=1130368353813389
Bryan Pruitt,,2019-09-19 17:58:55,Here's your chance to join the winning team to represent Kansas in the U.S. Senate: Pruitt 4 Kansas! https://www.pruitt4kansas.com/,5,5,0,0,0,0,0,0,1193745117475712,pruitt4kansas,/story.php?story_fbid=1193745117475712&id=1130368353813389
Bryan Pruitt,,2019-09-16 17:52:26,"Thank you LGBTQ Victory Fund for a great event yesterday in KC, KANSAS!  We were NOT the only conservatives in the room! Looking forward to an exciting election season in '20. Bryan Pruitt Lindsay France",11,11,0,0,0,0,0,1,1191490624367828,pruitt4kansas,/story.php?story_fbid=1191490624367828&id=1130368353813389
Bryan Pruitt,,2019-09-11 15:04:01,It was a great honor to spend Sept. 11th at the Kansas State Fair Veterans Breakfast honoring our Nation's heroes. Bryan Pruitt Lindsay France #neverforget,5,5,0,0,0,0,0,0,1187654124751478,pruitt4kansas,/story.php?story_fbid=1187654124751478&id=1130368353813389
Bryan Pruitt,,2019-09-09 15:52:12,"Absolutely great weekend at the Kansas State Fair meeting voters, doing media, and having a great time.",18,18,0,0,0,0,0,0,1186211514895739,pruitt4kansas,/story.php?story_fbid=1186211514895739&id=1130368353813389
Bryan Pruitt,,2019-09-07 22:18:37,"Our full statement on Marshall entering the race: ""We welcome Dr. Marshall to the race.  A Senate seat is not an inheritance and our campaign will give Kansans a real choice. The fact is that Dr. Marshall is straight out of Hollywood Central Casting for what Liberal Democrats want Republicans to be. We offer Kansans a fresh, dynamic voice to represent them in the Senate, fight for conservative values, and secure the Party's future."" Bryan Pruitt",3,3,0,0,0,0,0,0,1184907811692776,pruitt4kansas,/story.php?story_fbid=1184907811692776&id=1130368353813389
Bryan Pruitt,,2019-09-02 18:31:33,"To the contributions workers have made to the strength, prosperity, and well-being of our country, we salute you! #LaborDay #EndofSummer Bryan Pruitt",6,6,0,0,0,0,0,0,1181090852074472,pruitt4kansas,/story.php?story_fbid=1181090852074472&id=1130368353813389
Bryan Pruitt,,2019-08-22 15:53:06,,0,0,0,0,0,0,0,0,2478313979066442,pruitt4kansas,/events/2478313979066442?view=permalink&id=2478313982399775
Bryan Pruitt,,2019-09-02 18:17:01,This is an amazing idea...#educationplatform #publicservice,3,3,0,0,0,0,0,0,1181084568741767,pruitt4kansas,/story.php?story_fbid=1181084568741767&id=1130368353813389
Bryan Pruitt,,2019-08-31 19:59:02,"Milestones in campaigning, first baby kiss, thanks cutie Emory and your great family!",12,7,0,5,0,0,0,0,1179694768880747,pruitt4kansas,/story.php?story_fbid=1179694768880747&id=1130368353813389
