source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
Ben Sasse,,2020-05-01 19:08:56,"Farmers, ranchers, and the Nebraska Farm Bureau are backing Ben Sasse on Election Day. We’re home to the most productive land in history, and Ben is fighting to keep it that way — with more trade and a whole lot less red tape from Washington.",132,110,15,7,0,0,0,0,1545865772245247,sassefornebraska,/sassefornebraska/photos/a.212619278903243/1545865772245247
Ben Sasse,,2020-04-29 18:30:05,Mail-in voting pro: Cast your vote without ever leaving the house.  Do you love those “I Voted” stickers? Request your early ballot here and share this “I Voted By Mail” sticker to spread the word about early voting:  ,70,36,1,4,0,3,26,0,1544138249084666,sassefornebraska,/sassefornebraska/photos/a.212619278903243/1544138249084666
Ben Sasse,,2020-04-27 18:30:06,Thousands of Nebraskans have already voted by mail in this year’s primaries. Are you one of them? Be sure that your voice was counted! Check on the status of your ballot here ⬇️⬇️⬇️ https://www.votercheck.necvr.ne.gov/voterview,28,24,0,1,0,0,3,0,1542410735924084,sassefornebraska,/story.php?story_fbid=1542410735924084&id=207425149422656
Ben Sasse,,2020-04-22 18:33:01,"Voting is more important than ever! Early votes are already being tallied, so skip the ballot box this year and request your mail-in ballot here: ",224,186,14,15,2,0,7,0,1538071409691350,sassefornebraska,/sassefornebraska/photos/a.212619278903243/1538071409691350
Ben Sasse,,2020-04-20 18:12:01,"With mail-in voting, you don’t have to wait until election day to have your voice be heard. Request your mail-in ballot here: ",87,57,1,7,0,0,22,0,1536336569864834,sassefornebraska,/sassefornebraska/photos/a.212619278903243/1536336569864834
Ben Sasse,,2020-04-16 19:15:03,Ben Sasse is Pro-Baby. Pro-Mom. Pro-Science. Pro-Life.  And proudly endorsed by Nebraska Right to Life as their ONLY pro-life candidate for U.S. Senate. Join our movement here: ,496,396,7,79,1,0,13,0,1532877086877449,sassefornebraska,/sassefornebraska/photos/a.212619278903243/1532877086877449
Ben Sasse,,2020-03-30 21:37:44,"“Hey Ben. I’m trying to explain to my kids why homework still matters when lives are in the balance. Kinda feels like fiddling while Rome burns, doesn’t it? Thoughts?” Great question. C.S. Lewis, one of the 20th century’s wisest writers, wrote a lot — so if there’s a worthwhile debate out there, chances are that Lewis wrestled with it and has something important to teach us. In 1939, the world faced a different crisis: it was about to plunge into WWII. That year, C.S. Lewis, a veteran of the First World War himself, gave a sermon to students titled ""Learning in War-Time,” asking if it was appropriate to continue schoolwork while the world teetered on the brink of war. Lewis says: **War doesn't actually create new circumstances: “it simply aggravates” our worldly situation — and especially our awareness of our mortality — so much that we can no longer ignore it.  **Human culture has always existed “under the shadow of something infinitely more important than itself” — that is, a battle between heaven and hell.  **So if society had “postponed the search for knowledge and beauty until they were secure,” there would have been no search for knowledge and beauty at all.  **This war “will fail to absorb our whole attention because it is a finite object,” so it is unable to consume our souls. So, what should we do?  The only thing we can do, and the thing we’re made to do: continue pressing forward.  No, we cannot act like we are unaffected — that would be to turn a blind eye to suffering. But yes, we must keep on keeping on. 6 feet apart, of course.  -Ben P.S. Read the whole essay. It’s amazing—> https://bit.ly/2Uvjq3q",269,226,0,43,0,0,0,0,1517664131732078,sassefornebraska,/story.php?story_fbid=1517664131732078&id=207425149422656
Ben Sasse,,2020-03-28 23:03:59,"""Hey Ben. The TV people who keep saying to wash our hands with soap and hot water are just covering up for the hand sanitizer shortage, right?"" So one of the things I've learned this week is that our moms were onto something with the whole ""hot water and soap are magic"" deal, and not just because Purell wasn't common yet... Here's my 101-version for my kiddos: **We pick up viruses, bacteria, and germs all the time when we touch surfaces.  **When we rub our eyes, pick our noses (admit it), or eat food, we bring all that junk into our bodies.  **Keeping our hands clean is a key to preventing the spread of viruses, including coronavirus.  **Soap and hot water might seem pretty basic but there’s a lot of science under the suds. Soap works because it combines two opposites: water-loving and water-hating aspects. Soap molecules have ""hydrophilic heads"" — this is the part of soap that wants to bond with water. But soap molecules also have a ""hydrophobic tail"" — this is the part of soap that wants to avoid water, and to bond with oils and fats instead.  **The coronavirus is protected by a sort of shell that’s called a lipid membrane. So when we wash our hands with soap and water, the tail of the soap that wants to bond with oils and fats starts to break down the virus’ lipid wall. Then, once the virus is broken apart, the head of the soap molecule that wants to bond with water helps wash the rubble away.  Big picture: soap and water act like a sort of wrecking crew at the molecular level. So nope, I don't think the folks pushing soap+water are engaged in a grand cover-up. At the end of the day, your mom might not be a microbiologist, but she knows her stuff: Wash your hands. -Ben",197,166,5,24,2,0,0,0,1515835871914904,sassefornebraska,/story.php?story_fbid=1515835871914904&id=207425149422656
Ben Sasse,,2020-03-28 22:33:43,"""Hey Ben.  My daughter is doing a project for school and needs data.  What’s your favorite color?"" Julie: Our schools need to step it up. This can’t possibly be important enough to count as homework.   Still…thanks for asking.  It’s RED.  Like “Gooooooo. Big. Red!” It’s Saturday, and I’m a Nebraskan, so I’ve spent a whole bunch of my day thinking about Husker football. The Spring Game is usually a shot in the arm to help us football addicts make it through the offseason. But this year, I join with Husker fans everywhere in mourning the loss of this year’s Red-White scrimmage in Lincoln — which had been scheduled for April 18 — another casualty of this nasty virus.   The Spring Game is a tradition for so many families in our state, and beyond. I mean come on, we sell out Memorial Stadium — 85,000+ strong — for a practice. We’re devoted to our Huskers and we bleed red all year long, not just on Saturdays in the fall. So this year, we must simply look forward to what is to come for our team. And—while I’m still working on getting Coach Frost to set up a weekly Zoom call with me to go over the playbook—on April 18, you can catch me out in the yard, teaching Breck to run a perfect slant route.  And we’ll be wearing red. GRB -Ben",61,50,3,8,0,0,0,0,1515809338584224,sassefornebraska,/story.php?story_fbid=1515809338584224&id=207425149422656
Ben Sasse,,2020-03-26 20:31:02,"“Hey Ben. I have always wished for more time with my family, but now that we’re all stuck inside, I realize I might not like any of them. I can’t kill them, right?” Dear Anonymous (or “Mom” as our kids call you), First, well, um, no, don’t kill ‘em.   It goes without saying that this is a terrible time for so many. We know many of our neighbors are suffering. Our hearts can’t not hurt for those whose lives have been turned upside down by this ugly virus and the economic crisis it has brought along with it. But if there can be a silver lining, a degree of redemption of this craziness, it’s surely this: time slowed down, distractions removed, and a closeness inside our own four walls that our families haven’t known for a very long time. Maybe never for some. So as an alternative to murder, let me suggest thinking through new experiences. I’ve seen folks giving their kids cooking lessons (followed closely by Washing the Dishes 101), and have heard about many families watching a great old TV series on Netflix or reading a classic novel together aloud. Audible has free audiobooks right now. Check one out — our families need stories together. Folks can’t wait to get outside as a family, walking the dogs and talking to each other. And waving at the neighbors from a distance. We know this unusual season won’t last, and for many reasons, that’s welcome news. But while we’re at least 6 feet apart from the rest of the world, let’s hold on tightly to the ones right next to us. Sleeping with one eye open, -Ben",215,116,70,26,0,0,3,0,1513928988772259,sassefornebraska,/story.php?story_fbid=1513928988772259&id=207425149422656
Ben Sasse,,2020-03-25 08:56:48,"""Hey Ben. Where the [heck] did all the toilet paper go?!""  Lot of folks have asked this. Last weekend, a buddy spent over 30 minutes in line at a Costco trying to buy toilet paper — not to hoard in a bunker but because his family ran out. Zero left. It’s nuts, and lots of folks are asking why it's happening. Short answer: everybody poops.  Longer answer: To prevent spreading the coronavirus to our friends, neighbors, and co-workers, folks who get this nasty virus need to stay home. Running out of TP is always bad — every situation is dire, but some are more dire than others (just ask any parent who has potty-trained a toddler). So it’s rational that we want to make sure we’re sufficiently stocked.  But what’s irrational is panic buying and hoarding. We saw a lot of that in the past few weeks: One couple in Ohio bragged that they bought TEN YEARS WORTH of TP.  Remember the Seinfeld where Elaine steals all the toilet paper and shouts that she “can't spare a square?” Don’t do that.  Our modern market economy is really good at moving information from the point of sale back up the supply chain. Shifts in consumer demand are quickly relayed to distributers, and from them back to producers. This is how most of our just-in-time economy works.  In the case of toilet paper, that information doesn’t even have to travel around the world. 90% of the toilet paper we use is made here in the United States. When TP started flying off the shelves, supermarkets increased orders, and now manufacturers are ramping up.  Proctor & Gamble has said they’re producing at record levels. Trucking companies are shipping it across the country. Stores are stocking it. Nature is taking care of the rest.  Buy what you need — and perhaps a LITTLE bit more, so you don’t have to go to the store as much during this period of aggressive social distancing. But don’t hoard it! Let the store be your storage.  And also: Thank the grocer who stocked it, the trucker who shipped it, the line worker who creped it (the process of making the paper moist), and the logger who cut it.  I’ll check back later for more questions.  Appropriately stocked, -Ben",185,170,9,5,0,0,1,0,1512504375581387,sassefornebraska,/story.php?story_fbid=1512504375581387&id=207425149422656
Ben Sasse,,2020-03-25 08:22:21,"""Hey Ben. My grandson asked me why the government isn’t just paying to make more antibiotics to end this crisis. What's the answer -- Why don't we?""  We should start with the difference between a virus and a bacteria. I'm not a doctor or scientist -- I'm a historian and business guy, so let me try to tackle it as a dad.   Here's how I've tried to explain it to my kids: **Bacteria can ""throw their own party"" — they are single-cell microorganisms that can live where they want to, like in the dirt or on our food. (And they're not all bad guys -- trillions of them live in our guts, and we need them there to help digest food.)  Bacteria can reproduce on their own.  **Viruses, on the other hand, can't live on their own.  They're smaller than bacteria, and they need a host.  Hosts can be human, or animal, or plant -- but all viruses need something with cells to live off of and reproduce.   While the bad ones of both kinds can make their way into our bodies and make us sick, only bacteria -- which can cause stuff like sinus or ear infections -- are killed by antibiotics.  Viruses aren't.  Viruses are beaten back by our bodies’ own immune systems, so we treat the symptoms of the sickness to help our body fight them off. And since viruses need to live in a host, we wash our hands and clean the places we touch, so that a virus that escapes when an infected person coughs or sneezes can’t get into our bodies.  We have researchers working feverishly to find drugs to treat and someday prevent this nasty virus and its vicious grip on our world, but there’s plenty we can be doing to slow it down.  So, besides washing our hands and burying our coughs/sneezes in elbows, my wife is pretty much constantly shouting at my kids to STOP TOUCHING THEIR FACES! since most of the virus entry-points into our body are there.  But antibiotics can't kill a virus. -Ben",211,189,4,17,1,0,0,0,1512479388917219,sassefornebraska,/story.php?story_fbid=1512479388917219&id=207425149422656
Ben Sasse,,2020-03-23 23:09:12,"""Hey Ben, I feel like I’m supposed to support quarantining, but I’m afraid that the feds could make us a police state. Could that happen?"" I’m getting this question a lot, and I’ve got a couple minutes for some quick thoughts – though there’s lots more to say.  Last week, California effectively placed 40 million free people under lockdown — and Illinois and New York are flirting with similar plans.  Three quick thoughts: First, in my view, the Governor of California doesn’t have the blank-check power he thinks he does. Obviously, everyone should be doing responsible social distancing right now and the spring break frat bros partying at crowded bars are idiots. There are decent arguments for states to temporarily regulate things like restaurant density and crowd size. But the idea that government should grab the kinds of power California wants without more debate about tradeoffs is deeply disturbing. Everything in life has tradeoffs and politicians who don’t admit that are lying. Second, at the federal level, nothing in the Constitution allows Washington to do this kind of thing – and folks should let Congress know that. Fortunately, there are lots of freedom-loving people here, like Mike Lee who has been shouting “Over my dead body!” at any possible overreach in this arena. So, I don’t envision any near-term national risk. But....last point, we need to pay close attention to the eerie experiments we see governments around the world undertaking. Taiwanese citizens, for example, have reported police tracking them down immediately after their phones leave their homes. That’s a government with far too much power. When governments grab more power, they tend to hold onto it for a long time.  This virus is ugly and dangerous — but we’re going to beat it and it isn’t the only ugly and dangerous problem we need to guard against.   We’re still working on the coronavirus relief legislation/negotiations, but keep throwing these questions my way. I’ll do my best. -Ben",439,398,0,37,1,0,3,0,1511262785705546,sassefornebraska,/story.php?story_fbid=1511262785705546&id=207425149422656
Ben Sasse,,2020-03-23 22:12:35,"""Ben, I keep hearing we’ll end up like Italy on this virus, but my friends say that’s [BS]. What’s going on?""  You’re not alone in asking that question, and the answer, I think, is complicated.  The data showed, and I argued two weeks ago, that we seemed to be on the “Italian curve,” with cases in the U.S. doubling every three days at that point.  Since then, the pace of positive corona tests has quickened to a doubling every 2.1 days.  The graphs, at face value, are scary. And it’s easy to see how these numbers cause some of our neighbors to panic, especially when many social media sources suggest we should panic.  I think the answer to your question is one that’s hard for many politicians and pundits to admit – because we all like to pretend we have certainty about what’s coming next – but the answer we should give is: We don’t know; we’re not sure.  Two things appear to be at play at once. We do have some ugly acceleration of the underlying disease – but we also have lots more testing, so we are now SEEING more of the disease that was already here and spreading before we started pushing down on the curve a bit via social distancing.   Stated simply:  Some of the increase in positive tests is because of more disease, and some of the increase in positive tests is because of more testing – not just more disease.  It’s obviously good that we have increasing testing capacity (and ATV [""after the virus""] we’ll need to go back and assess how the country and government failed so badly to make more testing capacity available more rapidly). But one minor downside to this better and broader testing is that many people who previously didn’t take the virus seriously are now convinced that everything bad is just beginning now – as they see these spiking graphs for the first time.   There is a newfound public awareness of crisis (which has actually been here for a while), which then produces a lot of possibly-misplaced certainty that we are spiraling downward toward the devastating images we see coming out of Italy. That knee-jerk certainty puts serious pressure on those politicians who have placed extreme restrictions on their citizenry — the shelter-in-place kind of stuff — that they can’t possibly pivot to more nuanced or better targeted social distancing regimes. That horse of extreme shutdown is already out of the barn, and without any parameters on how or when it should go back in.   Here’s the problem with that: If, in coming days and weeks, the rate of the threat to public health isn’t actually accelerating, there will remain dangerous pressures not to lift lockdowns and alter bans – because the number of diagnosed cases is almost certainly going to continue to climb (because of broader testing) even if the underlying prevalence of cases might have leveled off.   The worst thing leaders can do for America is to gut the private sector, where our economy lives and breathes – or better put, where our families live and breathe and eat and set aside savings for a wedding or downpayment.   We have to guard against poisoning ourselves with the wrong medicine. And we need politicians to govern with informed data as they balance protecting our health on the one hand, and preventing our businesses and industries from evaporating or becoming government dependencies on the other.  Stuff is changing really fast right now, but I'll be back on later to share some more back and forth.  -Ben",384,364,0,15,0,0,5,0,1511219552376536,sassefornebraska,/story.php?story_fbid=1511219552376536&id=207425149422656
Ben Sasse,,2020-03-04 19:04:49,"Chuck Schumer threatened Supreme Court Justices Gorsuch and Kavanaugh at an anti-life, pro-abortion rally today: ""I want to tell you, Gorsuch. I want to tell you, Kavanaugh. You have released the whirlwind and you will pay the price! You won’t know what hit you if you go forward with these awful decisions."" - Chuck Schumer (D-NY) It’s breathtaking: the Democratic Party is so radicalized on abortion politics that today Chuck Schumer threatened two Supreme Court Justices — and people applauded.   We have to keep the Senate in 2020 to fight this type of garbage. https://www.washingtonexaminer.com/news/bully-tactics-gop-senator-slams-schumer-for-threatening-kavanaugh-and-gorsuch",1100,738,27,14,101,22,238,0,1494301157401709,sassefornebraska,/story.php?story_fbid=1494301157401709&id=207425149422656
Ben Sasse,,2020-02-26 14:45:35,Watch this incredible exchange when Ben calls out Dick Durbin for spreading Planned Parenthood's blatant lies about an anti-infanticide bill.  Durbin and Planned Parenthood don’t want Americans to know that some babies do survive abortions and then Abortion Clinics leave them to die on the table. Ben wasn’t having it. https://bit.ly/39384Z5,599,452,7,52,7,67,14,0,1488040464694445,sassefornebraska,/story.php?story_fbid=1488040464694445&id=207425149422656
Ben Sasse,,2020-02-25 19:33:10,"BIG news - Senator Lindsey Graham endorsed Ben's 2020 re-election campaign. Watch below to find out why Senator Graham needs Ben fighting alongside him in the Senate for the next six years, and join him in endorsing Ben >>> https://bit.ly/38V7OeJ",208,147,37,12,0,3,9,0,1487339878097837,sassefornebraska,/story.php?story_fbid=1487339878097837&id=207425149422656
Ben Sasse,,2020-02-21 12:05:24,"The last President in our civics series, Abraham Lincoln is often considered the greatest to hold the office. Today, we’re studying his comments on mob rule and why it’s never the right answer. #CivicsvsSocialism2020",71,67,2,1,0,0,1,0,1483642365134255,sassefornebraska,/story.php?story_fbid=1483642365134255&id=207425149422656
Ben Sasse,,2020-02-20 14:15:14,"The Great Communicator always had a phrase for the moment. Today, our civics lesson focuses on the dangers of big government as told by President Ronald Reagan. #CivicsvsSocialism2020",63,55,3,4,0,1,0,0,1482838615214630,sassefornebraska,/story.php?story_fbid=1482838615214630&id=207425149422656
Ben Sasse,,2020-02-19 14:15:13,"The third president in our civics series, and the third president in our country’s history, Thomas Jefferson placed a high value on an educated citizenry. Watch below ⬇️⬇️ #CivicsvsSocialism2020",72,61,8,3,0,0,0,0,1481946648637160,sassefornebraska,/story.php?story_fbid=1481946648637160&id=207425149422656
Ben Sasse,,2020-02-18 19:14:12,"Civics matter -- and today, we’re learning about James Madison, the Father of the Constitution and co-author of the Federalist Papers. Watch below ⬇️⬇️ #CivicsvsSocialism2020",115,99,4,10,0,0,2,0,1481270668704758,sassefornebraska,/story.php?story_fbid=1481270668704758&id=207425149422656
Ben Sasse,,2020-02-17 17:39:15,"We couldn’t be more honored to have endorsements from the present, past, and future Presidents of Nebraska Cattlemen. Join them in endorsing Ben’s 2020 re-election campaign ➡️ https://bit.ly/2SB1fs8",313,276,24,10,1,0,2,0,1480282608803564,sassefornebraska,/story.php?story_fbid=1480282608803564&id=207425149422656
Ben Sasse,,2020-02-17 13:17:17,"In honor of President’s Day, we’ll be taking a trip through America’s past. We need to teach basic civics to the next generations, and this week we’re going to study civics as taught by our presidents — starting with George Washington (who else!). #CivicsvsSocialism2020",152,128,8,14,1,0,1,0,1480106805487811,sassefornebraska,/story.php?story_fbid=1480106805487811&id=207425149422656
Ben Sasse,,2020-02-12 20:35:01,"""America and her allies should be clear about what is happening. China’s people are sick because the Chinese system is."" Read why Ben thinks that the Chinese Communist Party bears responsibility for the coronavirus outbreak ⬇️ https://bit.ly/2SAkO2s",187,144,6,1,17,14,5,0,1475941115904380,sassefornebraska,/story.php?story_fbid=1475941115904380&id=207425149422656
Ben Sasse,,2020-02-11 18:24:08,"We’re NEVER giving up on our fight to protect the sanctity of life, and that's a promise. Today, Ben led a Senate Judiciary Committee hearing on the Born-Alive Abortion Survivors Protection Act — a bill he authored right after joining the Senate. Support the bill → https://bit.ly/2tOT7KZ",212,168,2,37,0,0,5,0,1475005319331293,sassefornebraska,/story.php?story_fbid=1475005319331293&id=207425149422656
Ben Sasse,,2020-01-30 12:01:46,"BIG news for Nebraska farmer and ranchers: Months of hard work have paid off -- President Trump just signed USMCA into law.  This deal is a win-win. Our farmers and ranchers are going to make a bunch of money selling delicious, Nebraska ag to our neighbors in Canada and Mexico.",105,75,14,10,1,0,5,0,1464450257053466,sassefornebraska,/story.php?story_fbid=1464450257053466&id=207425149422656
Ben Sasse,,2020-01-16 21:28:44,"Today, the Senate overwhelmingly passed President Trump’s USMCA trade deal. This is a huge deal for Nebraska farmers and ranchers — our economy depends on free and fair trade with our neighbors.   Ben couldn’t be more proud to be a part of delivering such an important win for our state.",541,493,6,39,1,0,2,0,1452445631587262,sassefornebraska,/sassefornebraska/photos/a.212619278903243/1452445631587262
Ben Sasse,,2020-01-09 15:15:03,BREAKING ANNOUNCEMENT: Team Sasse has 93 county chairs - that means we have one in every single county in Nebraska! Our campaign is rolling and we’re gaining momentum. Will you help us keep up our momentum and be a part of the campaign? https://bit.ly/2scIQrc,56,41,0,6,0,2,7,0,1444270562404769,sassefornebraska,/story.php?story_fbid=1444270562404769&id=207425149422656
Ben Sasse,,2020-01-06 12:55:01,Let’s be clear: General Qassem Soleimani had American blood on his hands — and he was bloodthirsty for more. He should be remembered as a terrorist who murdered many and spread evil across the Middle East.  The President made the right call.,2100,1900,5,131,3,5,47,0,1441294336035725,sassefornebraska,/story.php?story_fbid=1441294336035725&id=207425149422656
Ben Sasse,,2019-12-10 13:05:02,We have HUGE news. The Nebraska Farm Bureau just endorsed Ben because of his hard work on policies that benefit Nebraska farmers and ranchers. This endorsement means a lot to us — fighting for Nebraska’s farmers and ranchers has always been one of Ben’s top priorities in the Senate.  Join the Nebraska Farm Bureau and endorse Ben as a ‘Friend of Agriculture’ >>  https://bit.ly/2E156ql,80,62,6,8,0,1,3,0,1412899775541848,sassefornebraska,/story.php?story_fbid=1412899775541848&id=207425149422656
Ben Sasse,,2019-12-07 14:15:36,"“Unknown no longer.” Eight decades after Pearl Harbor, Grant Cook’s family was finally able to properly say goodbye. His story of sacrifice and tragedy reminds us of the many Americans who lost their lives on December 7, 1941. Join us in reflecting on their sacrifice. ",198,174,0,14,0,10,0,0,1409841939180965,sassefornebraska,/sassefornebraska/photos/a.212619278903243/1409841939180965
