source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,page_id,url
V.A. Shiva Ayyadurai,,2020-05-01 11:46:38,"FACT #1 Robert F. Kennedy, Jr. is Pro-Vaccine and Wants to Preserve his Uncle – JFK’s – Vaccine Program and Wants MORE & Bigger Government to Manage a Program that Was Based on  Hear it for YOURSELF from his own mouth.  “I want to say it emphatically. I am PRO-VACCINE. I have been fiercely PRO-VACCINE. I believe that we ought to have policies that encourage full vaccination for all Americans.” – Robert F. Kennedy, Jr.  Reference [1]: Crosby, Jacob, “Robert F. Kennedy Jr. Wants to Preserve Uncle JFK’s Vaccine,” April 13, 2019  ",73,44,2,0,2,2,28,0,3065776960145468,va,/va.shiva.ayyadurai/photos/a.214131415310051/3065776960145468
"V.A. Shiva Ayyadurai,Jennifer Gebbie Bennett",,2020-04-30 22:59:03,The Truth is Robby Kennedy IS the #DeepState Establishment. #RFKExposed by V.A. Shiva Ayyadurai. CLICK to Know the Truth - Be The Light - Find Your Way: vashiva.com/rfkexposed https://vashiva.com/rfkexposed,682,556,11,91,6,3,14,0,3064495053606992,va,/story.php?story_fbid=3064495053606992&id=212669305456262
,,2020-04-30 17:46:51,"Dr.SHIVA Ayyadurai, MIT PhD, the Inventor of Email, Scientist, Innovator, U.S. Senate Candidate (R-MA) shares his incredible invention CytoSolve, which is eliminating the need for animal testing,  and its most results in exploring how various naturally occurring compounds such as Vitamin C, Vitamin E, Green Mussel Lipid, Hyaluronic Acid, etc.",3700,2600,11,1000,18,4,35,0,165260941522827,va,/story.php?story_fbid=165260941522827&id=212669305456262
,,2020-04-29 22:42:29,"Dr.SHIVA Ayyadurai, MIT PhD, the Inventor of Email, Scientist, Inventor, and U.S. Senate Candidate (R-MA) shares the Truth of the the Deep State Kennedy's who now VOMIT BIG LIES to Save ""their"" US Senate Seat in Massachusetts. Too Late!",5500,3800,53,1400,57,23,125,0,3053364741396171,va,/story.php?story_fbid=3053364741396171&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-29 22:32:08,Deep State Kennedy’s VOMIT BIG LIES after being destroyed & exposed by the movement for Truth Freedom Health. Their response to save “their” US Senate seat in Massachusetts for Joe is too late. The FACTS & THEIR LIES are now HERE for ALL to see. ENJOY!  https://vashiva.com/robert-f-kennedy-jr-vomits-big-lies-when-exposed-with-the-truth-party-over/,327,203,8,9,45,10,52,0,3061942870528877,va,/story.php?story_fbid=3061942870528877&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-29 20:05:38,"Here’s the Truth about Robert (“Robbie”) F. Kennedy, Jr. - he, NOT I, is PRO-#VACCINES. Hear the words from his OWN MOUTH.  Time for Truth Freedom Health. Time to destroy the Not-So-Obvious-Establishment. More to come.... #TruthFreedomHealth",680,362,21,9,117,16,155,0,3061666610556503,va,/story.php?story_fbid=3061666610556503&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-29 19:55:41,"Here’s the Truth about Robert (“Robbie”) F. Kennedy, Jr. - he, NOT I, is PRO-#VACCINES. Hear the words from his OWN MOUTH.  Time for Truth Freedom Health. Time to destroy the Not-So-Obvious-Establishment. More to come.... **Entire clip on next post - IG cut this one off... #TruthFreedomHealth",1600,900,29,30,285,41,406,0,3061645660558598,va,/story.php?story_fbid=3061645660558598&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-29 19:31:36,"While Robbie Kennedy was ENDORSING PRO-Monsanto shill, #Vaccine Queen @HillaryClinton, I was unleashing #CytoSolve - revolutionary systems biology platform to EXPOSE #GMO Soy had 250% less Glutathione than Organic Soy. Time for Truth. Party’s OVER Robbie! cytosolve.com/wp-content/ #TruthFreedomHealth #CleanFood #GMOs #Soy #monsanto",2200,1900,9,158,50,16,113,0,3061603303896167,va,/story.php?story_fbid=3061603303896167&id=212669305456262
,,2020-04-28 22:03:54,"Dr.SHIVA Ayyadurai, Ph.D. the Inventor of Email, Scientist, Inventor, U.S. Senate Candidate (R-MA) and Young Pharaoh DESTROY RACIST Robbie Kennedy, Jr.  Kennedy Was Recently Exposed by Dr.SHIVA as THE Not-So-Obvious-Establishment",6200,4000,75,1700,125,47,255,0,249422729770682,va,/story.php?story_fbid=249422729770682&id=212669305456262
,,2020-04-28 16:16:00,"THIS interview with an MIT PhD in Biological Engineering is WHY @FoxNation ""Cut Ties"" with @DiamondandSilk",6100,3700,22,1900,200,45,79,0,3024098144276960,va,/story.php?story_fbid=3024098144276960&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-28 16:01:30, anti-Affirmative Action - all aimed at dividing working people of ALL races so we never unite & destroy them. Time to EXPOSE the REAL RACISTS.  ,4400,3900,7,522,9,11,3,0,3058791280844036,va,/va.shiva.ayyadurai/photos/a.214131415310051/3058791280844036
V.A. Shiva Ayyadurai,,2020-04-28 00:08:04,#TruthFreedomHealth #Science #MentalHealth #anxiety #depression #antidepressants,3100,2500,8,254,257,53,71,0,3057254270997737,va,/story.php?story_fbid=3057254270997737&id=212669305456262
,,2020-04-27 21:30:41,"Dr.SHIVA Ayyadurai, MIT PhD, the Inventor of Email, Scientist, Innovator and U.S. Senate Candidate (R) shares the SCIENCE of how Big Pharma is double-dipping with its explosive sales of anti-depressants - nearly 40% (39.6%) increase in women, in past 30-days - that make YOU 50%+ MORE LIKELY to Viral & Bacterial INFECTION! #FireFauci.",8300,5800,16,2200,160,45,56,0,265494927958511,va,/story.php?story_fbid=265494927958511&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-26 21:47:27,#TruthFreedomHealth #bioweapon #anxiety #depression #immunehealth,5600,4800,2,569,122,66,27,0,3054715517918279,va,/story.php?story_fbid=3054715517918279&id=212669305456262
,,2020-04-25 22:56:42,"Dr.SHIVA Ayyadurai, MIT PhD, Inventor of Email, Scientist, Inventor and U.S. Senate Candidate (R-MA) provides a SYSTEMS view of how Fear & Ignorance are the Real BioWeapons of the Deep State & Why TRUTH is Its Ultimate Destroyer.",7800,5400,25,2200,37,19,31,0,268377094196378,va,/story.php?story_fbid=268377094196378&id=212669305456262
,,2020-04-25 11:49:56,"Dr. SHIVA Ayyadurai, MIT PhD, Inventor of Email, Scientist and Innovator gives the Keynote Speech for Earth Day 2020",5900,4300,14,1600,10,5,6,0,233978544487713,va,/story.php?story_fbid=233978544487713&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-25 01:14:37, ,10000,7000,22,845,1800,183,409,0,3050287515027746,va,/va.shiva.ayyadurai/photos/a.214131415310051/3050287515027746
V.A. Shiva Ayyadurai,,2020-04-25 00:14:15,Massachusetts volunteer helping to spread .   ,5000,4100,2,806,5,0,0,0,3050197448370086,va,/va.shiva.ayyadurai/photos/a.214131415310051/3050197448370086
,,2020-04-24 21:22:14,"Dr. Shiva Ayyadurai, MIT PhD, the Inventor of Email, Scientist, Innovator reveals the REAL Solution to Big Tech Censorship -  the Digital Rights Act. #Shiva4Senate, Shiva4Senate.Com",5400,3800,13,1500,13,8,23,0,554033851965320,va,/story.php?story_fbid=554033851965320&id=212669305456262
,,2020-04-24 17:28:59,"Dr. SHIVA Ayyadurai, MIT PhD, has been educating the global public on the power of the high dose IV Vitamin C to support patients in critical condition in the ICU undergoing the ""CytoKine Storm.""  Fauci did acknowledge its value 4 years ago. Now, he doesn't!  #FireFauci, Shiva4Senate.com/petition-fire-fauci/",5100,3700,14,1300,34,5,15,0,594321607869919,va,/story.php?story_fbid=594321607869919&id=212669305456262
,,2020-04-24 14:26:53,"Dr.SHIVA and a Mother of an unvaccinated child share the Ultimate Truth about the REAL EVIL - the Not-So-Obvious-Establishment Robbie F. Kennedy, Jr. and Bill Gates  - the true enemies opposing the Revolution for Truth Freedom Health, Bottom's Up from WE the People.",12000,8500,46,3800,275,48,122,0,239992770534568,va,/story.php?story_fbid=239992770534568&id=212669305456262
,,2020-04-23 19:11:20,Dr.SHIVA and Marla Maples discuss their journeys to health and well-being in the midst of the #CoronaVirus to uncover what really matters.,5300,3700,22,1500,19,7,19,0,250853769441383,va,/story.php?story_fbid=250853769441383&id=212669305456262
V.A. Shiva Ayyadurai,,2020-04-23 14:57:58,  ,12000,10000,18,1900,190,45,85,0,3046805505375947,va,/va.shiva.ayyadurai/photos/a.214131415310051/3046805505375947
V.A. Shiva Ayyadurai,,2020-04-23 10:54:32,Founding Warriors for Truth Freedom Health.  Join the Movement      ,2300,1900,2,432,2,0,0,0,3046327765423721,va,/va.shiva.ayyadurai/photos/a.214131415310051/3046327765423721
V.A. Shiva Ayyadurai,,2020-04-23 00:00:43,verge. Sarah has been helping out with our campaign all the way from California.  Thank you for your support and helping to spread  around the country!        ,2800,2400,0,446,2,0,2,0,3045184255538072,va,/va.shiva.ayyadurai/photos/a.214131415310051/3045184255538072
,,2020-04-22 18:15:34,"Dr.SHIVA Ayyadurai, MIT PhD, Inventor of Email, Scientist, Innovator, and US Senate Candidate (R-MA) will share with you why he is running for U.S. Senate, and what is candidacy means for the Creating the Future for Truth Freedom Health!",7200,5100,17,2100,18,7,15,0,538911676817941,va,/story.php?story_fbid=538911676817941&id=212669305456262
,,2020-04-22 11:33:31,Learn more about my Plaform for U.S. Senate at Shiva4Senate.com #Shiva4Seante #TruthFreedomHealth #BottomsUp,6100,4100,17,1900,17,18,29,0,542521403334070,va,/story.php?story_fbid=542521403334070&id=212669305456262
