source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Angie For Senate,,2020-03-06 00:11:23,"Tonight was the US Senate forum. I think it went really well. We had a great #TeamAngie turn out complete with Angie for US Senate T-shirts, rally signs, and stickers. ￼￼But the best part was finding out after I left that my dad had a little watch party in Madrid Nebraska,  and he said when I gave a shout out to Grant  everyone cheered. It feels good to represent my home. If feels good to make my dad and the community that raised me￼ proud. Even if we don’t always see eye to eye. This is how we move forward together.  #AngieForNebraska  #NebraskaForEveryone￼￼",15,8,,6,1,,,3,3103174273039807,/story.php?story_fbid=3103174273039807&id=2161190787238165
Angie For Senate,,2020-03-05 07:47:54,"Saludos Amigos! Estamos emocionados de dejarlos saber que ya están las camisetas de “Angie para el Senado”. Ahora puede mostrar con orgullo su apoyo al equipo de Angie en la vida cotidiana. Las camisetas son de color azul agua marina con nuestro logotipo atrás y enfrente.  Para reservar su camiseta y tamaño hazle clic aquí: https://www.signupgenius.com/go/10c0b4aaead2aa13-tshirt1 Donación sugerida $15. Haz clic aquí: https://secure.actblue.com/donate/angieforsenate Después, únete con nosotros en cualquiera de los eventos que están en la lista de abajo para recoger su camiseta. En caso de que no puedas asistir, un voluntario puede llevarle su camiseta, solo déjanos saber cuando seria un buen momento. ¡Próximos eventos para mostrar su camiseta de #Equipo Angie con orgullo! Únete con nuestra campaña en los próximos eventos: Foro de Candidatos Demócratas del Senado de Los Estado Unidos Jueves 5 de marzo, 6PM-8PM Center for People in Need 3901 N. 27th St., Lincoln, NE Organizado por: Demócratas del condado de Lancaster. ¡El evento es gratuito y abierto al público! Esta es su oportunidad de ver por que Angie es el líder demócrata en la carrera para el Senado de Nebraska. ¡Por favor también invita a un amigo! Hazle Clic aquí para RSVP para este evento: https://www.facebook.com/events/631986164225628/ Tri-Cities Women March Sabado 7 de marzo, 2020 1PM-3PM Kearney, NE ¡RSVP aqui! https://www.facebook.com/events/173107294029352/ 2020 Omaha Women’s March Domingo 8 de marzo, 2020 2PM-4:30PM Midtown Crossing at Turner Park 3110 Farnam St., Omaha, NE 68131 ¡RSVP aqui! https://www.facebook.com/events/2585362618413149/ Lincoln Women’s Day March Sabado 14 de marzo, 2020 a las 1PM UNL Nebraska Union 1400 R Street, Lincoln, NE 68588 ¡RSVP aqui! https://www.facebook.com/events/2393233640731490/",7,7,,,,,,,3101621729861728,/story.php?story_fbid=3101621729861728&id=2161190787238165
Angie For Senate,,2020-03-04 20:59:11,Thank you Liel for the shout out!  https://www.theindependent.com/opinion/letters/philips-will-work-for-all-nebraskans/article_7c2ae4de-5d92-11ea-a00a-47c9e9858506.html?utm_medium=social&utm_source=facebook&utm_campaign=user-share,22,18,,4,,,,,3100701019953799,/story.php?story_fbid=3100701019953799&id=2161190787238165
"Angie For Senate,Angie Philips",Angie Philips,2020-03-04 02:09:13,Big thanks to The Servative Hour - KZUM for having us on!Fantastic time on The Servative Hour - KZUM tonight! A big thank you to Brian Mary for having me on!,7,3,,4,,,,,3098942630129638,/story.php?story_fbid=3098942630129638&id=2161190787238165
"Angie For Senate,Angie Philips",Angie Philips,2020-03-02 14:55:24,"Hear Angie on The Servative Hour - KZUM on 89.3 FM tomorrow (Tuesday 3/3/2020) from 11PM-midnight.  #AngieForNebraska #NebraskaForEveryoneHappy Monday everyone! Tomorrow night (Tuesday, March 3rd), I am thankful for the opportunity to join The Servative Hour - KZUM  89.3 FM in Lincoln from 11PM - Midnight. Check it out! ✊🏻",3,3,,,,,,,3095734023783832,/story.php?story_fbid=3095734023783832&id=2161190787238165
Angie For Senate,,2020-03-02 11:55:37,,6,6,,,,,,1,192790355372568,/events/192790355372568?view=permalink&id=192790362039234
Angie For Senate,,2020-03-01 14:27:43,Shout out to Kris for “professionalizing” our ad. I love it! Let’s #VoteBensAsseOut! #AngieForNebraska #PoweredByThePeople,55,36,,19,,,,1,3093511794006055,/story.php?story_fbid=3093511794006055&id=2161190787238165
Angie For Senate,,2020-02-29 19:16:21,I absolutely adore Congresswoman Pramila Jayapal! I am proud to support her #MedicareForAll and #CollegeForAll legislation. Thank you Kara Eastman for bringing her to Nebraska. What an amazing experience!,23,14,,9,,,,2,3091656317524936,/story.php?story_fbid=3091656317524936&id=2161190787238165
Angie For Senate,,2020-02-29 14:14:51,"T-shirts! Get your #TeamAngie T-shirts!  We're excited to let you know that Angie for Senate T-shirts are here! Now you can proudly display your support for Team Angie in everyday life.  The tees are navy blue with our logo on the front & back.  To reserve your shirt and size click here: https://www.signupgenius.com/go/10c0b4aaead2aa13-tshirt1 Suggested donation $15 please! Then, join us at any of the events listed below to pick up your shirt!  In case you can't make it, a volunteer can drop off your shirt, just reach out and let us know a good time to angie@angiefornebraska.com  Upcoming Events to proudly wear your Angie 2020 shirt: U.S. Senate Democratic Candidate Forum Thursday March 5, 6PM-8PM  Center for People In Need  3901 N. 27th St., Lincoln, NE  Hosted by: Lancaster County Democrats  This event is free and open to the public, so bring a friend along too!   https://www.facebook.com/events/183691852901219/ Tri-Cities Women's March  Saturday, March 7, 2020 at 1 PM – 3 PM  Kearney, NE  https://www.facebook.com/events/173107294029352/ 2020 Omaha Women's Day March  Sunday, March 8, 2020 at 2 PM – 4:30 PM  Midtown Crossing at Turner Park  3110 Farnam St, Omaha, Nebraska 68131  https://www.facebook.com/events/2585362618413149/ Lincoln Women's March  Saturday, March 14, 2020 at 1 PM  UNL Nebraska Union  1400 R Street, Lincoln, Nebraska 68588  https://www.facebook.com/events/2393233640731490/ We hope to see you at one or many of these events! In Solidarity, Team Angie 2020",5,4,,1,,,,,3091178594239375,/story.php?story_fbid=3091178594239375&id=2161190787238165
Angie For Senate,,2020-02-29 01:34:05,I had a wonderful time at the Truman Dinner hosted by the Douglas County Democrats this evening! So many amazing people!,20,13,,7,,,,1,3089881374369097,/story.php?story_fbid=3089881374369097&id=2161190787238165
Angie For Senate,,2020-02-27 11:53:09,#AngieForNebraska #NebraskaForEveryone #WeThePeople,27,16,,11,,,,,3086374861386415,/story.php?story_fbid=3086374861386415&id=2161190787238165
Angie For Senate,,2020-02-26 17:30:17,We are a family of 5. My husband works a full time plus a part time job. I stay home and take care of the kids because we can’t afford childcare. Neither of us have health insurance.  We can fix this. We just need to elect people who have first hand experience with the struggle.  #AngieForNebraska #NebraskaForEveryone,44,32,,5,1,6,,6,3084717611552140,/story.php?story_fbid=3084717611552140&id=2161190787238165
