source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Jimmy Ausbrooks For U.S Senate,,2020-03-05 13:09:02,,,,,,,,,,150564609768485,/story.php?story_fbid=150564609768485&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-18 16:13:50,http://kftc.org/election/federal/jimmy-ausbrooks,,,,,,,,,144495203708759,/story.php?story_fbid=144495203708759&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-03-04 19:36:41,https://www.isidewith.com/candidates/jimmy-ausbrooks/policies,1,1,,,,,,1,150338733124406,/story.php?story_fbid=150338733124406&id=108333070658306
"Jimmy Ausbrooks For U.S Senate,The Jones Report Radio Program",The Jones Report Radio Program,2020-03-01 11:00:33,Guest Jimmy Ausbrook Candidate for US Senate to beat Mitch McConnell #TheJonesReport,1,1,,,,,,6,149222399902706,/story.php?story_fbid=149222399902706&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-16 11:29:02,,,,,,,,,,143605153797764,/story.php?story_fbid=143605153797764&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-14 01:05:21,,,,,,,,,1,142442930580653,/story.php?story_fbid=142442930580653&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-22 14:36:04,"Support the native son of Kentucky in the race to the United States Senate. A proud advocate for equality and human rights, living wages in Kentucky, healthcare and affordable prescriptions for all, common sense gun legislations, term limits for politicians, immigrations reform, expanding mental health and substance abuse treatment coverage, and the list goes on. Kentucky deserves better than Mitch McConnell and Jimmy Ausbrooks is committed to putting Kentucky First and not special interest. Support Jimmy Ausbrooks for United States Senate by making a contribution to his campaign fund. http://secure.actblue.com/donate/Jimmy2020",1,1,,,,,,,146095180215428,/story.php?story_fbid=146095180215428&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-14 01:05:36,,1,1,,,,,,,142443007247312,/story.php?story_fbid=142443007247312&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-10 23:19:49,,4,4,,,,,,,139803234177956,/story.php?story_fbid=139803234177956&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-07 18:29:03,,,,,,,,,,137744827717130,/story.php?story_fbid=137744827717130&id=108333070658306
"Jimmy Ausbrooks For U.S Senate,The Appalachian Populists",The Appalachian Populists,2020-02-08 19:39:40,,4,1,,,,1,2,,138695974288682,/story.php?story_fbid=138695974288682&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-06 00:24:36,,6,5,1,,,,,2,136545281170418,/story.php?story_fbid=136545281170418&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-06 00:24:28,,8,7,,1,,,,,136545207837092,/story.php?story_fbid=136545207837092&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-02-01 22:55:59,,2,2,,,,,,,134202794738000,/story.php?story_fbid=134202794738000&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-01-20 11:57:40,"Let’s remember and honor Martin Luthier King, Jr. today by sharing his Dream and making equality a true reality!  “The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.”-MLK, Jr.",,,,,,,,,129907048500908,/story.php?story_fbid=129907048500908&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-01-30 13:40:33,https://www.google.com/amp/s/datescloud.com/us-senate-candidate-forum-the-southgate-house-revival-newport-204797-301713103.amp,3,3,,,,,,,133433691481577,/story.php?story_fbid=133433691481577&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-01-27 15:55:06,,9,3,,,1,,5,1,132394288252184,/story.php?story_fbid=132394288252184&id=108333070658306
Jimmy Ausbrooks For U.S Senate,,2020-01-27 02:28:12,,6,6,,,,,,,132186358272977,/story.php?story_fbid=132186358272977&id=108333070658306
