source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Ben Ray Luján,,2020-03-05 21:06:34,"Today, too many families in New Mexico are forced to choose between the cost of medical care and other basic necessities. I believe that health care should be a right for all — and I'll keep fighting for the health care we deserve when I'm in the Senate.",30,24,3,3,,,,5,10157399792587832,/story.php?story_fbid=10157399792587832&id=13063797831
Ben Ray Luján,,2020-03-05 17:26:37,"Clean water and clear skies are the gifts we leave to our children, and we cannot wait for another generation to act to combat the climate crisis. We must fight for bold and transformative action now.",41,27,9,5,,,,8,10157399317542832,/story.php?story_fbid=10157399317542832&id=13063797831
Ben Ray Luján,,2020-03-05 11:50:51,"Only two days until the Democratic Party of New Mexico Pre-Primary Convention! On Saturday, thousands of delegates, candidates and activists from across New Mexico will gather to nominate candidates for the June primary ballot. Check back on Saturday for more updates and use the #PeopleforBen hashtag to join the fun!",31,23,6,2,,,,10,10157398586192832,/story.php?story_fbid=10157398586192832&id=13063797831
Ben Ray Luján,,2020-03-04 20:10:15,"I’m honored to earn the endorsement of Planned Parenthood Action Fund, NARAL Pro-Choice America, and the National Organization for Women. If elected, I will be a champion in the Senate for policies that uplift women, girls, and families.",73,45,3,14,,1,10,15,10157396971527832,/story.php?story_fbid=10157396971527832&id=13063797831
Ben Ray Luján,,2020-03-04 14:23:53,President Trump has waged a bigoted and hateful war against our immigrant communities. I know that immigrants make our country strong — and I’ll fight to make compassion the cornerstone of America’s immigration policy.,85,65,9,11,,,,18,10157396289342832,/story.php?story_fbid=10157396289342832&id=13063797831
Ben Ray Luján,,2020-03-04 11:24:27,"Strong rural schools keep communities strong. During my time in Congress, I've fought to secure more than $34 million to update and expand New Mexico's rural schools. I won't let the Trump administration's destructive budget undo the progress we've made to support students.",78,17,5,,2,4,50,17,10157395870122832,/story.php?story_fbid=10157395870122832&id=13063797831
Ben Ray Luján,,2020-03-03 19:46:00,"New Mexicans should be able to live without fear of gun violence. We need to get weapons of war off the streets, pass common sense gun safety measures, and stop the NRA from preventing the progress needed to keep our communities safe.",90,63,11,12,,,4,27,10157394289717832,/story.php?story_fbid=10157394289717832&id=13063797831
Ben Ray Luján,,2020-03-03 12:48:16,Want to make sure President Trump doesn't win New Mexico?  Chip in ⬇️⬇️ https://secure.actblue.com/donate/dd-trumpcomments,95,54,28,3,3,1,6,47,10157393346087832,/story.php?story_fbid=10157393346087832&id=13063797831
Ben Ray Luján,,2020-03-03 12:06:47,The opioid crisis has made clear how America’s health care systems are failing.  I’m proud that my work in Congress has allocated more than a billion dollars to address the opioid crisis — and I’ll keep fighting for compassion-based treatment policy in the Senate.,76,64,6,6,,,,17,10157393243657832,/story.php?story_fbid=10157393243657832&id=13063797831
Ben Ray Luján,,2020-03-02 20:42:28,"Our legal system must be both just and equal. Over the last 10 years, I’ve stood up against discriminatory laws and fought for criminal justice reform — but there’s still more to do.",28,22,4,2,,,,6,10157391625417832,/story.php?story_fbid=10157391625417832&id=13063797831
Ben Ray Luján,,2020-03-02 19:43:19,"As the son of a union ironworker, I know firsthand how the labor movement makes America strong.  I’ve been proud to stand side-by-side with our union brothers and sisters during my years in Congress — and I’ll be a steadfast ally for unions and workers in the Senate.",41,28,8,5,,,,7,10157391491552832,/story.php?story_fbid=10157391491552832&id=13063797831
Ben Ray Luján,,2020-03-02 11:54:46,"Senate Republicans have voted repeatedly to endanger millions with pre-existing conditions and take away health care coverage from children and families.  If this lawsuit succeeds, it will be because every Republican senator supported attacks on our health care.",48,24,6,1,2,1,14,14,10157390428752832,/story.php?story_fbid=10157390428752832&id=13063797831
Ben Ray Luján,,2020-03-01 20:14:27,"My education began in a New Mexico Head Start program, and continued at the public schools where my mom worked. I know that investing in New Mexico’s children is an investment in the future — and our kids will be at the top of my Senate agenda.",80,59,10,11,,,,16,10157388828052832,/story.php?story_fbid=10157388828052832&id=13063797831
