source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Marquita Bradshaw,,2020-04-30 12:43:21,A win win. Stewardship for the environment will create jobs and update the aging infrastructure. 🌎 #Bradshaw2020 #MBforUS #TeamBradshaw,10,8,,2,,,,,227991845290976,/story.php?story_fbid=227991845290976&id=105933777496784
Marquita Bradshaw,,2020-04-23 10:20:38,Join us today! Can’t wait to see you there!  I have been an advocate of environmental justice my entire life. I have seen firsthand how policy directly impacts communities. 🌎 #EarthDayEveryDay our planet is precious and the health of the planet is connected to our health. Join me today talk about what a just transition looks like for Tennessee. Vote #Bradshaw2020! #95TNUSSen 🗳 #MBforUS https://facebook.com/events/s/tn-green-new-deal-town-hall/246706506520556/?ti=icl,,,,,,,,,223162555773905,/story.php?story_fbid=223162555773905&id=105933777496784
Marquita Bradshaw,,2020-04-29 10:45:52,"I’m fighting for: 📖 quality education for all 🌎 safe & clean communities 📊 an economy that works for the many, not just the few 🚔 reformed criminal justice ⚖️ sensible gun laws 🗽 and I’m fighting to defend our democracy Join #TeamBradshaw today! https://www.marquitabradshaw.com/get-involved",14,11,,3,,,,,227259202030907,/story.php?story_fbid=227259202030907&id=105933777496784
Marquita Bradshaw,,2020-04-27 08:48:31,"I have dedicated my personal and political career to this cause. Fighting for healthy, safe, and clean communities requires many voices, working together. Join me, make your voice heard – https://www.marquitabradshaw.com/get-involved #TNsen #MBforUS #Bradshaw2020",6,4,,2,,,,,225848665505294,/story.php?story_fbid=225848665505294&id=105933777496784
Marquita Bradshaw,,2020-04-24 17:56:27,Sign Up now to demand that Congress pass legislation to provide monthly direct cash payments to the American people until employment levels return to pre-COVID-19 levels. http://www.paction.us/direct-cash-payments/MBforUS,5,4,,1,,,,,224100972346730,/story.php?story_fbid=224100972346730&id=105933777496784
Marquita Bradshaw,,2020-04-24 10:59:50,"Voting by mail is easy, safe and convenient. Cast your ballot from the comfort and safety of your own home! 📬 “At many polling places, voters—particularly of color and from poorer communities—already wait in long, crowded lines to vote. During a pandemic, such lines would force citizens to choose between their health and their right to vote.” Learn more and request your ballot here: https://bit.ly/3axJxLV #VoteByMail #Bradshaw2020 #MBforus #95tnussen Sign this petition to demand the Trump administration supply the US Postal Service with the funding it needs!  http://www.paction.us/usps/MBforUS",4,3,,1,,,,,223881849035309,/story.php?story_fbid=223881849035309&id=105933777496784
Marquita Bradshaw,,2020-04-24 08:39:45,Honored to be among the first round of candidates to receive the Moms Demand Action Gun Sense Candidate Distinction for 2020. Vote #Bradshaw2020 #MBforUS #95TNUSSen #TNSen,14,11,,3,,,,,223808462375981,/story.php?story_fbid=223808462375981&id=105933777496784
Marquita Bradshaw,,2020-04-22 17:55:28,"""By the end of 1970, the U.S. had an Environmental Protection Agency and a Clean Air Act. The next few years brought landmark legislation to clean up rivers and lakes, regulate waste disposal and protect drinking water.” When we show up for the things we believe in, people listen – politicians listen. I intend to show up for you and advocate for a safer and cleaner environment. 🌎 #EarthDay reminds us how precious our planet is and why every decision we make must be made with sustainability in mind. Let’s win this together – https://secure.actblue.com/donate/marquita4us. 🗳 #Bradshaw2020 #MBforUS #95TNUSSen",9,8,1,,,,,,222718792484948,/story.php?story_fbid=222718792484948&id=105933777496784
Marquita Bradshaw,,2020-04-18 14:05:04,Join us for the Green New Deal Town Hall!,1,1,,,,,,,219700176120143,/story.php?story_fbid=219700176120143&id=105933777496784
Marquita Bradshaw,,2020-04-16 16:59:18,https://www.newsbreak.com/tennessee/memphis/news/0OkgJRgN/bradshaw-seeks-support-in-us-senate-race,5,5,,,,,,,218249306265230,/story.php?story_fbid=218249306265230&id=105933777496784
Marquita Bradshaw,,2020-04-16 09:09:19,Life before pandemic pictures supporting small business owners.  Small business owners know that I will fight for you because in order for hardworking families to have healthy and safe communities you need strong local economies. Like and Drop a pic of you supporting small business owners. Stay home stay safe. Share this post. #THursdaythoughts #tbt #stayhome,6,4,,2,,,,,217974936292667,/story.php?story_fbid=217974936292667&id=105933777496784
Marquita Bradshaw,,2020-04-16 07:44:11,Share this post widely. Go to www.irs.gov to find out more about the economic impact payments of the CARES ACT.   Less then 30 seconds to determine eligibility & less then two minutes to complete the process.  #InThisTogether #WearAMask #COVID #day21oflockdown  irs.gov/coronavirus/ec… https://www.irs.gov/coronavirus/economic-impact-payments,3,3,,,,,,,217930622963765,/story.php?story_fbid=217930622963765&id=105933777496784
Marquita Bradshaw,,2020-04-13 16:18:01,,5,3,,2,,,,,213563890067105,/Bradshaw2020Senate/photos/a.105933850830110/213563890067105
Marquita Bradshaw,,2020-04-12 10:50:53,Share a picture of your family as you practice social distancing and celebrating   Easter virtually. As a woman of faith the resurrection represents love.  Post a picture and share a tradition that’s important to your family.,4,3,,1,,,,,215050896585071,/story.php?story_fbid=215050896585071&id=105933777496784
Marquita Bradshaw,,2020-04-10 22:03:04,,2,,,2,,,,,213939383362889,/Bradshaw2020Senate/photos/a.105936790829816/213939383362889
Marquita Bradshaw,,2020-04-10 22:00:10,Please share! Why would you lower farm workers’ pay? This does not help any workers. If they do it to them they will do it to any worker. Our economy has to work for working families. Please volunteer and encourage your friends and family to volunteer www.MarquitaBradshaw.com https://www.npr.org/2020/04/10/832076074/white-house-seeks-to-lower-farmworker-pay-to-help-agriculture-industry?utm_term=nprnews&utm_source=facebook.com&utm_campaign=politics&utm_medium=social,3,3,,,,,,,213937986696362,/story.php?story_fbid=213937986696362&id=105933777496784
