source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Dan Sullivan,,2020-03-06 16:32:09,,37,37,,,,,,3,3206067702756371,/story.php?story_fbid=3206067702756371&id=698400060189827
Dan Sullivan,,2020-03-06 00:01:30,"Chuck Schumer recently threatened two justices on our Supreme Court. It’s clear that national Democrats will go to drastic lengths to gain power, including threatening our independent judiciary.  We cannot let Chuck Schumer become Senate Majority Leader.",89,48,2,1,3,1,34,35,3204430156253459,/story.php?story_fbid=3204430156253459&id=698400060189827
Dan Sullivan,,2020-03-03 22:27:47,"Senator Dan Sullivan recently sat down with KTUU's Rebecca Palsha to discuss a number of important issues, including preparedness in response to the spread of COVID-19: ""In the Congress we're focused right now on spending legislation – really surge legislation – that will be in the billions [to respond]. We're working with Democrats, Republicans, the Trump administration ... to make sure there is preparedness at the state and local level on this important issue... the CDC just announced recently we are one of the test sites for coronavirus – our state, labs for testing in Fairbanks and in Anchorage that are up and running as of yesterday. This is important because it will enable us to have diagnostics – if and when this hits Alaska – very quickly.""",19,18,1,,,,,11,3199704673392674,/story.php?story_fbid=3199704673392674&id=698400060189827
Dan Sullivan,,2020-03-02 21:04:07,"For 100 years, the Disabled American Veterans (DAV), a million-member veterans service organization, has been a strong advocate for generations of America's veterans and their families. Dan Sullivan and his team have worked hard for America's veterans, which is why he was named DAV’s 2020 Outstanding Legislator of the Year.",22,21,,1,,,,4,3197367446959730,/story.php?story_fbid=3197367446959730&id=698400060189827
Dan Sullivan,,2020-02-27 21:28:50,"Democracy in action this past weekend at so many #AKGOP district conventions across the state. Great turnout and great grassroots engagement! It is a huge part of why we won in 2014, and will be just as important as we press forward in 2020.  Click the link to join Team Sullivan! ⤵️ https://dansullivanforalaska.com/",49,47,,2,,,,6,3188179421211866,/story.php?story_fbid=3188179421211866&id=698400060189827
Dan Sullivan,,2020-02-26 20:30:56,"75-years-ago – when six U.S. Marines raised the American flag atop Mt. Suribachi – an unwavering symbol of freedom, hope, and sacrifice was displayed to the world. As a Colonel in the U.S. Marine Corps Reserve, I was especially proud to join The Story with Martha MacCallum to honor the remarkable sacrifices and heroism of the United States Marine Corps and Navy during the Battle of Iwo Jima.",57,50,,7,,,,13,3185933904769751,/story.php?story_fbid=3185933904769751&id=698400060189827
Dan Sullivan,,2020-02-25 21:56:23,"Eight million tons. That's how much plastic waste enters our oceans every year. This waste threatens the health of our oceans in Alaska and across the globe. Cleaning up our oceans is not a partisan issue, it's an issue that should unite us all. That's why I've worked across the aisle on 𝙩𝙝𝙚 𝙢𝙤𝙨𝙩 𝙘𝙤𝙢𝙥𝙧𝙚𝙝𝙚𝙣𝙨𝙞𝙫𝙚 𝙢𝙖𝙧𝙞𝙣𝙚 𝙙𝙚𝙗𝙧𝙞𝙨 𝙡𝙚𝙜𝙞𝙨𝙡𝙖𝙩𝙞𝙤𝙣 𝙩𝙤 𝙚𝙫𝙚𝙧 𝙥𝙖𝙨𝙨 𝙩𝙝𝙚 𝙎𝙚𝙣𝙖𝙩𝙚.",450,379,8,18,37,2,6,66,3183884404974701,/story.php?story_fbid=3183884404974701&id=698400060189827
Dan Sullivan,,2020-02-23 19:46:54,"75-years-ago, U.S. Marines raised the American flag over Iwo Jima. We honor the life, legacy, and sacrifice of all who fought that day. Semper Fi.",97,78,,18,,,1,10,3179280155435126,/story.php?story_fbid=3179280155435126&id=698400060189827
Dan Sullivan,,2020-02-20 22:24:18,"National Democrats continue to wage war on Alaska and the future of our economy. Look no further than the radical views of Bernie Sanders, Elizabeth Warren and their allies: “I think we should stop all new drilling and mining on public lands and all offshore drilling.” — Elizabeth Warren 2/19/20",293,74,7,1,6,17,188,113,3172794246083717,/story.php?story_fbid=3172794246083717&id=698400060189827
Dan Sullivan,,2020-02-17 21:30:22,"To all of our great presidents, we honor you. Happy Presidents Day!",107,102,,5,,,,13,3164906683539140,/story.php?story_fbid=3164906683539140&id=698400060189827
