source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
,,2020-03-01 14:19:11,,,,,,,,,,2746751892112340,/ufi/reaction/profile/browser/?ft_ent_identifier=2746751178779078&refid=17&_ft_=top_level_post_id.2746751892112340%3Atl_objid.2746751892112340%3Apage_id.625717610882456%3Aphoto_attachments_list.%5B2746751675445695%2C2746751635445699%2C2746753232112206%2C2746751625445700%5D%3Aphoto_id.2746751675445695%3Astory_location.4%3Astory_attachment_style.new_album%3Atagged_locations.231334053549910%3Atds_flgs.3%3Apage_insights.%7B%22625717610882456%22%3A%7B%22page_id%22%3A625717610882456%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1583090351%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B2746751892112340%2C2746751178779078%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2746751892112340%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2746751178779078%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22231334053549910%22%3A%7B%22page_id%22%3A231334053549910%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22role%22%3A4%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A231334053549910%2C%22role%22%3A4%7D%5D%7D%7D%3Athid.625717610882456%3A306061129499414%3A43%3A0%3A1585724399%3A989650629912353819&__tn__=%2AW-R#footer_action_list
,,2020-02-29 15:41:00,,,,,,,,,,2744731958981000,/ufi/reaction/profile/browser/?ft_ent_identifier=2744713505649512&refid=17&_ft_=top_level_post_id.2744731958981000%3Atl_objid.2744731958981000%3Apage_id.625717610882456%3Aphoto_attachments_list.%5B2744731602314369%2C2744718135649049%2C2744731412314388%2C2744731448981051%5D%3Aphoto_id.2744731602314369%3Astory_location.4%3Astory_attachment_style.new_album%3Atagged_locations.1416927818526604%3Atds_flgs.3%3Apage_insights.%7B%22625717610882456%22%3A%7B%22page_id%22%3A625717610882456%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1583008860%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B2744735022314027%2C2744713505649512%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2744735022314027%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2744713505649512%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%221416927818526604%22%3A%7B%22page_id%22%3A1416927818526604%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22role%22%3A4%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A1416927818526604%2C%22role%22%3A4%7D%5D%7D%7D%3Athid.625717610882456%3A306061129499414%3A43%3A0%3A1585724399%3A6016484811945078833&__tn__=%2AW-R#footer_action_list
Willie Wilson,,2020-03-01 13:50:54,To God Be the Glory! We are Praising and Serving God today with the congregation of St. Michael Missionary Baptist Church and Pastor Clifford Spears! #churcheverysunday #drwilliewilsonfoundation #changegonnacome,33,25,,7,,,1,14,216813459708825,/story.php?story_fbid=216813459708825&id=625717610882456
Willie Wilson,,2020-03-01 13:08:40,To God Be the Glory! We are Praising and Serving God today with the congregation of St. Michael Missionary Baptist Church and Pastor Clifford Spears! #churcheverysunday #drwilliewilsonfoundation #changegonnacome,31,24,1,6,,,,12,510604566529231,/story.php?story_fbid=510604566529231&id=625717610882456
Willie Wilson,,2020-02-27 13:00:02,"Repartions Bill HB 5024/HB 5025. Watch, like & share the historic video here. Don't forgot to contact your alderman, legislators, state reps and state senators. Tell them to support. And click here to sign the petition: https://bit.ly/2PtRSIz #WeAreOne #ReparationsNOW #TheTimeIsNow #drwilliewilson",17,13,,4,,,,,2738875746233288,/story.php?story_fbid=2738875746233288&id=625717610882456
,,2020-02-25 00:15:05,,,,,,,,,,2734971046623758,/ufi/reaction/profile/browser/?ft_ent_identifier=2734970893290440&refid=17&_ft_=top_level_post_id.2734971046623758%3Atl_objid.2734971046623758%3Apage_id.625717610882456%3Aphoto_attachments_list.%5B2734970973290432%2C2734970956623767%2C2734970983290431%2C2734971046623758%5D%3Aphoto_id.2734970973290432%3Astory_location.4%3Astory_attachment_style.new_album%3Atagged_locations.108659242498155%3Atds_flgs.3%3Apage_insights.%7B%22625717610882456%22%3A%7B%22page_id%22%3A625717610882456%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1582607705%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B2734970973290432%2C2734970893290440%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2734970973290432%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2734970893290440%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22108659242498155%22%3A%7B%22page_id%22%3A108659242498155%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22role%22%3A4%2C%22sl%22%3A4%7D%7D%3Athid.625717610882456%3A306061129499414%3A43%3A0%3A1585724399%3A7191763049670177829&__tn__=%2AW-R#footer_action_list
,,2020-02-23 03:10:00,,,,,,,,,,2732659703521559,/ufi/reaction/profile/browser/?ft_ent_identifier=2732656283521901&refid=17&_ft_=top_level_post_id.2732659703521559%3Atl_objid.2732659703521559%3Apage_id.625717610882456%3Aphoto_attachments_list.%5B2732658206855042%2C2732658256855037%2C2732658190188377%2C2732658223521707%5D%3Aphoto_id.2732658206855042%3Astory_location.4%3Astory_attachment_style.new_album%3Atagged_locations.112659465416514%3Atds_flgs.3%3Apage_insights.%7B%22625717610882456%22%3A%7B%22page_id%22%3A625717610882456%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1582445400%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B2732672710186925%2C2732656283521901%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2732672710186925%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2732656283521901%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22112659465416514%22%3A%7B%22page_id%22%3A112659465416514%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22role%22%3A4%2C%22sl%22%3A4%7D%7D%3Athid.625717610882456%3A306061129499414%3A43%3A0%3A1585724399%3A1151855773844476296&__tn__=%2AW-R#footer_action_list
Willie Wilson,,2020-02-27 11:59:40,"We are talking to George Blaise from WCIU - ""CW26"" & the 'U' this morning. The interview will air this Saturday, Morning at 6 am (CW) and  Sunday, morning at 10:00am. I hope you will tune in . #reparationsnow #Singsation30years #Omarmedicalsupplies #drwilliewilsonforussenate2020",35,32,,3,,,,5,2740077609446435,/story.php?story_fbid=2740077609446435&id=625717610882456
Willie Wilson,,2020-02-26 18:43:55,"Last week, we officially introduced the Reparations Bill in Springfield, IL. We are on the cusp of making history in our state - thanks to you. We are one step closer. But we have further to go. If you haven't already, will you show your support by clicking below, signing the petition and then inviting at least 10 of your friends to do the same? It's left up to us. Can't do it without you! #WeAreOne #drwilliewilson #ReparationsNOW #TheTimeIsNow",94,76,,18,,,,4,2738652889588907,/story.php?story_fbid=2738652889588907&id=625717610882456
,,2020-02-22 22:37:47,,,,,,,,,,2730713973716132,/ufi/reaction/profile/browser/?ft_ent_identifier=2730713470382849&refid=17&_ft_=top_level_post_id.2730713973716132%3Atl_objid.2730713973716132%3Apage_id.625717610882456%3Aphoto_attachments_list.%5B2730713617049501%2C2730713607049502%2C2730713657049497%2C2730713883716141%5D%3Aphoto_id.2730713617049501%3Astory_location.4%3Astory_attachment_style.new_album%3Atagged_locations.108659242498155%3Atds_flgs.3%3Apage_insights.%7B%22625717610882456%22%3A%7B%22page_id%22%3A625717610882456%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A22%2C%22publish_time%22%3A1582429067%2C%22story_name%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22story_fbid%22%3A%5B2730713683716161%2C2730713470382849%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2730713683716161%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%2C%7B%22actor_id%22%3A625717610882456%2C%22page_id%22%3A625717610882456%2C%22post_id%22%3A2730713470382849%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22108659242498155%22%3A%7B%22page_id%22%3A108659242498155%2C%22actor_id%22%3A625717610882456%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntPhotoNodeBasedEdgeStory%22%2C%22role%22%3A4%2C%22sl%22%3A4%7D%7D%3Athid.625717610882456%3A306061129499414%3A43%3A0%3A1585724399%3A3538738614060304534&__tn__=%2AW-R#footer_action_list
