source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
James Mackler,,2020-05-01 17:03:44,"My opponent is funded by corporate PACs and special interest cash, and they want him installed in the Senate because he'll be their rubber stamp. I’m a combat vet running to do what’s right. I pledged #NoCorporatePAC money so I need your help to #FlipTheSenate → http://JamesMackler.com/donate",66,61,1,4,,,,,875181059663323,/story.php?story_fbid=875181059663323&id=193899114458191
James Mackler,,2020-04-30 16:24:05,"#COVID19 has exacerbated issues Tennessee has struggled with under this administration, namely rural hospital closures and the opioid epidemic. We need to expand Medicaid to help. I’m running for senate to fix the ACA vs. opponents who want it invalidated.",61,46,,,1,14,,,874443976403698,/story.php?story_fbid=874443976403698&id=193899114458191
James Mackler,,2020-04-30 13:57:40,"""Top US Spy Agency says ... #COVID19 originated in China but not manmade or genetically modified."" Blackburn disagrees, undermining US Intelligence. She’s not on the ballot in 2020 but my opponents will be her clone. Donate to help #FlipTheSenate → JamesMackler.com/donate",80,49,3,,7,,21,,874370526411043,/story.php?story_fbid=874370526411043&id=193899114458191
James Mackler,,2020-04-29 16:53:40,"Sumner County Dr. Hana Ali talks about treating patients during #COVID19 at a time when TN faces rural hospital closures, the opioid epidemic & economic uncertainty — made worse by failure to #ExpandMedicaid. Worth reading → https://thebaffler.com/the-medical-front/rocky-times-in-tennessee-zakaria",32,23,,,1,4,4,,873770129804416,/story.php?story_fbid=873770129804416&id=193899114458191
James Mackler,,2020-04-30 12:29:43,"Today Tennessee mourns the loss of Mack Prichard, our first state naturalist. A champion conservationist, Mack saved many of the state parks we still enjoy to this day. Thank you Mack. It's up to all of us to continue his legacy by preserving Tennessee's natural beauty.",227,75,,7,,145,,,874319469749482,/story.php?story_fbid=874319469749482&id=193899114458191
James Mackler,,2020-04-29 11:32:09,PPP relief passed to help small businesses keep workers on payroll. After Trump said he'd ignore all oversight in the law his political allies and big corporations got loans. My #tnsen opponent is a rubber stamp for this. I'll stand up to any president when they’re wrong. Join us → http://JamesMackler.com/donate,49,35,,,1,1,12,,873607426487353,/story.php?story_fbid=873607426487353&id=193899114458191
James Mackler,,2020-04-28 21:35:32,"Grocery clerks, supply chain workers, fast food workers and all others who've worked through this pandemic have always been essential, and we thank them for their service. #WorkersMemorialDay",32,27,,5,,,,,873180383196724,/story.php?story_fbid=873180383196724&id=193899114458191
James Mackler,,2020-04-28 19:36:47,Virtual Town Hall with Tennessee Labor Leader Vonda McDaniel,42,38,,4,,,,,873126396535456,/story.php?story_fbid=873126396535456&id=193899114458191
James Mackler,,2020-04-28 12:06:52,Governor Lee is NOT telling the truth on #COVID19:  ❌Tennessee has NOT had weeks of declining cases ❌Vanderbilt University Medical Center warns hospital capacity could be exhausted by June 9 without #SocialDistancing ❌Testing is NOT widely available as Knox Co. drive-thru ran out of tests  #StaySafeStayHome,188,96,2,2,7,10,71,,872912449890184,/story.php?story_fbid=872912449890184&id=193899114458191
James Mackler,,2020-04-28 16:35:02,Honored to have Vonda McDaniel joining me on #WorkersMemorialDay to talk about #COVID19 and its impact on Tennessee workers tonight at 5 PM CT/6 PM ET. Hope to see you there!,23,23,,,,,,,873042739877155,/story.php?story_fbid=873042739877155&id=193899114458191
