source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Jeff Merkley,,2020-03-05 13:31:37,"BIG NEWS: I'm officially filing for reelection today and I need your help! Can you chip in $5 to help us kick off strong today? https://secure.actblue.com/donate/stand-with-jeff-merkley?refcode=2020-03-05-filingfb We need to flip the Senate this November by picking up at least 4 seats. But that also means we have to defend our existing Democratic seats. That's exactly what we plan to do with this campaign -- stand up for Oregon and help challengers up and down the ballot, in our state and across the country, get across the finish line this November. Please chip in now if you can, and help us show Mitch McConnell's super PACs what this grassroots team can do.",2.2K,1.9K,40,256,1,2,19,188,3427269183958815,/story.php?story_fbid=3427269183958815&id=496696933682736
"Jeff Merkley,Morris R. Wilson",,2020-03-05 11:00:14,"Elizabeth Warren is a fighter & she fights for all the right reasons. She fights for families. She fights for workers. She fights for equality. She fights for justice. She fights for our future. I'm proud to work with her, proud to fight with her, proud to call her a friend. #ThankyouLiz#BernieOrBust @PERSEVERANCE ******* AcrossPartyLines *******",5.7K,4.4K,56,915,7,254,9,448,3426926417326425,/story.php?story_fbid=3426926417326425&id=496696933682736
Jeff Merkley,,2020-03-04 20:13:13,Long lines in Texas to vote yesterday were no accident. This was Supreme Court-enabled voter suppression.,5.4K,911,23,4,97,494,3.8K,613,3425283344157399,/story.php?story_fbid=3425283344157399&id=496696933682736
Jeff Merkley,,2020-03-04 14:49:32,"Today the Supreme Court is taking up a case that could dramatically set back reproductive rights in our country. To every American anxiously following this case: abortion is health care and health care is a human right, and I will never stop fighting to protect all three.",2.1K,1.3K,9,43,41,201,460,330,3424694627549604,/story.php?story_fbid=3424694627549604&id=496696933682736
Jeff Merkley,,2020-03-02 11:05:23,The attacks we're seeing against the LGBTQ+ community from Trump and his allies must be stopped. I will not sit on the sidelines as they undermine equality in our country. I'm in this fight for as long as it must be fought. Incredibly grateful to Human Rights Campaign for their endorsement today.,2.4K,2.1K,18,214,3,5,17,251,3419056298113437,/story.php?story_fbid=3419056298113437&id=496696933682736
Jeff Merkley,,2020-03-02 10:31:32,"I've said it before and I'll say it again: show me someone's budget, and you show me their values. Donald Trump continues to push tax cuts for billionaires, but wants to fund our coronavirus emergency response by cutting heating programs for low-income families.",12K,1.8K,54,18,217,971,9.3K,2117,3418982801454120,/story.php?story_fbid=3418982801454120&id=496696933682736
Jeff Merkley,,2020-02-29 18:01:18,"Too often the contributions of black women in American history have been ignored and forgotten. This piece tells the story of Margaret Hawkins, Augusta Chissell, Estelle Young, and an entire voting rights movement that history has overlooked.",3.2K,2.7K,2,439,42,8,2,80,3414772671875133,/story.php?story_fbid=3414772671875133&id=496696933682736
Jeff Merkley,,2020-02-29 16:10:38,Seems he never misses an opportunity to stoke fear and racism towards refugees and asylum-seekers.,2.1K,576,31,3,78,352,1.1K,398,3414585401893860,/story.php?story_fbid=3414585401893860&id=496696933682736
Jeff Merkley,,2020-02-29 11:51:42,"I am working closely with the Governor, FDA, and other officials as the situation in Oregon unfolds. At this time, the CDC and the Oregon Health Authority simply recommend the same preventive steps you’d take for the standard flu.",1.4K,773,6,4,144,502,17,152,3414085131943887,/story.php?story_fbid=3414085131943887&id=496696933682736
Jeff Merkley,,2020-02-28 19:08:15,"The millionaires and billionaires who fund CPAC and Republican campaigns across this country — so that they can get $2 TRILLION in tax cuts while sabotaging health care & disinvesting from housing, jobs, & education — must be pretty pleased with themselves as they watch the GOP try to sell this story to working America.",6.3K,1.1K,1.8K,14,249,165,2.8K,2352,3412295818789485,/story.php?story_fbid=3412295818789485&id=496696933682736
"Jeff Merkley,The Golden Ratio",The Golden Ratio,2020-02-28 11:15:21,"My team and I have conferred and we decided that Vink is a very good girl. 🐾Yes, hello! I am Capt. Vink, your WWII flying ace! Let’s go fight some h*ckin Nazis!",1.8K,1.4K,41,334,8,2,,58,3412064372145963,/story.php?story_fbid=3412064372145963&id=496696933682736
