source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Joe Kennedy III,,2020-05-01 12:06:48,,7.1K,6.2K,4,903,4,1,7,,3739779109396958,/story.php?story_fbid=3739779109396958&id=309993142375589
,,2020-04-30 20:04:53,"Impact of Covid-19 on Nursing Homes | Joined by Jodi Ouimette, Administrator at Williamstown Commons Nursing and Rehabilitation Center",1.6K,1.1K,1,240,13,299,2,,585730125377125,/story.php?story_fbid=585730125377125&id=309993142375589
Joe Kennedy III,,2020-04-30 18:20:01,No more trickle down. In the next Congressional relief package we need funds for State and local governments. And we need to put money directly into the hands of every American. We need real relief.,8.8K,7.9K,8,835,4,9,9,,3737138512994351,/story.php?story_fbid=3737138512994351&id=309993142375589
Joe Kennedy III,,2020-04-30 14:00:53,"Those in Massachusetts hardest hit by this virus are the same places that have been ravaged by climate and environmental injustice. For generations, we have left frontline communities unprotected and on their own. Chelsea, Brockton, Everett, Lynn, Randolph, and Lawrence need justice. We cannot and will not allow the erasure of frontline communities to continue. That’s why I was so proud to stand with my colleagues to introduce the Environmental Justice for All Act. We must keep fighting.",1.5K,876,2,15,95,557,29,,3736484013059801,/story.php?story_fbid=3736484013059801&id=309993142375589
Joe Kennedy III,,2020-04-30 13:26:29,If you don’t have health care. If you don’t have a home. If you don’t have food. If you can’t educate your child... Then you are being denied the unalienable rights this country promises all. Life. Liberty. Pursuit of happiness. We are denying too many. We need change.,8.6K,7.3K,4,748,12,515,22,,3736391949735674,/story.php?story_fbid=3736391949735674&id=309993142375589
Joe Kennedy III,,2020-04-30 09:52:11,"Our economy, our families, our communities have been changed forever. We need better than the status quo. We need to pass real, meaningful relief. We need to put money directly into the hands of Americans—not a bailout to those at the top. We can’t afford to wait any longer.",7.3K,4.2K,9,104,330,2.4K,103,,3735750229799846,/story.php?story_fbid=3735750229799846&id=309993142375589
,,2020-04-30 08:58:10,Morning Everyone,6.9K,5.3K,6,1.4K,6,71,4,,662941267828542,/story.php?story_fbid=662941267828542&id=309993142375589
,,2020-04-29 20:50:45,Answering your questions in the comments:Come join the conversation.  Ask questions below!,492,436,,53,,,2,,3733893403318862,/story.php?story_fbid=3733893403318862&id=309993142375589
,,2020-04-29 20:30:25,Come join the conversation.  Ask questions below!,2.7K,2K,5,637,1,9,6,,234682337749776,/story.php?story_fbid=234682337749776&id=309993142375589
,,2020-04-29 13:20:08,Thank you for your service.,Joe Kennedy III and 10K others,9K,7,1.1K,4,2,3,,3732718590103010,/story.php?story_fbid=3732718590103010&id=309993142375589
,,2020-04-29 11:10:31,More than one million confirmed cases.  More fatalities than the entire Vietnam War.  Going back to normal isn’t enough.,Joe Kennedy III and 12K others,8.9K,6,2K,49,1.4K,34,,180022146461557,/story.php?story_fbid=180022146461557&id=309993142375589
Joe Kennedy III,,2020-04-29 10:47:22,Abolish the electoral college. End the filibuster. Enact vote by mail. Our voices must be heard and fairly represented.,34K,30K,29,4.4K,10,8,18,,3732269923481210,/story.php?story_fbid=3732269923481210&id=309993142375589
,,2020-04-29 08:50:10,This is why I’m running.,9.6K,7.3K,10,2.3K,9,5,11,,222745895725648,/story.php?story_fbid=222745895725648&id=309993142375589
Joe Kennedy III,,2020-04-28 17:04:56,Wear a mask. Lead by example. What are you trying to prove?,79K,31K,976,884,6.6K,3.3K,36K,,3729670393741163,/story.php?story_fbid=3729670393741163&id=309993142375589
Joe Kennedy III,,2020-04-28 15:25:08,"Essential workers are fighting every day to protect us. We need to do the same.  We can’t rely on them to keep our nation running and not invest in them now, and forever going forward.",2.4K,2K,1,357,5,8,4,,3729428090432060,/story.php?story_fbid=3729428090432060&id=309993142375589
Joe Kennedy III,,2020-04-28 13:17:08,"Thoughts on vote by mail: 1. Not instituting it is voter suppression — forcing people to choose between health and voting 2. The President votes by mail — it’s safe, despite his attacks 3. Threats to the USPS seem to be out of nowhere, huh? 4. We need vote by mail. Period.",15K,14K,7,1.6K,25,22,66,,3729085120466357,/story.php?story_fbid=3729085120466357&id=309993142375589
,,2020-04-28 08:24:33,Happy Tuesday from the road to Fall River. And some thoughts on opening up...,10K,7.9K,9,2.2K,7,8,8,,587647615187335,/story.php?story_fbid=587647615187335&id=309993142375589
,,2020-04-27 20:01:00,Essential workers deserve better | Joined by Rev. Dr. William J. Barber II,Joe Kennedy III and 4.8K others,3.8K,5,954,9,6,12,,1354901738041057,/story.php?story_fbid=1354901738041057&id=309993142375589
,,2020-04-27 17:10:26,Wahlburgers!!,8.1K,6.4K,4,1.6K,14,3,1,,666389964126544,/story.php?story_fbid=666389964126544&id=309993142375589
Joe Kennedy III,,2020-04-27 14:03:32,"Continuing our work with Wahlburgers today, delivering meals to those on the frontlines. To those at Brigham and Women’s Faulkner Hospital: Thank you for your service. Thank you for keeping us safe.",1.8K,1.5K,,361,,,1,,3725715927469943,/story.php?story_fbid=3725715927469943&id=309993142375589
Joe Kennedy III,,2020-04-27 13:23:00,"A month ago, those who prepare our food, deliver our packages, drive our buses, and clean our offices were called “service workers.” Now, they are called “essential workers.”  They’ve been essential all along. It’s time we acknowledge them as such.",13K,12K,8,1.8K,25,56,4,,3725610830813786,/story.php?story_fbid=3725610830813786&id=309993142375589
Joe Kennedy III,,2020-04-27 10:42:49,"I got into this race because we need stronger leadership in the Senate. And if I thought that six months ago, I think it even more now. Here’s why: This virus has exposed what happens when communities in our Commonwealth are underserved and under-protected. Places like Chelsea and Brockton, disproportionately getting sick, going hungry, losing the people they love. Places like Springfield, forced to fight for their fair share of resources and protection. With everything we are up against – from COVID-19 to the daily wreckage of Donald J. Trump – our people cannot afford absent leadership.  Senator Markey isn’t here enough. He isn’t in Massachusetts enough. And in the months ahead, more than ever, we are going to need a Senator who will be on the ground – with us – as we recover and rebuild. We are also going to need a Senator with the judgment this moment demands. Senator Markey does not have a record of good judgment in times of crisis. In the wake of 9/11, he voted to give us the Iraq War and the Patriot Act. In the midst of a substance use and public health epidemic in the ‘90s, he voted for a Crime Bill that locked people up instead of got them well. At a time when our climate crisis was reaching an apex, when Democrats controlled all three chambers of government, he couldn’t get a bill through. He voted present when President Obama asked Congress for war powers in Syria. He voted present again when Mitch McConnell brought the Green New Deal to the Senate floor. Now, we face a crisis of unimaginable magnitude. And if you want to know what kind of leadership I will bring to this seat -- in contrast to Senator Markey --  just look at what we have done with our campaigns over the last month. I immediately suspended political activities and shifted to a digital operation focused on one thing: COVID-19. I paused fundraising for myself to raise nearly $100k for frontline organizations driving our response. I reoriented my entire volunteer and organizer network to make wellness calls and check in with seniors across the state. I have dedicated every inch of my time, my resources, and my staff to COVID-19. Senator Markey didn't. That’s the difference between us. As your U.S. Senator I will do better than the political status quo. I will do more than cast good votes or write good bills in Washington. I will show up on the frontlines in Massachusetts. I will fight in the trenches. I will listen, and I will lead.  Because that's what Massachusetts needs to get through this.",12K,10K,7,2.3K,10,6,9,,3725158214192381,/story.php?story_fbid=3725158214192381&id=309993142375589
,,2020-04-27 09:19:06,"Happy rainy, windy and even slushy Monday.  And hurray for Wahlburgers!",8.9K,6.9K,14,2K,8,4,3,,2259387601035748,/story.php?story_fbid=2259387601035748&id=309993142375589
Joe Kennedy III,,2020-04-26 18:31:07,Corrupt. Unreal. Yet completely expected of this bankrupt administration.,34K,7.3K,51,47,802,2.3K,23K,,3722840347757501,/story.php?story_fbid=3722840347757501&id=309993142375589
Joe Kennedy III,,2020-04-26 13:22:50,"States are sounding the alarm that they may come up 25%, or more, short on budgets. Rather than doing what is right, Mitch McConnell has already made it clear he has no intention of providing aid. He would rather let states go bankrupt or cut into pension funds to make up the difference.",5K,3K,4,133,81,725,1K,,3722049744503228,/story.php?story_fbid=3722049744503228&id=309993142375589
Joe Kennedy III,,2020-04-26 10:32:18,Story time,17K,14K,13,3.2K,3,,2,,3721501307891405,/story.php?story_fbid=3721501307891405&id=309993142375589
,,2020-04-26 09:06:51,Happy Sunday. And your daily reminder to not drink bleach...,32K,23K,2.1K,6.2K,68,66,28,,597979337733990,/story.php?story_fbid=597979337733990&id=309993142375589
Joe Kennedy III,,2020-04-25 19:55:46,Right now we are all struggling. This is hard. We all want to get back to normal. But we have to do our part to beat this. Please stay home if you can. Stay safe.,15K,13K,9,1.9K,4,38,3,,3719355844772618,/story.php?story_fbid=3719355844772618&id=309993142375589
Joe Kennedy III,,2020-04-25 09:15:53,Is there a limit to how many times one can eat pancakes? Asking for a friend...,37K,22K,9.9K,4.9K,41,5,2,,3717614064946796,/story.php?story_fbid=3717614064946796&id=309993142375589
Joe Kennedy III,,2020-04-24 19:08:00,"Teaming up with Wahlburgers to get meals to our essential workers. To every person on the frontlines, keep fighting. A grateful nation is by your side.",7.7K,6.2K,1,1.4K,7,,3,,3715626881812181,/story.php?story_fbid=3715626881812181&id=309993142375589
Joe Kennedy III,,2020-04-24 19:04:14,"Teaming up with Wahlburgers to get meals to our essential workers. To every person on the frontlines, keep fighting. A grateful nation is by your side.",29K,22K,7,6.4K,34,3,6,,3715616978479838,/story.php?story_fbid=3715616978479838&id=309993142375589
Joe Kennedy III,,2020-04-24 18:13:59,"This shouldn’t have to be said, but...",32K,27K,225,3.3K,77,675,95,,3715499045158298,/JoeKennedyIII/photos/a.316794565028780/3715499045158298
Joe Kennedy III,,2020-04-24 16:36:25,"50,000.  That's not just numbers on a news report. That's 50,000 family members. Parents. Children. Grandparents. Husbands. Wives. People who loved and were loved.  My heart is with every single person grieving right now.",25K,10K,12,2.5K,46,12K,87,,3715257048515831,/story.php?story_fbid=3715257048515831&id=309993142375589
Joe Kennedy III,,2020-04-24 15:31:53,,17K,14K,33,1.3K,150,1.7K,407,,3715091675199035,/story.php?story_fbid=3715091675199035&id=309993142375589
Joe Kennedy III,,2020-04-24 11:25:47,Don’t inject poison. More importantly? Don’t listen to this President.,65K,46K,1.5K,4K,2K,2.1K,8.3K,,3714378341937035,/story.php?story_fbid=3714378341937035&id=309993142375589
Joe Kennedy III,,2020-04-24 11:22:48,Don’t inject poison. More importantly? Don’t listen to this President.,41K,32K,3.4K,3.4K,1K,967,550,,3714369455271257,/story.php?story_fbid=3714369455271257&id=309993142375589
,,2020-04-24 01:19:19,HOME...,3K,2.4K,2,628,1,1,3,,239211327318711,/story.php?story_fbid=239211327318711&id=309993142375589
Enterate  de Colombia para el Mundo,,2020-04-23 20:34:21,"Live Now: Jordan Fisher performs “Waving Through a Window” from Dear Evan HansenManaging mental health during COVID-19 | Joined by the composers and cast of Dear Evan Hansen | Including special musical performances by Jordan Fisher (Evan Hansen) and Gabrielle Carubba (Zoe Murphy)Amigos les dejo información valiosa que quizas pueda ayudarles a salva su vida o la de algún familiar, Dios lo Bendiga Cuidensen❤️😘🙏🏻Friends I leave you valuable information that maybe can help you save your life or that of some family, God Bless you take care ❤️😘🙏🏻",570,520,,49,1,,,,3712187252156144,/story.php?story_fbid=3712187252156144&id=309993142375589
,,2020-04-23 20:05:22,Live Now: Gabrielle Carrubba performs “Only us” from Dear Evan HansenManaging mental health during COVID-19 | Joined by the composers and cast of Dear Evan Hansen | Including special musical performances by Jordan Fisher (Evan Hansen) and Gabrielle Carubba (Zoe Murphy),564,498,1,64,1,,,,3712115382163331,/story.php?story_fbid=3712115382163331&id=309993142375589
,,2020-04-23 20:00:36,Managing mental health during COVID-19 | Joined by the composers and cast of Dear Evan Hansen | Including special musical performances by Jordan Fisher (Evan Hansen) and Gabrielle Carubba (Zoe Murphy),1.4K,953,2,447,1,2,3,,676169033116031,/story.php?story_fbid=676169033116031&id=309993142375589
Joe Kennedy III,,2020-04-23 14:53:33,‪Corrupt. Unreal. Yet completely expected of this bankrupt administration.,10K,2K,16,6,662,446,7.6K,,3711297182245151,/story.php?story_fbid=3711297182245151&id=309993142375589
Joe Kennedy III,,2020-04-23 14:08:19,‪Wish this is how I was greeted every time I got to DC for votes! ‬,19K,15K,757,3.9K,5,3,3,,3711165972258272,/JoeKennedyIII/photos/a.316794565028780/3711165972258272
Joe Kennedy III,,2020-04-23 10:48:10,Looking forward to being joined by some extremely talented individuals from Dear Evan Hansen talking about how to manage our mental health during this crisis. Including incredible performances by Gabrielle Carrubba and Jordan Fisher!,1.9K,1.7K,,153,2,,,,3710548695653333,/story.php?story_fbid=3710548695653333&id=309993142375589
,,2020-04-23 07:40:26,Hello from the road somewhere near Hartford...,10K,8.8K,13,2K,33,11,6,,234971774448263,/story.php?story_fbid=234971774448263&id=309993142375589
,,2020-04-22 20:06:51,Join our conversation.,4.6K,3.7K,5,959,4,2,8,,564138767561626,/story.php?story_fbid=564138767561626&id=309993142375589
Joe Kennedy III,,2020-04-22 18:30:13,"These press briefings are unwatchable. Day after day, blatant attempts to shirk responsibility and put it on someone else. He defaults to blaming Obama, the WHO, Governors, the list goes on. To him, this is everyone else’s fault but his own, the head of the entire government.",35K,23K,43,391,185,3.9K,6.7K,,3708000982574771,/story.php?story_fbid=3708000982574771&id=309993142375589
Joe Kennedy III,,2020-04-22 13:45:10,"On Earth Day, we need to renew the fight for climate and environmental justice. We are seeing the decades-long failure to protect our most vulnerable communities play out today with COVID-19. We need to fix these issues at their source. Starting with these two bills:",2.9K,2.5K,1,395,4,2,1,,3707298265978376,/story.php?story_fbid=3707298265978376&id=309993142375589
,,2020-04-22 10:45:34,"Emergency Broadcast | Brockton, MA | 28 deaths this weekend | 1,600 confirmed cases",3.1K,2K,2,393,29,613,10,,247702253020972,/story.php?story_fbid=247702253020972&id=309993142375589
,,2020-04-22 09:19:15,Happy Earth Day!,8.8K,7K,6,1.7K,7,13,5,,287669308907136,/story.php?story_fbid=287669308907136&id=309993142375589
Joe Kennedy III,,2020-04-21 21:29:09,We cannot give in to hate. Cannot give in to fear. On Holocaust Remembrance Day we must do more than say Never Again. We must act to make good on that promise.,8.9K,7.5K,1,1.3K,2,51,5,,3704937082881161,/story.php?story_fbid=3704937082881161&id=309993142375589
Joe Kennedy III,,2020-04-21 21:03:10,"In the richest, most powerful nation in the world, you should be able to get the health care you need, when you need it. Not just in the midst of a pandemic. This crisis is exposing the failures of our society, and our health care system. On any given day the headlines show our crisis: individuals afraid to go to the hospital because of cost. Health care workers going without the PPE they need to stay safe. Crushing medical bills. Lack of capacity. People losing health care and their jobs at the same moment. Patients stopping their doctors before they receive life-saving treatment to ask, ""but who will pay for this?"" Now more than ever, it's clear that we need Medicare for All. The strongest road map to an equitable health care system is ensuring every single American is covered. Period. No person should ever have to choose between saving their life and health care costs. Our most vulnerable should know they will always be taken care of, and our health care professionals should never, ever doubt that they'll have the essential supplies they need while they're fighting a pandemic. We need Medicare for All for patients, for health care workers, and for the frontline organizations not just during the COVID-19 epidemic, but every day going forward. Together, let's fight like hell for a health care system that is there for all in our moments of deepest need. For a country that sees value in every human life. For a future where each of us can do the one thing that matters most of all — take care of the people we love. Stay well. Stay safe. - Joe",10K,8.6K,8,1K,35,888,41,,3704877566220446,/story.php?story_fbid=3704877566220446&id=309993142375589
Joe Kennedy III,,2020-04-21 19:24:19,Workers and small businesses are the cornerstone of our economy. The exploitative nature of giant corporations is forcing the rest of America to suffer. This administration has allowed for more corporate consolidation — the exact opposite of what we need.,22K,4.4K,26,43,388,1.9K,15K,,3704620239579512,/story.php?story_fbid=3704620239579512&id=309993142375589
Joe Kennedy III,,2020-04-21 15:34:51,No.,29K,5.9K,993,101,2.8K,435,18K,,3704072749634261,/story.php?story_fbid=3704072749634261&id=309993142375589
Joe Kennedy III,,2020-04-21 13:40:40,Think about how small this current president seems at that podium. “Everyone else's fault but mine” “I bear no responsibility” And now “It’s the immigrant's fault” Our country deserves so much better.,5.5K,4.3K,4,967,18,166,28,,3703779599663576,/story.php?story_fbid=3703779599663576&id=309993142375589
Joe Kennedy III,,2020-04-21 10:37:50,"The President returns to his time-honored strategy: deflect, distort and scapegoat.",16K,4.7K,251,52,333,1.7K,9K,,3703227359718800,/story.php?story_fbid=3703227359718800&id=309993142375589
,,2020-04-21 10:19:50,"Think about how small this current president seems at that podium. “Everyone else's fault but mine” “I bear no responsibility” And now “It’s the immigrant's fault” Our country deserves so much better.The President returns to his time-honored strategy: deflect, distort and scapegoat.",6.5K,5.1K,9,529,35,319,531,,3703172089724327,/story.php?story_fbid=3703172089724327&id=309993142375589
,,2020-04-21 09:16:27,"The President returns to his time-honored strategy: deflect, distort and scapegoat.",14K,11K,16,2.5K,69,685,229,,1103248870058373,/story.php?story_fbid=1103248870058373&id=309993142375589
,,2020-04-20 20:00:38,"Inspired by Isabel and Tiffany, two Boston College students who created “Foster a Family,” an initiative dedicated to pairing families in need with those who can provide relief and help. Hear their story:",3.6K,2.9K,2,738,9,3,3,,1136737056675424,/story.php?story_fbid=1136737056675424&id=309993142375589
Joe Kennedy III,,2020-04-20 18:28:04,We need vote by mail.  Putting lives at risk to vote – when we have a secure and accessible alternative that has been tested in states across the country – is unacceptable.,15K,7.9K,17,183,312,3.8K,3.1K,,3700975326610670,/story.php?story_fbid=3700975326610670&id=309993142375589
Joe Kennedy III,,2020-04-20 16:15:33,Really grateful,16K,12K,33,4.2K,2,,1,,3700683849973151,/JoeKennedyIII/photos/a.316794565028780/3700683849973151
