source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-03-02 09:33:19,"Judge Roy Moore will be speaking tonight at 6 pm in Anniston to the Republican Party, 20 Hess Drive.",103,90,,13,,,,6,1262102447321317,/story.php?story_fbid=1262102447321317&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-03-01 20:37:03,"“A man like Judge Moore, who doesn’t just rock the boat but capsizes it, has sworn enemies from two directions: the Left, and the Republican establishment (that wants to “get along” and not make waves).” RoyMoore.org",156,133,1,22,,,,18,1261708710694024,/story.php?story_fbid=1261708710694024&id=209038435961062
"Stand with Judge Roy Moore,Stand with Judge Roy Moore",Stand with Judge Roy Moore,2020-03-01 13:41:35,Judge Moore has spent his whole career defending the Constitution and the right to life. Doug Jones wants to allow abortions up until the moment before birth. Its time to send Jones home packing and send someone to Washington with REAL Alabama values to defend the unborn and actually stand for the Constitution!,64,53,,10,,1,,3,1261507177380844,/story.php?story_fbid=1261507177380844&id=209038435961062
Stand with Judge Roy Moore,,2020-02-27 11:40:13,Judge Moore has spent his whole career defending the Constitution and the right to life. Doug Jones wants to allow abortions up until the moment before birth. Its time to send Jones home packing and send someone to Washington with REAL Alabama values to defend the unborn and actually stand for the Constitution!,270,213,5,41,,3,8,16,1032791690430209,/story.php?story_fbid=1032791690430209&id=209038435961062
Stand with Judge Roy Moore,,2020-02-27 11:26:49,Judge Moore has spent his whole career defending the Constitution and the right to life. Doug Jones wants to allow abortions up until the moment before birth. Its time to send Jones home packing and send someone to Washington with REAL Alabama values to defend the unborn and actually stand for the Constitution!,88,82,,6,,,,9,1259174954280733,/story.php?story_fbid=1259174954280733&id=209038435961062
Stand with Judge Roy Moore,,2020-02-27 09:13:09,RoyMoore.org,190,163,,26,,,1,21,1259080790956816,/story.php?story_fbid=1259080790956816&id=209038435961062
Stand with Judge Roy Moore,,2020-02-27 09:09:26,RoyMoore.org.,56,52,,4,,,,1,1259077214290507,/story.php?story_fbid=1259077214290507&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-02-26 11:58:10,"Judge Moore speaking in Geneva today, and Opp Rotary at 12",109,99,,10,,,,8,1258448354353393,/story.php?story_fbid=1258448354353393&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-02-26 10:03:47,"Senate candidate Judge Roy Moore quoted Patrick Henry who said that the question before us is nothing less than freedom or slavery. “One nation under God,” Moore said. “All our rights and liberty come not from government but from God. We have got to remember that.” “If we don’t go back to God, socialism will begin to creep in,” Moore said. “It is not the Democrat party or the Republican Party that will save us, but a return to God.”",65,55,,10,,,,5,1258381194360109,/story.php?story_fbid=1258381194360109&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-02-24 20:55:29,Judge MOORE speaking  in Lee County tonight! RoyMoore.org,113,97,1,15,,,,5,1257216757809886,/story.php?story_fbid=1257216757809886&id=209038435961062
Stand with Judge Roy Moore,,2020-02-22 11:38:29,"Judge MOORE speaks to the Republican Executive Committee today in Prattville, Alabama Marriott on the Robert Trent Jones Golf Trail:",91,71,1,19,,,,6,627862874722887,/story.php?story_fbid=627862874722887&id=209038435961062
Stand with Judge Roy Moore,,2020-02-22 08:40:31,,125,101,1,23,,,,9,1255236618007900,/story.php?story_fbid=1255236618007900&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-02-21 23:04:17,More pictures with Judge Moore from the Republican Winter a dinner tonight:,149,133,1,14,,,1,15,1254939458037616,/story.php?story_fbid=1254939458037616&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-02-21 21:13:28,Listening to Sean Spicer at the State Republican Winter Dinner tonight:,37,34,1,2,,,,,1254882324709996,/story.php?story_fbid=1254882324709996&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-02-21 10:29:27,"“The billionaire also partially financed a smear campaign against Judge Roy Moore, who ran for U.S. Senate in Alabama in 2017. Hoffman’s role in the disinformation campaign in Alabama was uncovered by the New York Times in 2018.”",326,90,3,2,33,10,188,24,1254523551412540,/story.php?story_fbid=1254523551412540&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-02-21 09:44:50,"FOUNDATION:  “DON’T VOTE TO GIVE UP YOUR RIGHT TO  VOTE!”  MONTGOMERY: The Foundation for Moral Law, an Alabama organization dedicated to the strict interpretation of the Constitution as intended by its Framers and to the defense of traditional Judeo-Christian values, urged Alabama voters to reject Amendment One in the primary election March 3.   Currently, members of the State Board of Education are elected by Alabama voters by district.  If passed, Amendment One would abolish the right to vote for school board members.  Instead the Governor would appoint school board members subject to the confirmation of the Senate.  The amendment also mandates course of study standards that ensure nationwide consistency.  Foundation President Kayla Moore explained the Foundation’s position:  “Parents of school-age children are rightly concerned that schools teach the right values to their children and that school funds be spent wisely.  That can best be done when school officials are chosen by the people who raise the children and pay the taxes.  The State Board makes important decisions about the education of children, and Board members should therefore be responsible directly to the people.”  Foundation Senior Counsel John Eidsmoe predicted that Amendment One would be defeated: “However proponents want to spin it, the plain fact is, Amendment One asks us to give up our right to vote for members of the State Board of Education.   I don’t think most Alabamians want to do that, especially when there is no reason to believe an appointed school board would result in better education.  If Alabamians really understand what Amendment One is all about, I think most will vote ‘No.’”",50,40,,10,,,,5,1254493418082220,/story.php?story_fbid=1254493418082220&id=209038435961062
Stand with Judge Roy Moore,,2020-02-20 21:23:44,,34,29,,5,,,,4,1254090224789206,/story.php?story_fbid=1254090224789206&id=209038435961062
"Stand with Judge Roy Moore,WVTM 13",WVTM 13,2020-02-20 20:57:14,The Alabama GOP Senate Primary Debate starts at 8pm on WVTM 13! You can watch on TV or here: http://bit.ly/20ALSD1,24,24,,,,,,,1254078008123761,/story.php?story_fbid=1254078008123761&id=209038435961062
"Stand with Judge Roy Moore,WVTM 13",WVTM 13,2020-02-20 17:46:29,TONIGHT! Don't miss the Republican Senate Primary Debate at 8 p.m. on WVTM 13. Tune in on TV or stream online http://bit.ly/SenDeb20,23,22,,1,,,,4,1254056244792604,/story.php?story_fbid=1254056244792604&id=209038435961062
"Stand with Judge Roy Moore,Kayla Moore",Kayla Moore,2020-02-20 17:39:28,"DEBATE TONIGHT WVTM 13:   March 3rd is right around the corner and we are working hard to finish this campaign strong! We have traveled the entire state spreading our message and talking with voters, but tonight we will debate the issues live on Channel 13 WVTM News (NBC Affiliate) at 8 p.m. CST. Tonight we will join the stage to debate the issues facing the state of Alabama and this Country! Although this debate will not be as intense as the disaster Democrat debate last night, it is equally important. We need to emphasize the importance of stopping the flow of illegal aliens, reducing the deficit, ridding our nation of the socialist agenda, and returning the acknowledgement to America again! If there’s one thing Alabama voters know, it is Washington has always tried to control this Alabama senate seat. Not showing up to debate other candidates while being backed by millions of dollars doesn't pass the smell test! We are eager to finish this race strong and turn out the vote on March 3rd! The fight has just begun, we need your help in order to raise the funds to get out the vote! On March 3 we have an opportunity to awaken the Nation and send a message to Washington D.C. they’ll never forget! In closing, I ask for your prayers and encourage you to watch tonight's  debate! Thank you in advance for your support! Sincerely, RoyMoore.org Contribute P.S. You can always find out about Judge Roy Moore on his website www.roymoore.org or on his Facebook page Stand With Judge Moore. Twitter LinkedIn Copyright © 2019 Judge Roy Moore For U.S. Senate, All rights reserved. Our mailing address is: P.O. Box 9 Gallant, Al 35972",97,92,1,4,,,,4,1253984724799756,/story.php?story_fbid=1253984724799756&id=209038435961062
Stand with Judge Roy Moore,,2020-02-20 09:30:02,RoyMoore.org One America News Network OAN Newsroom 2020 Former Alabama Chief Justice Roy Moore is ramping up his push to unseat Democrat Sen. Doug Jones in this year’s elections. One America’s Kristian Rouz has the latest,22,21,,1,,,,,1253711544827074,/story.php?story_fbid=1253711544827074&id=209038435961062
