source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Jason Lewis,,2020-05-01 14:26:13,"Mom-and-pop businesses, like those on Broadway in Albert Lea, are the backbone of our communities. But they may never reopen thanks to CRUSHING government mandates. Small businesses owners are on the brink of losing everything. We need to re-open Minnesota FAST.",54,53,,,,,1,,10157509207388472,/story.php?story_fbid=10157509207388472&id=130467958471
Jason Lewis,,2020-05-01 13:08:35,"‪From cancer surgeries to orthopedic procedures, this medical care is far from “nonessential.”‬ And yet Governor Walz continues to delay lifting the ban on “elective” surgeries. Enough! ‪Senator Tina Smith needs to show some leadership and tell Walz to stop standing between doctors and their patients. ‬ ‪People are in dire pain and suffering!",62,33,,,1,14,14,,10157508994603472,/story.php?story_fbid=10157508994603472&id=130467958471
Jason Lewis,,2020-05-01 10:43:34,“Pence’s Wife?” Disrespectful.  You’re referencing the Second Lady of the United States Karen Pence. Minnesota media is top notch.,70,35,4,1,12,1,17,,10157508494268472,/story.php?story_fbid=10157508494268472&id=130467958471
Jason Lewis,,2020-04-30 23:57:46,"As businesses fail and futures ruined, we have reached the point where these draconian intrusions on our way of life transcend politics and lifestyle. Yes, Elon Musk, we want our freedom back. Before it’s too late.",376,340,1,34,,,,,10157507215003472,/story.php?story_fbid=10157507215003472&id=130467958471
Jason Lewis,,2020-04-30 21:15:05,"It must be asked, do we really want to live with leaders who: ✅ Seek to spy on, set up and imprison their adversaries ✅ Censor, blackmail and smear their political opponents ✅ Rescind the Bill of Rights in the name of public health I have rarely, if ever, witnessed a more grave threat to liberty.",148,80,2,2,9,7,48,,10157506781888472,/story.php?story_fbid=10157506781888472&id=130467958471
Jason Lewis,,2020-04-30 20:10:40,Farmers need our help NOW. We need to...  - re-open processing plants immediately - invoke the agricultural provisions in the CARES Act so the USDA can expand their assistance to a wider range of agricultural producers - consider extending crop insurance to livestock farmers Tina Smith has failed Minnesota farmers. This can't wait!,39,35,,4,,,,,10157506568558472,/story.php?story_fbid=10157506568558472&id=130467958471
Jason Lewis,,2020-04-30 17:37:09,Our critical end-of-month fundraising deadline is just a few hours away! Chip in whatever you can before 11:59PM TONIGHT to help us FLIP Minnesota RED and keep the momentum going >>>,7,7,,,,,,,10157502020488472,/story.php?story_fbid=10157502020488472&id=130467958471
Jason Lewis,,2020-04-30 16:31:54,99.24% of coronavirus deaths in Minnesota have been people with significant underlying conditions. 78% have been those in long-term care facilities. The data is clear: it’s time to #ReopenMN while protecting the most vulnerable.,326,265,,5,22,10,24,,10157505954113472,/story.php?story_fbid=10157505954113472&id=130467958471
Jason Lewis,,2020-04-30 15:32:56,"Per the Governor, MN is NOT lifting the ban on elective surgeries, but claims to be working with hospitals to ""modify"" it. Enough is enough! People are in pain and suffering with broken bones and torn ligaments! I know, having met with 2 orthopedic surgeons last week. Why is Senator Tina Smith MIA here?",267,186,,5,3,4,69,,10157505798913472,/story.php?story_fbid=10157505798913472&id=130467958471
Jason Lewis,,2020-04-30 17:30:22,"‪Farmers are having to euthanize their hogs because processing plants are closed. ‬ ‪Small businesses are struggling to survive this shutdown. ‬ ‪Today our #ReopenMN tour was in Albert Lea, giving these people a voice. ‬ ‪Tune in to KIMT News 3 tonight at 4:30 and 6pm for the full story.‬",60,41,,2,2,8,7,,10157506114738472,/story.php?story_fbid=10157506114738472&id=130467958471
Jason Lewis,,2020-04-29 15:25:57,"Every passing day we permanently lose more of Minnesota’s incredible small businesses, costing lives and livelihoods. It’s time to reopen Minnesota.",289,271,1,15,,1,1,,10157502586698472,/story.php?story_fbid=10157502586698472&id=130467958471
Jason Lewis,,2020-04-29 11:49:01,"I've met with 2 orthopedic surgeons recently, one of whom said business is down 85%. The State of MN in their infinite wisdom deemed orthopedic surgeries ""elective"" & ""non-essential."" “I appreciate him doing the tour with businesses in the area to find out how this COVID-19 outbreak has affected us,” Orthopedic surgeon Dr. Patrick Hall said, “We’d like to start getting patients the care they need in a safe, effective way, so hopefully we can come up with a plan that allows us to do that.” Lewis said, ""I think it's especially acute with these medical clinics. Here you have people waiting to get a biopsy in dire pain and suffering, and we're just telling them, 'just wait, just wait,' and that is not good medicine. And it's not being done by professionals like Dr. Hall, it's being done by politicians."" This madness must end! #ReopenMN",94,82,,9,,,3,,10157502077403472,/story.php?story_fbid=10157502077403472&id=130467958471
Jason Lewis,,2020-04-29 11:22:31,"🚨DEADLINE LOOMING → Tomorrow is our April fundraising deadline and we’re going to need all the help we can get to reach our goal. Protecting the Senate Majority is dependent on us flipping Minnesota RED. Help keep us in the fight with a contribution of $10, $5, or even just $3 today:",20,15,2,3,,,,,10157502010128472,/story.php?story_fbid=10157502010128472&id=130467958471
Jason Lewis,,2020-04-28 17:57:36,"Minnesota is once again on the forefront as we battle this pandemic. I want to thank VP Mike Pence for setting time aside to meet with me, allowing me to share Minnesotans’ concerns. We know testing is key, and Mayo Clinic has given us all a reason for optimism.",246,221,,24,,,1,,10157499422678472,/story.php?story_fbid=10157499422678472&id=130467958471
Jason Lewis,,2020-04-28 14:41:53,‪On Vice President Mike Pence’s detail today in Rochester as he visits the Mayo Clinic to learn about their new coronavirus testing plan.‬ ‪Minnesotans are proud of the leadership of Mike Pence and Donald J. Trump as we fight this virus! ‬,361,308,3,46,,,4,,10157498846958472,/story.php?story_fbid=10157498846958472&id=130467958471
Jason Lewis,,2020-04-28 13:06:11,‪Dental clinics are reporting a 95% drop in revenue due to government mandates my opponent Tina Smith supports.‬ ‪Some even fear permanent closure due to financial strain.‬ ‪We need to reopen Minnesota to avoid long-term consequences to our healthcare system.‬,98,59,,3,4,22,10,,10157498532078472,/story.php?story_fbid=10157498532078472&id=130467958471
Jason Lewis,,2020-04-27 20:38:11,"Every passing day more and more Minnesotans permanently lose businesses and livelihoods. We must defeat this virus, but we can’t cause a second Great Depression in the process. Too bad Democrats like Tim Walz and Tina Smith represent their party and not the people of Minnesota! #ReopenMN",232,169,1,4,,21,37,,10157496363008472,/story.php?story_fbid=10157496363008472&id=130467958471
Jason Lewis,,2020-04-27 16:40:42,Thousands of healthcare workers across Minnesota are laid-off and furloughed. Meanwhile Governor Tim Walz signed an executive order allowing out of state workers to work here? We need to put the livelihoods of Minnesota’s healthcare workers first!,114,59,,1,12,5,37,,10157495756623472,/story.php?story_fbid=10157495756623472&id=130467958471
Jason Lewis,,2020-04-28 15:08:36,‪At Air Force 2 in Rochester waiting for Vice President Mike Pence to take off. ‬ ‪Mike Pence and Donald J. Trump have been instrumental in helping Minnesota fight the coronavirus. ‬ ‪But we can’t finish the fight with a shuttered economy. We must do whatever it takes to reopen Minnesota and America sooner than later.‬,167,146,7,13,,,1,,10157498926913472,/story.php?story_fbid=10157498926913472&id=130467958471
Jason Lewis,,2020-04-27 13:24:10,"Quarantine is when you limit the movement of the sick and vulnerable. Tyranny is when you restrict the movement of everyone. We need to double down on protecting the vulnerable like those in long-term care facilities, while letting the rest of Minnesota get back to work.",198,169,1,8,2,17,1,,10157495209748472,/story.php?story_fbid=10157495209748472&id=130467958471
Jason Lewis,,2020-04-26 13:37:29,"First sign of a collapsing market is a supply glut.‬ ‪We now have massive gluts in hogs, oil and even beer...‬ ‪We are flirting with a Great Depression by continuing to quarantine healthy customers. #ReopenMN‬ ‪‬",278,96,,1,13,116,52,,10157491740493472,/story.php?story_fbid=10157491740493472&id=130467958471
Jason Lewis,,2020-04-28 11:38:55,We're in uncharted territory.  We've deliberately shut down the economy with public policy that is hurting families and destroying businesses.  Let's use common sense and quarantine the sick and the vulnerable while letting healthy people return to work. #ReopenMN,240,219,,18,,1,2,,10157498326603472,/story.php?story_fbid=10157498326603472&id=130467958471
Jason Lewis,,2020-04-26 11:41:08,"Happy Birthday Melania! You and your family have greatly sacrificed for the sake of America and we couldn’t be more thankful! Join me, and sign a birthday card for our incredible First Lady Melania Trump!",46,35,5,5,,,1,,10157491300598472,/story.php?story_fbid=10157491300598472&id=130467958471
Jason Lewis,,2020-04-24 22:26:45,"There are costs associated with this lockdown many aren’t considering. “The health risk of isolation is equal to smoking 15 cigarettes a day,” said BYU professor Julianne Holt-Lunstad. The cure can not be worse than the disease.",72,53,2,,7,9,1,,10157485190488472,/story.php?story_fbid=10157485190488472&id=130467958471
Jason Lewis,,2020-04-24 20:23:54,‪We have to start to reopen America and Minnesota to fight this virus. ‬ ‪We should be putting America back to work with an infrastructure package that beefs up the nation’s vital assets while at the same time eliminating its idle ones.‬ ‪How? ‬ ‪Read my plan in the Duluth News Tribune‬.,30,29,1,,,,,,10157484780028472,/story.php?story_fbid=10157484780028472&id=130467958471
Jason Lewis,,2020-04-24 19:00:25,"As our #ReopenMN RV tour continues I’m seeing heartbreaking personal suffering caused by this shutdown. Minnesotans are hurting and in significant pain because of the restriction on ‘elective’ surgery. I don’t know about you, but I don’t consider torn ligaments ‘elective.’",208,185,,8,1,14,,,10157484489058472,/story.php?story_fbid=10157484489058472&id=130467958471
Jason Lewis,,2020-04-25 13:49:40,‪Another example of how the liberals’ one-size-fits-all approach to the coronavirus is unnecessarily burdening small businesses.‬ ‪Dead On Inc can’t have their indoor shooting range open despite ventilation that makes the range safer than their store.‬ ‪Let’s use some common sense and start to reopen Minnesota. ‬,52,45,1,6,,,,,10157487959783472,/story.php?story_fbid=10157487959783472&id=130467958471
Jason Lewis,,2020-04-25 12:35:06,‪People are in dire pain and suffering.‬ ‪Thousands of healthcare workers are losing their jobs. ‬ ‪Hospitals could close down for good. ‬ ‪This ban on elective surgeries has backfired. Get government out of the way and let doctors do their job!,255,142,,4,8,41,60,,10157487607738472,/story.php?story_fbid=10157487607738472&id=130467958471
Jason Lewis,,2020-04-27 15:52:13,"When you hear the term ‘elective’ surgeries, most people tend to think they’re optional. But that’s not the case.  Healthcare workers are being laid off and surgery centers closed, all while patients are waiting on live-saving treatments.",278,167,,5,14,62,30,,10157495651503472,/story.php?story_fbid=10157495651503472&id=130467958471
Jason Lewis,,2020-04-24 12:27:43,"Country Goods in Owatonna was forced to shutdown by Governor Tim Walz. With no revenue coming in, Todd and Grace had to use their retirement to pay bills.  Meanwhile big box stores can stay open?  This shutdown is CRUSHING small businesses. #ReopenMN",132,108,1,6,2,11,4,,10157483196658472,/story.php?story_fbid=10157483196658472&id=130467958471
Jason Lewis,,2020-04-23 19:02:24,"‪Never thought I’d say this: just hosted a fundraiser from the  RV! ‬  ‪Made a pit stop in Waterville on our  tour, remember to .‬  ‪Thanks to everyone who dialed in, & thx to Congressman @petestaubermn  and Rep. Heintzeman for speaking as well‬.",53,52,,1,,,,,10157480383843472,/LewisForMN/photos/a.252013348471/10157480383843472
Jason Lewis,,2020-04-23 13:52:57,"Visiting with Todd and Grace, owners of Country Goods in Owatonna, on our #ReopenMN RV tour. The prolonged shutdown is taking its toll on this wonderful store.  We don't want to lose great businesses like this by making the cure worse than the disease! Video to come--stay tuned!",89,83,1,5,,,,,10157479353903472,/story.php?story_fbid=10157479353903472&id=130467958471
