source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Robert Marshall, Republican for U.S. Senate",,2020-03-03 09:25:03,"Walls do in fact work. We have to make sure the job is complete. Unlike my opponent Mark Curran, I do not believe people should be rewarded for bad behavior. #NoAmnesty #BuildtheWall #DumpDurbin",6,5,,,1,,,1,811216846043501,/story.php?story_fbid=811216846043501&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-03-02 16:03:04,The weather cooperated very nicely yesterday and I got to knock on some doors. Great conversations and it is clear: voters are tired of Dick Durbin taking advantage of the taxpayers. #TurnIllinoisRed,3,3,,,,,,,813451799153339,/story.php?story_fbid=813451799153339&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-03-02 08:48:04,"Some critics say dividing up the state is a ""out-of-the-box"" idea that will be difficult to happen but what they fail to realize is that it is growing support everyday. In the campaign trail it is a consensus that Chicago politicians continue to take advantage of folks from downstate. I enjoyed going on the radio to discuss how to turn this plan into a reality. Read more here: https://www.wbez.org/shows/morning-shift/robert-marshalls-diagnosis-democrat-says-illinois-needs-to-be-divided-in-three/3b881a61-e583-4944-8827-5be3162d0c72",2,2,,,,,,,811192399379279,/story.php?story_fbid=811192399379279&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-03-01 15:59:24,In my last run for public office I stood up to JB Pritzker and I warned him if he was going to buy the election and become the next governor that he should move away from supporting the progressive income tax plan. I guess he is already fed up with leading the state that he wants to be a one term governor by supporting this awful idea.,5,5,,,,,,,811198312712021,/story.php?story_fbid=811198312712021&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-02-29 16:55:12,"I have always held consistent policy positions. One of those being totally against the progressive income tax. It is a fallacy that it will lead Illinois into prosperity, rather it will speed up the process in which people continue to move to places like Indiana. #NoNewTaxes #DumpDurbin",1,1,,,,,,1,811196342712218,/story.php?story_fbid=811196342712218&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-02-28 19:17:47,"In plain English, this is dumb. We should not reverse history and we should also spend our time tackling issues that will make our students succeed. We need to keep our politicians accountable for foolish decisions like the one CPS made because something tells me they are not stopping until there is a change in all aspects of life.",1,1,,,,,,,811551092676743,/story.php?story_fbid=811551092676743&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-02-28 15:31:37,And it is not getting any better. It is time to get rid of Dick Durbin. 40+ years in politics is enough especially since there are so few accomplishments he can brag about. #KeepAmericaGreat https://www.illinoisreview.com/illinoisreview/2014/06/records-show-us-sen-dick-durbin-votes-against-taxpayers-97-of-the-time.html?fbclid=IwAR2kC3JtqkPr-pnym5D2y9dA-ReGKpe5FvzOBtmwpWbi0_IK22J2m-6Qsvg,10,5,2,,,,3,,811185956046590,/story.php?story_fbid=811185956046590&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-02-28 12:20:17,"He has a long way to go if he wants to catch up to career politician Dick Durbin, who has years of experience of getting gifts in exchange of supporting bad policies. #DumpDurbin",1,1,,,,,,1,811213346043851,/story.php?story_fbid=811213346043851&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-02-25 15:02:47,"It is time to end these endless wars and bring back our American heroes. We also need to divide the state of Illinois. Check out the WTTW Candidate Guide to learn more about my policy positions at the link below. Together, we will beat Millionaire, Career Politician Dick Durbin.  https://news.wttw.com/elections/voters-guide/2020/candidates/illinois-senate/robert-marshall",3,3,,,,,,,808446099653909,/story.php?story_fbid=808446099653909&id=617180425447145
"Robert Marshall, Republican for U.S. Senate",,2020-02-25 12:37:17,This voter is also fed up with Dick Durbin.,18,18,,,,,,1,806329359865583,/story.php?story_fbid=806329359865583&id=617180425447145
